* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 15 Sep, 2020 2:01:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 15 14:01:23
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 60.537, -65.636
10.293, 60.708, -66.678
10.443, 60.886, -67.764
10.595, 61.059, -68.940
10.749, 61.219, -70.221
10.905, 61.366, -71.589
11.064, 61.492, -72.959
11.225, 61.596, -74.350
11.388, 61.685, -75.664
11.554, 61.755, -76.877
11.722, 61.820, -77.976
11.892, 61.885, -78.917
12.065, 61.956, -79.750
12.241, 62.045, -80.503
12.419, 62.149, -81.213
12.599, 62.271, -81.980
12.782, 62.405, -82.801
12.968, 62.538, -83.744
13.157, 62.668, -84.774
13.348, 62.778, -85.860
13.543, 62.873, -86.950
13.740, 62.946, -87.953
13.939, 63.010, -88.832
14.142, 63.070, -89.518
14.348, 63.146, -90.064
14.557, 63.244, -90.467
14.768, 63.373, -90.893
14.983, 63.531, -91.382
15.201, 63.705, -92.088
15.422, 63.878, -92.998
15.646, 64.034, -94.141
15.874, 64.154, -95.386
16.105, 64.236, -96.668
16.339, 64.278, -97.822
16.577, 64.296, -98.762
16.818, 64.302, -99.432
17.063, 64.323, -99.840
17.311, 64.371, -100.097
17.563, 64.454, -100.287
17.818, 64.566, -100.568
18.077, 64.693, -100.983
18.340, 64.825, -101.542
18.607, 64.951, -102.212
18.877, 65.070, -102.931
19.152, 65.188, -103.695
19.431, 65.307, -104.518
19.713, 65.427, -105.458
20.000, 65.535, -106.566
20.291, 65.613, -107.808
20.586, 65.649, -109.084
20.885, 65.634, -110.223
21.189, 65.582, -110.997
21.497, 65.531, -111.250
21.810, 65.533, -111.036
22.127, 65.624, -110.614
22.449, 65.812, -110.370
22.776, 66.065, -110.665
23.107, 66.322, -111.645
23.443, 66.521, -113.172
23.784, 66.629, -114.907
24.130, 66.651, -116.465
24.481, 66.623, -117.571
24.837, 66.601, -118.179
25.198, 66.628, -118.498
25.565, 66.709, -118.856
25.937, 66.814, -119.472
26.314, 66.904, -120.337
26.697, 66.960, -121.266
27.085, 66.992, -122.072
27.479, 67.027, -122.713
27.879, 67.084, -123.306
28.284, 67.158, -124.008
28.696, 67.228, -124.867
29.113, 67.278, -125.801
29.537, 67.307, -126.692
29.966, 67.327, -127.476
30.402, 67.344, -128.145
30.844, 67.367, -128.683
31.293, 67.407, -129.087
31.748, 67.481, -129.458
32.210, 67.586, -130.015
32.678, 67.682, -130.885
33.154, 67.727, -131.910
33.636, 67.722, -132.717
34.125, 67.723, -133.138
34.621, 67.778, -133.455
35.125, 67.865, -134.109
35.636, 67.911, -135.080
36.154, 67.902, -135.904
36.680, 67.906, -136.332
37.214, 67.976, -136.737
37.755, 68.066, -137.516
38.304, 68.115, -138.396
38.861, 68.167, -138.964
39.427, 68.289, -139.574
40.000, 68.402, -140.782
40.582, 68.384, -142.043
41.172, 68.315, -142.247
41.771, 68.390, -141.823
42.379, 68.569, -142.331
42.995, 68.594, -143.608
43.620, 68.465, -144.002
44.255, 68.455, -143.263
44.898, 68.633, -143.356
45.552, 68.730, -144.936
46.214, 68.602, -146.579
46.886, 68.406, -146.902
47.568, 68.415, -146.374
48.260, 68.642, -147.007
48.962, 68.766, -149.395
49.674, 68.602, -151.388
50.397, 68.454, -151.171
51.130, 68.629, -150.733
51.874, 68.820, -152.050
52.628, 68.748, -153.285
53.394, 68.657, -152.774
54.170, 68.798, -152.057
54.958, 68.973, -152.834
55.758, 68.938, -154.152
56.569, 68.809, -154.507
57.391, 68.791, -154.566
58.226, 68.791, -155.176
59.073, 68.770, -155.712
59.932, 68.794, -156.301
60.804, 68.805, -157.037
61.688, 68.821, -157.501
62.586, 68.882, -158.004
63.496, 68.911, -158.844
64.420, 68.836, -159.291
65.357, 68.850, -158.924
66.307, 68.947, -159.617
67.272, 68.844, -160.393
68.250, 68.865, -160.318
69.243, 68.889, -162.128
70.250, 68.509, -163.045
71.272, 68.408, -160.884
72.309, 68.732, -160.925
73.360, 68.795, -162.751
74.427, 68.745, -163.764
75.510, 68.661, -164.461
76.608, 68.669, -164.480
77.723, 68.690, -165.707
78.853, 68.489, -166.227
80.000, 68.445, -165.432
81.164, 68.550, -165.777
82.344, 68.488, -166.398
83.542, 68.500, -166.407
84.757, 68.467, -166.820
85.990, 68.467, -166.691
87.241, 68.442, -166.835
88.510, 68.475, -166.585
89.797, 68.504, -167.189
91.103, 68.394, -167.736
92.428, 68.372, -166.921
93.773, 68.485, -168.190
95.137, 68.361, -168.161
96.520, 68.402, -169.241
97.924, 68.323, -168.865
99.349, 68.350, -169.952
100.794, 68.273, -169.649
102.260, 68.207, -170.311
103.747, 68.146, -169.559
105.256, 68.126, -169.679
106.787, 68.067, -169.945
108.340, 67.995, -169.265
109.916, 67.975, -169.376
111.515, 67.983, -169.277
113.137, 67.885, -168.938
114.783, 67.926, -168.423
116.452, 68.007, -168.428
118.146, 68.077, -168.329
119.865, 68.108, -168.239
121.608, 68.190, -168.016
123.377, 68.299, -167.888
125.171, 68.283, -167.607
126.992, 68.290, -168.022
128.839, 68.374, -168.121
130.713, 68.363, -167.846
132.615, 68.537, -168.627
134.543, 68.552, -168.472
136.500, 68.555, -168.720
138.486, 68.679, -169.255
140.500, 68.724, -169.762
142.544, 68.743, -170.234
144.617, 68.760, -170.433
146.721, 68.803, -171.183
148.855, 68.711, -171.693
151.020, 68.716, -172.061
153.217, 68.758, -172.550
155.445, 68.846, -172.233
157.706, 68.756, -172.521
160.000, 68.889, -172.442
162.327, 68.668, -173.865
164.688, 68.947, -173.461
167.084, 68.883, -173.818
169.514, 68.877, -173.520
171.980, 68.875, -173.857
174.481, 68.905, -174.740
177.019, 68.905, -174.275
179.594, 68.902, -174.800
182.206, 68.926, -175.646
184.856, 68.944, -175.801
187.545, 68.957, -176.215
190.273, 68.953, -176.616
193.041, 68.963, -176.891
195.849, 68.960, -177.364
198.697, 68.931, -177.576
201.587, 68.982, -178.113
204.520, 68.949, -178.236
207.494, 68.896, -178.852
210.512, 68.965, -178.875
213.574, 68.958, -178.928
216.681, 68.951, -179.746
219.833, 68.923, 179.920
223.030, 68.885, 179.805
226.274, 68.852, 179.643
229.565, 68.861, 179.001
232.905, 68.863, 178.873
236.292, 68.804, 178.359
239.729, 68.825, 178.599
243.216, 68.838, 177.735
246.754, 68.841, 177.452
250.343, 68.796, 177.037
253.984, 68.749, 176.874
257.678, 68.713, 176.244
261.426, 68.694, 176.139
265.229, 68.646, 175.695
269.087, 68.552, 175.431
273.001, 68.520, 175.083
276.972, 68.405, 175.015
281.000, 68.333, 174.445
285.088, 68.310, 175.299
289.234, 68.372, 175.376
293.441, 68.334, 175.397
297.710, 68.318, 175.010
302.040, 68.329, 174.736
306.433, 68.284, 174.742
310.890, 68.282, 174.927
315.412, 68.333, 174.860
320.000, 68.331, 174.540
324.655, 68.321, 174.193
