* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 4 sweeps at -10.0 dBFS  With no timing reference
* Dated: 4 Sep, 2020 7:27:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 4 19:27:10
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 64.516, -75.541
10.293, 64.605, -76.929
10.443, 64.689, -78.185
10.595, 64.771, -79.423
10.749, 64.853, -80.644
10.905, 64.934, -81.848
11.064, 65.014, -83.047
11.225, 65.094, -84.238
11.388, 65.173, -85.429
11.554, 65.250, -86.624
11.722, 65.325, -87.819
11.892, 65.396, -89.015
12.065, 65.463, -90.207
12.241, 65.526, -91.386
12.419, 65.584, -92.549
12.599, 65.639, -93.684
12.782, 65.690, -94.789
12.968, 65.740, -95.857
13.157, 65.789, -96.891
13.348, 65.839, -97.893
13.543, 65.891, -98.868
13.740, 65.944, -99.825
13.939, 66.000, -100.766
14.142, 66.058, -101.700
14.348, 66.117, -102.626
14.557, 66.177, -103.545
14.768, 66.238, -104.454
14.983, 66.302, -105.355
15.201, 66.368, -106.251
15.422, 66.438, -107.153
15.646, 66.513, -108.070
15.874, 66.589, -109.025
16.105, 66.667, -110.025
16.339, 66.742, -111.083
16.577, 66.810, -112.187
16.818, 66.868, -113.328
17.063, 66.914, -114.474
17.311, 66.949, -115.594
17.563, 66.974, -116.666
17.818, 66.994, -117.670
18.077, 67.014, -118.613
18.340, 67.037, -119.507
18.607, 67.064, -120.379
18.877, 67.095, -121.261
19.152, 67.126, -122.159
19.431, 67.155, -123.077
19.713, 67.178, -124.001
20.000, 67.194, -124.904
20.291, 67.206, -125.773
20.586, 67.216, -126.598
20.885, 67.226, -127.378
21.189, 67.238, -128.123
21.497, 67.253, -128.841
21.810, 67.272, -129.541
22.127, 67.296, -130.237
22.449, 67.323, -130.944
22.776, 67.352, -131.683
23.107, 67.379, -132.463
23.443, 67.397, -133.272
23.784, 67.402, -134.066
24.130, 67.398, -134.792
24.481, 67.391, -135.415
24.837, 67.391, -135.948
25.198, 67.405, -136.453
25.565, 67.430, -137.003
25.937, 67.454, -137.630
26.314, 67.468, -138.301
26.697, 67.469, -138.938
27.085, 67.466, -139.482
27.479, 67.473, -139.947
27.879, 67.496, -140.413
28.284, 67.529, -140.969
28.696, 67.558, -141.633
29.113, 67.574, -142.346
29.537, 67.578, -143.027
29.966, 67.582, -143.652
30.402, 67.590, -144.269
30.844, 67.600, -144.932
31.293, 67.600, -145.629
31.748, 67.588, -146.286
32.210, 67.573, -146.858
32.678, 67.566, -147.391
33.154, 67.563, -147.966
33.636, 67.548, -148.585
34.125, 67.515, -149.137
34.621, 67.480, -149.538
35.125, 67.464, -149.866
35.636, 67.463, -150.301
36.154, 67.447, -150.887
36.680, 67.397, -151.439
37.214, 67.335, -151.762
37.755, 67.297, -151.910
38.304, 67.293, -152.135
38.861, 67.287, -152.561
39.427, 67.253, -153.031
