* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -10.0 dBFS  With no timing reference
* Dated: 14 Jan, 2021 10:00:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Jan 14 22:00:38
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 61.684, -94.480
10.293, 61.725, -95.174
10.443, 61.767, -96.098
10.595, 61.835, -97.292
10.749, 61.906, -98.527
10.905, 61.965, -99.444
11.064, 62.021, -100.249
11.225, 62.084, -101.189
11.388, 62.152, -102.191
11.554, 62.217, -103.173
11.722, 62.281, -104.148
11.892, 62.342, -105.126
12.065, 62.400, -106.108
12.241, 62.455, -107.109
12.419, 62.507, -108.116
12.599, 62.554, -109.086
12.782, 62.597, -110.034
12.968, 62.639, -110.976
13.157, 62.679, -111.897
13.348, 62.718, -112.784
13.543, 62.758, -113.657
13.740, 62.797, -114.517
13.939, 62.838, -115.370
14.142, 62.878, -116.217
14.348, 62.917, -117.061
14.557, 62.956, -117.904
14.768, 62.993, -118.744
14.983, 63.028, -119.576
15.201, 63.060, -120.396
15.422, 63.092, -121.203
15.646, 63.122, -121.992
15.874, 63.152, -122.766
16.105, 63.182, -123.528
16.339, 63.212, -124.281
16.577, 63.242, -125.029
16.818, 63.272, -125.776
17.063, 63.301, -126.524
17.311, 63.328, -127.268
17.563, 63.353, -128.005
17.818, 63.375, -128.730
18.077, 63.396, -129.437
18.340, 63.416, -130.124
18.607, 63.436, -130.794
18.877, 63.457, -131.450
19.152, 63.479, -132.100
19.431, 63.501, -132.749
19.713, 63.521, -133.396
20.000, 63.540, -134.036
20.291, 63.557, -134.662
20.586, 63.573, -135.268
20.885, 63.588, -135.852
21.189, 63.605, -136.418
21.497, 63.624, -136.979
21.810, 63.642, -137.541
22.127, 63.660, -138.106
22.449, 63.674, -138.662
22.776, 63.686, -139.198
23.107, 63.697, -139.707
23.443, 63.710, -140.198
23.784, 63.724, -140.687
24.130, 63.736, -141.183
24.481, 63.743, -141.671
24.837, 63.744, -142.113
25.198, 63.745, -142.471
25.565, 63.758, -142.752
25.937, 63.790, -143.023
26.314, 63.840, -143.390
26.697, 63.894, -143.932
27.085, 63.932, -144.632
27.479, 63.939, -145.372
27.879, 63.922, -145.997
28.284, 63.900, -146.432
28.696, 63.896, -146.730
29.113, 63.917, -147.039
29.537, 63.948, -147.477
29.966, 63.968, -148.022
30.402, 63.969, -148.552
30.844, 63.962, -148.962
31.293, 63.968, -149.273
31.748, 63.992, -149.608
32.210, 64.020, -150.062
32.678, 64.033, -150.606
33.154, 64.026, -151.129
33.636, 64.009, -151.545
34.125, 63.996, -151.875
34.621, 63.990, -152.186
35.125, 63.986, -152.515
35.636, 63.980, -152.848
36.154, 63.973, -153.166
36.680, 63.967, -153.475
