* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -3.0 dBFS  With no timing reference
* Dated: 26 Sep, 2020 5:34:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 26 17:34:53
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 59.931, 107.171
10.293, 59.967, 105.956
10.443, 60.005, 104.705
10.595, 60.056, 103.743
10.749, 60.122, 102.860
10.905, 60.212, 102.021
11.064, 60.324, 101.197
11.225, 60.460, 100.285
11.388, 60.619, 99.285
11.554, 60.789, 98.097
11.722, 60.968, 96.729
11.892, 61.137, 95.156
12.065, 61.295, 93.391
12.241, 61.424, 91.494
12.419, 61.525, 89.493
12.599, 61.587, 87.496
12.782, 61.615, 85.551
12.968, 61.610, 83.764
13.157, 61.585, 82.183
13.348, 61.546, 80.870
13.543, 61.516, 79.805
13.740, 61.502, 78.989
13.939, 61.521, 78.293
14.142, 61.572, 77.652
14.348, 61.656, 76.935
14.557, 61.756, 76.068
14.768, 61.863, 75.016
14.983, 61.955, 73.793
15.201, 62.025, 72.473
15.422, 62.066, 71.113
15.646, 62.079, 69.839
15.874, 62.075, 68.688
16.105, 62.062, 67.703
16.339, 62.057, 66.854
16.577, 62.063, 66.074
16.818, 62.085, 65.302
17.063, 62.114, 64.454
17.311, 62.141, 63.521
17.563, 62.157, 62.529
17.818, 62.157, 61.528
18.077, 62.144, 60.597
18.340, 62.130, 59.766
18.607, 62.123, 59.025
18.877, 62.131, 58.332
19.152, 62.158, 57.622
19.431, 62.197, 56.846
19.713, 62.244, 56.005
20.000, 62.298, 55.109
20.291, 62.361, 54.153
20.586, 62.433, 53.095
20.885, 62.508, 51.865
21.189, 62.562, 50.425
21.497, 62.564, 48.878
21.810, 62.493, 47.520
22.127, 62.366, 46.780
22.449, 62.253, 47.005
22.776, 62.273, 48.091
23.107, 62.511, 49.262
23.443, 62.940, 49.421
23.784, 63.411, 47.893
24.130, 63.751, 44.800
24.481, 63.833, 40.905
24.837, 63.614, 37.315
25.198, 63.158, 35.211
25.565, 62.651, 35.386
25.937, 62.350, 37.475
26.314, 62.384, 39.791
26.697, 62.621, 40.699
27.085, 62.821, 40.009
27.479, 62.848, 38.680
27.879, 62.732, 37.780
28.284, 62.605, 37.705
28.696, 62.577, 37.991
29.113, 62.642, 37.848
29.537, 62.702, 36.985
29.966, 62.685, 35.786
30.402, 62.598, 34.779
30.844, 62.504, 34.199
31.293, 62.456, 33.878
31.748, 62.460, 33.523
32.210, 62.488, 32.975
32.678, 62.509, 32.281
33.154, 62.505, 31.620
33.636, 62.493, 31.202
34.125, 62.513, 31.019
34.621, 62.581, 30.734
35.125, 62.644, 30.023
35.636, 62.628, 29.089
36.154, 62.527, 28.544
36.680, 62.431, 28.639
37.214, 62.415, 28.887
37.755, 62.431, 28.709
38.304, 62.398, 28.209
38.861, 62.314, 27.882
39.427, 62.238, 27.847
40.000, 62.202, 27.900
40.582, 62.207, 27.886
41.172, 62.250, 27.669
41.771, 62.302, 27.125
42.379, 62.325, 26.447
42.995, 62.344, 25.892
43.620, 62.380, 25.216
44.255, 62.360, 24.345
44.898, 62.260, 24.019
45.552, 62.225, 24.572
46.214, 62.335, 24.908
46.886, 62.432, 24.360
47.568, 62.423, 23.756
48.260, 62.406, 23.443
48.962, 62.376, 22.827
49.674, 62.233, 22.355
50.397, 62.093, 22.842
51.130, 62.098, 23.386
51.874, 62.118, 23.204
52.628, 62.086, 22.974
53.394, 62.064, 22.771
54.170, 62.009, 22.550
54.958, 61.981, 22.803
55.758, 62.037, 22.626
56.569, 61.965, 22.021
57.391, 61.840, 22.613
58.226, 61.886, 23.346
59.073, 61.896, 23.282
59.932, 61.845, 23.577
60.804, 61.818, 23.774
61.688, 61.727, 24.127
62.586, 61.706, 24.893
63.496, 61.713, 25.238
64.420, 61.720, 25.912
65.357, 61.831, 26.431
66.307, 61.945, 26.604
67.272, 62.093, 26.301
68.250, 62.009, 25.327
69.243, 61.784, 26.916
70.250, 61.945, 28.810
71.272, 61.962, 29.414
72.309, 62.051, 31.876
73.360, 62.424, 33.239
74.427, 62.825, 33.869
75.510, 63.335, 33.043
76.608, 63.647, 30.928
77.723, 63.809, 29.406
78.853, 64.061, 27.871
80.000, 64.124, 25.103
81.164, 64.050, 23.942
82.344, 64.101, 22.283
83.542, 64.011, 20.943
84.757, 63.958, 19.790
85.990, 63.877, 19.491
87.241, 63.879, 18.747
88.510, 63.803, 18.716
89.797, 63.791, 17.823
91.103, 63.647, 18.081
92.428, 63.707, 17.264
93.773, 63.543, 16.973
95.137, 63.524, 16.921
96.520, 63.520, 17.151
97.924, 63.488, 16.746
99.349, 63.499, 16.831
100.794, 63.435, 16.378
102.260, 63.432, 16.183
103.747, 63.396, 16.239
105.256, 63.399, 16.188
106.787, 63.376, 16.022
108.340, 63.323, 16.190
109.916, 63.295, 16.237
111.515, 63.335, 15.807
113.137, 63.372, 15.555
114.783, 63.252, 15.827
116.452, 63.364, 15.414
118.146, 63.347, 15.990
119.865, 63.496, 14.966
121.608, 63.496, 15.242
123.377, 63.569, 14.623
125.171, 63.423, 15.157
126.992, 63.354, 14.791
128.839, 63.029, 14.508
130.713, 63.270, 14.396
132.615, 63.361, 14.145
134.543, 63.331, 14.701
136.500, 63.350, 14.725
138.486, 63.288, 15.366
140.500, 63.317, 14.774
142.544, 63.268, 14.628
144.617, 63.320, 14.782
146.721, 63.359, 14.696
148.855, 63.291, 14.534
151.020, 63.348, 14.027
153.217, 63.362, 14.669
155.445, 63.271, 14.339
157.706, 63.350, 13.888
160.000, 63.123, 15.044
162.327, 63.151, 10.773
164.688, 63.946, 13.821
167.084, 63.381, 15.895
169.514, 63.193, 13.399
171.980, 63.477, 14.336
174.481, 62.858, 13.558
177.019, 63.426, 15.727
179.594, 63.268, 14.236
182.206, 63.255, 14.442
184.856, 63.104, 13.895
187.545, 63.054, 14.585
190.273, 63.170, 14.846
193.041, 63.307, 14.817
195.849, 63.346, 14.311
198.697, 63.332, 13.355
201.587, 63.290, 13.670
204.520, 63.165, 14.555
207.494, 63.076, 15.044
210.512, 63.273, 15.378
213.574, 63.464, 15.377
216.681, 63.411, 14.542
219.833, 63.332, 13.926
223.030, 63.221, 13.604
226.274, 63.112, 14.515
229.565, 63.152, 14.959
232.905, 63.116, 15.439
236.292, 63.188, 15.501
239.729, 63.114, 14.309
243.216, 62.934, 16.180
246.754, 63.147, 16.915
250.343, 63.140, 16.668
253.984, 63.059, 16.268
257.678, 63.017, 16.216
261.426, 63.009, 16.785
265.229, 63.093, 16.586
269.087, 63.373, 16.159
273.001, 63.366, 18.179
276.972, 63.094, 18.934
281.000, 63.005, 18.623
285.088, 63.014, 16.224
289.234, 63.540, 20.425
293.441, 62.771, 18.445
297.710, 63.244, 21.330
302.040, 63.386, 19.789
306.433, 63.059, 19.125
310.890, 63.187, 21.756
315.412, 63.200, 22.224
320.000, 63.256, 22.091
324.655, 63.240, 22.299
329.377, 63.268, 22.627
334.168, 63.503, 23.286
339.028, 63.478, 23.522
343.959, 63.476, 24.520
348.962, 63.606, 25.118
354.038, 63.714, 25.383
359.188, 63.763, 25.713
364.412, 63.904, 25.926
369.713, 64.076, 26.993
375.090, 64.002, 26.510
380.546, 64.375, 25.350
386.081, 64.221, 25.463
391.697, 64.448, 25.177
397.395, 64.483, 24.994
403.175, 64.529, 24.186
409.039, 64.525, 24.510
414.989, 64.581, 23.940
421.025, 64.614, 24.688
427.149, 64.775, 24.064
433.362, 64.602, 24.114
439.665, 64.644, 23.472
446.060, 64.641, 24.069
452.548, 64.694, 24.605
459.131, 64.720, 23.998
465.809, 64.790, 24.389
472.584, 64.792, 23.697
479.458, 64.920, 23.687
486.432, 64.962, 24.132
493.507, 64.961, 25.418
500.686, 64.757, 25.727
507.968, 64.643, 23.677
515.357, 64.964, 24.336
522.853, 64.866, 26.881
530.458, 64.962, 25.109
538.174, 64.796, 26.608
546.002, 64.995, 27.022
553.943, 65.210, 25.999
562.001, 64.915, 26.196
570.175, 65.056, 28.129
578.469, 65.100, 26.645
586.883, 65.273, 27.519
595.419, 65.045, 28.813
604.080, 65.326, 29.401
612.866, 65.248, 29.909
621.780, 65.519, 30.132
630.824, 65.349, 30.823
640.000, 65.642, 31.572
649.309, 65.839, 30.943
658.753, 65.836, 30.836
668.335, 65.992, 30.503
678.056, 66.053, 30.631
687.919, 66.135, 30.633
697.925, 66.183, 31.126
708.076, 66.109, 31.716
718.376, 66.367, 32.144
728.825, 66.471, 32.402
739.426, 66.628, 32.233
750.181, 66.896, 32.149
761.093, 67.039, 31.982
772.163, 67.092, 31.239
783.394, 67.150, 30.354
794.789, 67.230, 31.502
806.349, 67.343, 29.604
818.078, 67.387, 30.556
829.977, 67.539, 29.174
842.050, 67.646, 30.065
854.297, 67.859, 29.429
866.724, 67.778, 28.800
879.330, 67.917, 28.441
892.120, 67.843, 28.733
905.097, 67.980, 28.627
918.262, 68.006, 28.400
931.618, 68.267, 27.931
945.169, 68.320, 29.034
958.917, 68.360, 28.573
972.864, 68.521, 26.332
987.015, 68.651, 26.100
1001.371, 68.569, 26.921
1015.937, 68.549, 25.891
1030.714, 68.892, 25.303
