* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -3.0 dBFS  With no timing reference
* Dated: 19 Sep, 2020 4:07:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 19 16:07:11
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 62.540, -89.205
10.293, 62.564, -90.607
10.443, 62.587, -92.090
10.595, 62.608, -93.306
10.749, 62.628, -94.460
10.905, 62.654, -95.577
11.064, 62.681, -96.656
11.225, 62.710, -97.732
11.388, 62.739, -98.791
11.554, 62.763, -99.827
11.722, 62.783, -100.830
11.892, 62.800, -101.756
12.065, 62.815, -102.601
12.241, 62.837, -103.334
12.419, 62.868, -103.968
12.599, 62.919, -104.529
12.782, 62.991, -105.061
12.968, 63.089, -105.634
13.157, 63.203, -106.303
13.348, 63.333, -107.124
13.543, 63.459, -108.106
13.740, 63.578, -109.254
13.939, 63.673, -110.497
14.142, 63.745, -111.786
14.348, 63.788, -113.038
14.557, 63.812, -114.173
14.768, 63.820, -115.155
14.983, 63.829, -115.955
15.201, 63.848, -116.614
15.422, 63.885, -117.162
15.646, 63.942, -117.697
15.874, 64.015, -118.262
16.105, 64.100, -118.902
16.339, 64.186, -119.627
16.577, 64.271, -120.418
16.818, 64.350, -121.261
17.063, 64.424, -122.130
17.311, 64.493, -123.025
17.563, 64.556, -123.948
17.818, 64.612, -124.898
18.077, 64.657, -125.860
18.340, 64.689, -126.795
18.607, 64.711, -127.664
18.877, 64.731, -128.439
19.152, 64.756, -129.117
19.431, 64.796, -129.755
19.713, 64.851, -130.430
20.000, 64.912, -131.196
20.291, 64.967, -132.062
20.586, 65.007, -132.980
20.885, 65.029, -133.862
21.189, 65.040, -134.634
21.497, 65.057, -135.297
21.810, 65.086, -135.931
22.127, 65.120, -136.630
22.449, 65.141, -137.409
22.776, 65.133, -138.152
23.107, 65.098, -138.652
23.443, 65.072, -138.756
23.784, 65.107, -138.546
24.130, 65.236, -138.400
