* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 7:14:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 19:14:08
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 67.881, -50.215
10.293, 68.021, -51.594
10.443, 68.162, -53.119
10.595, 68.300, -54.498
10.749, 68.433, -55.886
10.905, 68.561, -57.292
11.064, 68.684, -58.706
11.225, 68.798, -60.115
11.388, 68.904, -61.514
11.554, 69.002, -62.872
11.722, 69.094, -64.189
11.892, 69.182, -65.439
12.065, 69.268, -66.625
12.241, 69.358, -67.750
12.419, 69.453, -68.824
12.599, 69.556, -69.878
12.782, 69.666, -70.926
12.968, 69.781, -72.002
13.157, 69.898, -73.103
13.348, 70.012, -74.241
13.543, 70.121, -75.380
13.740, 70.224, -76.509
13.939, 70.322, -77.574
14.142, 70.420, -78.572
14.348, 70.524, -79.478
14.557, 70.644, -80.341
14.768, 70.783, -81.187
14.983, 70.940, -82.114
15.201, 71.109, -83.167
15.422, 71.281, -84.392
15.646, 71.437, -85.776
15.874, 71.569, -87.254
16.105, 71.670, -88.755
16.339, 71.742, -90.132
16.577, 71.801, -91.324
16.818, 71.859, -92.293
17.063, 71.943, -93.085
17.311, 72.062, -93.866
17.563, 72.208, -94.767
17.818, 72.369, -95.919
18.077, 72.509, -97.352
18.340, 72.603, -98.926
18.607, 72.644, -100.441
18.877, 72.639, -101.679
19.152, 72.620, -102.448
19.431, 72.643, -102.760
19.713, 72.747, -102.900
20.000, 72.932, -103.247
20.291, 73.165, -104.121
20.586, 73.384, -105.635
20.885, 73.531, -107.620
21.189, 73.575, -109.691
21.497, 73.528, -111.399
21.810, 73.448, -112.446
22.127, 73.410, -112.862
22.449, 73.469, -113.041
22.776, 73.618, -113.520
23.107, 73.795, -114.636
23.443, 73.921, -116.330
23.784, 73.948, -118.213
24.130, 73.878, -119.779
24.481, 73.769, -120.667
24.837, 73.701, -120.879
25.198, 73.729, -120.805
25.565, 73.846, -120.953
25.937, 73.996, -121.595
26.314, 74.121, -122.648
26.697, 74.194, -123.816
27.085, 74.232, -124.835
27.479, 74.271, -125.641
27.879, 74.334, -126.381
28.284, 74.416, -127.248
28.696, 74.490, -128.304
29.113, 74.533, -129.430
29.537, 74.551, -130.427
29.966, 74.575, -131.224
30.402, 74.632, -131.975
30.844, 74.715, -132.960
31.293, 74.773, -134.276
31.748, 74.762, -135.665
32.210, 74.693, -136.666
32.678, 74.640, -137.043
33.154, 74.682, -137.117
33.636, 74.815, -137.552
34.125, 74.949, -138.652
34.621, 75.008, -140.099
35.125, 74.988, -141.329
35.636, 74.950, -142.070
36.154, 74.956, -142.474
36.680, 75.021, -142.888
37.214, 75.123, -143.591
37.755, 75.220, -144.707
38.304, 75.263, -146.143
38.861, 75.228, -147.522
39.427, 75.152, -148.454
40.000, 75.112, -148.944
40.582, 75.144, -149.485
41.172, 75.195, -150.438
41.771, 75.201, -151.622
42.379, 75.168, -152.598
42.995, 75.160, -153.285
43.620, 75.201, -154.077
44.255, 75.236, -155.180
44.898, 75.229, -156.288
45.552, 75.219, -157.174
46.214, 75.231, -158.125
46.886, 75.207, -159.254
47.568, 75.132, -160.091
48.260, 75.087, -160.505
48.962, 75.097, -161.040
49.674, 75.093, -161.848
50.397, 75.061, -162.607
51.130, 75.035, -163.314
51.874, 75.003, -164.089
52.628, 74.954, -164.831
53.394, 74.899, -165.423
54.170, 74.864, -165.831
54.958, 74.871, -166.283
55.758, 74.875, -166.968
56.569, 74.842, -167.506
57.391, 74.839, -167.635
58.226, 74.923, -167.781
59.073, 75.047, -168.512
59.932, 75.109, -169.700
60.804, 75.115, -170.770
61.688, 75.129, -171.828
62.586, 75.127, -173.199
63.496, 75.050, -174.778
64.420, 74.900, -175.864
65.357, 74.840, -176.478
