* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 17 Feb, 2021 5:08:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Feb 17 17:08:05
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 69.159, -79.872
10.293, 69.230, -80.592
10.443, 69.303, -81.552
10.595, 69.413, -82.797
10.749, 69.527, -84.082
10.905, 69.612, -85.031
11.064, 69.688, -85.853
11.225, 69.775, -86.793
11.388, 69.869, -87.781
11.554, 69.960, -88.738
11.722, 70.049, -89.680
11.892, 70.136, -90.623
12.065, 70.219, -91.569
12.241, 70.299, -92.533
12.419, 70.375, -93.499
12.599, 70.445, -94.413
12.782, 70.509, -95.288
12.968, 70.573, -96.130
13.157, 70.637, -96.924
13.348, 70.703, -97.655
13.543, 70.776, -98.357
13.740, 70.856, -99.038
13.939, 70.944, -99.729
14.142, 71.038, -100.440
14.348, 71.138, -101.193
14.557, 71.238, -101.996
14.768, 71.338, -102.850
14.983, 71.433, -103.741
15.201, 71.522, -104.659
15.422, 71.606, -105.595
15.646, 71.683, -106.529
15.874, 71.755, -107.456
16.105, 71.822, -108.370
16.339, 71.884, -109.266
16.577, 71.943, -110.134
16.818, 71.998, -110.970
17.063, 72.051, -111.760
17.311, 72.106, -112.501
17.563, 72.166, -113.202
17.818, 72.233, -113.878
18.077, 72.310, -114.565
18.340, 72.393, -115.300
18.607, 72.478, -116.107
18.877, 72.558, -116.988
19.152, 72.625, -117.923
19.431, 72.676, -118.855
19.713, 72.714, -119.725
20.000, 72.744, -120.495
20.291, 72.778, -121.162
20.586, 72.823, -121.761
20.885, 72.882, -122.362
21.189, 72.950, -123.030
21.497, 73.015, -123.788
21.810, 73.068, -124.597
22.127, 73.106, -125.378
22.449, 73.136, -126.059
22.776, 73.172, -126.622
23.107, 73.226, -127.128
23.443, 73.302, -127.685
23.784, 73.387, -128.387
24.130, 73.464, -129.246
24.481, 73.517, -130.179
24.837, 73.547, -131.056
25.198, 73.568, -131.790
25.565, 73.599, -132.401
25.937, 73.647, -132.999
26.314, 73.706, -133.695
26.697, 73.753, -134.499
27.085, 73.776, -135.301
27.479, 73.782, -135.952
27.879, 73.794, -136.401
28.284, 73.834, -136.750
28.696, 73.902, -137.180
29.113, 73.976, -137.799
29.537, 74.029, -138.548
29.966, 74.055, -139.261
30.402, 74.071, -139.817
30.844, 74.099, -140.230
31.293, 74.151, -140.633
31.748, 74.219, -141.150
32.210, 74.286, -141.819
32.678, 74.338, -142.590
33.154, 74.370, -143.380
33.636, 74.388, -144.106
34.125, 74.403, -144.738
34.621, 74.428, -145.318
35.125, 74.462, -145.942
35.636, 74.492, -146.645
36.154, 74.506, -147.345
36.680, 74.514, -147.932
37.214, 74.537, -148.420
37.755, 74.582, -148.960
38.304, 74.629, -149.649
38.861, 74.660, -150.411
39.427, 74.677, -151.128
40.000, 74.694, -151.789
40.582, 74.712, -152.460
41.172, 74.724, -153.128
41.771, 74.733, -153.747
42.379, 74.747, -154.344
42.995, 74.760, -154.971
43.620, 74.766, -155.593
44.255, 74.770, -156.164
44.898, 74.778, -156.718
45.552, 74.787, -157.289
46.214, 74.793, -157.858
46.886, 74.798, -158.420
47.568, 74.799, -158.964
48.260, 74.804, -159.446
48.962, 74.824, -159.944
49.674, 74.843, -160.590
50.397, 74.833, -161.271
51.130, 74.809, -161.773
51.874, 74.801, -162.151
52.628, 74.805, -162.580
53.394, 74.801, -163.039
54.170, 74.792, -163.433
54.958, 74.794, -163.772
55.758, 74.809, -164.158
56.569, 74.821, -164.624
57.391, 74.826, -165.045
58.226, 74.849, -165.408
59.073, 74.887, -165.913
59.932, 74.907, -166.466
60.804, 74.939, -166.900
61.688, 74.992, -167.554
62.586, 74.997, -168.375
63.496, 74.977, -168.872
64.420, 74.993, -169.288
65.357, 75.011, -169.838
66.307, 75.028, -170.390
67.272, 75.049, -171.021
68.250, 75.065, -171.685
69.243, 75.084, -172.444
70.250, 75.078, -173.308
71.272, 75.050, -174.062
72.309, 75.028, -174.784
73.360, 74.988, -175.589
74.427, 74.926, -176.221
75.510, 74.892, -176.794
76.608, 74.844, -177.563
77.723, 74.770, -178.137
78.853, 74.725, -178.658
80.000, 74.658, -179.299
81.164, 74.578, -179.750
82.344, 74.505, 179.858
83.542, 74.438, 179.498
84.757, 74.374, 179.114
85.990, 74.311, 178.682
87.241, 74.223, 178.294
88.510, 74.146, 178.137
89.797, 74.083, 177.901
91.103, 74.003, 177.693
92.428, 73.927, 177.581
93.773, 73.855, 177.458
95.137, 73.778, 177.402
96.520, 73.708, 177.489
97.924, 73.640, 177.657
99.349, 73.601, 177.942
100.794, 73.545, 178.035
102.260, 73.500, 178.353
103.747, 73.463, 178.612
105.256, 73.465, 179.004
106.787, 73.484, 179.282
108.340, 73.513, 179.531
109.916, 73.541, 179.885
111.515, 73.608, -179.895
113.137, 73.648, -179.775
114.783, 73.727, -179.508
116.452, 73.838, -179.507
118.146, 73.922, -179.711
119.865, 73.997, -179.831
121.608, 74.074, 179.964
123.377, 74.151, 179.652
125.171, 74.227, 179.323
126.992, 74.319, 178.957
128.839, 74.430, 178.575
130.713, 74.565, 178.021
132.615, 74.707, 177.145
134.543, 74.840, 175.733
136.500, 74.895, 173.741
138.486, 74.807, 171.491
140.500, 74.534, 169.870
142.544, 74.209, 169.695
144.617, 73.994, 170.567
146.721, 73.927, 171.631
148.855, 73.963, 172.467
151.020, 74.048, 172.891
153.217, 74.147, 173.045
155.445, 74.258, 172.978
157.706, 74.358, 172.670
160.000, 74.445, 172.271
162.327, 74.525, 171.796
164.688, 74.604, 171.241
167.084, 74.680, 170.602
169.514, 74.745, 169.888
171.980, 74.804, 169.180
174.481, 74.862, 168.437
177.019, 74.920, 167.613
179.594, 74.971, 166.653
182.206, 75.008, 165.716
184.856, 75.053, 164.823
187.545, 75.093, 163.758
190.273, 75.131, 162.647
193.041, 75.171, 161.409
195.849, 75.189, 159.883
198.697, 75.158, 157.956
201.587, 74.939, 155.923
204.520, 74.570, 155.807
207.494, 74.533, 157.351
210.512, 74.789, 157.250
213.574, 74.969, 155.241
216.681, 74.922, 152.456
219.833, 74.611, 150.508
223.030, 74.298, 150.667
226.274, 74.246, 151.340
229.565, 74.307, 151.106
232.905, 74.359, 150.235
236.292, 74.374, 149.094
239.729, 74.347, 147.970
243.216, 74.302, 146.741
246.754, 74.242, 145.514
250.343, 74.177, 144.314
253.984, 74.101, 143.062
257.678, 74.019, 141.794
261.426, 73.930, 140.510
265.229, 73.814, 139.133
269.087, 73.684, 137.798
273.001, 73.543, 136.439
276.972, 73.387, 135.023
281.000, 73.206, 133.590
285.088, 73.000, 132.212
289.234, 72.767, 130.814
293.441, 72.487, 129.478
297.710, 72.132, 128.553
302.040, 71.764, 128.584
306.433, 71.587, 129.282
310.890, 71.556, 129.042
315.412, 71.464, 127.779
320.000, 71.269, 126.291
324.655, 71.011, 124.943
329.377, 70.717, 123.806
334.168, 70.397, 122.889
339.028, 70.056, 122.173
343.959, 69.709, 121.650
348.962, 69.369, 121.193
354.038, 69.005, 120.736
359.188, 68.574, 120.586
364.412, 68.127, 121.444
369.713, 67.891, 122.566
375.090, 67.678, 122.424
380.546, 67.359, 122.219
386.081, 66.977, 122.313
391.697, 66.600, 122.638
397.395, 66.202, 123.113
403.175, 65.813, 123.855
409.039, 65.406, 124.778
414.989, 65.002, 126.106
421.025, 64.592, 127.551
427.149, 64.163, 129.395
433.362, 63.796, 131.628
439.665, 63.454, 134.128
446.060, 63.169, 136.699
452.548, 62.894, 139.372
459.131, 62.676, 142.322
465.809, 62.508, 145.499
472.584, 62.364, 148.732
479.458, 62.300, 151.753
486.432, 62.312, 154.846
493.507, 62.362, 157.597
500.686, 62.452, 160.221
507.968, 62.550, 162.574
515.357, 62.685, 164.937
522.853, 62.822, 167.106
530.458, 62.976, 168.998
538.174, 63.137, 170.711
546.002, 63.322, 172.299
553.943, 63.504, 173.589
562.001, 63.678, 174.792
570.175, 63.860, 175.838
578.469, 64.036, 176.798
586.883, 64.214, 177.579
595.419, 64.379, 178.273
604.080, 64.538, 178.888
612.866, 64.698, 179.400
621.780, 64.857, 179.820
630.824, 65.005, -179.841
640.000, 65.144, -179.566
649.309, 65.274, -179.393
658.753, 65.393, -179.293
668.335, 65.508, -179.237
678.056, 65.610, -179.224
687.919, 65.704, -179.267
697.925, 65.784, -179.344
708.076, 65.857, -179.425
718.376, 65.921, -179.510
728.825, 65.977, -179.635
739.426, 66.023, -179.767
750.181, 66.056, -179.877
761.093, 66.080, -179.986
772.163, 66.102, 179.941
783.394, 66.120, 179.886
794.789, 66.135, 179.865
806.349, 66.148, 179.840
818.078, 66.156, 179.767
829.977, 66.153, 179.676
842.050, 66.140, 179.601
854.297, 66.116, 179.552
866.724, 66.082, 179.611
879.330, 66.060, 179.743
892.120, 66.051, 179.744
905.097, 66.014, 179.625
918.262, 65.944, 179.530
931.618, 65.847, 179.501
945.169, 65.711, 179.599
958.917, 65.513, -179.831
972.864, 65.346, -178.039
987.015, 65.465, -176.303
1001.371, 65.528, -176.573
1015.937, 65.308, -176.401
1030.714, 65.021, -174.266
1045.706, 65.012, -169.941
1060.916, 65.573, -166.751
1076.347, 66.107, -167.109
1092.003, 66.348, -168.374
1107.887, 66.440, -169.265
1124.001, 66.480, -169.764
1140.350, 66.506, -170.013
1156.937, 66.527, -170.100
1173.765, 66.548, -170.080
1190.838, 66.571, -170.002
1208.159, 66.594, -169.889
1225.732, 66.614, -169.744
1243.561, 66.630, -169.562
1261.649, 66.635, -169.210
1280.000, 66.706, -168.641
1298.618, 66.769, -168.623
1317.507, 66.790, -168.383
1336.670, 66.831, -167.993
1356.113, 66.897, -167.591
1375.838, 66.986, -167.302
1395.850, 67.083, -167.214
1416.153, 67.163, -167.326
1436.751, 67.211, -167.558
1457.649, 67.213, -167.672
1478.851, 67.210, -167.407
1500.362, 67.254, -166.896
1522.185, 67.354, -166.467
1544.326, 67.470, -166.352
1566.789, 67.572, -166.450
1589.578, 67.657, -166.649
1612.699, 67.733, -166.888
1636.156, 67.797, -167.217
1659.955, 67.844, -167.583
1684.099, 67.875, -167.946
1708.595, 67.890, -168.317
1733.447, 67.881, -168.635
1758.661, 67.859, -168.782
1784.241, 67.849, -168.777
1810.193, 67.854, -168.752
1836.523, 67.862, -168.734
1863.236, 67.864, -168.722
1890.338, 67.869, -168.704
1917.833, 67.872, -168.692
1945.729, 67.873, -168.654
1974.030, 67.874, -168.575
2002.743, 67.879, -168.454
2031.873, 67.885, -168.282
2061.428, 67.897, -168.079
2091.412, 67.915, -167.889
2121.832, 67.941, -167.727
2152.695, 67.972, -167.598
2184.007, 68.002, -167.516
2215.774, 68.018, -167.455
2248.003, 68.007, -167.221
2280.701, 68.045, -166.638
2313.874, 68.140, -166.345
2347.530, 68.216, -166.329
2381.676, 68.278, -166.334
2416.318, 68.335, -166.323
2451.464, 68.398, -166.340
2487.122, 68.466, -166.382
2523.298, 68.537, -166.449
2560.000, 68.612, -166.556
2597.236, 68.693, -166.736
2635.014, 68.776, -167.025
2673.341, 68.858, -167.418
2712.226, 68.933, -167.918
2751.676, 69.004, -168.556
2791.700, 69.064, -169.330
2832.306, 69.106, -170.222
2873.503, 69.128, -171.205
2915.299, 69.126, -172.269
2957.703, 69.099, -173.405
3000.724, 69.043, -174.578
3044.370, 68.963, -175.799
3088.652, 68.850, -177.065
3133.577, 68.691, -178.349
3179.156, 68.484, -179.527
3225.398, 68.255, 179.405
3272.312, 67.982, 178.164
3319.909, 67.611, 176.984
3368.198, 67.157, 176.216
3417.190, 66.631, 175.869
3466.894, 66.001, 176.155
3517.321, 65.296, 177.892
3568.482, 64.756, -179.246
3620.387, 64.227, -177.008
3673.046, 63.526, -173.135
3726.472, 62.993, -167.464
3780.675, 62.649, -161.088
3835.666, 62.418, -154.084
3891.457, 62.360, -145.802
3948.060, 62.656, -136.509
4005.486, 63.382, -127.532
4063.747, 64.452, -119.330
4122.855, 66.003, -112.766
4182.824, 67.783, -110.137
4243.664, 69.446, -111.223
4305.390, 70.837, -114.967
4368.013, 71.891, -120.114
4431.547, 72.648, -125.643
4496.005, 73.169, -130.895
4561.401, 73.604, -135.259
4627.749, 74.099, -140.116
4695.061, 74.434, -146.046
4763.352, 74.517, -152.409
4832.637, 74.304, -157.867
4902.929, 74.005, -161.718
4974.244, 73.718, -164.497
5046.596, 73.527, -166.629
5120.000, 73.388, -169.089
5194.472, 73.150, -171.936
5270.027, 72.714, -173.704
5346.682, 72.456, -173.316
5424.451, 72.563, -173.939
5503.352, 72.576, -177.113
5583.399, 72.190, 179.579
5664.612, 71.614, 178.696
5747.006, 71.279, 179.175
5830.598, 70.994, 178.966
5915.406, 70.629, 179.622
6001.447, 70.464, -178.653
6088.740, 70.456, -178.143
6177.303, 70.345, -177.896
6267.154, 70.220, -177.228
6358.312, 70.164, -175.910
6450.796, 70.286, -174.775
6544.625, 70.454, -174.497
6639.818, 70.601, -174.691
6736.397, 70.795, -175.002
6834.380, 70.962, -176.412
6933.789, 70.996, -177.651
