* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 17 Feb, 2021 5:03:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Feb 17 17:03:51
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 69.969, -82.375
10.293, 70.054, -83.098
10.443, 70.142, -84.119
10.595, 70.274, -85.514
10.749, 70.404, -87.036
10.905, 70.490, -88.344
11.064, 70.550, -89.604
11.225, 70.602, -90.980
11.388, 70.640, -92.397
11.554, 70.655, -93.684
11.722, 70.651, -94.853
11.892, 70.639, -95.841
12.065, 70.622, -96.653
12.241, 70.618, -97.296
12.419, 70.629, -97.781
12.599, 70.667, -98.141
12.782, 70.734, -98.443
12.968, 70.837, -98.804
13.157, 70.964, -99.271
13.348, 71.111, -99.899
13.543, 71.262, -100.715
13.740, 71.410, -101.729
13.939, 71.540, -102.879
14.142, 71.648, -104.120
14.348, 71.728, -105.373
14.557, 71.786, -106.552
14.768, 71.825, -107.614
14.983, 71.858, -108.492
15.201, 71.896, -109.205
15.422, 71.949, -109.760
15.646, 72.029, -110.247
15.874, 72.133, -110.736
16.105, 72.262, -111.302
16.339, 72.404, -112.023
16.577, 72.545, -112.904
16.818, 72.678, -113.941
17.063, 72.788, -115.084
17.311, 72.874, -116.256
17.563, 72.936, -117.398
17.818, 72.977, -118.451
18.077, 73.008, -119.375
18.340, 73.036, -120.175
18.607, 73.068, -120.879
18.877, 73.110, -121.528
19.152, 73.160, -122.172
19.431, 73.215, -122.851
19.713, 73.268, -123.572
20.000, 73.315, -124.322
20.291, 73.353, -125.073
20.586, 73.385, -125.792
20.885, 73.415, -126.459
21.189, 73.449, -127.075
21.497, 73.492, -127.671
21.810, 73.546, -128.293
22.127, 73.609, -128.986
22.449, 73.674, -129.780
22.776, 73.733, -130.672
23.107, 73.779, -131.632
23.443, 73.808, -132.603
23.784, 73.822, -133.524
24.130, 73.826, -134.339
24.481, 73.831, -135.026
24.837, 73.848, -135.599
25.198, 73.884, -136.118
25.565, 73.940, -136.665
25.937, 74.008, -137.311
26.314, 74.074, -138.081
26.697, 74.123, -138.935
27.085, 74.151, -139.776
27.479, 74.162, -140.505
27.879, 74.171, -141.083
28.284, 74.193, -141.561
28.696, 74.231, -142.043
29.113, 74.275, -142.607
29.537, 74.310, -143.235
29.966, 74.333, -143.842
30.402, 74.354, -144.369
30.844, 74.387, -144.856
31.293, 74.432, -145.414
31.748, 74.474, -146.095
32.210, 74.499, -146.820
32.678, 74.509, -147.447
33.154, 74.529, -147.934
33.636, 74.576, -148.404
34.125, 74.641, -149.022
34.621, 74.699, -149.817
35.125, 74.734, -150.672
35.636, 74.753, -151.470
36.154, 74.768, -152.203
36.680, 74.782, -152.925
37.214, 74.788, -153.640
37.755, 74.785, -154.293
38.304, 74.784, -154.871
38.861, 74.791, -155.442
39.427, 74.798, -156.064
40.000, 74.796, -156.705
40.582, 74.788, -157.283
41.172, 74.787, -157.802
41.771, 74.799, -158.359
42.379, 74.808, -159.010
42.995, 74.802, -159.660
43.620, 74.794, -160.205
44.255, 74.800, -160.729
44.898, 74.805, -161.353
45.552, 74.788, -161.960
46.214, 74.770, -162.365
46.886, 74.789, -162.761
47.568, 74.811, -163.487
48.260, 74.766, -164.320
48.962, 74.677, -164.651
49.674, 74.650, -164.487
50.397, 74.711, -164.502
51.130, 74.779, -164.974
51.874, 74.811, -165.573
52.628, 74.827, -166.095
53.394, 74.840, -166.550
54.170, 74.861, -166.919
54.958, 74.904, -167.335
55.758, 74.948, -167.940
56.569, 74.976, -168.617
57.391, 75.005, -169.328
58.226, 75.030, -170.195
59.073, 75.032, -171.143
59.932, 75.023, -172.044
60.804, 75.012, -172.988
61.688, 74.974, -173.959
62.586, 74.918, -174.718
63.496, 74.879, -175.367
64.420, 74.833, -176.082
65.357, 74.770, -176.709
66.307, 74.704, -177.289
67.272, 74.628, -177.788
68.250, 74.572, -178.189
69.243, 74.529, -178.771
70.250, 74.460, -179.417
71.272, 74.379, -179.953
72.309, 74.296, 179.642
73.360, 74.235, 179.348
74.427, 74.183, 178.845
75.510, 74.080, 178.333
76.608, 73.982, 178.165
77.723, 73.920, 177.891
78.853, 73.839, 177.502
80.000, 73.747, 177.201
81.164, 73.652, 177.041
82.344, 73.577, 176.948
83.542, 73.485, 176.779
84.757, 73.376, 176.854
85.990, 73.298, 176.993
87.241, 73.214, 177.035
88.510, 73.137, 177.223
89.797, 73.074, 177.378
91.103, 73.011, 177.687
92.428, 72.957, 178.057
93.773, 72.909, 178.622
95.137, 72.883, 179.108
96.520, 72.853, 179.563
97.924, 72.851, 179.998
99.349, 72.843, -179.742
100.794, 72.859, -179.011
102.260, 72.952, -178.515
103.747, 73.027, -178.140
105.256, 73.104, -177.742
106.787, 73.195, -177.447
108.340, 73.295, -177.250
109.916, 73.406, -177.227
111.515, 73.518, -177.173
113.137, 73.639, -177.301
114.783, 73.741, -177.478
116.452, 73.854, -177.695
118.146, 73.976, -178.100
119.865, 74.109, -178.537
121.608, 74.250, -179.106
123.377, 74.387, -179.788
125.171, 74.544, 179.339
126.992, 74.720, 177.871
128.839, 74.860, 175.534
130.713, 74.825, 172.198
132.615, 74.406, 169.183
134.543, 73.728, 169.293
136.500, 73.360, 172.329
138.486, 73.410, 174.999
140.500, 73.612, 176.345
142.544, 73.828, 176.686
144.617, 74.017, 176.477
146.721, 74.166, 176.103
148.855, 74.307, 175.631
151.020, 74.417, 175.036
153.217, 74.518, 174.387
155.445, 74.603, 173.645
157.706, 74.686, 172.867
160.000, 74.755, 172.041
162.327, 74.818, 171.188
164.688, 74.870, 170.291
167.084, 74.916, 169.403
169.514, 74.952, 168.515
171.980, 74.988, 167.533
174.481, 75.014, 166.531
177.019, 75.049, 165.517
179.594, 75.080, 164.444
182.206, 75.093, 163.396
184.856, 75.113, 162.217
187.545, 75.105, 160.943
190.273, 75.094, 159.558
193.041, 75.058, 157.852
195.849, 74.908, 155.766
198.697, 74.503, 155.136
201.587, 74.413, 157.079
204.520, 74.654, 156.929
207.494, 74.780, 155.355
210.512, 74.816, 153.403
213.574, 74.729, 150.907
216.681, 74.293, 149.418
219.833, 74.170, 151.366
223.030, 74.364, 150.727
226.274, 74.406, 149.180
229.565, 74.374, 147.636
232.905, 74.300, 146.200
236.292, 74.207, 144.761
239.729, 74.103, 143.372
243.216, 73.977, 141.993
246.754, 73.835, 140.688
250.343, 73.687, 139.397
253.984, 73.528, 138.160
257.678, 73.367, 136.912
261.426, 73.193, 135.664
265.229, 72.992, 134.468
269.087, 72.779, 133.270
273.001, 72.559, 132.050
276.972, 72.308, 130.723
281.000, 71.986, 129.593
285.088, 71.637, 129.188
289.234, 71.403, 129.256
293.441, 71.233, 128.686
297.710, 71.002, 127.787
302.040, 70.737, 126.919
306.433, 70.436, 126.153
310.890, 70.112, 125.565
315.412, 69.778, 125.090
320.000, 69.430, 124.749
324.655, 69.072, 124.554
329.377, 68.709, 124.542
334.168, 68.331, 124.720
339.028, 67.946, 125.102
343.959, 67.565, 125.665
348.962, 67.198, 126.505
354.038, 66.854, 127.790
359.188, 66.610, 128.901
364.412, 66.332, 129.440
369.713, 66.003, 130.106
375.090, 65.638, 131.145
380.546, 65.274, 132.492
386.081, 64.910, 134.096
391.697, 64.588, 136.005
397.395, 64.290, 138.128
403.175, 64.011, 140.405
409.039, 63.771, 142.784
414.989, 63.577, 145.381
421.025, 63.405, 148.026
427.149, 63.288, 150.770
433.362, 63.215, 153.443
439.665, 63.185, 156.094
446.060, 63.184, 158.553
452.548, 63.205, 160.996
459.131, 63.258, 163.436
465.809, 63.327, 165.670
472.584, 63.436, 167.681
479.458, 63.557, 169.626
486.432, 63.691, 171.398
493.507, 63.837, 173.022
500.686, 63.990, 174.487
507.968, 64.149, 175.790
515.357, 64.313, 176.933
522.853, 64.474, 177.991
530.458, 64.635, 178.921
538.174, 64.785, 179.765
546.002, 64.937, -179.553
553.943, 65.086, -178.962
562.001, 65.225, -178.390
570.175, 65.358, -177.889
578.469, 65.486, -177.484
586.883, 65.606, -177.137
595.419, 65.725, -176.830
604.080, 65.833, -176.574
612.866, 65.939, -176.340
621.780, 66.040, -176.150
630.824, 66.129, -175.998
640.000, 66.218, -175.863
649.309, 66.302, -175.765
658.753, 66.378, -175.676
668.335, 66.452, -175.611
678.056, 66.522, -175.544
687.919, 66.587, -175.518
697.925, 66.643, -175.547
708.076, 66.697, -175.551
718.376, 66.743, -175.582
728.825, 66.781, -175.622
739.426, 66.814, -175.667
750.181, 66.841, -175.734
761.093, 66.857, -175.792
772.163, 66.861, -175.797
783.394, 66.867, -175.670
794.789, 66.901, -175.561
806.349, 66.925, -175.690
818.078, 66.915, -175.832
829.977, 66.888, -175.873
842.050, 66.847, -175.785
854.297, 66.806, -175.489
866.724, 66.801, -175.093
879.330, 66.820, -174.956
892.120, 66.804, -175.017
905.097, 66.746, -175.038
918.262, 66.649, -174.921
931.618, 66.507, -174.500
945.169, 66.326, -173.370
958.917, 66.243, -170.885
972.864, 66.532, -168.614
987.015, 66.800, -169.136
1001.371, 66.722, -169.503
1015.937, 66.652, -168.086
1030.714, 66.797, -166.386
1045.706, 67.054, -165.415
1060.916, 67.329, -165.418
1076.347, 67.508, -166.100
1092.003, 67.590, -166.766
1107.887, 67.629, -167.208
1124.001, 67.651, -167.473
1140.350, 67.667, -167.607
1156.937, 67.680, -167.663
1173.765, 67.694, -167.661
1190.838, 67.708, -167.623
1208.159, 67.721, -167.551
1225.732, 67.731, -167.442
1243.561, 67.736, -167.282
1261.649, 67.736, -166.956
1280.000, 67.799, -166.546
1298.618, 67.841, -166.576
1317.507, 67.857, -166.402
1336.670, 67.890, -166.177
1356.113, 67.934, -166.043
1375.838, 67.968, -166.128
1395.850, 67.929, -166.288
1416.153, 67.841, -165.753
1436.751, 67.825, -164.701
1457.649, 67.909, -163.500
