* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 10 Dec, 2021 5:14:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dec 10 17:14:52
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 62.727, -88.860
10.293, 62.756, -89.617
10.443, 62.787, -90.623
10.595, 62.837, -91.923
10.749, 62.891, -93.268
10.905, 62.938, -94.276
11.064, 62.983, -95.167
11.225, 63.032, -96.216
11.388, 63.081, -97.340
11.554, 63.125, -98.432
11.722, 63.164, -99.505
11.892, 63.198, -100.549
12.065, 63.226, -101.564
12.241, 63.251, -102.554
12.419, 63.274, -103.507
12.599, 63.299, -104.380
12.782, 63.326, -105.201
12.968, 63.359, -106.002
13.157, 63.399, -106.784
13.348, 63.446, -107.550
13.543, 63.499, -108.336
13.740, 63.556, -109.150
13.939, 63.615, -110.000
14.142, 63.673, -110.885
14.348, 63.729, -111.801
14.557, 63.779, -112.739
14.768, 63.824, -113.693
14.983, 63.862, -114.642
15.201, 63.893, -115.580
15.422, 63.917, -116.498
15.646, 63.936, -117.382
15.874, 63.951, -118.228
16.105, 63.962, -119.031
16.339, 63.971, -119.790
16.577, 63.980, -120.513
16.818, 63.989, -121.204
17.063, 63.998, -121.875
17.311, 64.005, -122.529
17.563, 64.008, -123.164
17.818, 64.008, -123.770
18.077, 64.003, -124.328
18.340, 63.997, -124.826
18.607, 63.993, -125.266
18.877, 63.993, -125.659
19.152, 64.001, -126.036
19.431, 64.013, -126.434
19.713, 64.024, -126.868
20.000, 64.028, -127.327
20.291, 64.019, -127.772
20.586, 63.999, -128.154
20.885, 63.970, -128.426
21.189, 63.942, -128.571
21.497, 63.919, -128.601
21.810, 63.905, -128.538
22.127, 63.897, -128.374
22.449, 63.900, -128.068
22.776, 63.924, -127.572
23.107, 63.991, -126.895
23.443, 64.126, -126.165
23.784, 64.337, -125.617
24.130, 64.609, -125.516
24.481, 64.904, -126.029
24.837, 65.176, -127.160
25.198, 65.392, -128.764
25.565, 65.531, -130.616
25.937, 65.596, -132.497
26.314, 65.599, -134.234
26.697, 65.558, -135.725
27.085, 65.496, -136.942
27.479, 65.431, -137.922
27.879, 65.371, -138.747
28.284, 65.318, -139.500
28.696, 65.262, -140.218
29.113, 65.195, -140.874
29.537, 65.118, -141.399
29.966, 65.042, -141.758
30.402, 64.978, -141.989
30.844, 64.926, -142.173
31.293, 64.880, -142.353
31.748, 64.831, -142.513
32.210, 64.780, -142.623
32.678, 64.728, -142.692
33.154, 64.670, -142.731
33.636, 64.601, -142.698
34.125, 64.522, -142.514
34.621, 64.446, -142.153
35.125, 64.380, -141.664
35.636, 64.322, -141.075
36.154, 64.267, -140.331
36.680, 64.228, -139.368
37.214, 64.222, -138.223
37.755, 64.255, -136.984
38.304, 64.322, -135.654
38.861, 64.437, -134.180
39.427, 64.630, -132.645
40.000, 64.920, -131.335
40.582, 65.283, -130.592
41.172, 65.668, -130.604
41.771, 66.018, -131.341
42.379, 66.285, -132.570
42.995, 66.448, -133.874
43.620, 66.537, -134.825
44.255, 66.621, -135.286
44.898, 66.753, -135.515
45.552, 66.931, -135.879
46.214, 67.120, -136.506
46.886, 67.300, -137.332
47.568, 67.470, -138.317
48.260, 67.622, -139.461
48.962, 67.745, -140.719
49.674, 67.834, -141.976
50.397, 67.904, -143.107
51.130, 67.982, -144.171
51.874, 68.062, -145.385
52.628, 68.107, -146.718
53.394, 68.122, -147.936
54.170, 68.134, -149.108
54.958, 68.124, -150.343
55.758, 68.080, -151.429
56.569, 68.038, -152.327
57.391, 67.998, -153.212
58.226, 67.943, -154.012
59.073, 67.890, -154.698
59.932, 67.831, -155.335
60.804, 67.767, -155.817
61.688, 67.718, -156.228
62.586, 67.664, -156.658
63.496, 67.604, -156.951
64.420, 67.560, -157.186
65.357, 67.516, -157.449
66.307, 67.469, -157.608
67.272, 67.433, -157.675
68.250, 67.408, -157.676
69.243, 67.400, -157.595
70.250, 67.417, -157.540
71.272, 67.437, -157.585
72.309, 67.454, -157.617
73.360, 67.480, -157.631
74.427, 67.522, -157.667
75.510, 67.580, -157.878
76.608, 67.622, -158.270
77.723, 67.648, -158.658
78.853, 67.672, -159.022
80.000, 67.693, -159.452
81.164, 67.694, -159.829
82.344, 67.702, -160.139
83.542, 67.701, -160.467
84.757, 67.703, -160.720
85.990, 67.706, -160.992
87.241, 67.709, -161.226
88.510, 67.723, -161.437
89.797, 67.743, -161.788
91.103, 67.730, -162.114
92.428, 67.723, -162.268
93.773, 67.724, -162.418
95.137, 67.729, -162.626
96.520, 67.723, -162.856
97.924, 67.730, -163.097
99.349, 67.706, -163.454
100.794, 67.706, -163.370
102.260, 67.750, -163.617
103.747, 67.762, -163.852
105.256, 67.769, -164.008
106.787, 67.777, -164.176
108.340, 67.770, -164.401
109.916, 67.764, -164.598
111.515, 67.762, -164.842
113.137, 67.762, -164.989
114.783, 67.770, -165.116
116.452, 67.772, -165.155
118.146, 67.779, -165.271
119.865, 67.774, -165.451
121.608, 67.769, -165.602
123.377, 67.783, -165.768
125.171, 67.786, -165.916
126.992, 67.796, -165.919
128.839, 67.803, -166.006
130.713, 67.800, -166.106
132.615, 67.804, -166.169
134.543, 67.821, -166.249
136.500, 67.846, -166.334
138.486, 67.868, -166.419
140.500, 67.878, -166.549
142.544, 67.885, -166.659
144.617, 67.906, -166.833
146.721, 67.924, -167.011
148.855, 67.939, -167.099
151.020, 67.954, -167.185
153.217, 67.956, -167.318
155.445, 67.970, -167.413
157.706, 67.990, -167.581
160.000, 68.008, -167.668
162.327, 68.024, -167.773
164.688, 68.043, -167.909
167.084, 68.061, -167.992
169.514, 68.084, -168.046
171.980, 68.107, -168.151
174.481, 68.129, -168.327
177.019, 68.158, -168.491
179.594, 68.183, -168.597
182.206, 68.191, -168.706
184.856, 68.204, -168.842
187.545, 68.231, -169.079
190.273, 68.261, -169.256
193.041, 68.285, -169.424
195.849, 68.299, -169.568
198.697, 68.320, -169.721
201.587, 68.356, -169.841
204.520, 68.363, -170.080
207.494, 68.399, -170.189
210.512, 68.448, -170.502
213.574, 68.467, -170.865
216.681, 68.480, -171.133
219.833, 68.519, -171.398
223.030, 68.545, -171.651
226.274, 68.549, -171.902
229.565, 68.559, -172.254
232.905, 68.575, -172.621
236.292, 68.588, -172.932
239.729, 68.596, -173.304
243.216, 68.601, -173.671
246.754, 68.609, -173.997
