* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 10 Dec, 2021 6:00:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dec 10 18:00:32
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 60.479, -58.526
10.293, 60.607, -59.145
10.443, 60.741, -60.049
10.595, 60.962, -61.305
10.749, 61.198, -62.736
10.905, 61.399, -64.097
11.064, 61.583, -65.525
11.225, 61.761, -67.195
11.388, 61.927, -69.031
11.554, 62.059, -70.865
11.722, 62.161, -72.703
11.892, 62.236, -74.434
12.065, 62.284, -76.056
12.241, 62.322, -77.497
12.419, 62.353, -78.758
12.599, 62.391, -79.800
12.782, 62.443, -80.686
12.968, 62.524, -81.491
13.157, 62.629, -82.296
13.348, 62.761, -83.162
13.543, 62.904, -84.176
13.740, 63.054, -85.365
13.939, 63.190, -86.720
14.142, 63.309, -88.200
14.348, 63.400, -89.748
14.557, 63.465, -91.267
14.768, 63.504, -92.715
14.983, 63.529, -94.010
15.201, 63.551, -95.163
15.422, 63.578, -96.172
15.646, 63.621, -97.118
15.874, 63.680, -98.061
16.105, 63.751, -99.066
16.339, 63.823, -100.182
16.577, 63.887, -101.387
16.818, 63.933, -102.649
17.063, 63.957, -103.883
17.311, 63.964, -105.004
17.563, 63.966, -105.967
17.818, 63.974, -106.751
18.077, 64.005, -107.403
18.340, 64.065, -108.024
18.607, 64.153, -108.707
18.877, 64.260, -109.528
19.152, 64.371, -110.524
19.431, 64.472, -111.653
19.713, 64.558, -112.838
20.000, 64.631, -114.007
20.291, 64.699, -115.122
20.586, 64.773, -116.192
20.885, 64.856, -117.277
21.189, 64.947, -118.454
21.497, 65.030, -119.760
21.810, 65.091, -121.157
22.127, 65.121, -122.538
22.449, 65.125, -123.776
22.776, 65.122, -124.787
23.107, 65.133, -125.592
23.443, 65.176, -126.316
23.784, 65.249, -127.135
24.130, 65.333, -128.170
24.481, 65.403, -129.427
24.837, 65.440, -130.799
25.198, 65.443, -132.146
25.565, 65.425, -133.378
25.937, 65.398, -134.490
26.314, 65.370, -135.527
26.697, 65.339, -136.516
27.085, 65.305, -137.431
27.479, 65.276, -138.240
27.879, 65.266, -138.990
28.284, 65.280, -139.815
28.696, 65.301, -140.835
29.113, 65.301, -142.044
29.537, 65.263, -143.270
29.966, 65.196, -144.309
30.402, 65.130, -145.095
30.844, 65.091, -145.759
31.293, 65.071, -146.502
31.748, 65.043, -147.391
32.210, 64.982, -148.297
32.678, 64.891, -149.008
33.154, 64.798, -149.433
33.636, 64.729, -149.668
34.125, 64.688, -149.898
34.621, 64.655, -150.217
35.125, 64.611, -150.561
35.636, 64.561, -150.815
36.154, 64.520, -150.945
36.680, 64.500, -151.002
37.214, 64.507, -151.027
37.755, 64.551, -151.077
38.304, 64.635, -151.327
38.861, 64.726, -151.941
39.427, 64.779, -152.725
40.000, 64.811, -153.293
40.582, 64.894, -153.691
41.172, 65.029, -154.487
41.771, 65.123, -155.881
42.379, 65.119, -157.353
42.995, 65.066, -158.501
43.620, 65.000, -159.549
44.255, 64.888, -160.546
44.898, 64.744, -161.201
45.552, 64.617, -161.728
46.214, 64.448, -162.380
46.886, 64.211, -162.403
47.568, 64.087, -161.621
48.260, 64.116, -161.601
48.962, 64.018, -162.583
49.674, 63.744, -162.495
50.397, 63.609, -160.931
51.130, 63.685, -159.658
51.874, 63.791, -159.018
52.628, 63.914, -158.620
53.394, 64.006, -158.702
54.170, 64.000, -158.553
54.958, 64.039, -157.734
55.758, 64.165, -157.286
56.569, 64.238, -157.240
57.391, 64.303, -156.888
58.226, 64.438, -156.748
59.073, 64.551, -157.120
59.932, 64.624, -157.416
60.804, 64.725, -157.563
61.688, 64.860, -157.805
62.586, 65.016, -158.269
63.496, 65.148, -158.992
64.420, 65.245, -159.586
65.357, 65.361, -160.107
66.307, 65.459, -160.774
67.272, 65.550, -161.293
68.250, 65.662, -161.969
69.243, 65.747, -162.758
70.250, 65.845, -163.533
71.272, 65.930, -164.573
72.309, 65.984, -165.532
73.360, 66.043, -166.403
74.427, 66.112, -167.238
75.510, 66.189, -168.196
76.608, 66.240, -169.179
77.723, 66.285, -170.058
78.853, 66.332, -170.906
80.000, 66.381, -171.849
81.164, 66.411, -172.856
82.344, 66.436, -173.915
83.542, 66.458, -175.044
84.757, 66.478, -176.376
85.990, 66.469, -177.713
87.241, 66.460, -178.957
