* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 9 Jul, 2021 3:51:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Jul 9 15:51:44
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 53.248, -65.868
10.293, 53.347, -66.505
10.443, 53.452, -67.256
10.595, 53.643, -68.083
10.749, 53.871, -68.854
10.905, 54.114, -69.246
11.064, 54.380, -69.536
11.225, 54.676, -70.206
11.388, 54.990, -71.137
11.554, 55.283, -72.269
11.722, 55.555, -73.596
11.892, 55.782, -75.018
12.065, 55.964, -76.519
12.241, 56.095, -77.949
12.419, 56.179, -79.268
12.599, 56.223, -80.276
12.782, 56.240, -80.989
12.968, 56.249, -81.356
13.157, 56.267, -81.426
13.348, 56.308, -81.193
13.543, 56.385, -80.842
13.740, 56.501, -80.418
13.939, 56.650, -80.095
14.142, 56.826, -79.906
14.348, 57.017, -79.929
14.557, 57.210, -80.172
14.768, 57.398, -80.644
14.983, 57.570, -81.316
15.201, 57.721, -82.163
15.422, 57.843, -83.160
15.646, 57.932, -84.229
15.874, 57.988, -85.305
16.105, 58.010, -86.317
16.339, 58.011, -87.156
16.577, 58.008, -87.791
16.818, 58.011, -88.209
17.063, 58.049, -88.475
17.311, 58.128, -88.741
17.563, 58.243, -89.122
17.818, 58.382, -89.726
18.077, 58.521, -90.581
18.340, 58.642, -91.589
18.607, 58.742, -92.630
18.877, 58.824, -93.586
19.152, 58.908, -94.381
19.431, 59.015, -95.072
19.713, 59.149, -95.798
20.000, 59.300, -96.685
20.291, 59.442, -97.775
20.586, 59.553, -98.993
20.885, 59.619, -100.149
21.189, 59.655, -101.033
21.497, 59.697, -101.560
21.810, 59.782, -101.868
22.127, 59.921, -102.255
22.449, 60.085, -102.991
22.776, 60.221, -104.134
23.107, 60.284, -105.460
23.443, 60.267, -106.559
23.784, 60.212, -107.066
24.130, 60.197, -106.923
24.481, 60.288, -106.496
24.837, 60.488, -106.371
25.198, 60.730, -106.951
25.565, 60.932, -108.189
25.937, 61.047, -109.680
26.314, 61.087, -110.955
26.697, 61.104, -111.770
27.085, 61.155, -112.233
27.479, 61.259, -112.654
27.879, 61.389, -113.256
28.284, 61.513, -114.021
28.696, 61.621, -114.806
29.113, 61.723, -115.532
29.537, 61.830, -116.246
29.966, 61.931, -117.012
30.402, 62.016, -117.794
30.844, 62.087, -118.501
31.293, 62.156, -119.120
31.748, 62.230, -119.740
32.210, 62.295, -120.413
32.678, 62.343, -121.057
33.154, 62.384, -121.577
33.636, 62.435, -122.019
34.125, 62.491, -122.483
34.621, 62.535, -122.883
35.125, 62.586, -122.967
35.636, 62.712, -122.775
36.154, 62.953, -122.907
36.680, 63.229, -123.991
37.214, 63.400, -125.950
37.755, 63.399, -127.867
38.304, 63.305, -128.849
38.861, 63.285, -128.966
39.427, 63.388, -129.239
40.000, 63.488, -130.346
40.582, 63.448, -131.657
41.172, 63.322, -132.097
41.771, 63.293, -131.676
42.379, 63.422, -131.562
42.995, 63.569, -132.440
43.620, 63.625, -133.813
44.255, 63.602, -135.150
44.898, 63.516, -136.261
45.552, 63.389, -136.668
46.214, 63.370, -136.188
46.886, 63.560, -136.028
47.568, 63.776, -137.271
48.260, 63.819, -139.030
