* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 4 sweeps at -10.0 dBFS  With no timing reference
* Dated: 2 Sep, 2020 8:02:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 2 20:02:10
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 55.703, -54.315
10.293, 55.836, -55.243
10.443, 55.990, -56.086
10.595, 56.154, -56.972
10.749, 56.324, -57.957
10.905, 56.500, -59.023
11.064, 56.668, -60.190
11.225, 56.830, -61.466
11.388, 56.975, -62.787
11.554, 57.101, -64.162
11.722, 57.209, -65.521
11.892, 57.296, -66.820
12.065, 57.367, -68.039
12.241, 57.430, -69.114
12.419, 57.488, -70.063
12.599, 57.554, -70.876
12.782, 57.631, -71.583
12.968, 57.727, -72.254
13.157, 57.839, -72.909
13.348, 57.967, -73.644
13.543, 58.103, -74.455
13.740, 58.239, -75.387
13.939, 58.369, -76.401
14.142, 58.485, -77.486
14.348, 58.588, -78.571
14.557, 58.675, -79.632
14.768, 58.758, -80.619
14.983, 58.837, -81.534
15.201, 58.925, -82.391
15.422, 59.020, -83.235
15.646, 59.127, -84.106
15.874, 59.237, -85.057
16.105, 59.345, -86.090
16.339, 59.441, -87.199
16.577, 59.521, -88.318
16.818, 59.584, -89.407
17.063, 59.635, -90.385
17.311, 59.686, -91.239
17.563, 59.744, -91.967
17.818, 59.822, -92.625
18.077, 59.919, -93.295
18.340, 60.033, -94.030
18.607, 60.154, -94.885
18.877, 60.269, -95.845
19.152, 60.374, -96.869
19.431, 60.466, -97.907
19.713, 60.545, -98.905
20.000, 60.620, -99.841
20.291, 60.695, -100.725
20.586, 60.770, -101.569
20.885, 60.847, -102.386
21.189, 60.923, -103.172
21.497, 60.999, -103.908
21.810, 61.082, -104.592
22.127, 61.175, -105.253
22.449, 61.280, -105.944
22.776, 61.392, -106.723
23.107, 61.499, -107.620
23.443, 61.590, -108.604
23.784, 61.655, -109.589
24.130, 61.701, -110.479
24.481, 61.739, -111.220
24.837, 61.785, -111.837
25.198, 61.847, -112.417
25.565, 61.921, -113.052
25.937, 61.994, -113.783
26.314, 62.054, -114.573
26.697, 62.100, -115.344
27.085, 62.138, -116.035
27.479, 62.181, -116.651
27.879, 62.236, -117.259
28.284, 62.299, -117.932
28.696, 62.360, -118.693
29.113, 62.409, -119.495
29.537, 62.448, -120.270
29.966, 62.485, -120.989
30.402, 62.527, -121.676
30.844, 62.573, -122.370
31.293, 62.617, -123.073
31.748, 62.658, -123.745
32.210, 62.701, -124.361
32.678, 62.751, -124.942
33.154, 62.808, -125.530
33.636, 62.865, -126.128
34.125, 62.922, -126.708
34.621, 62.984, -127.277
35.125, 63.050, -127.891
35.636, 63.109, -128.581
36.154, 63.151, -129.287
36.680, 63.183, -129.924
