* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 23 Oct, 2020 5:39:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oct 23 17:39:54
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 53.656, -56.836
10.293, 53.810, -57.727
10.443, 53.965, -58.714
10.595, 54.114, -59.612
10.749, 54.261, -60.517
10.905, 54.403, -61.428
11.064, 54.542, -62.342
11.225, 54.676, -63.252
11.388, 54.805, -64.157
11.554, 54.930, -65.048
11.722, 55.052, -65.923
11.892, 55.170, -66.774
12.065, 55.285, -67.599
12.241, 55.400, -68.395
12.419, 55.514, -69.162
12.599, 55.630, -69.900
12.782, 55.748, -70.614
12.968, 55.869, -71.309
13.157, 55.996, -71.997
13.348, 56.127, -72.684
13.543, 56.264, -73.389
13.740, 56.406, -74.117
13.939, 56.550, -74.885
14.142, 56.696, -75.696
14.348, 56.842, -76.557
14.557, 56.984, -77.460
14.768, 57.121, -78.402
14.983, 57.251, -79.365
15.201, 57.374, -80.334
15.422, 57.489, -81.294
15.646, 57.599, -82.224
15.874, 57.705, -83.117
16.105, 57.809, -83.967
16.339, 57.914, -84.778
16.577, 58.022, -85.559
16.818, 58.133, -86.320
17.063, 58.248, -87.076
17.311, 58.366, -87.836
17.563, 58.484, -88.603
17.818, 58.603, -89.378
18.077, 58.721, -90.158
18.340, 58.838, -90.939
18.607, 58.953, -91.718
18.877, 59.067, -92.493
19.152, 59.180, -93.266
19.431, 59.292, -94.037
19.713, 59.402, -94.807
20.000, 59.511, -95.573
20.291, 59.618, -96.334
20.586, 59.723, -97.091
20.885, 59.828, -97.844
21.189, 59.932, -98.596
21.497, 60.035, -99.352
21.810, 60.137, -100.111
22.127, 60.237, -100.872
22.449, 60.336, -101.632
22.776, 60.434, -102.391
23.107, 60.531, -103.151
23.443, 60.629, -103.918
23.784, 60.725, -104.699
24.130, 60.819, -105.492
24.481, 60.909, -106.288
24.837, 60.995, -107.072
25.198, 61.079, -107.827
25.565, 61.163, -108.550
25.937, 61.252, -109.251
26.314, 61.346, -109.957
26.697, 61.443, -110.694
27.085, 61.539, -111.474
27.479, 61.630, -112.288
27.879, 61.713, -113.106
28.284, 61.790, -113.901
28.696, 61.864, -114.660
29.113, 61.940, -115.393
29.537, 62.019, -116.121
29.966, 62.098, -116.861
30.402, 62.177, -117.614
30.844, 62.255, -118.375
31.293, 62.331, -119.142
31.748, 62.406, -119.918
32.210, 62.479, -120.700
32.678, 62.548, -121.477
33.154, 62.616, -122.239
33.636, 62.685, -122.993
34.125, 62.755, -123.754
34.621, 62.823, -124.531
35.125, 62.888, -125.317
35.636, 62.949, -126.099
36.154, 63.008, -126.877
36.680, 63.064, -127.658
37.214, 63.117, -128.441
37.755, 63.167, -129.208
38.304, 63.216, -129.954
38.861, 63.267, -130.699
39.427, 63.319, -131.458
40.000, 63.368, -132.212
40.582, 63.419, -132.939
41.172, 63.475, -133.680
41.771, 63.529, -134.474
42.379, 63.570, -135.239
42.995, 63.615, -135.885
43.620, 63.685, -136.565
44.255, 63.752, -137.492
44.898, 63.774, -138.494
45.552, 63.777, -139.255
46.214, 63.809, -139.956
46.886, 63.835, -140.951
47.568, 63.798, -141.929
48.260, 63.755, -142.463
48.962, 63.775, -142.982
49.674, 63.783, -143.889
50.397, 63.727, -144.638
51.130, 63.691, -144.916
51.874, 63.709, -145.204
52.628, 63.727, -145.596
53.394, 63.757, -145.841
54.170, 63.827, -146.189
54.958, 63.891, -146.792
55.758, 63.933, -147.443
56.569, 63.967, -148.133
57.391, 63.979, -148.852
58.226, 63.974, -149.459
59.073, 63.972, -149.920
59.932, 63.992, -150.285
60.804, 64.042, -150.743
61.688, 64.091, -151.342
62.586, 64.143, -151.951
63.496, 64.203, -152.753
64.420, 64.224, -153.643
65.357, 64.243, -154.372
66.307, 64.274, -155.287
67.272, 64.261, -156.304
68.250, 64.241, -157.197
69.243, 64.215, -158.337
70.250, 64.113, -159.604
71.272, 63.940, -160.501
72.309, 63.756, -160.832
73.360, 63.600, -160.808
74.427, 63.458, -160.432
75.510, 63.377, -159.620
76.608, 63.380, -158.758
77.723, 63.446, -158.097
78.853, 63.542, -157.776
80.000, 63.640, -157.795
81.164, 63.720, -158.047
82.344, 63.790, -158.424
83.542, 63.845, -158.944
84.757, 63.882, -159.452
85.990, 63.916, -159.984
87.241, 63.940, -160.519
88.510, 63.949, -161.104
89.797, 63.960, -161.589
91.103, 63.961, -162.091
92.428, 63.980, -162.557
93.773, 63.979, -162.761
95.137, 63.975, -163.276
96.520, 64.016, -162.637
97.924, 64.088, -164.190
99.349, 63.957, -164.286
100.794, 63.950, -164.782
102.260, 63.945, -165.172
103.747, 63.928, -165.745
105.256, 63.902, -165.879
106.787, 63.915, -165.947
108.340, 63.939, -166.276
109.916, 63.918, -166.380
111.515, 63.955, -166.790
113.137, 63.947, -167.125
114.783, 63.980, -167.476
116.452, 63.976, -167.805
118.146, 64.007, -168.099
119.865, 64.030, -168.652
121.608, 64.034, -169.193
123.377, 64.043, -169.809
125.171, 64.040, -170.564
126.992, 64.003, -171.344
128.839, 63.958, -172.019
130.713, 63.887, -172.527
132.615, 63.803, -173.161
134.543, 63.732, -173.421
136.500, 63.678, -173.671
138.486, 63.596, -173.976
140.500, 63.537, -174.229
142.544, 63.454, -174.551
144.617, 63.408, -174.909
