* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -3.0 dBFS  With no timing reference
* Dated: 19 Sep, 2020 2:58:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 19 14:58:27
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 47.043, -47.237
10.293, 46.679, -47.298
10.443, 46.317, -46.500
10.595, 46.057, -44.080
10.749, 45.937, -40.950
10.905, 46.079, -37.632
11.064, 46.419, -34.375
11.225, 46.903, -32.356
11.388, 47.510, -31.353
11.554, 48.086, -31.487
11.722, 48.643, -32.678
11.892, 49.108, -34.418
12.065, 49.488, -36.699
12.241, 49.778, -39.052
12.419, 49.986, -41.464
12.599, 50.137, -43.637
12.782, 50.246, -45.582
12.968, 50.344, -47.189
13.157, 50.449, -48.570
13.348, 50.581, -49.752
13.543, 50.736, -50.937
13.740, 50.915, -52.172
13.939, 51.090, -53.566
14.142, 51.250, -55.056
14.348, 51.368, -56.590
14.557, 51.442, -57.935
14.768, 51.470, -58.981
14.983, 51.476, -59.453
15.201, 51.500, -59.331
15.422, 51.575, -58.559
15.646, 51.761, -57.455
15.874, 52.056, -56.343
16.105, 52.463, -55.572
16.339, 52.919, -55.502
16.577, 53.375, -56.117
16.818, 53.785, -57.375
17.063, 54.107, -59.027
17.311, 54.332, -60.773
17.563, 54.465, -62.382
17.818, 54.526, -63.630
18.077, 54.553, -64.367
18.340, 54.589, -64.642
18.607, 54.663, -64.606
18.877, 54.789, -64.470
19.152, 54.961, -64.473
19.431, 55.152, -64.744
19.713, 55.340, -65.264
20.000, 55.513, -65.950
20.291, 55.670, -66.706
20.586, 55.818, -67.473
20.885, 55.970, -68.249
21.189, 56.130, -69.082
21.497, 56.294, -70.010
21.810, 56.452, -71.013
22.127, 56.601, -72.019
22.449, 56.746, -72.945
22.776, 56.900, -73.750
23.107, 57.075, -74.466
23.443, 57.278, -75.184
23.784, 57.500, -76.000
24.130, 57.724, -76.953
24.481, 57.932, -78.005
24.837, 58.111, -79.057
25.198, 58.262, -79.991
25.565, 58.395, -80.710
25.937, 58.528, -81.184
26.314, 58.682, -81.486
26.697, 58.866, -81.788
27.085, 59.067, -82.290
27.479, 59.252, -83.065
27.879, 59.390, -83.977
28.284, 59.480, -84.757
28.696, 59.564, -85.248
29.113, 59.689, -85.604
29.537, 59.860, -86.221
29.966, 60.022, -87.308
30.402, 60.121, -88.617
30.844, 60.168, -89.653
31.293, 60.248, -90.262
31.748, 60.416, -90.921
32.210, 60.619, -92.181
32.678, 60.749, -93.843
33.154, 60.797, -95.100
33.636, 60.897, -95.579
34.125, 61.159, -96.169
34.621, 61.467, -98.016
35.125, 61.578, -100.835
35.636, 61.408, -102.899
36.154, 61.179, -102.568
36.680, 61.255, -100.589
37.214, 61.684, -99.666
