* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 2 sweeps at -3.0 dBFS  With no timing reference
* Dated: 19 Sep, 2020 2:56:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 19 14:56:07
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 50.467, -34.732
10.293, 50.802, -34.944
10.443, 51.141, -35.482
10.595, 51.484, -36.497
10.749, 51.806, -37.881
10.905, 52.078, -39.626
11.064, 52.301, -41.665
11.225, 52.450, -43.831
11.388, 52.527, -46.094
11.554, 52.526, -48.184
11.722, 52.451, -50.080
11.892, 52.323, -51.470
12.065, 52.151, -52.346
12.241, 51.993, -52.492
12.419, 51.864, -51.990
12.599, 51.844, -50.963
12.782, 51.929, -49.679
12.968, 52.158, -48.573
13.157, 52.479, -47.909
13.348, 52.876, -47.986
13.543, 53.272, -48.761
13.740, 53.649, -50.250
13.939, 53.954, -52.155
14.142, 54.185, -54.337
14.348, 54.328, -56.532
14.557, 54.401, -58.487
14.768, 54.412, -60.075
14.983, 54.403, -61.105
15.201, 54.403, -61.621
15.422, 54.442, -61.631
15.646, 54.549, -61.402
15.874, 54.720, -61.105
16.105, 54.948, -60.926
16.339, 55.200, -60.983
16.577, 55.458, -61.227
16.818, 55.707, -61.608
17.063, 55.941, -62.000
17.311, 56.174, -62.352
17.563, 56.413, -62.683
17.818, 56.669, -63.053
18.077, 56.938, -63.600
18.340, 57.201, -64.410
18.607, 57.439, -65.484
18.877, 57.628, -66.758
19.152, 57.755, -68.078
19.431, 57.823, -69.231
19.713, 57.852, -70.059
20.000, 57.877, -70.509
20.291, 57.930, -70.654
20.586, 58.031, -70.686
20.885, 58.181, -70.846
21.189, 58.354, -71.299
21.497, 58.516, -72.043
21.810, 58.646, -72.929
22.127, 58.743, -73.751
22.449, 58.830, -74.352
22.776, 58.939, -74.706
23.107, 59.098, -74.944
23.443, 59.314, -75.292
23.784, 59.569, -75.952
24.130, 59.829, -76.996
24.481, 60.060, -78.354
24.837, 60.244, -79.848
25.198, 60.378, -81.271
25.565, 60.476, -82.454
25.937, 60.565, -83.321
26.314, 60.671, -83.918
26.697, 60.809, -84.397
27.085, 60.976, -84.934
27.479, 61.150, -85.632
27.879, 61.309, -86.466
28.284, 61.445, -87.317
28.696, 61.566, -88.084
29.113, 61.691, -88.762
29.537, 61.832, -89.452
29.966, 61.981, -90.261
30.402, 62.125, -91.203
30.844, 62.254, -92.194
31.293, 62.376, -93.145
31.748, 62.505, -94.043
32.210, 62.649, -94.948
32.678, 62.802, -95.909
33.154, 62.957, -96.918
33.636, 63.112, -97.935
34.125, 63.271, -98.962
34.621, 63.430, -100.056
35.125, 63.573, -101.271
35.636, 63.670, -102.539
36.154, 63.703, -103.589
36.680, 63.703, -104.058
37.214, 63.757, -103.859
37.755, 63.941, -103.602
38.304, 64.213, -104.151
38.861, 64.420, -105.694
39.427, 64.470, -107.427
40.000, 64.428, -108.404
40.582, 64.462, -108.675
41.172, 64.611, -109.263
41.771, 64.744, -110.613
42.379, 64.773, -112.010
42.995, 64.787, -112.771
43.620, 64.893, -113.377
44.255, 65.028, -114.510
44.898, 65.090, -115.832
45.552, 65.118, -116.708
46.214, 65.202, -117.386
46.886, 65.302, -118.402
47.568, 65.349, -119.495
48.260, 65.386, -120.294
48.962, 65.458, -121.097
49.674, 65.527, -122.083
50.397, 65.594, -123.046
51.130, 65.685, -124.233
51.874, 65.723, -125.799
52.628, 65.676, -127.052
53.394, 65.652, -127.746
54.170, 65.672, -128.544
54.958, 65.645, -129.355
55.758, 65.620, -129.680
56.569, 65.659, -129.993
57.391, 65.686, -130.608
58.226, 65.675, -130.991
59.073, 65.711, -131.085
59.932, 65.800, -131.413
60.804, 65.882, -131.962
61.688, 65.965, -132.533
62.586, 66.044, -133.187
63.496, 66.124, -133.776
64.420, 66.209, -134.536
65.357, 66.267, -135.226
66.307, 66.369, -136.192
67.272, 66.311, -137.675
68.250, 66.232, -137.406
69.243, 66.456, -138.002
70.250, 66.435, -140.001
71.272, 66.368, -140.207
72.309, 66.529, -140.799
73.360, 66.626, -142.448
74.427, 66.566, -143.762
75.510, 66.571, -144.145
76.608, 66.594, -145.243
77.723, 66.511, -145.741
78.853, 66.520, -146.202
80.000, 66.464, -146.822
81.164, 66.447, -147.181
82.344, 66.446, -147.542
83.542, 66.512, -148.093
84.757, 66.539, -148.727
85.990, 66.578, -149.760
87.241, 66.445, -149.830
88.510, 66.565, -149.852
89.797, 66.531, -150.470
91.103, 66.556, -151.245
92.428, 66.478, -151.679
93.773, 66.496, -152.173
95.137, 66.533, -152.858
96.520, 66.475, -153.645
97.924, 66.465, -154.012
99.349, 66.445, -154.302
100.794, 66.445, -154.916
102.260, 66.420, -155.283
103.747, 66.430, -155.874
105.256, 66.384, -156.453
106.787, 66.362, -156.603
108.340, 66.361, -157.017
109.916, 66.392, -157.443
111.515, 66.262, -157.904
113.137, 66.374, -158.131
114.783, 66.233, -158.512
116.452, 66.256, -158.875
118.146, 66.215, -158.976
119.865, 66.224, -159.365
121.608, 66.217, -159.855
123.377, 66.178, -160.102
125.171, 66.150, -160.335
126.992, 66.113, -160.453
128.839, 66.132, -160.234
130.713, 66.103, -161.415
132.615, 66.035, -161.571
134.543, 66.022, -161.807
136.500, 65.958, -161.964
138.486, 65.931, -162.146
140.500, 65.950, -162.504
142.544, 65.926, -162.729
144.617, 65.875, -162.991
146.721, 65.847, -163.114
148.855, 65.777, -163.511
151.020, 65.739, -163.456
153.217, 65.718, -163.734
155.445, 65.657, -163.744
157.706, 65.631, -163.831
160.000, 65.588, -164.076
162.327, 65.560, -163.980
164.688, 65.523, -163.946
167.084, 65.483, -164.159
169.514, 65.450, -164.174
171.980, 65.394, -164.405
174.481, 65.354, -164.475
177.019, 65.288, -164.571
179.594, 65.222, -164.874
182.206, 65.191, -164.302
