* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 512k Log Swept Sine, 2 sweeps at -10.0 dBFS  With no timing reference
* Dated: 10 Sep, 2020 5:46:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 10 17:46:39
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 61.713, -49.289
10.293, 61.813, -50.391
10.443, 61.917, -51.528
10.595, 62.042, -52.392
10.749, 62.187, -53.205
10.905, 62.358, -54.033
11.064, 62.552, -54.899
11.225, 62.763, -55.919
11.388, 62.988, -57.084
11.554, 63.208, -58.455
11.722, 63.422, -60.019
11.892, 63.609, -61.730
12.065, 63.768, -63.568
12.241, 63.886, -65.403
12.419, 63.967, -67.201
12.599, 64.014, -68.804
12.782, 64.037, -70.186
12.968, 64.052, -71.235
13.157, 64.082, -72.015
13.348, 64.145, -72.508
13.543, 64.257, -72.956
13.740, 64.422, -73.419
13.939, 64.624, -74.183
14.142, 64.843, -75.270
14.348, 65.050, -76.788
14.557, 65.210, -78.582
14.768, 65.309, -80.584
14.983, 65.329, -82.487
15.201, 65.288, -84.078
15.422, 65.200, -85.147
15.646, 65.133, -85.515
15.874, 65.137, -85.365
16.105, 65.262, -84.882
16.339, 65.527, -84.767
16.577, 65.881, -85.393
16.818, 66.271, -87.049
17.063, 66.602, -89.770
17.311, 66.807, -93.225
17.563, 66.848, -97.054
17.818, 66.701, -100.798
18.077, 66.371, -103.801
18.340, 65.925, -105.433
18.607, 65.478, -105.325
18.877, 65.180, -103.508
19.152, 65.198, -100.739
19.431, 65.552, -98.668
19.713, 66.091, -98.273
20.000, 66.648, -99.722
20.291, 67.088, -102.648
20.586, 67.337, -106.397
20.885, 67.373, -110.273
21.189, 67.215, -113.631
21.497, 66.923, -115.915
21.810, 66.594, -116.787
22.127, 66.349, -116.312
22.449, 66.286, -115.058
22.776, 66.424, -113.874
23.107, 66.699, -113.440
23.443, 67.010, -113.970
23.784, 67.276, -115.257
24.130, 67.460, -116.905
24.481, 67.570, -118.548
24.837, 67.639, -119.995
25.198, 67.700, -121.277
25.565, 67.767, -122.557
25.937, 67.823, -123.957
26.314, 67.842, -125.433
26.697, 67.814, -126.790
27.085, 67.759, -127.825
27.479, 67.714, -128.497
27.879, 67.708, -128.969
28.284, 67.738, -129.440
28.696, 67.788, -129.976
29.113, 67.850, -130.520
29.537, 67.941, -131.088
29.966, 68.063, -131.885
30.402, 68.183, -133.122
30.844, 68.236, -134.714
31.293, 68.190, -136.179
31.748, 68.088, -136.975
32.210, 68.039, -137.024
32.678, 68.120, -136.980
33.154, 68.285, -137.606
33.636, 68.409, -139.016
34.125, 68.424, -140.619
34.621, 68.370, -141.801
35.125, 68.339, -142.522
35.636, 68.359, -143.250
36.154, 68.377, -144.265
36.680, 68.346, -145.290
37.214, 68.290, -145.976
37.755, 68.263, -146.410
38.304, 68.265, -146.895
38.861, 68.261, -147.498
39.427, 68.243, -148.127
40.000, 68.216, -148.851
40.582, 68.148, -149.710
41.172, 68.025, -150.420
41.771, 67.897, -150.781
42.379, 67.812, -151.070
42.995, 67.738, -151.535
43.620, 67.659, -151.908
44.255, 67.636, -152.080
44.898, 67.695, -152.464
45.552, 67.776, -153.301
46.214, 67.815, -154.294
46.886, 67.808, -154.896
47.568, 67.836, -154.672
48.260, 68.033, -154.236
48.962, 68.310, -155.033
49.674, 68.388, -156.799
50.397, 68.265, -157.693
51.130, 68.210, -157.634
51.874, 68.230, -158.202
52.628, 68.161, -159.274
53.394, 68.070, -160.221
54.170, 67.985, -161.642
54.958, 67.796, -163.167
55.758, 67.601, -163.805
56.569, 67.548, -164.235
57.391, 67.516, -165.237
58.226, 67.398, -166.063
59.073, 67.281, -166.301
59.932, 67.157, -166.592
60.804, 66.938, -166.399
61.688, 66.797, -165.457
62.586, 66.720, -165.152
63.496, 66.546, -164.892
64.420, 66.404, -163.948
65.357, 66.396, -162.734
66.307, 66.539, -162.228
67.272, 66.602, -162.645
68.250, 66.574, -162.610
69.243, 66.509, -161.948
70.250, 66.581, -160.378
71.272, 66.704, -160.098
72.309, 66.644, -158.573
73.360, 66.976, -156.814
74.427, 67.205, -157.528
75.510, 67.196, -157.865
76.608, 67.138, -156.804
77.723, 67.431, -155.832
78.853, 67.552, -157.215
80.000, 67.649, -157.193
81.164, 67.810, -159.018
82.344, 67.742, -159.581
83.542, 67.948, -159.821
84.757, 68.104, -161.121
85.990, 68.121, -162.139
87.241, 68.096, -162.040
88.510, 68.285, -161.034
89.797, 68.555, -162.312
91.103, 68.577, -162.742
92.428, 68.675, -164.137
93.773, 68.554, -164.598
95.137, 68.471, -164.541
96.520, 68.624, -164.920
97.924, 68.577, -165.397
99.349, 68.641, -166.672
100.794, 68.799, -166.630
102.260, 68.590, -168.475
103.747, 68.753, -168.644
105.256, 68.627, -168.564
106.787, 68.638, -170.121
108.340, 68.839, -169.816
109.916, 68.752, -171.004
111.515, 68.790, -171.554
113.137, 68.826, -172.198
114.783, 68.855, -172.405
116.452, 68.864, -174.503
118.146, 68.789, -174.589
119.865, 68.762, -175.890
121.608, 68.761, -175.779
123.377, 68.737, -177.051
125.171, 68.740, -176.913
126.992, 68.815, -178.024
128.839, 68.734, -177.896
130.713, 68.477, -179.034
132.615, 68.600, -179.579
134.543, 68.463, 179.717
136.500, 68.585, -177.459
138.486, 67.652, -179.303
140.500, 68.521, 179.586
142.544, 68.436, 177.161
144.617, 68.284, 176.767
146.721, 68.355, 176.694
148.855, 68.127, 177.094
151.020, 68.058, 175.601
153.217, 68.095, 176.189
155.445, 68.124, 175.833
157.706, 68.007, 175.490
160.000, 67.859, 175.552
162.327, 67.999, 174.619
164.688, 68.018, 173.792
167.084, 67.907, 173.362
169.514, 67.803, 173.827
171.980, 67.743, 172.809
174.481, 67.692, 172.609
177.019, 67.668, 172.396
179.594, 67.486, 172.071
182.206, 67.437, 171.444
184.856, 67.337, 170.797
187.545, 67.240, 171.189
190.273, 67.098, 171.283
193.041, 66.867, 171.283
195.849, 67.070, 171.502
198.697, 66.998, 172.434
201.587, 66.889, 171.606
204.520, 66.752, 170.422
207.494, 66.775, 170.760
210.512, 66.834, 171.062
213.574, 66.689, 171.487
216.681, 66.580, 170.643
219.833, 66.572, 170.552
223.030, 66.514, 170.620
226.274, 66.441, 170.502
229.565, 66.379, 170.214
232.905, 66.426, 170.550
236.292, 66.248, 170.137
239.729, 66.156, 170.690
243.216, 66.163, 170.484
246.754, 66.132, 170.199
250.343, 66.019, 170.512
253.984, 65.965, 170.831
257.678, 65.896, 170.597
261.426, 65.811, 170.904
265.229, 65.756, 170.793
269.087, 65.721, 170.905
273.001, 65.647, 171.430
276.972, 65.623, 171.140
281.000, 65.578, 171.715
285.088, 65.485, 171.784
289.234, 65.474, 172.063
293.441, 65.449, 172.292
297.710, 65.349, 172.240
302.040, 65.324, 172.581
306.433, 65.278, 172.888
310.890, 65.280, 173.116
315.412, 65.195, 173.409
320.000, 65.244, 173.778
324.655, 65.158, 173.481
329.377, 65.019, 174.153
334.168, 65.071, 174.790
339.028, 65.058, 174.577
343.959, 65.080, 174.876
348.962, 65.007, 175.133
354.038, 65.024, 175.229
359.188, 64.979, 175.494
364.412, 64.951, 175.874
369.713, 64.931, 176.020
375.090, 64.860, 175.969
380.546, 64.852, 176.567
386.081, 64.829, 176.906
391.697, 64.829, 177.485
397.395, 64.814, 177.650
403.175, 64.835, 178.193
409.039, 64.841, 178.355
414.989, 64.861, 178.532
421.025, 64.869, 178.607
427.149, 64.859, 178.589
433.362, 64.872, 178.772
439.665, 64.880, 179.065
446.060, 64.888, 179.077
452.548, 64.841, 179.300
459.131, 64.856, 179.338
465.809, 64.856, 179.343
472.584, 64.844, 179.557
479.458, 64.842, 179.594
486.432, 64.795, 179.522
493.507, 64.749, 179.823
500.686, 64.760, 179.659
507.968, 64.714, 179.734
515.357, 64.653, 179.988
522.853, 64.619, -179.972
530.458, 64.574, -179.809
538.174, 64.471, -179.783
546.002, 64.442, -178.920
553.943, 64.338, -178.762
562.001, 64.350, -178.064
570.175, 64.286, -177.257
578.469, 64.236, -176.529
586.883, 64.291, -175.517
595.419, 64.340, -174.883
604.080, 64.385, -174.318
612.866, 64.460, -174.008
621.780, 64.524, -173.630
630.824, 64.559, -173.517
640.000, 64.577, -173.484
649.309, 64.624, -173.141
658.753, 64.639, -172.945
668.335, 64.664, -172.852
678.056, 64.697, -172.836
