* Measurement data measured by REW V5.19
* Source: In 1-2 (MOTU M Series), no input selected, L, volume: no control
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 17 Sep, 2020 8:06:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Sep 17 20:06:07
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.0 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 73.061, 70.903
10.293, 73.099, 69.821
10.443, 73.134, 68.844
10.595, 73.169, 67.885
10.749, 73.204, 66.942
10.905, 73.239, 66.016
11.064, 73.274, 65.099
11.225, 73.309, 64.193
11.388, 73.344, 63.292
11.554, 73.379, 62.395
11.722, 73.413, 61.501
11.892, 73.445, 60.609
12.065, 73.476, 59.724
12.241, 73.504, 58.849
12.419, 73.529, 57.990
12.599, 73.553, 57.156
12.782, 73.576, 56.348
12.968, 73.600, 55.574
13.157, 73.625, 54.829
13.348, 73.655, 54.109
13.543, 73.690, 53.402
13.740, 73.730, 52.693
13.939, 73.776, 51.966
14.142, 73.826, 51.205
14.348, 73.876, 50.403
14.557, 73.925, 49.554
14.768, 73.969, 48.671
14.983, 74.007, 47.762
15.201, 74.036, 46.854
15.422, 74.058, 45.962
15.646, 74.073, 45.105
15.874, 74.086, 44.291
16.105, 74.098, 43.521
16.339, 74.112, 42.786
16.577, 74.129, 42.069
16.818, 74.147, 41.362
17.063, 74.167, 40.650
17.311, 74.185, 39.935
17.563, 74.202, 39.221
17.818, 74.215, 38.521
18.077, 74.227, 37.841
18.340, 74.237, 37.186
18.607, 74.248, 36.554
18.877, 74.260, 35.936
19.152, 74.273, 35.325
19.431, 74.286, 34.714
19.713, 74.299, 34.104
20.000, 74.310, 33.498
20.291, 74.320, 32.903
20.586, 74.330, 32.316
20.885, 74.340, 31.737
21.189, 74.351, 31.158
21.497, 74.360, 30.576
21.810, 74.367, 29.994
22.127, 74.371, 29.422
22.449, 74.374, 28.872
22.776, 74.376, 28.352
23.107, 74.380, 27.862
