* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 9 Jul, 2021 4:29:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Jul 9 16:29:27
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 63.588, 82.278
10.293, 63.643, 81.570
10.443, 63.700, 80.619
10.595, 63.787, 79.380
10.749, 63.877, 78.084
10.905, 63.947, 77.094
11.064, 64.011, 76.198
11.225, 64.085, 75.140
11.388, 64.163, 73.991
11.554, 64.233, 72.821
11.722, 64.296, 71.620
11.892, 64.344, 70.403
12.065, 64.378, 69.177
12.241, 64.395, 67.985
12.419, 64.398, 66.850
12.599, 64.390, 65.873
12.782, 64.377, 65.033
12.968, 64.371, 64.338
13.157, 64.380, 63.747
13.348, 64.410, 63.251
13.543, 64.461, 62.727
13.740, 64.534, 62.142
13.939, 64.615, 61.408
14.142, 64.697, 60.536
14.348, 64.764, 59.517
14.557, 64.809, 58.441
14.768, 64.828, 57.348
14.983, 64.822, 56.371
15.201, 64.803, 55.547
15.422, 64.780, 54.927
15.646, 64.776, 54.477
15.874, 64.795, 54.118
16.105, 64.847, 53.766
16.339, 64.921, 53.279
16.577, 65.004, 52.622
16.818, 65.082, 51.774
17.063, 65.136, 50.795
17.311, 65.162, 49.802
17.563, 65.161, 48.886
17.818, 65.144, 48.133
18.077, 65.128, 47.580
18.340, 65.128, 47.171
18.607, 65.151, 46.826
18.877, 65.197, 46.457
19.152, 65.258, 45.985
19.431, 65.320, 45.393
19.713, 65.374, 44.712
20.000, 65.417, 43.981
20.291, 65.449, 43.233
20.586, 65.468, 42.489
20.885, 65.475, 41.764
21.189, 65.467, 41.090
21.497, 65.448, 40.529
21.810, 65.427, 40.137
22.127, 65.425, 39.900
22.449, 65.458, 39.701
22.776, 65.527, 39.341
23.107, 65.607, 38.646
23.443, 65.657, 37.587
23.784, 65.641, 36.347
24.130, 65.548, 35.267
24.481, 65.406, 34.687
24.837, 65.280, 34.728
25.198, 65.232, 35.160
25.565, 65.280, 35.512
25.937, 65.381, 35.400
26.314, 65.468, 34.786
26.697, 65.498, 33.958
27.085, 65.479, 33.283
27.479, 65.453, 32.918
27.879, 65.459, 32.722
28.284, 65.497, 32.437
28.696, 65.536, 31.958
29.113, 65.550, 31.405
29.537, 65.544, 30.963
29.966, 65.543, 30.669
30.402, 65.558, 30.396
30.844, 65.577, 30.031
31.293, 65.579, 29.623
31.748, 65.567, 29.309
32.210, 65.560, 29.124
32.678, 65.569, 28.962
33.154, 65.587, 28.732
33.636, 65.599, 28.474
34.125, 65.615, 28.262
34.621, 65.648, 28.027
35.125, 65.690, 27.595
35.636, 65.703, 26.954
36.154, 65.659, 26.382
36.680, 65.584, 26.209
37.214, 65.540, 26.477
37.755, 65.562, 26.825
38.304, 65.619, 26.902
38.861, 65.647, 26.761
39.427, 65.636, 26.802
40.000, 65.641, 27.264
40.582, 65.728, 27.854
41.172, 65.880, 28.068
41.771, 66.030, 27.786
42.379, 66.148, 27.287
42.995, 66.256, 26.720
43.620, 66.353, 25.974
44.255, 66.410, 25.182
44.898, 66.458, 24.654
45.552, 66.559, 24.140
46.214, 66.660, 23.065
46.886, 66.640, 21.792
47.568, 66.541, 21.336
48.260, 66.533, 21.519
48.962, 66.600, 21.214
49.674, 66.594, 20.492
50.397, 66.541, 20.120
51.130, 66.531, 19.744
51.874, 66.488, 18.942
52.628, 66.378, 18.327
53.394, 66.298, 17.983
54.170, 66.225, 17.351
54.958, 66.081, 17.005
55.758, 65.997, 17.540
56.569, 66.071, 18.018
57.391, 66.175, 17.910
58.226, 66.264, 17.791
59.073, 66.390, 17.582
59.932, 66.489, 16.882
60.804, 66.480, 16.182
61.688, 66.435, 16.052
62.586, 66.427, 15.982
63.496, 66.380, 15.777
64.420, 66.337, 15.890
65.357, 66.338, 15.702
66.307, 66.286, 15.409
67.272, 66.275, 15.391
68.250, 66.294, 15.050
69.243, 66.312, 14.676
70.250, 66.321, 14.063
71.272, 66.281, 13.826
72.309, 66.307, 13.731
73.360, 66.291, 13.457
74.427, 66.269, 13.537
75.510, 66.252, 13.743
76.608, 66.315, 13.822
77.723, 66.261, 12.905
78.853, 66.105, 13.404
80.000, 66.204, 13.642
81.164, 66.201, 12.804
82.344, 66.167, 12.583
83.542, 66.186, 12.482
84.757, 66.231, 12.355
85.990, 66.234, 12.231
87.241, 66.223, 12.607
88.510, 66.274, 12.778
89.797, 66.236, 12.458
91.103, 66.186, 12.532
92.428, 66.187, 12.299
93.773, 66.179, 11.832
95.137, 66.158, 11.567
96.520, 66.167, 11.550
97.924, 66.191, 11.638
99.349, 66.214, 11.698
100.794, 66.226, 11.623
102.260, 66.209, 11.510
103.747, 66.207, 11.448
105.256, 66.214, 11.232
106.787, 66.213, 11.162
108.340, 66.213, 11.022
109.916, 66.202, 11.058
111.515, 66.201, 11.034
113.137, 66.206, 10.993
114.783, 66.227, 10.888
116.452, 66.231, 10.864
118.146, 66.259, 10.835
119.865, 66.240, 10.669
121.608, 66.200, 10.815
123.377, 66.205, 10.931
125.171, 66.237, 10.977
126.992, 66.267, 10.938
128.839, 66.259, 10.746
130.713, 66.246, 10.857
132.615, 66.245, 10.994
134.543, 66.264, 10.760
136.500, 66.270, 10.897
138.486, 66.298, 10.856
140.500, 66.308, 10.830
142.544, 66.310, 10.700
144.617, 66.309, 10.722
146.721, 66.321, 10.864
148.855, 66.337, 10.862
151.020, 66.339, 10.697
153.217, 66.352, 10.593
155.445, 66.380, 10.592
157.706, 66.405, 10.655
160.000, 66.386, 10.793
162.327, 66.411, 10.814
164.688, 66.436, 10.752
167.084, 66.472, 10.748
169.514, 66.495, 10.817
171.980, 66.520, 10.735
174.481, 66.539, 10.615
177.019, 66.556, 10.613
179.594, 66.575, 10.545
182.206, 66.583, 10.489
184.856, 66.608, 10.303
187.545, 66.637, 10.249
190.273, 66.666, 10.247
193.041, 66.682, 10.262
195.849, 66.709, 10.257
198.697, 66.742, 10.154
201.587, 66.775, 10.087
204.520, 66.810, 9.989
207.494, 66.836, 9.872
210.512, 66.875, 9.711
213.574, 66.923, 9.510
216.681, 66.961, 9.307
219.833, 67.002, 9.031
223.030, 67.051, 8.554
226.274, 67.110, 7.968
229.565, 67.138, 7.329
232.905, 67.114, 6.620
236.292, 67.050, 5.755
239.729, 66.941, 5.126
243.216, 66.797, 4.827
246.754, 66.663, 5.059
250.343, 66.591, 5.762
253.984, 66.596, 6.429
257.678, 66.664, 6.731
261.426, 66.753, 6.656
265.229, 66.838, 6.167
269.087, 66.895, 5.294
273.001, 66.888, 4.113
276.972, 66.788, 2.711
281.000, 66.565, 1.358
285.088, 66.194, 0.853
289.234, 65.790, 1.732
293.441, 65.504, 3.808
297.710, 65.414, 6.239
302.040, 65.460, 8.405
306.433, 65.582, 9.963
310.890, 65.724, 10.983
315.412, 65.872, 11.617
320.000, 65.979, 12.035
324.655, 66.097, 12.419
329.377, 66.195, 12.594
334.168, 66.273, 12.881
339.028, 66.383, 13.034
343.959, 66.460, 13.086
348.962, 66.516, 13.138
354.038, 66.576, 13.234
359.188, 66.669, 13.434
364.412, 66.758, 13.493
369.713, 66.850, 13.481
375.090, 66.945, 13.393
380.546, 67.042, 13.103
386.081, 67.099, 12.635
391.697, 67.129, 12.229
397.395, 67.111, 12.159
403.175, 67.146, 12.384
409.039, 67.230, 12.375
414.989, 67.297, 12.240
421.025, 67.367, 12.135
427.149, 67.449, 11.885
433.362, 67.501, 11.669
439.665, 67.604, 11.439
446.060, 67.700, 10.772
452.548, 67.752, 9.935
459.131, 67.752, 9.029
465.809, 67.685, 8.501
472.584, 67.665, 8.536
479.458, 67.729, 8.322
486.432, 67.809, 7.750
493.507, 67.867, 6.415
500.686, 67.776, 4.655
507.968, 67.475, 3.586
515.357, 67.147, 4.382
522.853, 67.025, 6.253
530.458, 67.125, 7.913
538.174, 67.333, 8.602
