* Measurement data measured by REW V5.19
* Source: ASIO MOTU M Series, In 1
* Format: 1M Log Swept Sine, 1 sweep at -3.0 dBFS  With no timing reference
* Dated: 30 Oct, 2020 6:01:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oct 30 18:01:40
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 10.1 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
10.145, 50.605, -48.659
10.293, 50.845, -49.829
10.443, 51.085, -51.171
10.595, 51.286, -52.487
10.749, 51.461, -53.832
10.905, 51.609, -55.144
11.064, 51.731, -56.418
11.225, 51.831, -57.585
11.388, 51.910, -58.649
11.554, 51.977, -59.574
11.722, 52.031, -60.362
11.892, 52.081, -61.012
12.065, 52.126, -61.522
12.241, 52.173, -61.900
12.419, 52.221, -62.139
12.599, 52.275, -62.236
12.782, 52.340, -62.189
12.968, 52.424, -61.987
13.157, 52.536, -61.683
13.348, 52.684, -61.284
13.543, 52.876, -60.941
13.740, 53.115, -60.699
13.939, 53.391, -60.750
14.142, 53.690, -61.134
14.348, 53.995, -61.952
14.557, 54.276, -63.155
14.768, 54.521, -64.723
14.983, 54.706, -66.499
15.201, 54.829, -68.340
15.422, 54.885, -70.110
15.646, 54.894, -71.593
15.874, 54.875, -72.727
16.105, 54.855, -73.442
16.339, 54.873, -73.840
16.577, 54.938, -74.107
16.818, 55.056, -74.413
17.063, 55.207, -74.985
17.311, 55.355, -75.838
17.563, 55.478, -76.889
17.818, 55.556, -77.980
18.077, 55.596, -78.846
18.340, 55.631, -79.343
18.607, 55.700, -79.498
18.877, 55.834, -79.476
19.152, 56.047, -79.608
19.431, 56.304, -80.230
19.713, 56.550, -81.408
20.000, 56.737, -82.989
20.291, 56.838, -84.660
20.586, 56.861, -86.051
20.885, 56.850, -86.881
21.189, 56.873, -87.139
21.497, 56.982, -87.176
21.810, 57.170, -87.495
22.127, 57.377, -88.394
22.449, 57.527, -89.794
22.776, 57.575, -91.277
23.107, 57.532, -92.307
23.443, 57.470, -92.516
23.784, 57.487, -92.005
24.130, 57.639, -91.360
24.481, 57.894, -91.247
