* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 24, 2022 1:09:24 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 1More PistonClassic R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	55.275	-122.8427
20.299999	55.347	-123.5191
20.600000	55.417	-124.1900
20.900000	55.488	-124.8456
21.200001	55.561	-125.4893
21.400000	55.614	-125.9178
21.799999	55.722	-126.7839
22.000000	55.777	-127.2202
22.400000	55.884	-128.0831
22.700001	55.963	-128.7027
23.000000	56.040	-129.2894
23.299999	56.119	-129.8451
23.600000	56.198	-130.3789
24.000000	56.304	-131.0727
24.299999	56.380	-131.5816
24.700001	56.476	-132.2360
25.000000	56.544	-132.7028
25.400000	56.630	-133.2961
25.799999	56.712	-133.8725
26.200001	56.790	-134.4480
26.500000	56.844	-134.8808
26.900000	56.909	-135.4549
27.200001	56.953	-135.8814
27.600000	57.010	-136.4492
28.000000	57.065	-137.0249
28.500000	57.130	-137.7617
29.000000	57.193	-138.5059
29.500000	57.254	-139.2423
30.000000	57.319	-139.9702
30.400000	57.375	-140.5529
30.700001	57.417	-140.9921
31.100000	57.474	-141.5788
31.500000	57.529	-142.1592
32.000000	57.595	-142.8614
32.500000	57.659	-143.5295
33.000000	57.722	-144.1718
33.500000	57.782	-144.8002
34.000000	57.831	-145.4107
34.500000	57.884	-145.9903
35.000000	57.936	-146.5486
35.500000	57.989	-147.1190
36.000000	58.038	-147.7194
36.500000	58.079	-148.3260
37.000000	58.116	-148.9068
37.500000	58.154	-149.4672
38.200001	58.204	-150.2730
38.700001	58.237	-150.8591
39.500000	58.287	-151.7375
40.000000	58.324	-152.2633
40.599998	58.370	-152.9242
41.200001	58.410	-153.6066
41.799999	58.444	-154.2590
42.500000	58.483	-154.9722
43.099998	58.518	-155.5799
43.700001	58.550	-156.1972
44.400002	58.582	-156.9089
45.000000	58.605	-157.4971
45.500000	58.624	-157.9678
46.200001	58.653	-158.6039
46.799999	58.681	-159.1526
47.500000	58.711	-159.8162
48.200001	58.736	-160.4681
48.700001	58.754	-160.9103
49.400002	58.782	-161.5319
50.000000	58.802	-162.0852
50.799999	58.819	-162.7886
51.500000	58.836	-163.3505
52.200001	58.856	-163.9214
53.000000	58.876	-164.5840
53.799999	58.894	-165.2290
54.500000	58.908	-165.8110
55.200001	58.916	-166.3839
56.000000	58.924	-166.9881
57.000000	58.936	-167.7424
58.000000	58.941	-168.4542
59.000000	58.954	-169.1394
60.000000	58.962	-169.8736
60.799999	58.965	-170.4080
61.500000	58.974	-170.8683
62.200001	58.981	-171.3580
63.000000	58.984	-171.8931
64.000000	58.991	-172.5157
65.000000	58.996	-173.1630
66.000000	58.995	-173.7596
67.000000	58.995	-174.3567
68.000000	58.990	-174.9281
69.000000	58.991	-175.4854
70.000000	58.987	-176.0824
71.000000	58.979	-176.6273
72.000000	58.974	-177.1658
73.000000	58.966	-177.6806
74.000000	58.964	-178.1848
75.000000	58.958	-178.7258
76.199997	58.945	-179.3490
77.500000	58.931	-179.9962
78.800003	58.919	179.3724
80.000000	58.905	178.7746
81.199997	58.885	178.2476
82.500000	58.876	177.6601
83.800003	58.850	177.0618
85.000000	58.836	176.5600
86.199997	58.816	175.9979
87.500000	58.796	175.4484
88.500000	58.776	174.9998
90.000000	58.756	174.4303
91.199997	58.738	173.8370
92.500000	58.707	173.3109
93.800003	58.683	172.7397
95.000000	58.657	172.2649
96.199997	58.634	171.7629
97.500000	58.609	171.2706
98.800003	58.583	170.7394
100.000000	58.558	170.3085
101.500000	58.526	169.7276
103.000000	58.496	169.1691
104.400002	58.459	168.7126
106.000000	58.434	168.0969
107.500000	58.387	167.6056
109.000000	58.357	167.1129
110.599998	58.319	166.5753
112.000000	58.288	166.1050
113.800003	58.241	165.5330
115.000000	58.213	165.1746
117.199997	58.158	164.4965
118.000000	58.134	164.2552
120.599998	58.082	163.5208
122.000000	58.042	163.0576
124.099998	57.984	162.4770
125.000000	57.963	162.2260
126.500000	57.922	161.8360
128.000000	57.887	161.4456
131.500000	57.796	160.5229
132.000000	57.785	160.4020
134.000000	57.738	159.8632
136.000000	57.684	159.3960
138.000000	57.629	158.8792
140.000000	57.567	158.4395
143.000000	57.484	157.8002
145.000000	57.426	157.3862
147.500000	57.357	156.8956
150.000000	57.290	156.4457
152.500000	57.229	156.0158
155.000000	57.161	155.6466
157.500000	57.088	155.2632
160.000000	57.019	154.9048
162.500000	56.952	154.5130
165.000000	56.884	154.1742
167.500000	56.815	153.8232
170.000000	56.751	153.5257
172.500000	56.690	153.2433
175.000000	56.623	152.9524
177.500000	56.559	152.6707
180.000000	56.494	152.3748
182.500000	56.441	152.1257
185.000000	56.379	151.8682
187.500000	56.312	151.6269
190.000000	56.249	151.4182
192.500000	56.183	151.1988
195.000000	56.122	150.9949
197.500000	56.057	150.7871
200.000000	55.989	150.6261
203.000000	55.921	150.3693
206.000000	55.849	150.1510
209.000000	55.775	149.8923
212.000000	55.694	149.6602
214.000000	55.647	149.4820
218.000000	55.537	149.1233
220.000000	55.493	148.9750
224.000000	55.384	148.6032
227.000000	55.306	148.3893
230.000000	55.233	148.1116
233.000000	55.161	147.8699
236.000000	55.091	147.6947
240.000000	55.000	147.4067
243.000000	54.930	147.1907
247.000000	54.837	146.9247
250.000000	54.757	146.7665
254.000000	54.680	146.5692
258.000000	54.591	146.3402
262.000000	54.496	146.1086
265.000000	54.431	145.9940
269.000000	54.345	145.7504
272.000000	54.283	145.6616
276.000000	54.193	145.3935
280.000000	54.110	145.3101
285.000000	54.006	145.0855
290.000000	53.898	144.9051
295.000000	53.806	144.7769
300.000000	53.700	144.6233
304.000000	53.617	144.4955
307.000000	53.552	144.4012
311.000000	53.475	144.3706
315.000000	53.392	144.2115
320.000000	53.283	144.0970
325.000000	53.187	143.9635
330.000000	53.090	143.8727
335.000000	52.982	143.7822
340.000000	52.890	143.7095
345.000000	52.790	143.5823
350.000000	52.699	143.6949
355.000000	52.594	143.7347
360.000000	52.512	143.8402
365.000000	52.419	144.0753
370.000000	52.314	144.2431
375.000000	52.230	144.3922
382.000000	52.097	144.7150
387.000000	52.010	144.9361
395.000000	51.858	145.3342
400.000000	51.768	145.7702
406.000000	51.654	146.2301
412.000000	51.594	147.0066
418.000000	51.555	147.5446
425.000000	51.512	147.8655
431.000000	51.472	148.0797
437.000000	51.418	148.1872
444.000000	51.328	148.4229
450.000000	51.259	148.6021
455.000000	51.197	148.7844
462.000000	51.093	149.1276
468.000000	51.017	149.4466
475.000000	50.913	149.7859
482.000000	50.824	150.0789
487.000000	50.783	150.3997
494.000000	50.680	150.8705
500.000000	50.629	151.1646
508.000000	50.522	151.5851
515.000000	50.435	151.7643
522.000000	50.351	151.9716
530.000000	50.264	152.2606
538.000000	50.176	152.5500
545.000000	50.078	152.7148
552.000000	50.023	152.9760
560.000000	49.921	153.2969
570.000000	49.835	153.6611
580.000000	49.718	153.9831
590.000000	49.626	154.4842
600.000000	49.519	154.8631
608.000000	49.457	155.2018
615.000000	49.372	155.4223
622.000000	49.320	155.7672
630.000000	49.254	156.1057
640.000000	49.170	156.6517
650.000000	49.096	157.0894
660.000000	48.996	157.6127
670.000000	48.946	157.9703
680.000000	48.857	158.6329
690.000000	48.789	159.0631
700.000000	48.726	159.5939
710.000000	48.651	160.0650
