* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control. Timing signal peak level -10.1 dBFS, measurement signal peak level -10.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 19, 2022 8:56:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 49.4987 ms (16.978 m, 55 ft 8 in) using IR start time relative to Acoustic reference on  R with no timing offset
* Measurement: AT ATH-SPORT5TW R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.059	-35.0541
20.299999	93.160	-37.0190
20.600000	93.247	-39.0683
20.900000	93.317	-41.1421
21.200001	93.375	-43.1907
21.400000	93.411	-44.5201
21.799999	93.489	-47.1027
22.000000	93.536	-48.3753
22.400000	93.649	-50.9738
22.700001	93.741	-53.0584
23.000000	93.826	-55.2754
23.299999	93.892	-57.5830
23.600000	93.937	-59.9191
24.000000	93.972	-62.9617
24.299999	93.991	-65.1399
24.700001	94.025	-67.9417
25.000000	94.064	-70.0388
25.400000	94.128	-72.9244
25.799999	94.193	-75.9553
26.200001	94.246	-79.1060
26.500000	94.277	-81.4911
26.900000	94.310	-84.6404
27.200001	94.334	-87.0119
27.600000	94.370	-90.1952
28.000000	94.411	-93.4194
28.500000	94.463	-97.5182
29.000000	94.512	-101.6169
29.500000	94.569	-105.7009
30.000000	94.631	-109.7980
30.400000	94.686	-113.1055
30.700001	94.725	-115.5946
31.100000	94.777	-118.9062
31.500000	94.830	-122.1988
32.000000	94.894	-126.3115
32.500000	94.953	-130.3964
33.000000	95.008	-134.4579
33.500000	95.061	-138.5116
34.000000	95.109	-142.5837
34.500000	95.156	-146.7009
35.000000	95.194	-150.8128
35.500000	95.231	-154.8624
36.000000	95.277	-158.8955
36.500000	95.332	-163.0764
37.000000	95.379	-167.3874
37.500000	95.405	-171.7180
38.200001	95.417	-177.6443
38.700001	95.440	178.1771
39.500000	95.501	171.3419
40.000000	95.531	166.9809
40.599998	95.552	161.7794
41.200001	95.579	156.5937
41.799999	95.612	151.3499
42.500000	95.644	145.2150
43.099998	95.665	139.9769
43.700001	95.691	134.7419
44.400002	95.731	128.5849
45.000000	95.764	123.1857
45.500000	95.782	118.6700
46.200001	95.792	112.4287
46.799999	95.805	107.1205
47.500000	95.829	100.8424
48.200001	95.847	94.4963
48.700001	95.857	89.9799
49.400002	95.856	83.7241
50.000000	95.856	78.3969
50.799999	95.909	71.1353
51.500000	95.941	64.6681
52.200001	95.957	58.1682
53.000000	95.967	50.7470
53.799999	95.968	43.3475
54.500000	95.976	36.9334
55.200001	95.999	30.4767
56.000000	96.025	22.9669
57.000000	96.040	13.5215
58.000000	96.040	4.1173
59.000000	96.053	-5.2682
60.000000	96.049	-14.8112
60.799999	96.045	-22.2979
61.500000	96.058	-28.9390
62.200001	96.065	-35.6456
63.000000	96.074	-43.2288
64.000000	96.091	-52.8636
65.000000	96.095	-62.5588
66.000000	96.100	-72.3016
67.000000	96.088	-82.0189
68.000000	96.089	-91.7169
69.000000	96.081	-101.5145
70.000000	96.072	-111.2682
71.000000	96.072	-121.1102
72.000000	96.065	-130.9072
73.000000	96.071	-140.7584
74.000000	96.073	-150.7664
75.000000	96.048	-160.7042
76.199997	96.042	-172.5958
77.500000	96.030	174.4124
78.800003	96.021	161.4163
80.000000	96.028	149.4722
81.199997	96.028	137.1780
82.500000	95.982	124.1417
