* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 27, 2022 6:40:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Altec iM716Bass L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.926	68.4870
20.299999	86.065	68.1357
20.600000	86.212	67.9020
20.900000	86.367	67.7289
21.200001	86.532	67.5402
21.400000	86.645	67.3825
21.799999	86.860	66.9856
22.000000	86.961	66.7628
22.400000	87.145	66.3008
22.700001	87.267	65.9534
23.000000	87.375	65.6202
23.299999	87.470	65.3147
23.600000	87.556	65.0347
24.000000	87.664	64.6990
24.299999	87.741	64.4818
24.700001	87.847	64.2221
25.000000	87.932	64.0316
25.400000	88.053	63.7535
25.799999	88.185	63.4094
26.200001	88.320	62.9606
26.500000	88.418	62.5710
26.900000	88.541	62.0366
27.200001	88.626	61.6191
27.600000	88.736	61.0893
28.000000	88.847	60.6012
28.500000	88.991	60.0023
29.000000	89.129	59.4226
29.500000	89.260	58.8851
30.000000	89.386	58.4140
30.400000	89.489	58.0584
30.700001	89.565	57.7912
31.100000	89.663	57.4341
31.500000	89.758	57.0896
32.000000	89.872	56.6706
32.500000	89.985	56.2709
33.000000	90.098	55.8289
33.500000	90.208	55.3133
34.000000	90.305	54.7491
34.500000	90.398	54.1626
35.000000	90.485	53.6107
35.500000	90.572	53.1387
36.000000	90.666	52.7254
36.500000	90.770	52.2549
37.000000	90.878	51.7389
37.500000	90.978	51.1998
38.200001	91.091	50.4535
38.700001	91.161	49.9805
39.500000	91.278	49.3873
40.000000	91.360	49.0516
40.599998	91.456	48.6062
41.200001	91.549	48.0900
41.799999	91.636	47.5349
42.500000	91.730	46.9273
43.099998	91.807	46.4102
43.700001	91.880	45.8595
44.400002	91.956	45.2493
45.000000	92.021	44.7823
45.500000	92.085	44.4256
46.200001	92.174	43.8733
46.799999	92.237	43.3570
47.500000	92.303	42.8163
48.200001	92.379	42.3195
48.700001	92.437	41.9267
49.400002	92.492	41.3862
50.000000	92.525	41.0177
50.799999	92.622	40.5071
51.500000	92.701	40.0007
