* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 7:31:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Ashida EA-HF1 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	63.573	-178.3562
20.299999	63.569	-178.8082
20.600000	63.564	-179.2654
20.900000	63.557	-179.7125
21.200001	63.549	179.8643
21.400000	63.545	179.5986
21.799999	63.541	179.0981
22.000000	63.541	178.8566
22.400000	63.543	178.3772
22.700001	63.545	178.0151
23.000000	63.544	177.6553
23.299999	63.541	177.3068
23.600000	63.536	176.9783
24.000000	63.528	176.5759
24.299999	63.522	176.2931
24.700001	63.516	175.9215
25.000000	63.512	175.6356
25.400000	63.503	175.2419
25.799999	63.488	174.8481
26.200001	63.471	174.4739
26.500000	63.457	174.2101
26.900000	63.440	173.8673
27.200001	63.428	173.6022
27.600000	63.413	173.2209
28.000000	63.397	172.8093
28.500000	63.371	172.2885
29.000000	63.342	171.8051
29.500000	63.317	171.3570
30.000000	63.298	170.9057
30.400000	63.285	170.5340
30.700001	63.273	170.2593
31.100000	63.257	169.9157
31.500000	63.241	169.6036
32.000000	63.227	169.2339
32.500000	63.215	168.8493
33.000000	63.200	168.4467
33.500000	63.179	168.0592
34.000000	63.152	167.7069
34.500000	63.135	167.3679
35.000000	63.120	167.0054
35.500000	63.102	166.6135
36.000000	63.078	166.2231
36.500000	63.050	165.8667
37.000000	63.024	165.5474
37.500000	63.003	165.2404
38.200001	62.975	164.7829
38.700001	62.954	164.4321
39.500000	62.913	163.8806
40.000000	62.885	163.5707
40.599998	62.854	163.2324
41.200001	62.828	162.8969
41.799999	62.802	162.5365
42.500000	62.767	162.1025
43.099998	62.731	161.7589
43.700001	62.697	161.4493
44.400002	62.661	161.1002
45.000000	62.632	160.7909
45.500000	62.607	160.5251
46.200001	62.570	160.1518
46.799999	62.537	159.8361
47.500000	62.495	159.4642
48.200001	62.445	159.1173
48.700001	62.405	158.9372
49.400002	62.365	158.7856
50.000000	62.352	158.6189
50.799999	62.337	158.1744
51.500000	62.296	157.7225
52.200001	62.246	157.4059
53.000000	62.208	157.1154
53.799999	62.175	156.7275
54.500000	62.135	156.3777
55.200001	62.093	156.0889
56.000000	62.054	155.7513
57.000000	61.993	155.2720
58.000000	61.924	154.9286
59.000000	61.876	154.5914
60.000000	61.822	154.1294
60.799999	61.769	153.8097
61.500000	61.730	153.5657
62.200001	61.694	153.3036
63.000000	61.652	152.9881
64.000000	61.595	152.6292
65.000000	61.542	152.2939
66.000000	61.485	151.9453
67.000000	61.429	151.6754
68.000000	61.385	151.3214
69.000000	61.316	150.9645
70.000000	61.267	150.7727
71.000000	61.228	150.3517
72.000000	61.154	150.0009
73.000000	61.106	149.8038
74.000000	61.062	149.4258
75.000000	60.996	149.0980
76.199997	60.931	148.8095
77.500000	60.856	148.4250
78.800003	60.782	148.1299
80.000000	60.717	147.7969
81.199997	60.646	147.5277
82.500000	60.585	147.2133
83.800003	60.512	146.8805
85.000000	60.456	146.5939
86.199997	60.384	146.2661
87.500000	60.313	146.0427
88.500000	60.256	145.8117
90.000000	60.169	145.6155
91.199997	60.116	145.3920
92.500000	60.047	145.1246
93.800003	59.985	144.8786
95.000000	59.924	144.6405
96.199997	59.863	144.4655
97.500000	59.800	144.2712
98.800003	59.737	144.1646
100.000000	59.688	143.9455
101.500000	59.593	143.7979
103.000000	59.521	143.6758
104.400002	59.454	143.5711
106.000000	59.378	143.3951
107.500000	59.306	143.2079
109.000000	59.236	143.0331
110.599998	59.157	142.9310
112.000000	59.106	142.7443
113.800003	59.012	142.6149
115.000000	58.956	142.5150
117.199997	58.851	142.3151
118.000000	58.817	142.2819
120.599998	58.675	142.1032
122.000000	58.634	141.9828
124.099998	58.541	141.8990
125.000000	58.493	141.8670
126.500000	58.441	141.8522
128.000000	58.367	141.7227
131.500000	58.223	141.5358
132.000000	58.201	141.5020
134.000000	58.119	141.4277
136.000000	58.029	141.4130
138.000000	57.940	141.2147
140.000000	57.858	141.1379
143.000000	57.721	140.9125
145.000000	57.644	140.8297
147.500000	57.545	140.7101
150.000000	57.440	140.4746
152.500000	57.352	140.4755
155.000000	57.247	140.4539
157.500000	57.144	140.3915
160.000000	57.061	140.2336
162.500000	56.965	140.2079
165.000000	56.871	140.2302
167.500000	56.776	140.2213
170.000000	56.686	140.0239
172.500000	56.609	140.0396
175.000000	56.521	140.1195
177.500000	56.439	140.0634
180.000000	56.356	140.0538
182.500000	56.283	140.0554
185.000000	56.203	140.0409
187.500000	56.125	140.0302
190.000000	56.044	140.0319
192.500000	55.970	140.0373
195.000000	55.893	140.0675
197.500000	55.816	140.1470
200.000000	55.747	140.2258
203.000000	55.647	140.1896
206.000000	55.556	140.2368
209.000000	55.455	140.2936
212.000000	55.369	140.3459
214.000000	55.313	140.3151
218.000000	55.187	140.4889
220.000000	55.125	140.5239
224.000000	55.018	140.6765
227.000000	54.945	140.8300
230.000000	54.863	141.0372
233.000000	54.778	141.2290
236.000000	54.697	141.4229
240.000000	54.579	141.7415
243.000000	54.512	141.9214
247.000000	54.413	142.2547
250.000000	54.313	142.4848
254.000000	54.232	142.8149
258.000000	54.155	143.1832
262.000000	54.054	143.5253
265.000000	53.984	143.8088
269.000000	53.901	144.1820
272.000000	53.837	144.4604
276.000000	53.742	144.8607
280.000000	53.656	145.1717
285.000000	53.548	145.5425
290.000000	53.435	146.1189
295.000000	53.320	146.6783
300.000000	53.209	147.3907
304.000000	53.118	147.9547
307.000000	53.051	148.5206
311.000000	52.990	149.3481
315.000000	52.965	150.0822
320.000000	52.982	150.7653
325.000000	52.987	151.0101
330.000000	52.962	150.9326
335.000000	52.888	150.8337
340.000000	52.813	150.7718
345.000000	52.735	150.8793
350.000000	52.632	150.9832
355.000000	52.549	151.2185
360.000000	52.472	151.5341
365.000000	52.399	151.7211
370.000000	52.321	152.0089
375.000000	52.249	152.3064
382.000000	52.142	152.7827
387.000000	52.071	153.0334
395.000000	51.971	153.5464
400.000000	51.896	153.7877
406.000000	51.817	154.1989
412.000000	51.767	154.6049
418.000000	51.681	154.8884
425.000000	51.600	155.3843
431.000000	51.525	155.6902
437.000000	51.456	156.2087
444.000000	51.384	156.5178
450.000000	51.321	156.9943
455.000000	51.274	157.3355
462.000000	51.206	157.7924
468.000000	51.148	158.2207
