* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 6:42:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: BLON BL-03 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	66.767	-164.0929
20.299999	66.774	-164.6524
20.600000	66.781	-165.2007
20.900000	66.787	-165.7311
21.200001	66.793	-166.2415
21.400000	66.799	-166.5726
21.799999	66.813	-167.2241
22.000000	66.821	-167.5481
22.400000	66.834	-168.1924
22.700001	66.842	-168.6646
23.000000	66.847	-169.1172
23.299999	66.851	-169.5441
23.600000	66.855	-169.9450
24.000000	66.862	-170.4529
24.299999	66.870	-170.8286
24.700001	66.881	-171.3396
25.000000	66.888	-171.7334
25.400000	66.893	-172.2656
25.799999	66.893	-172.7899
26.200001	66.890	-173.2933
26.500000	66.887	-173.6553
26.900000	66.881	-174.1247
27.200001	66.877	-174.4747
27.600000	66.872	-174.9500
28.000000	66.867	-175.4387
28.500000	66.858	-176.0558
29.000000	66.845	-176.6503
29.500000	66.832	-177.2060
30.000000	66.824	-177.7380
30.400000	66.823	-178.1655
30.700001	66.823	-178.4930
31.100000	66.821	-178.9362
31.500000	66.816	-179.3741
32.000000	66.806	-179.8919
32.500000	66.795	179.6328
33.000000	66.787	179.1827
33.500000	66.781	178.7292
34.000000	66.768	178.2593
34.500000	66.758	177.7858
35.000000	66.744	177.3314
35.500000	66.730	176.9016
36.000000	66.718	176.4818
36.500000	66.708	176.0578
37.000000	66.696	175.6297
37.500000	66.685	175.2048
38.200001	66.662	174.6190
38.700001	66.646	174.2053
39.500000	66.618	173.5644
40.000000	66.599	173.1892
40.599998	66.578	172.7641
41.200001	66.560	172.3476
41.799999	66.542	171.9223
42.500000	66.517	171.4264
43.099998	66.494	171.0249
43.700001	66.473	170.6345
44.400002	66.449	170.1581
45.000000	66.423	169.7528
45.500000	66.401	169.4464
46.200001	66.375	169.0460
46.799999	66.356	168.6789
47.500000	66.329	168.2386
48.200001	66.302	167.8459
48.700001	66.287	167.5692
49.400002	66.264	167.1285
50.000000	66.234	166.7522
50.799999	66.190	166.3679
51.500000	66.166	166.0668
52.200001	66.144	165.6993
53.000000	66.110	165.2744
53.799999	66.075	164.8930
54.500000	66.045	164.5435
55.200001	66.011	164.2017
56.000000	65.974	163.8503
57.000000	65.932	163.3972
58.000000	65.888	162.9437
59.000000	65.843	162.4860
60.000000	65.791	162.0385
60.799999	65.751	161.7309
61.500000	65.723	161.4539
62.200001	65.693	161.1483
63.000000	65.657	160.8007
64.000000	65.611	160.3700
65.000000	65.562	159.9343
66.000000	65.515	159.5418
67.000000	65.473	159.1128
68.000000	65.424	158.6985
69.000000	65.380	158.3208
70.000000	65.335	157.9439
71.000000	65.292	157.5785
72.000000	65.243	157.2084
73.000000	65.194	156.9108
74.000000	65.154	156.5878
75.000000	65.108	156.2263
76.199997	65.049	155.8278
77.500000	64.986	155.4081
78.800003	64.924	155.0076
80.000000	64.868	154.6498
81.199997	64.813	154.2996
82.500000	64.751	153.9068
83.800003	64.689	153.5467
85.000000	64.633	153.2084
86.199997	64.577	152.8689
87.500000	64.513	152.5337
88.500000	64.470	152.2865
90.000000	64.396	151.9006
91.199997	64.344	151.6125
92.500000	64.279	151.2794
93.800003	64.221	150.9893
95.000000	64.167	150.6954
96.199997	64.111	150.4208
97.500000	64.050	150.1523
98.800003	63.986	149.9506
100.000000	63.945	149.7381
101.500000	63.867	149.3710
103.000000	63.798	149.1428
104.400002	63.736	148.8992
106.000000	63.670	148.6425
107.500000	63.602	148.4048
109.000000	63.536	148.2307
110.599998	63.461	148.0235
112.000000	63.396	147.8475
113.800003	63.310	147.6254
115.000000	63.260	147.4787
117.199997	63.165	147.2161
118.000000	63.124	147.1335
120.599998	63.033	146.8381
122.000000	62.951	146.7773
124.099998	62.852	146.6005
125.000000	62.810	146.5054
126.500000	62.737	146.4037
128.000000	62.668	146.2983
131.500000	62.504	146.0750
132.000000	62.475	146.0513
134.000000	62.376	146.0419
136.000000	62.270	146.0804
138.000000	62.171	146.2213
140.000000	62.073	146.5101
143.000000	61.977	147.0556
145.000000	61.969	147.3611
147.500000	61.973	147.2244
150.000000	61.942	146.7657
152.500000	61.883	146.4250
155.000000	61.799	146.0271
157.500000	61.703	145.7203
160.000000	61.610	145.4611
162.500000	61.516	145.2684
165.000000	61.417	145.1035
167.500000	61.323	144.9648
170.000000	61.228	144.8786
172.500000	61.138	144.7963
175.000000	61.050	144.7927
177.500000	60.969	144.7699
180.000000	60.886	144.8234
182.500000	60.813	144.8559
185.000000	60.749	144.9924
187.500000	60.693	145.1086
190.000000	60.641	145.1747
192.500000	60.600	145.1698
195.000000	60.554	145.0576
197.500000	60.494	144.9512
200.000000	60.436	144.8472
203.000000	60.366	144.6856
206.000000	60.286	144.5963
209.000000	60.205	144.5022
212.000000	60.126	144.4178
214.000000	60.069	144.3715
218.000000	59.959	144.3369
220.000000	59.905	144.3016
224.000000	59.789	144.2710
227.000000	59.709	144.2908
230.000000	59.634	144.2922
233.000000	59.557	144.3102
236.000000	59.480	144.3881
240.000000	59.368	144.4146
243.000000	59.296	144.4765
247.000000	59.206	144.6479
250.000000	59.132	144.7921
254.000000	59.055	144.9369
258.000000	58.968	145.2316
262.000000	58.879	145.4772
265.000000	58.814	145.6849
269.000000	58.738	145.9601
272.000000	58.670	146.1214
276.000000	58.591	146.4492
280.000000	58.517	146.7249
285.000000	58.419	147.1277
290.000000	58.325	147.4499
295.000000	58.236	147.7981
300.000000	58.144	148.1476
304.000000	58.073	148.4939
307.000000	58.021	148.7436
311.000000	57.947	149.0719
315.000000	57.876	149.3814
320.000000	57.785	149.7977
325.000000	57.702	150.2114
330.000000	57.626	150.6143
335.000000	57.538	151.0526
340.000000	57.460	151.5248
345.000000	57.392	151.9905
350.000000	57.325	152.3774
355.000000	57.246	152.6998
