* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 8:43:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CCA NRA R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	57.459	-129.1011
20.299999	57.515	-129.6861
20.600000	57.572	-130.2850
20.900000	57.631	-130.9016
21.200001	57.688	-131.5300
21.400000	57.726	-131.9480
21.799999	57.798	-132.7529
22.000000	57.833	-133.1283
22.400000	57.907	-133.8173
22.700001	57.968	-134.2931
23.000000	58.034	-134.7615
23.299999	58.105	-135.2488
23.600000	58.173	-135.7683
24.000000	58.253	-136.4916
24.299999	58.301	-137.0162
24.700001	58.352	-137.6324
25.000000	58.386	-138.0173
25.400000	58.435	-138.4542
25.799999	58.489	-138.8693
26.200001	58.545	-139.3119
26.500000	58.583	-139.6631
26.900000	58.626	-140.1344
27.200001	58.655	-140.4791
27.600000	58.692	-140.9337
28.000000	58.731	-141.4045
28.500000	58.776	-142.0352
29.000000	58.815	-142.6814
29.500000	58.848	-143.2967
30.000000	58.883	-143.8732
30.400000	58.916	-144.3200
30.700001	58.942	-144.6499
31.100000	58.975	-145.0773
31.500000	59.008	-145.4822
32.000000	59.050	-145.9563
32.500000	59.092	-146.4079
33.000000	59.132	-146.8409
33.500000	59.166	-147.2365
34.000000	59.193	-147.5755
34.500000	59.233	-147.8712
35.000000	59.280	-148.1798
35.500000	59.332	-148.5627
36.000000	59.377	-149.0324
36.500000	59.407	-149.5336
37.000000	59.426	-149.9870
37.500000	59.446	-150.3663
38.200001	59.485	-150.8927
38.700001	59.517	-151.3534
39.500000	59.543	-152.1318
40.000000	59.549	-152.5012
40.599998	59.571	-152.8226
41.200001	59.615	-153.1798
41.799999	59.659	-153.6668
42.500000	59.685	-154.2531
43.099998	59.699	-154.6276
43.700001	59.727	-154.9379
44.400002	59.770	-155.3926
45.000000	59.795	-155.8661
45.500000	59.804	-156.2379
46.200001	59.810	-156.6414
46.799999	59.825	-156.9229
47.500000	59.851	-157.3032
48.200001	59.868	-157.7353
48.700001	59.873	-157.9966
49.400002	59.888	-158.2785
50.000000	59.914	-158.5550
50.799999	59.939	-159.0312
51.500000	59.948	-159.3917
52.200001	59.967	-159.6880
53.000000	59.995	-160.1253
53.799999	60.004	-160.5785
54.500000	60.009	-160.8599
55.200001	60.027	-161.1267
56.000000	60.047	-161.4856
57.000000	60.066	-161.9033
58.000000	60.087	-162.3524
59.000000	60.095	-162.7924
60.000000	60.104	-163.1745
60.799999	60.115	-163.4828
61.500000	60.127	-163.7561
62.200001	60.139	-164.0485
63.000000	60.147	-164.3550
64.000000	60.166	-164.6667
65.000000	60.187	-165.0367
66.000000	60.203	-165.3172
67.000000	60.233	-165.6769
68.000000	60.227	-166.0807
69.000000	60.230	-166.2479
70.000000	60.246	-166.5629
71.000000	60.247	-166.7898
72.000000	60.273	-167.0836
73.000000	60.265	-167.4507
74.000000	60.271	-167.5657
75.000000	60.297	-167.8517
