* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 8:33:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CCZ Emerald L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.601	-142.0331
20.299999	62.639	-142.6685
20.600000	62.680	-143.2980
20.900000	62.721	-143.9262
21.200001	62.762	-144.5524
21.400000	62.790	-144.9664
21.799999	62.846	-145.7782
22.000000	62.874	-146.1736
22.400000	62.929	-146.9429
22.700001	62.971	-147.5051
23.000000	63.013	-148.0588
23.299999	63.053	-148.6053
23.600000	63.090	-149.1410
24.000000	63.135	-149.8245
24.299999	63.167	-150.3051
24.700001	63.208	-150.9030
25.000000	63.240	-151.3322
25.400000	63.284	-151.9042
25.799999	63.326	-152.4955
26.200001	63.362	-153.0993
26.500000	63.385	-153.5444
26.900000	63.408	-154.1098
27.200001	63.423	-154.5118
27.600000	63.446	-155.0355
28.000000	63.471	-155.5681
28.500000	63.501	-156.2608
29.000000	63.526	-156.9601
29.500000	63.547	-157.6353
30.000000	63.569	-158.2819
30.400000	63.590	-158.7872
30.700001	63.606	-159.1618
31.100000	63.626	-159.6528
31.500000	63.646	-160.1297
32.000000	63.671	-160.7045
32.500000	63.696	-161.2630
33.000000	63.720	-161.8172
33.500000	63.742	-162.3711
34.000000	63.753	-162.9157
34.500000	63.768	-163.4364
35.000000	63.782	-163.9298
35.500000	63.798	-164.4129
36.000000	63.815	-164.9096
36.500000	63.830	-165.4249
37.000000	63.841	-165.9384
37.500000	63.850	-166.4277
38.200001	63.859	-167.0774
38.700001	63.870	-167.5456
39.500000	63.886	-168.3281
40.000000	63.890	-168.8132
40.599998	63.893	-169.3609
41.200001	63.897	-169.8749
41.799999	63.902	-170.3760
42.500000	63.908	-170.9557
43.099998	63.913	-171.4496
43.700001	63.916	-171.9443
44.400002	63.916	-172.5067
45.000000	63.917	-172.9657
45.500000	63.919	-173.3479
46.200001	63.921	-173.8971
46.799999	63.918	-174.3529
47.500000	63.916	-174.8529
48.200001	63.917	-175.3658
48.700001	63.914	-175.7350
49.400002	63.908	-176.2107
