* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 8:35:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CCZ Emerald R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.803	-140.1072
20.299999	62.844	-140.7697
20.600000	62.884	-141.4027
20.900000	62.925	-142.0067
21.200001	62.970	-142.5922
21.400000	63.004	-142.9805
21.799999	63.073	-143.7683
22.000000	63.108	-144.1702
22.400000	63.174	-144.9808
22.700001	63.219	-145.5782
23.000000	63.260	-146.1523
23.299999	63.299	-146.6957
23.600000	63.336	-147.2091
24.000000	63.386	-147.8583
24.299999	63.424	-148.3286
24.700001	63.472	-148.9426
25.000000	63.506	-149.3946
25.400000	63.549	-149.9853
25.799999	63.589	-150.5634
26.200001	63.627	-151.1345
26.500000	63.654	-151.5628
26.900000	63.685	-152.1387
27.200001	63.705	-152.5746
27.600000	63.729	-153.1565
28.000000	63.749	-153.7301
28.500000	63.773	-154.4239
29.000000	63.798	-155.0965
29.500000	63.826	-155.7686
30.000000	63.855	-156.4525
30.400000	63.879	-156.9990
30.700001	63.896	-157.3996
31.100000	63.918	-157.9145
31.500000	63.940	-158.4089
32.000000	63.968	-159.0106
32.500000	63.997	-159.6042
33.000000	64.022	-160.1868
33.500000	64.044	-160.7504
34.000000	64.059	-161.2930
34.500000	64.080	-161.8208
35.000000	64.099	-162.3425
35.500000	64.117	-162.8620
36.000000	64.133	-163.3750
36.500000	64.148	-163.8789
37.000000	64.164	-164.3853
37.500000	64.180	-164.9122
38.200001	64.188	-165.6656
38.700001	64.188	-166.1618
39.500000	64.194	-166.8471
40.000000	64.208	-167.2739
40.599998	64.225	-167.8409
41.200001	64.233	-168.4226
41.799999	64.234	-168.9528
42.500000	64.239	-169.5083
43.099998	64.247	-169.9803
43.700001	64.253	-170.4646
44.400002	64.256	-171.0197
45.000000	64.257	-171.4734
45.500000	64.257	-171.8427
46.200001	64.253	-172.3462
46.799999	64.247	-172.7389
47.500000	64.244	-173.1431
48.200001	64.249	-173.5496
48.700001	64.253	-173.8573
49.400002	64.255	-174.2671
50.000000	64.261	-174.5931
50.799999	64.279	-175.0768
51.500000	64.291	-175.5624
52.200001	64.300	-176.0627
53.000000	64.305	-176.6667
53.799999	64.294	-177.2650
54.500000	64.278	-177.7022
55.200001	64.269	-178.0937
56.000000	64.261	-178.5498
57.000000	64.250	-179.0971
58.000000	64.240	-179.6512
59.000000	64.226	179.8336
60.000000	64.222	179.2871
60.799999	64.208	178.8056
61.500000	64.194	178.4418
62.200001	64.185	178.0941
63.000000	64.173	177.6677
64.000000	64.157	177.1835
65.000000	64.149	176.6662
66.000000	64.128	176.1155
67.000000	64.106	175.6318
68.000000	64.085	175.1626
69.000000	64.071	174.7147
70.000000	64.057	174.2063
71.000000	64.035	173.7702
72.000000	64.027	173.3235
73.000000	64.006	172.8152
74.000000	63.982	172.4147
75.000000	63.965	171.9801
76.199997	63.934	171.4719
77.500000	63.906	170.9388
78.800003	63.876	170.4043
80.000000	63.849	169.9155
81.199997	63.821	169.4475
82.500000	63.793	168.9374
83.800003	63.760	168.4304
85.000000	63.730	167.9907
86.199997	63.700	167.5588
87.500000	63.670	167.1190
88.500000	63.649	166.7480
90.000000	63.607	166.2373
91.199997	63.585	165.8546
92.500000	63.554	165.3643
93.800003	63.518	164.9384
95.000000	63.486	164.5527
96.199997	63.456	164.1746
97.500000	63.423	163.7661
98.800003	63.382	163.3587
100.000000	63.354	163.0659
101.500000	63.317	162.5280
103.000000	63.271	162.1266
104.400002	63.235	161.7307
106.000000	63.193	161.3182
107.500000	63.156	160.9730
109.000000	63.119	160.6088
110.599998	63.072	160.2571
112.000000	63.032	159.9213
113.800003	62.981	159.5587
115.000000	62.947	159.2911
117.199997	62.880	158.7238
118.000000	62.854	158.6305
120.599998	62.782	158.2130
122.000000	62.752	157.8772
124.099998	62.693	157.4570
125.000000	62.668	157.2876
126.500000	62.626	157.0328
128.000000	62.587	156.7563
131.500000	62.493	156.1009
132.000000	62.472	156.0953
134.000000	62.413	155.8004
136.000000	62.354	155.4621
138.000000	62.297	155.1629
140.000000	62.242	154.9123
143.000000	62.150	154.4868
145.000000	62.099	154.1924
147.500000	62.027	153.8698
150.000000	61.958	153.5508
152.500000	61.880	153.1767
155.000000	61.802	152.8222
157.500000	61.729	152.4521
160.000000	61.657	152.1003
162.500000	61.582	151.7551
165.000000	61.512	151.4588
167.500000	61.436	151.1328
170.000000	61.362	150.8368
172.500000	61.297	150.5442
175.000000	61.237	150.2285
177.500000	61.172	149.9204
180.000000	61.105	149.6726
182.500000	61.041	149.3737
185.000000	60.980	149.1575
187.500000	60.915	148.9225
190.000000	60.846	148.6982
192.500000	60.777	148.4276
195.000000	60.699	148.0844
197.500000	60.647	147.9823
200.000000	60.581	147.7178
203.000000	60.503	147.5367
206.000000	60.420	147.3067
209.000000	60.343	147.2159
212.000000	60.257	146.8719
214.000000	60.207	146.6944
218.000000	60.103	146.4220
220.000000	60.042	146.2777
224.000000	59.939	146.0729
227.000000	59.860	145.8821
230.000000	59.783	145.7392
233.000000	59.701	145.6067
236.000000	59.624	145.4273
240.000000	59.514	145.2153
243.000000	59.430	145.1403
247.000000	59.321	145.0436
250.000000	59.246	145.0858
254.000000	59.151	145.0583
258.000000	59.066	145.2053
262.000000	58.989	145.3843
265.000000	58.935	145.4995
269.000000	58.871	145.5977
272.000000	58.816	145.6186
276.000000	58.737	145.6274
280.000000	58.663	145.7006
