* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control. Timing signal peak level -7.5 dBFS, measurement signal peak level -8.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 23, 2022 2:39:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -1.5621 ms (-536 mm, -(1 ft 9.09 in)) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: DIY E3000 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.362	174.5308
20.299999	107.360	174.3804
20.600000	107.362	174.2225
20.900000	107.366	174.0582
21.200001	107.372	173.8762
21.400000	107.378	173.7477
21.799999	107.384	173.4966
22.000000	107.387	173.3935
22.400000	107.393	173.2489
22.700001	107.400	173.1803
23.000000	107.408	173.1319
23.299999	107.416	173.0939
23.600000	107.422	173.0507
24.000000	107.428	172.9853
24.299999	107.427	172.9539
24.700001	107.423	172.9453
25.000000	107.421	172.9537
25.400000	107.421	172.9540
25.799999	107.419	172.9096
26.200001	107.408	172.8113
26.500000	107.393	172.7385
26.900000	107.366	172.6958
27.200001	107.346	172.6712
27.600000	107.328	172.6280
28.000000	107.317	172.5339
28.500000	107.300	172.3204
29.000000	107.271	172.1424
29.500000	107.250	172.0869
30.000000	107.254	172.0565
30.400000	107.275	171.9159
30.700001	107.285	171.7213
31.100000	107.281	171.4053
31.500000	107.254	171.1539
32.000000	107.205	171.0597
32.500000	107.168	171.2103
33.000000	107.158	171.3917
33.500000	107.159	171.4495
34.000000	107.149	171.4006
34.500000	107.131	171.3073
35.000000	107.106	171.2168
35.500000	107.079	171.1378
36.000000	107.047	171.0629
36.500000	107.014	170.9481
37.000000	106.985	170.8573
37.500000	106.964	170.7886
38.200001	106.937	170.6396
38.700001	106.923	170.4926
39.500000	106.908	170.2915
40.000000	106.906	170.1851
40.599998	106.903	170.0583
41.200001	106.902	169.9257
41.799999	106.901	169.8057
42.500000	106.897	169.7516
43.099998	106.895	169.7424
43.700001	106.893	169.7114
44.400002	106.884	169.6718
45.000000	106.873	169.6413
45.500000	106.866	169.6338
46.200001	106.850	169.6025
46.799999	106.829	169.5492
47.500000	106.803	169.4801
48.200001	106.780	169.4014
48.700001	106.766	169.3463
49.400002	106.732	169.3228
50.000000	106.702	169.3378
50.799999	106.710	169.2461
51.500000	106.704	169.1462
52.200001	106.689	169.0625
53.000000	106.669	169.0071
53.799999	106.647	168.9627
54.500000	106.626	168.9343
55.200001	106.605	168.9160
56.000000	106.580	168.8833
57.000000	106.545	168.8648
58.000000	106.509	168.8499
59.000000	106.475	168.8436
60.000000	106.439	168.7825
60.799999	106.409	168.7890
61.500000	106.388	168.7788
62.200001	106.369	168.7569
63.000000	106.344	168.7628
64.000000	106.304	168.7679
65.000000	106.268	168.7809
66.000000	106.234	168.7735
67.000000	106.195	168.7656
68.000000	106.156	168.7881
69.000000	106.122	168.7811
70.000000	106.080	168.7588
71.000000	106.046	168.7913
72.000000	106.016	168.8139
73.000000	105.978	168.8178
74.000000	105.940	168.8353
75.000000	105.896	168.9152
76.199997	105.857	168.9512
77.500000	105.801	168.9967
78.800003	105.756	169.0624
80.000000	105.707	169.1446
81.199997	105.661	169.2360
82.500000	105.609	169.3145
83.800003	105.562	169.3678
85.000000	105.514	169.4914
86.199997	105.468	169.5914
87.500000	105.424	169.7138
88.500000	105.389	169.8188
90.000000	105.334	169.8988
91.199997	105.282	170.0106
92.500000	105.243	170.0800
93.800003	105.192	170.1782
95.000000	105.148	170.2861
96.199997	105.106	170.4542
97.500000	105.052	170.6319
98.800003	105.003	170.7831
100.000000	104.957	171.7520
101.500000	104.925	171.0899
103.000000	104.859	171.2713
104.400002	104.797	171.3810
106.000000	104.752	171.6377
107.500000	104.690	171.7878
109.000000	104.637	172.0518
110.599998	104.575	172.2513
112.000000	104.517	172.4586
