* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 8:53:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DQSM Hermit L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	54.132	-113.8940
20.299999	54.149	-114.8352
20.600000	54.148	-115.5892
20.900000	54.150	-116.1075
21.200001	54.174	-116.4099
21.400000	54.213	-116.5370
21.799999	54.347	-116.7938
22.000000	54.437	-116.9947
22.400000	54.644	-117.6222
22.700001	54.802	-118.2973
23.000000	54.948	-119.1027
23.299999	55.075	-119.9773
23.600000	55.176	-120.8510
24.000000	55.269	-121.8763
24.299999	55.315	-122.4330
24.700001	55.370	-122.7821
25.000000	55.431	-122.7773
25.400000	55.568	-122.6343
25.799999	55.764	-122.7295
26.200001	55.963	-123.3272
26.500000	56.073	-124.0528
26.900000	56.141	-125.0629
27.200001	56.142	-125.6093
27.600000	56.137	-125.8840
28.000000	56.187	-125.8432
28.500000	56.350	-126.0767
29.000000	56.513	-127.1924
29.500000	56.560	-128.7327
30.000000	56.511	-129.7639
30.400000	56.493	-130.0136
30.700001	56.529	-130.0666
31.100000	56.639	-130.3423
31.500000	56.765	-131.0760
32.000000	56.851	-132.3438
32.500000	56.850	-133.2752
33.000000	56.862	-133.4737
33.500000	56.977	-133.3622
34.000000	57.166	-133.6667
34.500000	57.346	-134.5687
35.000000	57.446	-135.6414
35.500000	57.484	-136.4074
36.000000	57.525	-136.7752
36.500000	57.608	-137.0280
37.000000	57.716	-137.4738
37.500000	57.807	-138.1599
38.200001	57.873	-139.2016
38.700001	57.898	-139.8455
39.500000	57.927	-140.7786
40.000000	57.933	-141.3104
40.599998	57.935	-141.7560
41.200001	57.969	-141.9763
41.799999	58.064	-142.2561
42.500000	58.204	-143.1241
43.099998	58.263	-144.2450
43.700001	58.239	-145.0983
44.400002	58.227	-145.2510
45.000000	58.326	-145.2605
45.500000	58.440	-145.7334
46.200001	58.520	-146.8678
46.799999	58.518	-147.5907
47.500000	58.529	-148.1473
48.200001	58.527	-148.8139
48.700001	58.493	-149.0764
49.400002	58.504	-148.9669
50.000000	58.598	-149.1875
50.799999	58.652	-150.2344
51.500000	58.618	-150.5974
52.200001	58.700	-150.5784
