* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 8:54:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DQSM Hermit R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	53.460	-116.3029
20.299999	53.533	-116.7286
20.600000	53.621	-117.2494
20.900000	53.711	-117.8955
21.200001	53.792	-118.6339
21.400000	53.838	-119.1320
21.799999	53.915	-119.9980
22.000000	53.955	-120.3244
22.400000	54.060	-120.7910
22.700001	54.175	-121.1082
23.000000	54.317	-121.5477
23.299999	54.466	-122.1967
23.600000	54.597	-123.0431
24.000000	54.716	-124.2701
24.299999	54.763	-125.0589
24.700001	54.801	-125.7384
25.000000	54.841	-125.9952
25.400000	54.933	-126.2130
25.799999	55.056	-126.5623
26.200001	55.174	-127.1229
26.500000	55.245	-127.6021
26.900000	55.318	-128.1898
27.200001	55.370	-128.5707
27.600000	55.447	-129.0874
28.000000	55.526	-129.7173
28.500000	55.594	-130.6249
29.000000	55.627	-131.3561
29.500000	55.675	-131.7569
30.000000	55.783	-132.1399
30.400000	55.897	-132.6987
30.700001	55.972	-133.2815
31.100000	56.038	-134.1398
31.500000	56.069	-134.8790
32.000000	56.098	-135.4795
32.500000	56.155	-135.8674
33.000000	56.235	-136.3056
33.500000	56.309	-136.8246
34.000000	56.367	-137.2945
34.500000	56.443	-137.7138
35.000000	56.528	-138.2341
35.500000	56.597	-138.9007
36.000000	56.636	-139.5427
36.500000	56.668	-140.0013
37.000000	56.723	-140.3633
37.500000	56.802	-140.8487
38.200001	56.890	-141.8114
38.700001	56.926	-142.5079
39.500000	56.968	-143.4426
40.000000	56.991	-143.9469
40.599998	57.018	-144.3898
41.200001	57.081	-144.7176
41.799999	57.181	-145.3206
42.500000	57.243	-146.5218
43.099998	57.205	-147.3430
43.700001	57.172	-147.5211
44.400002	57.252	-147.6006
45.000000	57.360	-148.2605
45.500000	57.402	-149.0966
46.200001	57.385	-150.0340
46.799999	57.373	-150.3856
47.500000	57.424	-150.6479
48.200001	57.515	-151.1829
48.700001	57.569	-151.7454
49.400002	57.608	-152.5465
50.000000	57.621	-153.0640
50.799999	57.650	-153.5428
51.500000	57.688	-153.9030
52.200001	57.739	-154.1810
53.000000	57.843	-154.6113
53.799999	57.935	-155.6061
54.500000	57.923	-156.5855
55.200001	57.869	-157.0579
56.000000	57.875	-157.2527
57.000000	57.920	-158.0991
58.000000	57.867	-158.9113
59.000000	57.867	-159.2067
60.000000	57.917	-160.0008
60.799999	57.904	-160.6554
61.500000	57.907	-160.8994
62.200001	57.963	-161.1894
63.000000	58.024	-161.8678
64.000000	58.031	-162.6592
65.000000	58.033	-163.0270
66.000000	58.078	-163.3059
67.000000	58.123	-164.0307
68.000000	58.061	-164.6802
69.000000	58.046	-164.6254
70.000000	58.113	-165.1550
71.000000	58.095	-165.9005
72.000000	58.100	-166.2943
73.000000	58.117	-166.9762
74.000000	58.099	-167.5361
75.000000	58.095	-168.0037
76.199997	58.087	-168.5116
77.500000	58.090	-169.1266
78.800003	58.095	-169.6123
80.000000	58.107	-170.4039
81.199997	58.064	-170.8531
82.500000	58.071	-171.3229
83.800003	58.056	-171.8130
85.000000	58.041	-172.4436
86.199997	57.997	-172.9060
87.500000	58.002	-173.6102
88.500000	57.948	-174.3679
90.000000	57.880	-174.8244
91.199997	57.835	-175.4495
92.500000	57.738	-175.7829
93.800003	57.605	-176.2055
95.000000	57.422	-175.7827
96.199997	57.356	-175.7872
97.500000	57.117	-174.7700
98.800003	57.290	-174.9571
100.000000	56.917	-174.0637
101.500000	57.550	-171.6929
103.000000	57.763	-173.0283
104.400002	57.932	-174.0634
106.000000	58.046	-174.4687
107.500000	58.070	-175.2212
109.000000	58.098	-175.9991
110.599998	58.117	-176.9949
112.000000	58.107	-177.6668
113.800003	58.114	-178.6461
115.000000	58.093	-178.9840
117.199997	58.103	-179.5895
118.000000	58.055	179.9810
120.599998	58.121	179.9071
122.000000	58.033	178.7411
124.099998	57.967	178.0958
125.000000	57.964	177.9720
126.500000	57.951	177.5262
128.000000	57.942	177.1839
131.500000	57.899	176.3769
132.000000	57.909	176.1910
134.000000	57.860	175.6130
136.000000	57.875	175.0923
138.000000	57.823	174.7194
140.000000	57.787	174.3305
143.000000	57.758	173.4465
145.000000	57.709	173.2021
147.500000	57.700	172.7582
150.000000	57.629	172.2572
152.500000	57.592	171.8942
155.000000	57.573	171.6400
157.500000	57.515	171.3508
160.000000	57.486	170.9768
162.500000	57.434	170.6542
165.000000	57.423	170.3348
167.500000	57.383	170.0152
170.000000	57.354	169.6149
172.500000	57.323	169.2886
175.000000	57.265	169.0756
177.500000	57.242	168.7283
180.000000	57.214	168.4623
182.500000	57.178	168.1301
185.000000	57.141	168.0205
187.500000	57.088	167.6229
190.000000	57.064	167.3628
192.500000	57.030	167.2723
195.000000	56.986	166.9656
197.500000	56.940	166.8007
200.000000	56.921	166.7090
203.000000	56.917	166.9825
206.000000	56.804	166.1956
209.000000	56.744	165.8452
212.000000	56.718	165.4808
214.000000	56.680	165.3614
218.000000	56.609	164.7806
220.000000	56.576	164.8307
224.000000	56.490	164.3401
227.000000	56.434	164.0866
230.000000	56.429	163.8773
233.000000	56.347	163.6870
236.000000	56.293	163.3767
240.000000	56.216	163.0163
243.000000	56.191	162.8926
247.000000	56.105	162.6109
250.000000	56.067	162.3318
254.000000	56.012	162.1011
258.000000	55.923	161.9301
262.000000	55.884	161.6710
265.000000	55.828	161.5325
269.000000	55.763	161.2498
272.000000	55.721	161.2248
276.000000	55.670	160.9508
280.000000	55.594	160.7848
285.000000	55.522	160.7081
290.000000	55.436	160.2719
295.000000	55.361	160.2398
300.000000	55.287	159.9964
304.000000	55.226	159.8267
307.000000	55.172	159.7551
311.000000	55.028	159.3141
315.000000	55.055	159.5017
320.000000	54.984	159.3589
325.000000	54.929	159.4395
330.000000	54.844	159.1758
335.000000	54.749	158.8708
340.000000	54.674	158.8311
345.000000	54.595	158.8658
350.000000	54.520	158.9218
355.000000	54.465	158.9696
360.000000	54.403	159.0985
365.000000	54.334	159.3026
370.000000	54.245	159.3627
375.000000	54.179	159.5288
382.000000	54.096	159.6950
387.000000	54.009	160.0034
395.000000	53.925	160.2477
400.000000	53.855	160.5246
406.000000	53.765	160.7197
412.000000	53.728	161.0581
418.000000	53.641	161.1901
425.000000	53.553	161.4943
431.000000	53.479	161.7784
437.000000	53.419	162.1307
444.000000	53.334	162.5333
450.000000	53.264	162.7634
455.000000	53.226	163.0886
462.000000	53.145	163.4902
468.000000	53.069	163.9631
475.000000	52.990	164.2801
482.000000	52.927	164.7328
487.000000	52.868	164.9563
494.000000	52.811	165.3582
500.000000	52.761	165.7106
508.000000	52.660	165.9376
515.000000	52.591	166.1682
522.000000	52.528	166.5244
530.000000	52.446	166.7321
538.000000	52.386	167.0630
545.000000	52.321	167.2939
552.000000	52.262	167.5761
560.000000	52.182	167.9576
570.000000	52.103	168.2562
580.000000	52.013	168.7333
590.000000	51.923	169.2075
600.000000	51.844	169.5860
608.000000	51.795	169.9977
615.000000	51.742	170.2473
622.000000	51.677	170.6163
630.000000	51.618	170.9540
640.000000	51.550	171.5227
650.000000	51.487	171.9873
660.000000	51.396	172.5432
670.000000	51.354	173.0440
680.000000	51.288	173.6557
690.000000	51.217	174.2632
700.000000	51.168	174.9099
710.000000	51.111	175.5654
720.000000	51.080	176.2177
730.000000	51.056	176.9786
740.000000	51.035	177.6204
750.000000	51.003	178.1703
762.000000	50.995	178.7571
775.000000	50.962	179.3580
788.000000	50.940	-179.9331
800.000000	50.883	-179.2072
812.000000	50.873	-178.6341
825.000000	50.855	-177.7365
838.000000	50.825	-176.8251
850.000000	50.831	-175.8087
862.000000	50.824	-174.6811
875.000000	50.844	-173.5755
885.000000	50.833	-172.5849
900.000000	50.854	-171.2530
912.000000	50.884	-170.2113
925.000000	50.916	-169.2190
938.000000	50.955	-168.2850
950.000000	50.995	-167.5904
962.000000	50.965	-167.3881
975.000000	50.782	-165.7960
988.000000	50.842	-163.7225
1000.000000	50.911	-162.7221
1015.000000	51.040	-161.3778
1030.000000	51.129	-160.4212
1044.000000	51.200	-159.4291
1060.000000	51.311	-158.4435
1075.000000	51.379	-157.8913
1090.000000	51.356	-157.5482
1106.000000	51.268	-155.9408
1120.000000	51.313	-154.6782
1138.000000	51.399	-153.3993
1150.000000	51.441	-152.5724
1172.000000	51.508	-151.4001
1180.000000	51.552	-151.0023
1206.000000	51.611	-149.9518
1220.000000	51.668	-149.7571
1241.000000	51.808	-149.4704
1250.000000	51.843	-149.3289
1265.000000	51.941	-149.1430
1280.000000	52.020	-148.9000
1315.000000	52.194	-148.3694
1320.000000	52.212	-148.3556
1340.000000	52.312	-147.9840
1360.000000	52.447	-147.6344
1380.000000	52.556	-147.2805
1400.000000	52.657	-146.9212
1430.000000	52.818	-146.2881
1450.000000	52.913	-145.8041
1475.000000	53.067	-145.0805
1500.000000	53.197	-144.3952
1525.000000	53.356	-143.7460
1550.000000	53.504	-142.9879
1575.000000	53.645	-142.3118
1600.000000	53.800	-141.6853
1625.000000	53.981	-141.2857
1650.000000	54.185	-140.7909
1675.000000	54.375	-140.5940
1700.000000	54.577	-140.4289
1725.000000	54.758	-140.5891
1750.000000	54.924	-140.6641
1775.000000	55.087	-140.8770
1800.000000	55.224	-141.0668
1825.000000	55.368	-141.3943
1850.000000	55.493	-141.5994
1875.000000	55.606	-141.7812
1900.000000	55.728	-142.0482
1925.000000	55.845	-142.1461
1950.000000	55.969	-142.3711
1975.000000	56.073	-142.5601
2000.000000	56.168	-142.7901
2030.000000	56.302	-142.4525
2060.000000	56.467	-141.5338
2090.000000	56.622	-140.6423
2120.000000	56.767	-139.7900
2140.000000	56.872	-139.2161
2180.000000	57.088	-137.9948
2200.000000	57.192	-137.3791
2240.000000	57.425	-136.1979
2270.000000	57.584	-135.3123
2300.000000	57.767	-134.5329
2330.000000	57.955	-133.6615
2360.000000	58.137	-132.8962
2400.000000	58.384	-131.9276
2430.000000	58.589	-131.1866
2470.000000	58.838	-130.3114
2500.000000	59.032	-129.6841
2540.000000	59.291	-128.8549
2580.000000	59.563	-128.1153
2620.000000	59.824	-127.4393
2650.000000	60.026	-126.9422
2690.000000	60.287	-126.2793
2720.000000	60.492	-125.6488
2760.000000	60.802	-124.9055
2800.000000	61.154	-124.2782
2850.000000	61.641	-124.1831
2900.000000	62.131	-124.9877
2950.000000	62.482	-127.6109
3000.000000	62.799	-130.6771
3040.000000	63.010	-133.2009
3070.000000	63.157	-135.1073
3110.000000	63.314	-137.7205
3150.000000	63.445	-140.4179
3200.000000	63.577	-143.8011
3250.000000	63.651	-147.2041
3300.000000	63.692	-150.5905
3350.000000	63.673	-153.9963
3400.000000	63.606	-157.2011
3450.000000	63.507	-160.2461
3500.000000	63.365	-163.0880
3550.000000	63.211	-165.6897
3600.000000	63.032	-168.1228
3650.000000	62.843	-170.3571
3700.000000	62.647	-172.3463
3750.000000	62.440	-174.1725
3820.000000	62.150	-176.3927
3870.000000	61.948	-177.7493
3950.000000	61.650	-179.7197
4000.000000	61.463	179.2266
4060.000000	61.261	178.0374
4120.000000	61.061	177.0456
4180.000000	60.881	176.1067
4250.000000	60.649	175.0096
4310.000000	60.460	174.2062
4370.000000	60.264	173.5226
4440.000000	59.995	173.0255
4500.000000	59.773	173.0679
4550.000000	59.604	173.3567
4620.000000	59.440	174.2100
4680.000000	59.363	175.2367
4750.000000	59.418	176.4200
4820.000000	59.561	177.2708
4870.000000	59.673	177.2630
4940.000000	59.842	178.4756
5000.000000	59.924	-179.6520
5080.000000	60.026	-177.3645
5150.000000	60.104	-175.1764
5220.000000	60.180	-172.8754
5300.000000	60.285	-170.0574
5380.000000	60.432	-166.9717
5450.000000	60.596	-164.3431
5520.000000	60.800	-161.6382
5600.000000	61.063	-158.7095
5700.000000	61.445	-155.2487
5800.000000	61.875	-151.9568
5900.000000	62.357	-148.8880
