* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Mar 4, 2022 10:22:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EZEAR Q70Y R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	105.761	91.6261
20.299999	105.752	90.4940
20.600000	105.746	89.3571
20.900000	105.742	88.2157
21.200001	105.739	87.0594
21.400000	105.739	86.2831
21.799999	105.733	84.7380
22.000000	105.730	83.9870
22.400000	105.725	82.5413
22.700001	105.724	81.4910
23.000000	105.724	80.4568
23.299999	105.724	79.4298
23.600000	105.723	78.3931
24.000000	105.720	76.9889
24.299999	105.713	75.9385
24.700001	105.698	74.5567
25.000000	105.684	73.5416
25.400000	105.665	72.2174
25.799999	105.647	70.9128
26.200001	105.630	69.5914
26.500000	105.618	68.5889
26.900000	105.599	67.2514
27.200001	105.581	66.2145
27.600000	105.555	64.8147
28.000000	105.529	63.4157
28.500000	105.495	61.6646
29.000000	105.461	59.9405
29.500000	105.431	58.2334
30.000000	105.403	56.5379
30.400000	105.385	55.1789
30.700001	105.370	54.1612
31.100000	105.351	52.8149
31.500000	105.334	51.4885
32.000000	105.312	49.8409
32.500000	105.288	48.2245
33.000000	105.263	46.6160
33.500000	105.236	45.0046
34.000000	105.203	43.4022
34.500000	105.174	41.7994
35.000000	105.147	40.2015
35.500000	105.122	38.6126
36.000000	105.095	37.0211
36.500000	105.064	35.3765
37.000000	105.033	33.7539
37.500000	105.002	32.1726
38.200001	104.955	29.9505
38.700001	104.921	28.3393
39.500000	104.868	25.7974
40.000000	104.836	24.2310
40.599998	104.792	22.3657
41.200001	104.750	20.5094
41.799999	104.711	18.6566
42.500000	104.667	16.5324
43.099998	104.628	14.7214
43.700001	104.589	12.9011
44.400002	104.545	10.7850
45.000000	104.507	8.9510
45.500000	104.474	7.4367
46.200001	104.421	5.3496
46.799999	104.374	3.5873
47.500000	104.324	1.5114
48.200001	104.271	-0.5927
48.700001	104.231	-2.0566
49.400002	104.168	-4.0050
50.000000	104.120	-5.6800
50.799999	104.090	-8.1026
51.500000	104.037	-10.1796
52.200001	103.978	-12.1351
53.000000	103.926	-14.3140
53.799999	103.881	-16.5344
54.500000	103.842	-18.4941
55.200001	103.805	-20.4605
56.000000	103.762	-22.7379
57.000000	103.699	-25.5750
58.000000	103.628	-28.4009
59.000000	103.550	-31.1610
60.000000	103.472	-33.9078
60.799999	103.411	-36.0590
61.500000	103.360	-37.9561
62.200001	103.311	-39.8362
63.000000	103.259	-41.9380
64.000000	103.188	-44.5901
65.000000	103.120	-47.2323
66.000000	103.053	-49.8438
67.000000	102.985	-52.4538
68.000000	102.911	-55.0101
69.000000	102.846	-57.5587
70.000000	102.772	-60.1734
71.000000	102.699	-62.6948
72.000000	102.637	-65.2115
73.000000	102.567	-67.7600
74.000000	102.500	-70.2782
75.000000	102.426	-72.7494
76.199997	102.351	-75.7112
77.500000	102.265	-78.9181
78.800003	102.187	-82.1183
80.000000	102.107	-85.0486
81.199997	102.026	-87.9207
82.500000	101.945	-91.0709
83.800003	101.861	-94.2404
85.000000	101.786	-97.1140
86.199997	101.702	-100.0395
87.500000	101.617	-103.1286
88.500000	101.555	-105.5029
90.000000	101.456	-109.0997
91.199997	101.375	-111.9372
92.500000	101.299	-115.0070
93.800003	101.220	-118.0441
95.000000	101.149	-120.8223
96.199997	101.081	-123.5486
97.500000	101.002	-126.4686
98.800003	100.924	-129.4421
100.000000	100.856	-131.2869
101.500000	100.793	-135.5631
103.000000	100.694	-138.9194
104.400002	100.600	-142.1327
106.000000	100.519	-145.6681
107.500000	100.423	-149.0485
109.000000	100.344	-152.3275
110.599998	100.248	-155.9076
112.000000	100.164	-158.9564
113.800003	100.065	-162.8980
115.000000	100.004	-165.4604
117.199997	99.884	-170.1661
118.000000	99.844	-171.8821
120.599998	99.703	-177.3237
122.000000	99.623	179.6580
124.099998	99.518	175.2715
125.000000	99.471	173.3827
126.500000	99.388	170.2564
128.000000	99.308	167.1631
131.500000	99.112	160.0515
132.000000	99.088	159.0288
134.000000	98.982	155.0309
136.000000	98.863	151.1613
138.000000	98.759	147.3478
140.000000	98.647	143.6208
143.000000	98.526	138.6164
145.000000	98.526	135.1831
147.500000	98.562	130.3003
150.000000	98.561	125.2645
152.500000	98.406	119.7275
155.000000	98.278	114.7426
157.500000	98.150	109.8438
160.000000	98.033	105.0672
162.500000	97.920	100.2687
165.000000	97.801	95.5811
167.500000	97.697	91.0111
170.000000	97.593	86.4445
172.500000	97.497	81.8826
175.000000	97.396	77.4112
177.500000	97.304	72.9588
180.000000	97.215	68.4957
182.500000	97.131	64.0544
185.000000	97.050	59.6881
187.500000	96.963	55.3220
190.000000	96.872	50.9174
192.500000	96.782	46.4911
195.000000	96.697	42.0239
197.500000	96.599	37.7187
200.000000	96.382	33.4284
203.000000	96.392	28.0461
206.000000	96.293	22.8182
209.000000	96.191	17.6445
212.000000	96.092	12.5505
214.000000	96.031	9.1355
218.000000	95.893	2.5035
220.000000	95.829	-0.7708
224.000000	95.698	-7.4515
227.000000	95.613	-12.3343
230.000000	95.495	-17.0718
233.000000	95.407	-21.8058
236.000000	95.327	-26.5689
240.000000	95.251	-32.8741
243.000000	95.239	-37.6555
247.000000	95.206	-44.2825
250.000000	95.108	-49.2480
254.000000	95.079	-56.1875
258.000000	94.987	-62.8302
262.000000	94.878	-69.2798
265.000000	94.793	-74.1046
269.000000	94.681	-80.3823
272.000000	94.604	-85.1089
276.000000	94.517	-91.3809
280.000000	94.405	-97.4910
285.000000	94.285	-105.1136
290.000000	94.159	-112.7852
295.000000	94.057	-120.2675
300.000000	93.966	-127.2649
304.000000	93.864	-133.7801
307.000000	93.821	-138.3820
311.000000	93.741	-144.4689
315.000000	93.641	-150.5335
320.000000	93.537	-157.8789
325.000000	93.424	-165.2116
330.000000	93.331	-172.3682
335.000000	93.241	-179.4410
340.000000	93.144	173.6130
345.000000	93.038	166.7650
350.000000	92.962	159.7134
355.000000	92.857	153.0374
360.000000	92.769	146.2386
365.000000	92.686	139.3864
370.000000	92.608	132.5245
375.000000	92.512	125.7729
382.000000	92.397	116.3196
387.000000	92.312	109.5645
395.000000	92.181	98.9505
400.000000	92.129	92.5236
406.000000	92.024	84.4901
412.000000	91.935	76.7520
418.000000	91.857	68.9799
425.000000	91.748	60.0482
431.000000	91.684	52.4325
437.000000	91.608	44.7791
444.000000	91.510	35.9092
450.000000	91.436	28.3716
455.000000	91.364	22.0599
462.000000	91.301	13.2073
468.000000	91.223	5.6974
475.000000	91.132	-3.1424
482.000000	91.037	-12.0164
487.000000	90.980	-18.3536
494.000000	90.912	-26.9940
500.000000	90.846	-34.2477
508.000000	90.789	-43.9553
515.000000	90.709	-52.4667
522.000000	90.636	-60.9158
530.000000	90.570	-70.3864
538.000000	90.502	-79.9375
545.000000	90.445	-88.1093
552.000000	90.375	-96.2410
560.000000	90.316	-105.5463
570.000000	90.230	-117.1670
580.000000	90.154	-128.5465
590.000000	90.079	-140.0299
600.000000	89.965	-151.5022
608.000000	89.946	-160.6301
615.000000	89.921	-168.6519
622.000000	89.870	-176.4521
630.000000	89.808	174.4165
640.000000	89.749	163.2471
650.000000	89.715	152.2030
660.000000	89.637	141.0151
670.000000	89.593	130.0436
680.000000	89.537	119.0928
690.000000	89.481	108.3574
700.000000	89.454	97.5543
710.000000	89.401	86.9905
720.000000	89.354	76.4404
730.000000	89.337	66.1326
740.000000	89.324	55.9827
750.000000	89.332	46.1204
762.000000	89.325	33.9626
775.000000	89.317	21.0723
788.000000	89.337	8.7576
800.000000	89.302	-2.5414
812.000000	89.323	-13.7622
825.000000	89.316	-25.6735
838.000000	89.304	-37.5962
850.000000	89.295	-48.6824
862.000000	89.334	-59.6680
875.000000	89.328	-71.7910
885.000000	89.328	-80.6960
900.000000	89.416	-94.0973
912.000000	89.388	-105.1147
925.000000	89.397	-116.5088
938.000000	89.436	-127.8301
950.000000	89.490	-138.0442
962.000000	89.536	-148.3693
975.000000	89.586	-159.1549
988.000000	89.644	-170.1399
1000.000000	89.632	-178.2865
1015.000000	89.765	167.2737
1030.000000	89.825	154.8180
1044.000000	89.903	143.4459
1060.000000	89.988	130.3804
1075.000000	90.059	118.2062
1090.000000	90.113	106.0891
1106.000000	90.190	93.2971
1120.000000	90.239	82.1349
1138.000000	90.307	67.0576
1150.000000	90.303	56.9507
1172.000000	90.386	38.4946
1180.000000	90.382	31.6636
1206.000000	90.462	10.1068
1220.000000	90.550	-1.5311
1241.000000	90.670	-18.6957
1250.000000	90.717	-26.1434
1265.000000	90.808	-38.2460
1280.000000	90.894	-50.2709
1315.000000	91.093	-78.0309
1320.000000	91.108	-82.0076
1340.000000	91.220	-97.5477
1360.000000	91.374	-113.1433
1380.000000	91.486	-128.3271
1400.000000	91.626	-143.3159
1430.000000	91.842	-165.1726
1450.000000	91.945	-179.6572
1475.000000	92.042	162.3887
1500.000000	92.163	144.6309
1525.000000	92.260	127.1272
1550.000000	92.300	109.8544
1575.000000	92.308	93.0532
1600.000000	92.307	76.3940
1625.000000	92.287	60.3230
1650.000000	92.293	44.4172
