* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 28, 2022 11:06:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: GEVO GV3 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.003	-142.4136
20.299999	101.057	-142.9159
20.600000	101.109	-143.4052
20.900000	101.160	-143.8655
21.200001	101.215	-144.3076
21.400000	101.256	-144.5970
21.799999	101.340	-145.1760
22.000000	101.383	-145.4612
22.400000	101.474	-146.0213
22.700001	101.540	-146.4393
23.000000	101.602	-146.8470
23.299999	101.659	-147.2316
23.600000	101.712	-147.5950
24.000000	101.780	-148.0497
24.299999	101.828	-148.3620
24.700001	101.890	-148.7503
25.000000	101.935	-149.0273
25.400000	101.994	-149.3865
25.799999	102.051	-149.7487
26.200001	102.103	-150.1438
26.500000	102.137	-150.4541
26.900000	102.175	-150.8569
27.200001	102.197	-151.1736
27.600000	102.224	-151.5822
28.000000	102.254	-151.9680
28.500000	102.299	-152.4696
29.000000	102.346	-153.0111
29.500000	102.391	-153.5912
30.000000	102.430	-154.1502
30.400000	102.463	-154.5623
30.700001	102.490	-154.8523
31.100000	102.531	-155.2286
31.500000	102.577	-155.6133
32.000000	102.629	-156.1313
32.500000	102.669	-156.6236
33.000000	102.699	-157.0451
33.500000	102.729	-157.3922
34.000000	102.762	-157.7120
34.500000	102.806	-158.0824
35.000000	102.845	-158.5032
35.500000	102.875	-158.9148
36.000000	102.901	-159.2814
36.500000	102.928	-159.6718
37.000000	102.961	-160.0694
37.500000	102.992	-160.4773
38.200001	103.021	-161.0616
38.700001	103.041	-161.4571
39.500000	103.084	-162.0502
40.000000	103.110	-162.4394
40.599998	103.127	-162.8794
41.200001	103.144	-163.2457
41.799999	103.173	-163.5928
42.500000	103.208	-164.0268
43.099998	103.229	-164.4162
43.700001	103.246	-164.7917
44.400002	103.267	-165.2148
45.000000	103.282	-165.6001
45.500000	103.295	-165.8896
46.200001	103.311	-166.2537
46.799999	103.327	-166.5835
47.500000	103.344	-167.0198
48.200001	103.356	-167.4439
48.700001	103.367	-167.7014
49.400002	103.375	-168.0065
50.000000	103.380	-168.2756
50.799999	103.422	-168.7560
51.500000	103.441	-169.1575
52.200001	103.453	-169.5304
53.000000	103.466	-169.9231
53.799999	103.479	-170.3323
54.500000	103.488	-170.7106
55.200001	103.492	-171.0538
56.000000	103.503	-171.4202
57.000000	103.516	-171.9301
58.000000	103.513	-172.3825
59.000000	103.527	-172.7769
60.000000	103.533	-173.3445
60.799999	103.526	-173.6892
61.500000	103.531	-173.9808
62.200001	103.541	-174.3051
63.000000	103.551	-174.6471
64.000000	103.555	-175.1141
65.000000	103.554	-175.5522
66.000000	103.565	-175.9395
67.000000	103.570	-176.4204
68.000000	103.562	-176.8111
69.000000	103.570	-177.2247
70.000000	103.558	-177.7168
71.000000	103.553	-178.0520
72.000000	103.567	-178.4389
73.000000	103.566	-178.9298
74.000000	103.557	-179.3296
75.000000	103.552	-179.6649
76.199997	103.552	179.8498
77.500000	103.546	179.3636
78.800003	103.540	178.8575
80.000000	103.531	178.4459
81.199997	103.521	178.0697
82.500000	103.522	177.5638
83.800003	103.505	177.0770
85.000000	103.505	176.6824
86.199997	103.484	176.2037
87.500000	103.472	175.8453
88.500000	103.467	175.5254
90.000000	103.450	175.0435
91.199997	103.438	174.6350
92.500000	103.422	174.2208
93.800003	103.417	173.8463
95.000000	103.405	173.4553
96.199997	103.395	173.2111
97.500000	103.386	172.8937
98.800003	103.373	172.5694
100.000000	103.363	173.0588
101.500000	103.358	171.8836
103.000000	103.329	171.4861
104.400002	103.296	171.0972
106.000000	103.286	170.7641
107.500000	103.265	170.3182
109.000000	103.247	170.0237
110.599998	103.217	169.6124
112.000000	103.198	169.3745
113.800003	103.174	168.8983
115.000000	103.160	168.6707
117.199997	103.123	168.1891
118.000000	103.115	168.0278
120.599998	103.073	167.4884
122.000000	103.044	167.1797
124.099998	103.014	166.7386
125.000000	102.999	166.5825
126.500000	102.979	166.2887
128.000000	102.955	166.0201
131.500000	102.901	165.3343
132.000000	102.894	165.2324
134.000000	102.862	164.8209
136.000000	102.823	164.5041
138.000000	102.783	164.0974
140.000000	102.746	163.6519
143.000000	102.694	163.1450
145.000000	102.656	162.7226
147.500000	102.614	162.3542
150.000000	102.593	162.1651
152.500000	102.514	161.5145
155.000000	102.459	161.1173
157.500000	102.411	160.6890
160.000000	102.354	160.3095
162.500000	102.308	159.8893
165.000000	102.254	159.4791
167.500000	102.206	159.1488
170.000000	102.157	158.7863
172.500000	102.107	158.3805
175.000000	102.056	158.0521
177.500000	102.009	157.7287
180.000000	101.959	157.4151
182.500000	101.911	157.0447
185.000000	101.862	156.7431
187.500000	101.805	156.4362
190.000000	101.749	156.0735
192.500000	101.696	155.7764
195.000000	101.638	155.5322
197.500000	101.581	155.3420
200.000000	101.412	155.0585
203.000000	101.454	154.6645
206.000000	101.396	154.2610
209.000000	101.322	153.9203
212.000000	101.236	153.6151
214.000000	101.172	153.4048
218.000000	101.051	153.0594
220.000000	100.988	152.8914
224.000000	100.853	152.5944
227.000000	100.745	152.5553
230.000000	100.605	152.4800
233.000000	100.467	152.5664
236.000000	100.309	152.8099
240.000000	100.068	153.5989
243.000000	99.906	154.8203
247.000000	99.838	157.3851
250.000000	99.969	159.0187
254.000000	100.361	159.8883
258.000000	100.610	158.9418
262.000000	100.702	157.6951
265.000000	100.696	156.9276
269.000000	100.653	156.0854
272.000000	100.599	155.5898
276.000000	100.526	155.0669
280.000000	100.433	154.6837
285.000000	100.335	154.3330
290.000000	100.223	154.0896
295.000000	100.129	153.9550
300.000000	100.047	154.4581
304.000000	99.951	153.9249
307.000000	99.895	153.8829
311.000000	99.831	153.8015
315.000000	99.754	153.7386
320.000000	99.669	153.6911
325.000000	99.565	153.5676
330.000000	99.471	153.4112
335.000000	99.381	153.3035
340.000000	99.288	153.1905
345.000000	99.200	153.1527
350.000000	99.094	153.0090
355.000000	99.028	153.0785
360.000000	98.943	153.0413
365.000000	98.863	153.0308
370.000000	98.774	152.9209
375.000000	98.688	152.8593
382.000000	98.568	152.7915
387.000000	98.487	152.7296
395.000000	98.368	152.6600
400.000000	98.313	152.8175
406.000000	98.193	152.5635
412.000000	98.101	152.5473
418.000000	98.009	152.4707
425.000000	97.903	152.4753
431.000000	97.816	152.4055
437.000000	97.727	152.4282
444.000000	97.621	152.5276
450.000000	97.544	152.5114
455.000000	97.472	152.6077
462.000000	97.377	152.6208
468.000000	97.308	152.6815
475.000000	97.205	152.7167
482.000000	97.121	152.7904
487.000000	97.055	152.8079
494.000000	96.963	152.8414
500.000000	96.872	153.0422
508.000000	96.791	153.0543
515.000000	96.682	153.1472
522.000000	96.591	153.3239
530.000000	96.495	153.6889
538.000000	96.418	154.1469
545.000000	96.341	154.6708
552.000000	96.259	155.0148
560.000000	96.177	155.4358
570.000000	96.057	156.0148
580.000000	95.938	156.6506
590.000000	95.834	157.2538
600.000000	95.694	157.9341
608.000000	95.627	158.4704
615.000000	95.556	158.9232
622.000000	95.472	159.4959
630.000000	95.395	160.0633
640.000000	95.284	160.8926
650.000000	95.201	161.7079
660.000000	95.084	162.4753
670.000000	94.991	163.2844
680.000000	94.886	164.1985
690.000000	94.791	165.1621
700.000000	94.704	166.0587
710.000000	94.619	167.1776
720.000000	94.550	168.3406
730.000000	94.479	169.5034
740.000000	94.434	170.6476
750.000000	94.394	171.8817
762.000000	94.367	172.8938
775.000000	94.304	173.9515
788.000000	94.255	175.0529
800.000000	94.173	175.9824
812.000000	94.153	177.1631
825.000000	94.117	178.4297
838.000000	94.078	179.7774
850.000000	94.063	-178.9802
862.000000	94.060	-177.6296
875.000000	94.072	-176.2794
885.000000	94.096	-175.1874
900.000000	94.173	-173.4044
912.000000	94.210	-172.3623
925.000000	94.291	-171.0592
938.000000	94.402	-169.7796
950.000000	94.510	-168.7986
962.000000	94.639	-167.8359
975.000000	94.780	-166.8729
988.000000	94.948	-166.0609
1000.000000	95.005	-163.5850
1015.000000	95.287	-164.9496
1030.000000	95.471	-164.5092
1044.000000	95.640	-164.2480
1060.000000	95.844	-164.1812
1075.000000	95.999	-164.2556
1090.000000	96.128	-164.3400
1106.000000	96.260	-164.6308
1120.000000	96.349	-164.9029
1138.000000	96.449	-165.4458
1150.000000	96.507	-165.7252
1172.000000	96.594	-166.2886
1180.000000	96.614	-166.5496
1206.000000	96.707	-167.2552
1220.000000	96.797	-167.6990
1241.000000	96.907	-168.5222
1250.000000	96.938	-168.6840
1265.000000	97.006	-169.0268
1280.000000	97.071	-169.0573
1315.000000	97.161	-168.7533
1320.000000	97.168	-168.7332
1340.000000	97.210	-168.5750
1360.000000	97.253	-168.4287
1380.000000	97.245	-168.1413
1400.000000	97.242	-167.8015
1430.000000	97.172	-166.9080
1450.000000	97.096	-166.0748
1475.000000	97.006	-164.6562
1500.000000	96.960	-162.6668
1525.000000	96.962	-160.4876
1550.000000	96.992	-158.1998
1575.000000	97.073	-155.9897
1600.000000	97.175	-154.0695
1625.000000	97.305	-152.3011
1650.000000	97.431	-150.6076
1675.000000	97.569	-149.1108
1700.000000	97.691	-147.7148
1725.000000	97.814	-146.2361
1750.000000	97.927	-144.9373
1775.000000	98.056	-143.6109
1800.000000	98.177	-142.3289
1825.000000	98.318	-141.4846
1850.000000	98.403	-141.0994
1875.000000	98.500	-140.9287
1900.000000	98.592	-140.6588
1925.000000	98.667	-140.4918
1950.000000	98.743	-140.2041
1975.000000	98.812	-139.7523
2000.000000	98.928	-138.3140
2030.000000	99.031	-138.7932
2060.000000	99.170	-138.3420
2090.000000	99.288	-138.0237
2120.000000	99.427	-137.7192
2140.000000	99.501	-137.4083
2180.000000	99.665	-137.2006
2200.000000	99.774	-137.2708
2240.000000	100.027	-137.5426
2270.000000	100.236	-137.7202
2300.000000	100.436	-138.2825
2330.000000	100.643	-138.8468
2360.000000	100.844	-139.5572
2400.000000	101.081	-140.4542
2430.000000	101.265	-141.3409
2470.000000	101.497	-142.4566
2500.000000	101.676	-143.3224
2540.000000	101.914	-144.6592
2580.000000	102.164	-145.9107
2620.000000	102.422	-147.6199
2650.000000	102.593	-148.8881
2690.000000	102.827	-150.7817
2720.000000	102.987	-152.2252
2760.000000	103.165	-154.2755
2800.000000	103.346	-156.2116
2850.000000	103.554	-158.7895
2900.000000	103.755	-161.2536
2950.000000	103.947	-164.1029
3000.000000	104.195	-167.1093
3040.000000	104.289	-168.5092
3070.000000	104.408	-169.1497
3110.000000	104.541	-170.1279
3150.000000	104.672	-171.2151
3200.000000	104.802	-172.6488
3250.000000	104.918	-174.2024
3300.000000	104.997	-175.8275
3350.000000	105.063	-177.4165
3400.000000	105.097	-178.9429
3450.000000	105.109	179.4932
3500.000000	105.093	178.1119
3550.000000	105.058	176.7948
3600.000000	105.029	175.6430
3650.000000	104.964	174.4286
3700.000000	104.916	173.4058
3750.000000	104.863	172.4211
3820.000000	104.716	171.1218
3870.000000	104.630	170.3570
3950.000000	104.477	169.3643
4000.000000	104.381	169.1195
4060.000000	104.334	168.1867
4120.000000	104.247	167.6126
4180.000000	104.158	166.9459
4250.000000	104.042	166.4184
4310.000000	103.945	165.8048
4370.000000	103.881	164.9945
4440.000000	103.676	162.4400
4500.000000	103.599	160.7996
4550.000000	103.497	159.7220
4620.000000	103.385	157.9047
4680.000000	103.262	156.4184
4750.000000	103.131	154.6210
4820.000000	102.955	152.7358
4870.000000	102.825	151.5766
4940.000000	102.602	149.8422
5000.000000	102.359	148.5526
5080.000000	102.180	147.0379
5150.000000	101.984	145.7525
5220.000000	101.821	144.3889
5300.000000	101.605	142.5281
5380.000000	101.359	140.7750
5450.000000	101.121	139.2293
5520.000000	100.846	137.6953
5600.000000	100.527	135.9777
5700.000000	100.062	134.2757
5800.000000	99.578	132.8796
5900.000000	99.107	131.7917
6000.000000	98.458	130.5124
6080.000000	98.194	130.8426
6150.000000	97.852	130.7704
6220.000000	97.532	130.7534
6300.000000	97.165	131.1774
6400.000000	96.739	131.9150
6500.000000	96.352	132.9287
6600.000000	95.995	134.0487
6700.000000	95.720	135.5235
6800.000000	95.469	137.2307
6900.000000	95.289	138.9702
7000.000000	95.149	141.3450
7100.000000	95.042	142.6645
7200.000000	94.999	144.4326
7300.000000	95.039	148.2260
7400.000000	95.152	153.4736
7500.000000	95.258	158.8056
7620.000000	95.491	164.9518
