* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control. Timing signal peak level -18.4 dBFS, measurement signal peak level -14.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 20, 2022 6:26:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0.0409 ms (14 mm, 0.55 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: GLIDiC TW-5100 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	83.866	-125.0490
20.299999	83.883	-125.6689
20.600000	83.890	-126.0845
20.900000	83.912	-126.2814
21.200001	83.974	-126.3836
21.400000	84.039	-126.4873
21.799999	84.198	-126.9178
22.000000	84.279	-127.2432
22.400000	84.423	-127.9998
22.700001	84.508	-128.5188
23.000000	84.580	-128.8971
23.299999	84.652	-129.1087
23.600000	84.736	-129.2074
24.000000	84.870	-129.3107
24.299999	84.975	-129.4319
24.700001	85.104	-129.6687
25.000000	85.185	-129.8564
25.400000	85.272	-130.0441
25.799999	85.347	-130.1231
26.200001	85.420	-130.1450
26.500000	85.478	-130.1637
26.900000	85.556	-130.2392
27.200001	85.610	-130.3952
27.600000	85.672	-130.7094
28.000000	85.716	-131.0788
28.500000	85.754	-131.5059
29.000000	85.794	-131.7962
29.500000	85.864	-132.0440
30.000000	85.955	-132.4038
30.400000	86.031	-132.7976
30.700001	86.082	-133.1108
31.100000	86.142	-133.4813
31.500000	86.202	-133.7534
32.000000	86.283	-133.9895
32.500000	86.371	-134.1409
33.000000	86.467	-134.2666
33.500000	86.566	-134.4248
34.000000	86.655	-134.6709
34.500000	86.728	-134.9930
35.000000	86.775	-135.2322
35.500000	86.825	-135.2893
36.000000	86.900	-135.3298
36.500000	86.987	-135.6407
37.000000	87.047	-136.1134
37.500000	87.075	-136.4308
38.200001	87.142	-136.5187
38.700001	87.242	-136.7542
39.500000	87.350	-137.6713
40.000000	87.356	-137.9854
40.599998	87.398	-137.8493
41.200001	87.522	-137.9180
41.799999	87.618	-138.5314
