* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 27, 2022 10:36:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KBEAR F1 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.040	23.0296
20.299999	100.070	22.7062
20.600000	100.104	22.3806
20.900000	100.139	22.0419
21.200001	100.176	21.6752
21.400000	100.199	21.4196
21.799999	100.239	20.9121
22.000000	100.256	20.6818
22.400000	100.290	20.2859
22.700001	100.317	20.0312
23.000000	100.344	19.7981
23.299999	100.373	19.5753
23.600000	100.402	19.3431
24.000000	100.439	19.0064
24.299999	100.463	18.7492
24.700001	100.489	18.4140
25.000000	100.505	18.1792
25.400000	100.523	17.8979
25.799999	100.543	17.6458
26.200001	100.563	17.3871
26.500000	100.578	17.1857
26.900000	100.597	16.9203
27.200001	100.606	16.6923
27.600000	100.616	16.3811
28.000000	100.625	16.0817
28.500000	100.638	15.7132
29.000000	100.650	15.3737
29.500000	100.666	15.0566
30.000000	100.685	14.7542
30.400000	100.706	14.5015
30.700001	100.720	14.3042
31.100000	100.737	14.0430
31.500000	100.753	13.8061
32.000000	100.771	13.5460
32.500000	100.790	13.3413
33.000000	100.812	13.1378
33.500000	100.833	12.9053
34.000000	100.845	12.6630
34.500000	100.859	12.4188
35.000000	100.870	12.1927
35.500000	100.882	12.0002
36.000000	100.895	11.8306
36.500000	100.910	11.6128
37.000000	100.927	11.3899
37.500000	100.944	11.1700
38.200001	100.955	10.8386
38.700001	100.960	10.6065
39.500000	100.974	10.3135
40.000000	100.988	10.1410
40.599998	101.000	9.9108
41.200001	101.009	9.6657
41.799999	101.017	9.4389
42.500000	101.028	9.2388
43.099998	101.039	9.0544
43.700001	101.045	8.8276
44.400002	101.045	8.6069
45.000000	101.049	8.4615
45.500000	101.061	8.3465
46.200001	101.077	8.1153
46.799999	101.079	7.8713
47.500000	101.074	7.6126
48.200001	101.074	7.4019
48.700001	101.079	7.2696
49.400002	101.077	7.1116
50.000000	101.071	6.9769
50.799999	101.100	6.6943
51.500000	101.110	6.4724
52.200001	101.113	6.2994
53.000000	101.122	6.1530
53.799999	101.134	5.9783
54.500000	101.142	5.8274
55.200001	101.157	5.7021
56.000000	101.183	5.4237
57.000000	101.171	5.0048
58.000000	101.157	4.9426
59.000000	101.192	4.7285
60.000000	101.189	4.3066
60.799999	101.185	4.1575
61.500000	101.196	3.9671
62.200001	101.201	3.7436
63.000000	101.205	3.5702
64.000000	101.208	3.3333
65.000000	101.211	3.0886
66.000000	101.212	2.8586
67.000000	101.212	2.6574
68.000000	101.212	2.4624
69.000000	101.214	2.2460
70.000000	101.209	2.0267
71.000000	101.216	1.8564
72.000000	101.228	1.6317
73.000000	101.226	1.4106
74.000000	101.233	1.2401
75.000000	101.230	1.0430
76.199997	101.226	0.8688
77.500000	101.229	0.6878
78.800003	101.229	0.4487
80.000000	101.226	0.2748
81.199997	101.219	0.1014
82.500000	101.218	-0.0928
83.800003	101.216	-0.3064
85.000000	101.216	-0.4312
86.199997	101.209	-0.5891
87.500000	101.211	-0.7488
88.500000	101.207	-0.8734
90.000000	101.202	-1.0889
91.199997	101.193	-1.2483
92.500000	101.197	-1.4043
93.800003	101.200	-1.5672
95.000000	101.194	-1.6795
96.199997	101.199	-1.7935
97.500000	101.184	-1.8966
98.800003	101.189	-2.2162
100.000000	101.149	-1.4957
101.500000	101.204	-2.4208
103.000000	101.190	-2.6490
104.400002	101.181	-2.8906
106.000000	101.185	-3.0506
107.500000	101.164	-3.3191
109.000000	101.165	-3.5403
110.599998	101.159	-3.8266
112.000000	101.161	-4.0180
113.800003	101.161	-4.1869
115.000000	101.134	-4.2723
117.199997	101.079	-4.7028
118.000000	101.115	-4.6878
120.599998	100.895	-4.7165
122.000000	101.098	-5.4918
124.099998	101.114	-5.7148
125.000000	101.097	-5.8390
126.500000	101.106	-5.9051
128.000000	101.081	-6.0049
131.500000	101.055	-6.5331
132.000000	101.054	-6.5950
134.000000	101.057	-6.8086
136.000000	101.046	-6.9746
138.000000	101.034	-7.1623
140.000000	101.014	-7.4124
143.000000	101.002	-7.7060
145.000000	100.994	-7.9350
147.500000	100.973	-8.0928
150.000000	100.984	-8.0404
152.500000	100.936	-8.5882
155.000000	100.919	-8.7910
157.500000	100.904	-9.0392
160.000000	100.884	-9.2363
162.500000	100.866	-9.4802
165.000000	100.839	-9.6877
167.500000	100.822	-9.8479
170.000000	100.805	-9.9909
172.500000	100.795	-10.1758
175.000000	100.785	-10.2674
177.500000	100.779	-10.3413
180.000000	100.766	-10.4188
182.500000	100.758	-10.5785
185.000000	100.750	-10.5995
187.500000	100.738	-10.7064
190.000000	100.723	-10.8401
192.500000	100.714	-10.9343
195.000000	100.694	-11.0673
197.500000	100.668	-11.1164
200.000000	100.537	-11.2262
203.000000	100.628	-11.3527
206.000000	100.612	-11.4432
209.000000	100.592	-11.5310
212.000000	100.566	-11.6020
214.000000	100.548	-11.6539
218.000000	100.514	-11.7497
220.000000	100.493	-11.8105
224.000000	100.460	-11.8914
227.000000	100.439	-11.8980
230.000000	100.404	-11.9939
233.000000	100.379	-11.9535
236.000000	100.355	-11.9492
240.000000	100.323	-12.0628
243.000000	100.299	-12.1120
247.000000	100.254	-12.1935
250.000000	100.204	-12.3607
254.000000	100.193	-12.3290
258.000000	100.170	-12.4873
262.000000	100.151	-12.5430
265.000000	100.135	-12.5971
269.000000	100.120	-12.7184
272.000000	100.106	-12.8569
276.000000	100.091	-13.0650
280.000000	100.055	-13.2868
285.000000	100.016	-13.4806
290.000000	99.968	-13.7311
295.000000	99.934	-13.9078
300.000000	99.910	-13.5029
304.000000	99.850	-14.1643
307.000000	99.821	-14.3201
311.000000	99.782	-14.4440
315.000000	99.736	-14.5522
320.000000	99.705	-14.6870
325.000000	99.649	-14.7306
330.000000	99.602	-14.8515
335.000000	99.559	-14.9422
340.000000	99.518	-15.0964
345.000000	99.472	-15.1399
350.000000	99.409	-15.3577
355.000000	99.386	-15.3459
360.000000	99.338	-15.4615
365.000000	99.301	-15.5752
370.000000	99.249	-15.7276
375.000000	99.193	-15.8502
382.000000	99.116	-16.0022
387.000000	99.062	-16.1384
395.000000	98.987	-16.3456
400.000000	98.952	-16.1625
406.000000	98.862	-16.3019
412.000000	98.807	-16.2278
418.000000	98.763	-15.9027
425.000000	98.721	-15.4275
431.000000	98.717	-15.0535
437.000000	98.729	-14.8048
444.000000	98.754	-14.6629
450.000000	98.769	-14.8469
455.000000	98.757	-14.9930
462.000000	98.725	-15.2758
468.000000	98.681	-15.3716
475.000000	98.614	-15.4821
482.000000	98.553	-15.5049
487.000000	98.509	-15.5321
494.000000	98.442	-15.5212
500.000000	98.370	-15.3160
508.000000	98.320	-15.2955
515.000000	98.244	-15.1823
522.000000	98.182	-15.0589
530.000000	98.119	-14.8151
538.000000	98.052	-14.6196
545.000000	97.989	-14.4059
552.000000	97.930	-14.1854
560.000000	97.859	-13.9445
570.000000	97.774	-13.5999
580.000000	97.699	-13.1838
590.000000	97.617	-13.0020
600.000000	97.502	-12.8289
608.000000	97.456	-12.8354
615.000000	97.414	-12.8104
622.000000	97.349	-12.6812
630.000000	97.293	-12.6110
640.000000	97.216	-12.4336
650.000000	97.151	-12.3166
660.000000	97.075	-12.2032
670.000000	97.018	-12.0853
680.000000	96.936	-11.8620
690.000000	96.872	-11.6656
700.000000	96.821	-11.5524
710.000000	96.768	-11.2106
720.000000	96.714	-10.9198
730.000000	96.667	-10.6046
740.000000	96.625	-10.3475
750.000000	96.574	-9.9709
762.000000	96.554	-9.6617
775.000000	96.521	-9.3309
788.000000	96.485	-8.7829
800.000000	96.414	-8.4851
812.000000	96.404	-7.9510
825.000000	96.368	-7.4758
838.000000	96.329	-6.9298
850.000000	96.309	-6.4297
862.000000	96.282	-5.9018
875.000000	96.252	-5.4090
885.000000	96.244	-4.9688
900.000000	96.256	-4.2204
912.000000	96.224	-3.9270
925.000000	96.229	-3.4973
938.000000	96.232	-2.9769
950.000000	96.245	-2.5168
962.000000	96.255	-2.2267
975.000000	96.258	-1.7612
988.000000	96.278	-1.1454
1000.000000	96.230	1.2955
1015.000000	96.348	0.3711
1030.000000	96.374	1.2924
1044.000000	96.407	2.0469
1060.000000	96.456	2.8651
1075.000000	96.482	3.5798
1090.000000	96.501	4.2957
1106.000000	96.520	5.0298
1120.000000	96.523	5.6673
1138.000000	96.533	6.3687
1150.000000	96.533	6.8631
1172.000000	96.537	7.7254
1180.000000	96.539	7.9643
1206.000000	96.530	8.9919
1220.000000	96.578	9.5005
1241.000000	96.647	10.2863
1250.000000	96.677	10.7022
1265.000000	96.718	11.2033
1280.000000	96.766	11.7889
1315.000000	96.861	13.1846
1320.000000	96.872	13.3669
1340.000000	96.926	14.2215
1360.000000	97.006	15.0409
1380.000000	97.041	15.9412
1400.000000	97.117	16.9012
1430.000000	97.192	17.8885
1450.000000	97.215	18.0536
1475.000000	97.271	18.4123
1500.000000	97.332	18.8730
1525.000000	97.395	19.3178
1550.000000	97.412	19.7371
1575.000000	97.419	20.3275
1600.000000	97.435	20.7732
1625.000000	97.450	21.2999
1650.000000	97.475	21.8872
1675.000000	97.502	22.4730
1700.000000	97.535	22.9441
1725.000000	97.561	23.6096
1750.000000	97.584	24.1227
1775.000000	97.630	24.7904
1800.000000	97.656	25.3921
1825.000000	97.708	26.0000
1850.000000	97.768	26.6935
