* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 26, 2022 12:28:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ AS06-2020 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.521	-7.5476
20.299999	107.529	-7.7344
20.600000	107.537	-7.9264
20.900000	107.544	-8.1152
21.200001	107.551	-8.2921
21.400000	107.558	-8.4026
21.799999	107.572	-8.6091
22.000000	107.579	-8.7180
22.400000	107.592	-8.9556
22.700001	107.603	-9.1421
23.000000	107.613	-9.3223
23.299999	107.624	-9.4888
23.600000	107.634	-9.6457
24.000000	107.645	-9.8432
24.299999	107.652	-9.9800
24.700001	107.662	-10.1476
25.000000	107.671	-10.2806
25.400000	107.684	-10.5018
25.799999	107.695	-10.7488
26.200001	107.704	-10.9870
26.500000	107.710	-11.1518
26.900000	107.713	-11.3519
27.200001	107.713	-11.5016
27.600000	107.713	-11.6995
28.000000	107.716	-11.9041
28.500000	107.724	-12.1988
29.000000	107.728	-12.5119
29.500000	107.724	-12.8108
30.000000	107.717	-13.0649
30.400000	107.719	-13.2610
30.700001	107.724	-13.4017
31.100000	107.737	-13.5955
31.500000	107.752	-13.8179
32.000000	107.764	-14.1706
32.500000	107.766	-14.5398
33.000000	107.756	-14.8141
33.500000	107.746	-14.9732
34.000000	107.748	-15.1098
34.500000	107.771	-15.3467
35.000000	107.785	-15.6762
35.500000	107.783	-16.0244
36.000000	107.778	-16.2956
36.500000	107.781	-16.5035
37.000000	107.791	-16.7615
37.500000	107.798	-17.1328
38.200001	107.787	-17.6026
38.700001	107.781	-17.8446
39.500000	107.782	-18.2436
40.000000	107.782	-18.5115
40.599998	107.776	-18.7545
41.200001	107.778	-19.0098
41.799999	107.783	-19.3625
42.500000	107.776	-19.7706
43.099998	107.766	-20.0490
43.700001	107.764	-20.2957
44.400002	107.772	-20.6468
45.000000	107.771	-21.0056
45.500000	107.758	-21.3215
46.200001	107.741	-21.6720
46.799999	107.738	-21.9067
47.500000	107.737	-22.2567
48.200001	107.733	-22.6403
48.700001	107.731	-22.9135
49.400002	107.713	-23.2877
50.000000	107.688	-23.6397
50.799999	107.713	-24.0258
51.500000	107.716	-24.3243
52.200001	107.718	-24.6496
53.000000	107.711	-25.1110
53.799999	107.694	-25.4566
54.500000	107.686	-25.6723
55.200001	107.689	-25.9084
56.000000	107.689	-26.2405
57.000000	107.689	-26.6559
58.000000	107.696	-27.1489
59.000000	107.695	-27.7084
60.000000	107.688	-28.2424
60.799999	107.689	-28.7236
61.500000	107.689	-29.1204
62.200001	107.686	-29.4899
63.000000	107.680	-29.9114
64.000000	107.679	-30.4040
65.000000	107.677	-30.8480
66.000000	107.662	-31.2391
67.000000	107.644	-31.6970
68.000000	107.633	-32.0806
69.000000	107.611	-32.5266
70.000000	107.593	-32.9991
71.000000	107.574	-33.4737
72.000000	107.555	-33.9356
73.000000	107.536	-34.3691
74.000000	107.520	-34.8780
75.000000	107.505	-35.3031
76.199997	107.492	-35.9105
77.500000	107.451	-36.5026
78.800003	107.438	-37.0584
80.000000	107.410	-37.6646
81.199997	107.379	-38.1515
82.500000	107.358	-38.7592
83.800003	107.336	-39.3102
85.000000	107.307	-39.8267
86.199997	107.284	-40.3544
87.500000	107.258	-40.8548
88.500000	107.242	-41.3044
90.000000	107.209	-41.9491
91.199997	107.186	-42.4966
92.500000	107.151	-43.0215
93.800003	107.126	-43.5367
95.000000	107.105	-43.9914
96.199997	107.081	-44.4686
97.500000	107.057	-44.9308
98.800003	107.029	-45.5565
100.000000	106.961	-45.5638
101.500000	106.994	-46.6258
103.000000	106.951	-47.2012
104.400002	106.927	-47.8262
106.000000	106.894	-48.4558
107.500000	106.862	-49.0407
109.000000	106.831	-49.5834
110.599998	106.803	-50.2291
112.000000	106.763	-50.7166
113.800003	106.728	-51.4198
115.000000	106.702	-51.9119
117.199997	106.654	-52.7923
118.000000	106.635	-52.9916
120.599998	106.582	-54.2111
122.000000	106.550	-54.4390
124.099998	106.513	-55.1779
125.000000	106.489	-55.5500
126.500000	106.449	-56.0414
128.000000	106.413	-56.6134
131.500000	106.336	-57.7857
132.000000	106.326	-57.9586
134.000000	106.281	-58.6302
136.000000	106.245	-59.3046
138.000000	106.189	-59.9850
140.000000	106.146	-60.6974
143.000000	106.080	-61.6444
145.000000	106.036	-62.3650
147.500000	105.963	-63.0946
150.000000	105.873	-63.3407
152.500000	105.828	-64.6862
155.000000	105.770	-65.4525
157.500000	105.708	-66.2129
160.000000	105.662	-66.9757
162.500000	105.633	-67.5861
165.000000	105.606	-67.9814
167.500000	105.537	-68.3217
170.000000	105.449	-69.0748
172.500000	105.466	-70.0123
175.000000	105.490	-70.3302
177.500000	105.432	-70.9994
180.000000	105.457	-71.8312
182.500000	105.404	-72.5395
185.000000	105.389	-73.6194
187.500000	105.319	-74.3736
190.000000	105.291	-75.2791
192.500000	105.222	-76.1029
195.000000	105.140	-76.8072
197.500000	105.086	-77.5238
200.000000	105.016	-78.8965
203.000000	104.956	-79.1848
206.000000	104.870	-79.8976
209.000000	104.793	-80.5862
212.000000	104.741	-81.3141
214.000000	104.715	-81.7903
218.000000	104.621	-82.8609
220.000000	104.591	-83.3845
224.000000	104.513	-84.4370
227.000000	104.464	-85.2855
230.000000	104.413	-85.8580
233.000000	104.333	-86.4252
236.000000	104.256	-87.1061
240.000000	104.174	-88.0509
243.000000	104.108	-88.7161
247.000000	104.008	-89.6198
250.000000	103.947	-90.7030
254.000000	103.881	-91.0838
258.000000	103.797	-91.9728
262.000000	103.716	-92.7795
265.000000	103.661	-93.3835
269.000000	103.580	-94.1762
272.000000	103.521	-94.7956
276.000000	103.440	-95.5540
280.000000	103.366	-96.3816
285.000000	103.265	-97.2953
290.000000	103.171	-98.2245
295.000000	103.074	-99.0530
300.000000	102.946	-99.9709
304.000000	102.917	-100.6799
307.000000	102.864	-101.2134
311.000000	102.784	-101.9765
315.000000	102.726	-102.5902
320.000000	102.626	-103.4361
325.000000	102.542	-104.2577
330.000000	102.447	-105.0669
335.000000	102.365	-105.7984
340.000000	102.290	-106.4955
345.000000	102.211	-107.3390
350.000000	102.148	-108.2626
355.000000	102.067	-108.9127
360.000000	101.997	-109.6677
365.000000	101.915	-110.3298
370.000000	101.844	-111.1305
375.000000	101.772	-111.8913
382.000000	101.663	-112.8633
387.000000	101.600	-113.5805
395.000000	101.484	-114.7105
400.000000	101.409	-115.1192
406.000000	101.332	-116.1384
412.000000	101.249	-116.8593
418.000000	101.172	-117.6159
425.000000	101.067	-118.4424
431.000000	101.001	-119.2586
437.000000	100.927	-119.8811
444.000000	100.839	-120.6472
450.000000	100.772	-121.2316
455.000000	100.697	-121.8416
462.000000	100.625	-122.5678
468.000000	100.545	-123.1487
475.000000	100.472	-123.8998
482.000000	100.390	-124.6008
487.000000	100.335	-125.0300
494.000000	100.264	-125.7244
500.000000	100.170	-126.4037
508.000000	100.121	-126.9793
515.000000	100.049	-127.5916
522.000000	99.973	-128.1462
530.000000	99.891	-128.7636
538.000000	99.812	-129.4245
545.000000	99.748	-129.9700
552.000000	99.686	-130.4602
560.000000	99.606	-131.0265
570.000000	99.517	-131.6654
580.000000	99.429	-132.4016
590.000000	99.357	-132.9767
600.000000	99.272	-133.7768
608.000000	99.215	-134.1103
615.000000	99.148	-134.3849
622.000000	99.091	-134.8159
630.000000	99.028	-135.2034
640.000000	98.967	-135.6866
650.000000	98.888	-136.2045
660.000000	98.831	-136.5727
670.000000	98.771	-136.9211
680.000000	98.695	-137.2411
690.000000	98.646	-137.6510
700.000000	98.589	-137.7550
710.000000	98.537	-138.0837
720.000000	98.502	-138.3659
730.000000	98.470	-138.5155
740.000000	98.447	-138.6804
750.000000	98.435	-138.8740
762.000000	98.416	-139.1873
775.000000	98.390	-139.5130
788.000000	98.366	-139.8177
800.000000	98.348	-140.0783
812.000000	98.314	-140.3039
825.000000	98.290	-140.5416
838.000000	98.296	-140.7635
850.000000	98.271	-140.9504
862.000000	98.271	-141.0911
875.000000	98.280	-141.2337
885.000000	98.277	-141.3925
900.000000	98.256	-141.6486
912.000000	98.290	-141.7203
925.000000	98.313	-141.7230
938.000000	98.354	-141.8862
950.000000	98.367	-142.0634
962.000000	98.407	-142.1760
975.000000	98.444	-142.3598
988.000000	98.490	-142.6431
1000.000000	98.606	-143.4864
1015.000000	98.601	-143.0188
1030.000000	98.649	-143.3346
1044.000000	98.726	-143.6172
1060.000000	98.787	-143.9948
1075.000000	98.861	-144.3559
1090.000000	98.898	-144.8231
1106.000000	98.945	-145.1876
1120.000000	98.964	-145.6889
1138.000000	99.028	-146.2198
1150.000000	99.060	-146.5343
1172.000000	99.110	-147.3816
1180.000000	99.139	-147.6276
1206.000000	99.188	-148.4647
1220.000000	99.245	-149.0097
1241.000000	99.363	-149.7413
1250.000000	99.406	-149.9909
1265.000000	99.472	-150.5987
1280.000000	99.558	-150.9238
1315.000000	99.701	-151.8904
1320.000000	99.729	-151.9353
1340.000000	99.807	-152.4190
1360.000000	99.940	-152.8257
1380.000000	100.038	-153.0887
1400.000000	100.137	-153.3808
1430.000000	100.283	-153.6177
1450.000000	100.394	-153.8283
1475.000000	100.540	-154.0107
1500.000000	100.681	-154.1883
1525.000000	100.828	-154.3159
1550.000000	100.938	-154.5078
1575.000000	101.052	-154.6700
1600.000000	101.170	-154.6299
1625.000000	101.265	-154.8317
1650.000000	101.402	-154.8472
1675.000000	101.531	-154.8823
1700.000000	101.666	-154.8700
1725.000000	101.801	-154.7953
1750.000000	101.934	-154.8839
1775.000000	102.072	-154.8969
1800.000000	102.233	-155.0052
1825.000000	102.380	-154.9556
1850.000000	102.541	-154.8598
1875.000000	102.701	-154.8694
1900.000000	102.892	-155.0191
1925.000000	103.053	-154.9501
1950.000000	103.245	-155.0078
1975.000000	103.437	-155.1484
2000.000000	103.564	-154.5752
2030.000000	103.882	-155.3473
2060.000000	104.130	-155.5956
2090.000000	104.391	-155.7753
2120.000000	104.674	-156.0866
2140.000000	104.860	-156.3724
2180.000000	105.260	-157.0236
2200.000000	105.457	-157.3769
2240.000000	105.853	-158.2337
2270.000000	106.164	-159.0682
2300.000000	106.481	-159.8802
2330.000000	106.782	-160.9993
2360.000000	107.121	-162.2082
2400.000000	107.551	-164.0944
2430.000000	107.858	-165.7314
2470.000000	108.247	-168.1121
2500.000000	108.539	-170.2709
2540.000000	108.875	-173.3730
2580.000000	109.167	-176.8563
2620.000000	109.407	179.5933
2650.000000	109.534	176.6035
2690.000000	109.642	172.7921
2720.000000	109.670	169.6520
2760.000000	109.633	165.6501
2800.000000	109.511	161.9249
2850.000000	109.278	157.2216
2900.000000	108.934	153.3484
2950.000000	108.555	149.9680
3000.000000	108.111	146.5429
