* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 11:44:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ ATR L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	58.305	-118.0103
20.299999	58.396	-118.6172
20.600000	58.486	-119.2406
20.900000	58.573	-119.8710
21.200001	58.659	-120.4984
21.400000	58.717	-120.9114
21.799999	58.833	-121.7209
22.000000	58.891	-122.1166
22.400000	59.008	-122.8902
22.700001	59.096	-123.4560
23.000000	59.184	-124.0106
23.299999	59.272	-124.5543
23.600000	59.358	-125.0862
24.000000	59.469	-125.7722
24.299999	59.551	-126.2663
24.700001	59.657	-126.8991
25.000000	59.734	-127.3604
25.400000	59.835	-127.9690
25.799999	59.930	-128.5771
26.200001	60.019	-129.1788
26.500000	60.082	-129.6194
26.900000	60.160	-130.1913
27.200001	60.216	-130.6142
27.600000	60.289	-131.1853
28.000000	60.361	-131.7754
28.500000	60.445	-132.5345
29.000000	60.523	-133.2904
29.500000	60.599	-134.0273
30.000000	60.676	-134.7548
30.400000	60.742	-135.3408
30.700001	60.791	-135.7842
31.100000	60.856	-136.3770
31.500000	60.918	-136.9637
32.000000	60.993	-137.6766
32.500000	61.066	-138.3616
33.000000	61.138	-139.0257
33.500000	61.207	-139.6779
34.000000	61.268	-140.3190
34.500000	61.335	-140.9464
35.000000	61.399	-141.5680
35.500000	61.461	-142.1984
36.000000	61.519	-142.8369
36.500000	61.571	-143.4643
37.000000	61.621	-144.0698
37.500000	61.672	-144.6672
38.200001	61.737	-145.5171
38.700001	61.781	-146.1199
39.500000	61.851	-147.0519
40.000000	61.895	-147.6386
40.599998	61.944	-148.3513
41.200001	61.986	-149.0276
41.799999	62.028	-149.6536
42.500000	62.083	-150.3851
43.099998	62.126	-151.0397
43.700001	62.163	-151.6794
44.400002	62.204	-152.3817
45.000000	62.241	-152.9836
45.500000	62.271	-153.5009
46.200001	62.307	-154.2184
46.799999	62.335	-154.7993
47.500000	62.373	-155.4684
48.200001	62.411	-156.1758
48.700001	62.432	-156.6864
49.400002	62.455	-157.3449
50.000000	62.478	-157.8582
50.799999	62.516	-158.5613
51.500000	62.544	-159.2178
52.200001	62.565	-159.8452
53.000000	62.591	-160.5065
53.799999	62.619	-161.1765
54.500000	62.637	-161.7692
55.200001	62.653	-162.3335
56.000000	62.672	-162.9540
57.000000	62.694	-163.7333
58.000000	62.709	-164.5003
59.000000	62.722	-165.2216
60.000000	62.738	-165.9436
60.799999	62.749	-166.5312
61.500000	62.758	-167.0371
62.200001	62.766	-167.5448
63.000000	62.771	-168.1053
64.000000	62.780	-168.7431
65.000000	62.794	-169.4066
66.000000	62.798	-170.0866
67.000000	62.797	-170.7072
68.000000	62.800	-171.3081
69.000000	62.802	-171.9301
70.000000	62.801	-172.5400
71.000000	62.800	-173.1246
72.000000	62.801	-173.7121
73.000000	62.799	-174.3000
74.000000	62.794	-174.8669
75.000000	62.788	-175.4188
76.199997	62.781	-176.0908
77.500000	62.767	-176.8253
78.800003	62.749	-177.5190
80.000000	62.738	-178.1604
81.199997	62.719	-178.7885
82.500000	62.705	-179.4361
83.800003	62.685	179.8878
85.000000	62.661	179.2790
86.199997	62.638	178.7225
87.500000	62.614	178.0872
88.500000	62.591	177.6797
90.000000	62.581	177.0244
91.199997	62.559	176.4878
92.500000	62.546	175.9142
93.800003	62.522	175.3238
95.000000	62.503	174.7924
96.199997	62.486	174.2570
97.500000	62.455	173.6423
98.800003	62.444	173.1822
100.000000	62.418	172.4967
101.500000	62.367	172.1050
103.000000	62.351	171.4783
104.400002	62.310	170.9835
106.000000	62.277	170.4268
107.500000	62.242	169.8690
109.000000	62.203	169.3471
110.599998	62.163	168.7803
112.000000	62.126	168.3037
113.800003	62.079	167.6955
115.000000	62.061	167.3288
117.199997	62.011	166.6602
118.000000	61.981	166.3361
120.599998	61.971	165.6576
122.000000	61.870	165.1997
124.099998	61.804	164.5790
125.000000	61.784	164.3646
126.500000	61.743	163.9138
128.000000	61.710	163.5103
131.500000	61.622	162.6790
132.000000	61.607	162.5576
134.000000	61.553	162.1517
136.000000	61.499	161.6995
138.000000	61.441	161.3148
140.000000	61.384	160.8890
143.000000	61.293	160.3390
145.000000	61.235	159.9706
147.500000	61.159	159.4865
150.000000	61.093	159.0350
152.500000	61.019	158.6616
155.000000	60.944	158.2891
157.500000	60.871	157.9001
160.000000	60.795	157.5269
162.500000	60.722	157.2006
165.000000	60.644	156.8745
167.500000	60.575	156.5229
170.000000	60.500	156.2386
172.500000	60.430	155.9365
175.000000	60.362	155.6800
177.500000	60.298	155.4225
180.000000	60.235	155.1342
182.500000	60.163	154.8331
185.000000	60.091	154.5790
187.500000	60.017	154.2578
190.000000	59.945	153.9534
192.500000	59.868	153.6287
195.000000	59.799	153.3444
197.500000	59.713	153.0844
200.000000	59.640	152.8643
203.000000	59.541	152.5930
206.000000	59.454	152.2888
209.000000	59.356	151.9996
212.000000	59.254	151.7699
214.000000	59.195	151.6744
218.000000	59.053	151.4402
220.000000	58.978	151.3531
224.000000	58.836	151.2125
227.000000	58.738	151.2284
230.000000	58.643	151.2339
233.000000	58.541	151.2910
236.000000	58.444	151.3528
240.000000	58.300	151.5681
243.000000	58.193	151.8255
247.000000	58.075	152.5758
250.000000	58.015	153.3458
254.000000	58.059	154.3678
258.000000	58.179	154.8451
262.000000	58.317	154.5363
265.000000	58.396	154.1257
269.000000	58.422	153.2190
272.000000	58.406	152.5433
276.000000	58.350	151.7291
280.000000	58.269	151.0936
285.000000	58.151	150.4395
290.000000	58.045	149.9565
295.000000	57.921	149.5395
300.000000	57.798	149.2134
304.000000	57.709	149.0022
307.000000	57.637	148.9319
311.000000	57.561	148.8832
315.000000	57.466	148.8514
320.000000	57.370	148.8636
325.000000	57.252	148.9321
330.000000	57.150	148.9718
335.000000	57.047	149.0826
340.000000	56.948	149.2432
345.000000	56.850	149.3305
350.000000	56.737	149.4822
355.000000	56.655	149.5965
360.000000	56.573	149.8147
365.000000	56.472	150.0053
370.000000	56.382	150.2079
375.000000	56.284	150.3981
382.000000	56.169	150.7215
387.000000	56.083	151.0148
395.000000	55.957	151.3688
400.000000	55.871	151.6487
406.000000	55.778	151.9354
412.000000	55.676	152.2867
418.000000	55.589	152.6641
425.000000	55.478	153.0867
431.000000	55.401	153.4538
437.000000	55.323	153.7597
444.000000	55.221	154.0657
450.000000	55.128	154.4081
455.000000	55.049	154.4496
462.000000	54.960	154.7054
468.000000	54.879	154.9493
475.000000	54.778	155.1877
482.000000	54.703	155.4879
487.000000	54.632	155.7012
494.000000	54.549	155.8730
500.000000	54.475	156.1962
508.000000	54.376	156.5329
515.000000	54.302	156.8194
522.000000	54.216	157.1580
530.000000	54.125	157.5428
538.000000	54.031	157.8309
545.000000	53.954	158.2356
552.000000	53.877	158.6083
560.000000	53.782	159.0601
570.000000	53.685	159.5371
580.000000	53.588	159.9853
590.000000	53.492	160.5872
600.000000	53.402	161.1424
608.000000	53.339	161.5685
615.000000	53.272	161.8543
622.000000	53.213	162.2241
630.000000	53.142	162.6404
640.000000	53.047	163.2409
650.000000	52.969	163.8022
660.000000	52.890	164.4062
670.000000	52.803	165.0692
680.000000	52.745	165.6017
690.000000	52.664	166.3416
700.000000	52.593	167.0250
710.000000	52.529	167.7583
720.000000	52.464	168.3941
730.000000	52.425	169.2028
740.000000	52.378	170.1830
750.000000	52.355	171.2032
762.000000	52.348	172.4689
775.000000	52.306	173.6605
788.000000	52.245	174.9321
800.000000	52.216	176.1258
812.000000	52.182	177.3970
825.000000	52.131	178.7027
838.000000	52.087	-179.7590
850.000000	52.050	-177.9089
862.000000	52.204	-176.2471
875.000000	52.259	-175.5526
885.000000	52.258	-174.8833
900.000000	52.309	-173.8423
912.000000	52.316	-173.1557
925.000000	52.283	-172.5915
938.000000	52.155	-171.9700
950.000000	52.047	-170.4626
962.000000	51.950	-168.7991
975.000000	51.993	-166.9579
988.000000	52.031	-165.2042
1000.000000	52.080	-163.8225
1015.000000	52.193	-162.2664
1030.000000	52.269	-160.8822
1044.000000	52.352	-159.6643
1060.000000	52.448	-158.4165
1075.000000	52.513	-157.7155
1090.000000	52.583	-157.1393
1106.000000	52.637	-156.4986
1120.000000	52.687	-156.0245
1138.000000	52.766	-155.4335
1150.000000	52.822	-155.0857
1172.000000	52.895	-154.6382
1180.000000	52.935	-154.3516
1206.000000	53.015	-153.8871
1220.000000	53.099	-153.6029
1241.000000	53.267	-153.3290
1250.000000	53.324	-153.0500
1265.000000	53.452	-152.8869
1280.000000	53.540	-152.7087
1315.000000	53.774	-152.2088
1320.000000	53.806	-152.2587
1340.000000	53.942	-152.0257
1360.000000	54.112	-151.8221
1380.000000	54.248	-151.6824
1400.000000	54.365	-151.4763
1430.000000	54.561	-151.2413
1450.000000	54.681	-151.0530
1475.000000	54.834	-150.8028
1500.000000	54.996	-150.5830
1525.000000	55.133	-150.3390
1550.000000	55.234	-150.0972
1575.000000	55.339	-149.8685
1600.000000	55.452	-149.6364
1625.000000	55.556	-149.4272
1650.000000	55.659	-149.2699
1675.000000	55.773	-148.9501
1700.000000	55.900	-148.8293
1725.000000	56.015	-148.5879
1750.000000	56.130	-148.5082
1775.000000	56.220	-148.0695
1800.000000	56.370	-147.2648
1825.000000	56.495	-146.2271
1850.000000	56.618	-145.1728
1875.000000	56.765	-144.1718
1900.000000	56.898	-143.2005
1925.000000	57.048	-142.1366
1950.000000	57.177	-141.2334
1975.000000	57.325	-140.3009
2000.000000	57.474	-139.2679
2030.000000	57.667	-138.2235
2060.000000	57.863	-137.0969
2090.000000	58.058	-136.0984
2120.000000	58.264	-135.1033
2140.000000	58.402	-134.4608
2180.000000	58.677	-133.2044
2200.000000	58.830	-132.6644
2240.000000	59.113	-131.5532
2270.000000	59.326	-130.8056
2300.000000	59.551	-130.1257
2330.000000	59.774	-129.4913
2360.000000	59.988	-128.8827
2400.000000	60.301	-128.2513
2430.000000	60.526	-127.8074
2470.000000	60.818	-127.3370
2500.000000	61.046	-127.1174
2540.000000	61.344	-126.7686
2580.000000	61.621	-127.4641
2620.000000	61.882	-128.9052
2650.000000	62.077	-130.0728
2690.000000	62.320	-131.6764
2720.000000	62.501	-133.0180
2760.000000	62.715	-134.8147
2800.000000	62.912	-136.7136
2850.000000	63.120	-139.1976
2900.000000	63.303	-141.8139
2950.000000	63.457	-144.3306
3000.000000	63.569	-146.9622
3040.000000	63.646	-149.0038
3070.000000	63.694	-150.5013
3110.000000	63.740	-152.4717
3150.000000	63.783	-154.3636
3200.000000	63.806	-156.6869
3250.000000	63.821	-158.8579
3300.000000	63.837	-160.9571
3350.000000	63.846	-162.9223
3400.000000	63.851	-164.8402
3450.000000	63.863	-166.6448
3500.000000	63.879	-168.4153
3550.000000	63.910	-170.0750
3600.000000	63.947	-171.7433
3650.000000	64.005	-173.4151
3700.000000	64.081	-175.0640
3750.000000	64.160	-176.7876
3820.000000	64.303	-179.2647
3870.000000	64.423	178.8137
3950.000000	64.658	175.4463
4000.000000	64.815	173.0914
4060.000000	65.004	169.9545
4120.000000	65.201	166.4474
4180.000000	65.379	162.4921
4250.000000	65.552	157.2462
4310.000000	65.627	153.1807
4370.000000	65.653	150.1369
4440.000000	65.555	146.1334
4500.000000	65.342	142.6129
4550.000000	65.080	139.7833
4620.000000	64.598	136.1382
4680.000000	64.085	133.4520
4750.000000	63.408	131.0861
4820.000000	62.669	129.4465
4870.000000	62.111	128.7527
4940.000000	61.325	128.4201
5000.000000	60.646	128.6408
5080.000000	59.762	129.5679
5150.000000	59.011	130.9577
5220.000000	58.297	132.8264
5300.000000	57.517	135.3621
5380.000000	56.762	138.3340
5450.000000	56.133	141.2804
5520.000000	55.560	144.4456
5600.000000	54.910	148.4728
5700.000000	54.176	153.6355
5800.000000	53.517	159.0894
5900.000000	52.933	164.8763
6000.000000	52.398	170.9592
6080.000000	51.992	175.7601
6150.000000	51.641	-179.9635
6220.000000	51.330	-176.9785
6300.000000	51.104	-174.3981
6400.000000	50.707	-171.7970
6500.000000	50.406	-168.8015
6600.000000	50.173	-165.9036
6700.000000	49.933	-163.2592
6800.000000	49.792	-160.0888
6900.000000	49.692	-156.8100
7000.000000	49.567	-153.6158
7100.000000	49.577	-150.5364
7200.000000	49.600	-147.5802
7300.000000	49.790	-144.6113
7400.000000	49.888	-141.9547
7500.000000	50.207	-139.0188
7620.000000	50.513	-135.8782
7750.000000	50.999	-132.8789
7880.000000	51.698	-130.0993
8000.000000	52.487	-127.9116
8120.000000	53.434	-126.5118
8250.000000	54.826	-126.5953
8380.000000	56.559	-129.1824
8500.000000	58.524	-135.9138
8620.000000	60.530	-150.8148
8750.000000	61.382	-177.6330
8850.000000	60.212	161.7798
9000.000000	57.106	143.6180
9120.000000	54.712	137.5353
9250.000000	52.491	135.1371
9380.000000	50.645	134.8904
9500.000000	49.180	136.2687
9620.000000	47.906	138.0461
9750.000000	46.724	140.7116
9880.000000	45.738	143.8642
10000.000000	44.996	146.9330
10150.000000	44.126	150.0756
10300.000000	43.339	153.4734
10440.000000	42.821	161.2277
10600.000000	42.280	170.7701
10750.000000	42.088	-179.9489
10900.000000	41.909	-170.5417
11060.000000	41.807	-161.2636
11200.000000	41.894	-152.9821
11380.000000	42.035	-142.8521
11500.000000	42.317	-135.8846
11720.000000	43.229	-124.2168
11800.000000	43.562	-122.0618
12060.000000	45.561	-114.8684
12200.000000	46.854	-115.5978
12410.000000	48.389	-128.4108
12500.000000	48.314	-137.4183
12650.000000	46.999	-150.6316
12800.000000	44.644	-156.8715
13150.000000	39.359	-150.1795
13200.000000	38.658	-147.9842
13400.000000	36.511	-138.2293
13600.000000	34.376	-125.3862
13800.000000	32.718	-112.5864
14000.000000	31.332	-98.9124
14300.000000	28.771	-74.5309
14500.000000	27.592	-52.5900
14750.000000	26.119	-41.6605
15000.000000	22.463	-6.3139
15250.000000	22.603	18.6905
15500.000000	21.976	48.7483
15750.000000	25.516	69.0670
16000.000000	26.427	90.9334
16250.000000	30.530	106.6191
16500.000000	34.397	112.1782
16750.000000	38.618	109.2733
17000.000000	42.147	88.8416
17250.000000	42.382	63.6058
17500.000000	40.686	51.0294
17750.000000	39.436	47.3127
18000.000000	38.869	46.8567
18250.000000	38.872	45.4787
18500.000000	39.149	41.9244
18750.000000	39.658	32.2017
19000.000000	39.091	14.9560
19250.000000	36.955	-0.2503
19500.000000	34.420	-9.3604
19750.000000	31.169	-9.9786
