* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 8:38:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ ZEXpro R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	62.842	172.0484
20.299999	62.811	171.5611
20.600000	62.782	171.0799
20.900000	62.753	170.6068
21.200001	62.725	170.1467
21.400000	62.708	169.8495
21.799999	62.674	169.2786
22.000000	62.658	169.0039
22.400000	62.625	168.4735
22.700001	62.600	168.0912
23.000000	62.575	167.7226
23.299999	62.548	167.3678
23.600000	62.521	167.0255
24.000000	62.483	166.5839
24.299999	62.454	166.2608
24.700001	62.412	165.8404
25.000000	62.379	165.5351
25.400000	62.333	165.1428
25.799999	62.287	164.7626
26.200001	62.242	164.3825
26.500000	62.209	164.0903
26.900000	62.162	163.6883
27.200001	62.125	163.3799
27.600000	62.073	162.9687
28.000000	62.021	162.5661
28.500000	61.958	162.0817
29.000000	61.897	161.6132
29.500000	61.838	161.1548
30.000000	61.780	160.7139
30.400000	61.737	160.3837
30.700001	61.706	160.1506
31.100000	61.666	159.8524
31.500000	61.628	159.5558
32.000000	61.579	159.1787
32.500000	61.525	158.8145
33.000000	61.468	158.4960
33.500000	61.413	158.2196
34.000000	61.357	157.9397
34.500000	61.309	157.6262
35.000000	61.255	157.3039
35.500000	61.198	157.0168
36.000000	61.145	156.7650
36.500000	61.101	156.4980
37.000000	61.059	156.1736
37.500000	61.010	155.8091
38.200001	60.921	155.3542
38.700001	60.858	155.1210
39.500000	60.775	154.8171
40.000000	60.730	154.5910
40.599998	60.672	154.2861
41.200001	60.607	154.0091
41.799999	60.543	153.7782
42.500000	60.471	153.5189
43.099998	60.409	153.2946
43.700001	60.347	153.0914
44.400002	60.277	152.8719
45.000000	60.220	152.6783
45.500000	60.172	152.5184
46.200001	60.107	152.3029
46.799999	60.051	152.1112
47.500000	59.982	151.8875
48.200001	59.910	151.7133
48.700001	59.863	151.6186
49.400002	59.801	151.4719
50.000000	59.745	151.3211
50.799999	59.665	151.1557
51.500000	59.600	151.0547
52.200001	59.540	150.9280
53.000000	59.467	150.7699
53.799999	59.395	150.6589
54.500000	59.338	150.5461
55.200001	59.277	150.4030
