* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 26, 2022 12:40:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KZ ZSN pro L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.917	16.3905
20.299999	102.940	15.9325
20.600000	102.961	15.4919
20.900000	102.981	15.0754
21.200001	103.002	14.6838
21.400000	103.018	14.4309
21.799999	103.051	13.9258
22.000000	103.067	13.6567
22.400000	103.094	13.0818
22.700001	103.109	12.6422
23.000000	103.122	12.2241
23.299999	103.133	11.8439
23.600000	103.145	11.4964
24.000000	103.163	11.0593
24.299999	103.180	10.7334
24.700001	103.203	10.2857
25.000000	103.219	9.9302
25.400000	103.236	9.4242
25.799999	103.249	8.9371
26.200001	103.263	8.5066
26.500000	103.276	8.2130
26.900000	103.293	7.8359
27.200001	103.304	7.5402
27.600000	103.317	7.1365
28.000000	103.328	6.7309
28.500000	103.343	6.2122
29.000000	103.354	5.6995
29.500000	103.357	5.2042
30.000000	103.356	4.7407
30.400000	103.358	4.3672
30.700001	103.361	4.0947
31.100000	103.366	3.7440
31.500000	103.372	3.4076
32.000000	103.379	2.9719
32.500000	103.392	2.5163
33.000000	103.400	2.0537
33.500000	103.397	1.6078
34.000000	103.387	1.2208
34.500000	103.394	0.8771
35.000000	103.410	0.5188
35.500000	103.425	0.0652
36.000000	103.429	-0.4243
36.500000	103.421	-0.8304
37.000000	103.411	-1.1403
37.500000	103.414	-1.4620
38.200001	103.423	-1.9585
38.700001	103.427	-2.3248
39.500000	103.423	-2.8777
40.000000	103.423	-3.2050
40.599998	103.419	-3.5659
41.200001	103.411	-3.9347
41.799999	103.408	-4.3117
42.500000	103.412	-4.7542
43.099998	103.411	-5.1996
43.700001	103.395	-5.6346
44.400002	103.374	-6.0053
45.000000	103.372	-6.2703
45.500000	103.374	-6.5807
46.200001	103.372	-7.1028
46.799999	103.357	-7.5060
47.500000	103.334	-7.8991
48.200001	103.324	-8.2380
48.700001	103.327	-8.5227
49.400002	103.309	-8.9683
50.000000	103.278	-9.3466
50.799999	103.302	-9.7066
51.500000	103.314	-10.0441
52.200001	103.312	-10.4829
53.000000	103.282	-10.9832
53.799999	103.256	-11.2340
54.500000	103.258	-11.4692
55.200001	103.258	-11.8590
56.000000	103.233	-12.3132
57.000000	103.207	-12.7815
