* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 27, 2022 5:54:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: NAGAOKA P609 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	106.972	173.7746
20.299999	106.996	173.4453
20.600000	107.011	173.0595
20.900000	107.011	172.6944
21.200001	107.006	172.4084
21.400000	107.005	172.2805
21.799999	107.018	172.1333
22.000000	107.037	172.0814
22.400000	107.096	171.9198
22.700001	107.144	171.6732
23.000000	107.176	171.3349
23.299999	107.185	170.9814
23.600000	107.170	170.7003
24.000000	107.132	170.5559
24.299999	107.109	170.6220
24.700001	107.107	170.7897
25.000000	107.122	170.8316
25.400000	107.135	170.6732
25.799999	107.108	170.3776
26.200001	107.031	170.2239
26.500000	106.960	170.3740
26.900000	106.901	170.9416
27.200001	106.909	171.4401
27.600000	106.993	171.8077
28.000000	107.112	171.5404
28.500000	107.198	170.3696
29.000000	107.144	169.0664
29.500000	107.011	168.4069
30.000000	106.924	168.4574
30.400000	106.934	168.5648
30.700001	106.966	168.4630
31.100000	107.001	168.0590
31.500000	106.998	167.5847
32.000000	106.956	167.2994
32.500000	106.941	167.4414
33.000000	106.983	167.5516
33.500000	107.028	167.3364
34.000000	107.024	167.0682
34.500000	107.008	167.0927
35.000000	107.038	167.2866
35.500000	107.112	167.1876
36.000000	107.157	166.6471
36.500000	107.123	166.0046
37.000000	107.049	165.7650
37.500000	107.007	165.9130
38.200001	107.023	165.9513
38.700001	107.031	165.6560
39.500000	106.995	165.2587
40.000000	106.979	165.1650
40.599998	106.973	165.0035
41.200001	106.968	164.7404
41.799999	106.962	164.4243
42.500000	106.943	163.9842
43.099998	106.897	163.6439
43.700001	106.848	163.5498
44.400002	106.851	163.5568
45.000000	106.880	163.2515
45.500000	106.883	162.8763
46.200001	106.858	162.5302
46.799999	106.852	162.3327
47.500000	106.838	161.9594
48.200001	106.786	161.8752
48.700001	106.787	162.1504
49.400002	106.871	162.2605
50.000000	106.917	161.6325
50.799999	106.851	160.6238
51.500000	106.738	160.5285
52.200001	106.686	160.6542
53.000000	106.650	160.5963
53.799999	106.639	160.4836
54.500000	106.651	160.0492
55.200001	106.616	159.4427
56.000000	106.556	159.2006
57.000000	106.595	159.0711
58.000000	106.616	158.2416
59.000000	106.527	158.0099
60.000000	106.560	158.2558
60.799999	106.589	157.6494
61.500000	106.502	157.1550
62.200001	106.423	157.2929
63.000000	106.425	157.2958
64.000000	106.358	156.8133
65.000000	106.341	156.6766
66.000000	106.302	155.8060
67.000000	106.196	155.8852
68.000000	106.260	155.8131
69.000000	106.220	155.1365
70.000000	106.168	155.0983
71.000000	106.149	154.7823
72.000000	106.093	154.5757
73.000000	106.062	154.3374
74.000000	106.021	153.8714
75.000000	105.938	153.5990
76.199997	105.917	153.5475
77.500000	105.888	153.0205
78.800003	105.867	152.7473
80.000000	105.791	152.2843
81.199997	105.753	152.3605
82.500000	105.700	151.8530
83.800003	105.661	151.8077
85.000000	105.637	151.4035
86.199997	105.583	151.0750
87.500000	105.515	150.8658
88.500000	105.488	150.7158
90.000000	105.398	150.3932
91.199997	105.374	150.2270
92.500000	105.331	149.8615
93.800003	105.324	149.4706
95.000000	105.251	149.1018
96.199997	105.228	149.1002
97.500000	105.172	148.8639
98.800003	105.130	148.7225
100.000000	105.084	149.3272
101.500000	105.047	148.1612
103.000000	104.987	147.9425
104.400002	104.910	147.5629
106.000000	104.876	147.3703
107.500000	104.784	147.0636
109.000000	104.742	146.8247
110.599998	104.675	146.4944
112.000000	104.627	146.1752
113.800003	104.574	145.7991
115.000000	104.503	145.7683
117.199997	104.401	145.5039
118.000000	104.406	145.2914
120.599998	104.194	145.7151
122.000000	104.222	144.4436
124.099998	104.171	143.9330
125.000000	104.107	143.8499
126.500000	104.082	143.8855
128.000000	104.051	143.7018
131.500000	103.870	143.0788
132.000000	103.849	143.0252
134.000000	103.788	142.8212
136.000000	103.742	142.5356
138.000000	103.670	142.2912
140.000000	103.591	141.9942
143.000000	103.452	141.6108
145.000000	103.384	141.3444
147.500000	103.297	141.4024
150.000000	103.284	141.6491
152.500000	103.072	140.9029
155.000000	102.982	140.5285
157.500000	102.900	140.2274
160.000000	102.811	140.1308
162.500000	102.708	139.9333
165.000000	102.590	139.6881
167.500000	102.498	139.5938
170.000000	102.391	139.4646
172.500000	102.271	139.3362
175.000000	102.166	139.3214
177.500000	102.062	139.3459
180.000000	101.959	139.3310
182.500000	101.834	139.3189
185.000000	101.695	139.5852
187.500000	101.554	139.9594
190.000000	101.396	140.4740
192.500000	101.241	141.1574
195.000000	101.092	142.4718
197.500000	101.011	144.3704
200.000000	101.037	147.1873
203.000000	101.471	148.8572
206.000000	101.936	147.9852
209.000000	102.154	146.0070
212.000000	102.141	144.0688
214.000000	102.065	143.0535
218.000000	101.911	141.8146
220.000000	101.841	141.3824
224.000000	101.656	140.8344
227.000000	101.489	140.8045
230.000000	101.417	140.2509
233.000000	101.317	140.0256
236.000000	101.212	140.0537
240.000000	101.063	139.8510
243.000000	100.968	139.8597
247.000000	100.830	139.9720
250.000000	100.672	140.1578
254.000000	100.635	139.9997
258.000000	100.528	140.0364
262.000000	100.407	139.9577
265.000000	100.320	139.9513
269.000000	100.224	140.0479
272.000000	100.136	140.0383
276.000000	100.044	140.0396
280.000000	99.920	140.1170
285.000000	99.816	140.1475
290.000000	99.687	140.1541
295.000000	99.582	140.2790
300.000000	99.490	140.8289
304.000000	99.371	140.5084
307.000000	99.308	140.5821
311.000000	99.216	140.6587
315.000000	99.118	140.7806
320.000000	99.021	140.9342
325.000000	98.909	140.9892
330.000000	98.801	141.1163
335.000000	98.702	141.3137
340.000000	98.590	141.4472
345.000000	98.516	141.7188
350.000000	98.337	142.0123
355.000000	98.305	142.0469
360.000000	98.221	142.2742
365.000000	98.127	142.4239
370.000000	98.032	142.5171
375.000000	97.933	142.7625
382.000000	97.810	142.7982
387.000000	97.731	142.9658
395.000000	97.603	143.1645
400.000000	97.534	143.5985
406.000000	97.395	143.5258
412.000000	97.302	143.5227
418.000000	97.194	143.8352
425.000000	97.081	144.0382
431.000000	97.018	144.2782
437.000000	96.917	144.7518
444.000000	96.832	145.2580
450.000000	96.744	145.6196
455.000000	96.660	145.9557
462.000000	96.552	146.3459
468.000000	96.498	146.9470
475.000000	96.388	147.4437
482.000000	96.289	147.9291
487.000000	96.244	148.1825
494.000000	96.171	148.7831
500.000000	96.065	149.4951
508.000000	95.965	149.7660
515.000000	95.895	150.4764
522.000000	95.808	150.8578
530.000000	95.733	151.6222
538.000000	95.647	152.1754
545.000000	95.549	152.8639
552.000000	95.475	153.3982
560.000000	95.392	154.0976
570.000000	95.280	154.8191
580.000000	95.186	155.7152
590.000000	95.081	156.6271
600.000000	94.924	157.4446
608.000000	94.909	157.9797
615.000000	94.835	158.5219
622.000000	94.773	158.9586
630.000000	94.700	159.5134
640.000000	94.625	160.0282
650.000000	94.553	160.5969
660.000000	94.434	161.2369
670.000000	94.374	161.5129
680.000000	94.282	162.3298
690.000000	94.224	162.9001
700.000000	94.158	163.3671
710.000000	94.091	163.9837
720.000000	94.041	164.7444
730.000000	93.994	165.4765
740.000000	93.944	165.9217
750.000000	93.917	166.9823
762.000000	93.903	167.4705
775.000000	93.820	168.3719
788.000000	93.810	169.2762
800.000000	93.716	169.8199
812.000000	93.739	170.8463
825.000000	93.755	171.8310
838.000000	93.677	172.7775
850.000000	93.637	173.5110
862.000000	93.612	174.3633
875.000000	93.613	175.1100
885.000000	93.593	175.9562
900.000000	93.633	177.1414
912.000000	93.624	177.6685
925.000000	93.619	178.3687
938.000000	93.619	179.1783
950.000000	93.635	179.8803
962.000000	93.740	-179.5470
975.000000	93.735	-179.0010
988.000000	93.791	-178.5872
1000.000000	93.769	-177.0315
1015.000000	93.895	-178.6594
1030.000000	93.890	-179.3252
1044.000000	93.639	-179.8592
1060.000000	93.206	-177.9120
1075.000000	93.124	-174.7280
1090.000000	93.132	-172.3658
1106.000000	93.201	-170.2505
1120.000000	93.191	-168.6399
1138.000000	93.210	-166.9427
1150.000000	93.243	-165.7937
1172.000000	93.245	-164.1187
1180.000000	93.264	-163.3850
1206.000000	93.241	-160.7475
1220.000000	93.321	-159.2792
1241.000000	93.397	-157.0807
1250.000000	93.460	-155.8869
1265.000000	93.545	-154.6448
1280.000000	93.689	-152.7630
1315.000000	94.031	-149.1690
1320.000000	94.102	-148.6872
1340.000000	94.334	-146.9160
1360.000000	94.573	-145.4278
1380.000000	94.736	-144.0251
1400.000000	94.956	-141.9539
1430.000000	95.381	-139.3905
1450.000000	95.693	-138.3728
1475.000000	96.039	-137.4980
1500.000000	96.260	-137.2372
1525.000000	96.527	-137.3139
1550.000000	96.665	-137.5518
1575.000000	96.832	-137.4093
1600.000000	96.931	-137.2357
1625.000000	97.032	-137.0722
1650.000000	97.158	-136.8010
1675.000000	97.250	-136.7361
1700.000000	97.362	-136.4049
1725.000000	97.464	-136.0625
1750.000000	97.536	-135.8090
1775.000000	97.627	-135.2209
1800.000000	97.716	-135.0066
1825.000000	97.853	-134.6378
1850.000000	97.948	-134.0532
1875.000000	98.057	-133.5972
1900.000000	98.166	-133.2524
1925.000000	98.279	-132.9554
1950.000000	98.418	-132.6586
1975.000000	98.526	-132.2182
2000.000000	98.731	-130.8047
2030.000000	98.826	-131.5816
2060.000000	98.980	-131.1230
2090.000000	99.154	-130.8627
2120.000000	99.343	-130.5986
2140.000000	99.473	-130.3971
2180.000000	99.679	-130.6562
2200.000000	99.810	-131.0006
2240.000000	100.074	-131.5504
2270.000000	100.273	-132.0597
2300.000000	100.459	-132.7864
2330.000000	100.667	-133.3383
2360.000000	100.880	-134.0579
2400.000000	101.156	-134.8718
2430.000000	101.382	-135.9706
2470.000000	101.627	-136.9522
2500.000000	101.863	-137.1183
2540.000000	102.130	-137.3957
2580.000000	102.407	-137.4604
2620.000000	102.691	-137.9940
2650.000000	102.872	-138.3224
2690.000000	103.116	-139.0801
2720.000000	103.298	-139.5842
2760.000000	103.516	-140.5648
2800.000000	103.720	-141.5419
2850.000000	103.939	-142.9905
2900.000000	104.103	-144.5044
2950.000000	104.238	-146.2083
3000.000000	104.384	-147.9431
3040.000000	104.348	-149.1865
3070.000000	104.363	-150.0531
3110.000000	104.358	-151.1276
3150.000000	104.326	-151.9938
3200.000000	104.255	-153.1623
3250.000000	104.222	-154.2786
3300.000000	104.119	-155.3361
3350.000000	104.014	-156.3342
3400.000000	103.827	-156.9683
3450.000000	103.670	-157.5888
3500.000000	103.466	-157.7714
3550.000000	103.315	-157.7336
3600.000000	103.107	-158.7830
3650.000000	102.940	-160.2493
3700.000000	102.817	-161.4106
3750.000000	102.683	-162.5581
3820.000000	102.476	-164.1435
3870.000000	102.367	-165.2391
3950.000000	102.163	-166.8943
4000.000000	102.032	-167.5225
4060.000000	101.937	-168.9764
4120.000000	101.816	-169.7003
4180.000000	101.714	-170.7022
4250.000000	101.581	-171.2826
4310.000000	101.528	-172.1459
4370.000000	101.449	-172.7637
4440.000000	101.386	-172.9342
4500.000000	101.398	-172.6505
4550.000000	101.407	-172.0451
4620.000000	101.434	-171.3615
4680.000000	101.463	-170.8479
4750.000000	101.558	-170.1906
4820.000000	101.587	-169.5845
4870.000000	101.621	-168.8823
4940.000000	101.713	-167.8185
5000.000000	101.736	-166.7097
5080.000000	101.989	-165.3945
5150.000000	102.234	-164.1725
5220.000000	102.527	-162.7141
5300.000000	102.956	-161.6953
5380.000000	103.435	-160.4995
5450.000000	103.902	-159.8494
5520.000000	104.419	-159.6926
5600.000000	105.099	-159.8007
5700.000000	106.019	-160.2721
5800.000000	107.047	-161.7872
5900.000000	108.275	-164.8909
6000.000000	109.404	-169.4468
6080.000000	110.616	-171.9758
6150.000000	111.492	-176.7126
6220.000000	112.208	176.5290
6300.000000	112.594	167.1818
6400.000000	112.300	155.0594
6500.000000	111.291	145.7211
6600.000000	109.953	140.0298
6700.000000	108.597	137.9202
6800.000000	107.329	138.2545
6900.000000	106.228	140.2662
7000.000000	105.219	144.0175
7100.000000	104.363	147.4173
7200.000000	103.603	151.8975
7300.000000	102.996	156.9756
7400.000000	102.493	161.8736
7500.000000	102.031	167.6173
7620.000000	101.613	174.4167
7750.000000	101.310	-177.9750
7880.000000	101.061	-170.5461
8000.000000	100.920	-163.3751
8120.000000	101.054	-156.3167
8250.000000	101.248	-148.6544
8380.000000	101.608	-141.1189
8500.000000	102.077	-134.8563
8620.000000	102.747	-129.5970
8750.000000	103.565	-128.6213
8850.000000	104.420	-128.7225
9000.000000	106.083	-131.3016
9120.000000	107.715	-139.0947
9250.000000	109.319	-154.7505
9380.000000	109.541	-178.5660
9500.000000	107.910	161.3979
9620.000000	105.535	149.7766
9750.000000	103.029	143.8083
9880.000000	100.848	141.8434
10000.000000	99.117	142.0515
10150.000000	97.221	144.2813
10300.000000	95.644	147.4808
10440.000000	94.319	151.0462
10600.000000	93.032	154.9676
10750.000000	91.918	159.3021
10900.000000	91.012	164.0305
11060.000000	90.081	169.0253
11200.000000	89.278	173.6744
11380.000000	88.546	-179.5150
11500.000000	88.110	-176.9018
11720.000000	87.411	-169.1505
11800.000000	87.133	-166.8300
12060.000000	86.782	-157.7355
12200.000000	86.524	-153.9047
12410.000000	86.423	-146.1693
12500.000000	86.279	-144.3160
12650.000000	86.463	-142.4395
12800.000000	86.608	-140.1273
13150.000000	87.356	-136.9900
13200.000000	87.315	-135.5598
13400.000000	87.758	-133.8504
13600.000000	88.607	-131.2063
13800.000000	89.948	-130.0268
14000.000000	91.283	-129.8173
14300.000000	93.717	-130.8971
14500.000000	96.145	-131.7398
14750.000000	100.048	-135.5857
15000.000000	103.925	-165.1322
15250.000000	101.673	156.4044
15500.000000	97.607	147.6438
15750.000000	94.584	151.0514
16000.000000	92.458	158.5798
16250.000000	90.923	165.6585
16500.000000	90.052	175.9498
16750.000000	89.600	-175.9405
17000.000000	89.702	-165.7408
17250.000000	90.508	-161.1788
17500.000000	91.876	-159.9757
17750.000000	93.908	-172.5826
18000.000000	93.396	154.7610
18250.000000	88.642	135.3136
18500.000000	83.908	133.8468
18750.000000	80.055	139.1904
19000.000000	76.877	147.4837
19250.000000	73.889	160.9631
19500.000000	72.149	169.6259
19750.000000	69.870	-174.5995
