* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 27, 2022 5:56:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: NAGAOKA P609 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	108.378	172.5392
20.299999	108.377	172.2499
20.600000	108.377	171.9623
20.900000	108.376	171.6995
21.200001	108.380	171.4584
21.400000	108.388	171.3074
21.799999	108.406	171.0180
22.000000	108.418	170.8844
22.400000	108.446	170.6411
22.700001	108.467	170.4730
23.000000	108.484	170.3245
23.299999	108.498	170.2054
23.600000	108.510	170.1085
24.000000	108.524	169.9994
24.299999	108.532	169.9340
24.700001	108.538	169.8593
25.000000	108.541	169.8120
25.400000	108.541	169.7610
25.799999	108.540	169.7116
26.200001	108.537	169.6243
26.500000	108.533	169.5318
26.900000	108.522	169.3923
27.200001	108.508	169.2511
27.600000	108.486	169.0536
28.000000	108.466	168.8657
28.500000	108.448	168.6174
29.000000	108.435	168.3525
29.500000	108.429	168.0615
30.000000	108.424	167.7687
30.400000	108.425	167.5376
30.700001	108.426	167.3710
31.100000	108.429	167.1650
31.500000	108.434	166.9832
32.000000	108.442	166.7680
32.500000	108.448	166.5775
33.000000	108.451	166.3830
33.500000	108.446	166.1842
34.000000	108.432	166.0097
34.500000	108.422	165.8471
35.000000	108.414	165.6768
35.500000	108.407	165.4875
36.000000	108.395	165.2823
36.500000	108.379	165.0330
37.000000	108.366	164.8092
37.500000	108.358	164.6032
38.200001	108.344	164.2523
38.700001	108.332	163.9711
39.500000	108.315	163.5874
40.000000	108.309	163.3680
40.599998	108.296	163.1049
41.200001	108.282	162.8502
41.799999	108.271	162.5992
42.500000	108.255	162.3389
43.099998	108.238	162.1327
43.700001	108.224	161.9061
44.400002	108.204	161.5992
45.000000	108.179	161.3206
45.500000	108.161	161.1339
46.200001	108.136	160.8844
46.799999	108.113	160.6420
47.500000	108.091	160.3718
48.200001	108.087	160.0261
48.700001	108.079	159.6550
49.400002	108.012	159.2003
50.000000	107.937	159.1449
50.799999	107.946	159.1969
51.500000	107.977	158.9090
52.200001	107.961	158.4734
53.000000	107.926	158.2440
53.799999	107.919	158.0150
54.500000	107.902	157.7092
55.200001	107.874	157.4861
56.000000	107.850	157.2592
57.000000	107.812	156.9561
58.000000	107.774	156.6991
59.000000	107.736	156.3872
60.000000	107.692	156.0651
60.799999	107.663	155.8311
61.500000	107.639	155.5834
62.200001	107.615	155.3601
63.000000	107.595	155.1491
64.000000	107.562	154.8185
65.000000	107.522	154.5197
66.000000	107.489	154.2592
67.000000	107.452	153.9358
68.000000	107.400	153.6754
69.000000	107.364	153.4434
70.000000	107.322	153.1115
71.000000	107.283	152.8431
72.000000	107.252	152.5660
73.000000	107.209	152.2868
74.000000	107.176	152.0610
75.000000	107.138	151.8201
76.199997	107.094	151.4898
77.500000	107.039	151.1435
78.800003	106.987	150.7848
80.000000	106.939	150.4766
81.199997	106.885	150.1378
82.500000	106.828	149.8132
83.800003	106.780	149.4398
85.000000	106.732	149.1539
86.199997	106.682	148.8258
87.500000	106.629	148.5024
88.500000	106.584	148.2696
90.000000	106.518	147.9457
91.199997	106.471	147.6439
92.500000	106.419	147.2900
93.800003	106.370	147.0079
95.000000	106.323	146.6971
96.199997	106.271	146.4712
97.500000	106.214	146.2750
98.800003	106.154	145.8902
100.000000	106.089	146.5948
101.500000	106.069	145.3883
103.000000	105.996	145.1134
104.400002	105.928	144.6943
106.000000	105.871	144.5067
107.500000	105.805	144.1638
109.000000	105.746	143.9259
110.599998	105.677	143.5311
112.000000	105.615	143.2971
113.800003	105.553	142.9502
115.000000	105.506	142.8027
117.199997	105.392	142.5409
118.000000	105.372	142.3391
120.599998	105.263	142.4460
122.000000	105.189	141.5552
124.099998	105.112	141.1866
125.000000	105.074	141.0961
126.500000	105.017	140.8097
128.000000	104.965	140.6951
131.500000	104.808	140.2643
132.000000	104.791	140.2268
134.000000	104.715	139.9306
136.000000	104.637	139.8223
138.000000	104.567	139.6822
140.000000	104.482	139.4972
143.000000	104.354	139.3159
145.000000	104.288	139.1842
147.500000	104.173	139.0540
150.000000	104.090	138.8055
152.500000	103.967	138.7573
155.000000	103.862	138.7572
157.500000	103.772	138.6235
160.000000	103.664	138.5910
162.500000	103.567	138.4926
165.000000	103.461	138.4187
167.500000	103.353	138.3756
170.000000	103.255	138.3320
172.500000	103.151	138.2254
175.000000	103.047	138.3131
