* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 11:49:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: NAGAOKA P905 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	67.902	179.3269
20.299999	67.902	178.9751
20.600000	67.902	178.6229
20.900000	67.902	178.2724
21.200001	67.901	177.9294
21.400000	67.900	177.7087
21.799999	67.900	177.2913
22.000000	67.900	177.0943
22.400000	67.902	176.7165
22.700001	67.906	176.4370
23.000000	67.909	176.1543
23.299999	67.912	175.8676
23.600000	67.914	175.5812
24.000000	67.912	175.2120
24.299999	67.910	174.9496
24.700001	67.907	174.6171
25.000000	67.906	174.3727
25.400000	67.904	174.0425
25.799999	67.901	173.7036
26.200001	67.896	173.3622
26.500000	67.891	173.1096
26.900000	67.882	172.7789
27.200001	67.874	172.5327
27.600000	67.863	172.2014
28.000000	67.852	171.8655
28.500000	67.836	171.4480
29.000000	67.820	171.0463
29.500000	67.806	170.6606
30.000000	67.794	170.2769
30.400000	67.788	169.9645
30.700001	67.783	169.7282
31.100000	67.775	169.4156
31.500000	67.766	169.1124
32.000000	67.754	168.7484
32.500000	67.743	168.3924
33.000000	67.732	168.0331
33.500000	67.718	167.6698
34.000000	67.697	167.3119
34.500000	67.683	166.9666
35.000000	67.668	166.6299
35.500000	67.655	166.2912
36.000000	67.643	165.9431
36.500000	67.628	165.5894
37.000000	67.612	165.2414
37.500000	67.596	164.9077
38.200001	67.571	164.4533
38.700001	67.555	164.1231
39.500000	67.525	163.5940
40.000000	67.506	163.2831
40.599998	67.485	162.9222
41.200001	67.464	162.5464
41.799999	67.440	162.1616
42.500000	67.407	161.7504
43.099998	67.382	161.4284
43.700001	67.361	161.0914
44.400002	67.334	160.6707
45.000000	67.309	160.3196
45.500000	67.288	160.0381
46.200001	67.261	159.6356
46.799999	67.235	159.2804
47.500000	67.201	158.8909
48.200001	67.171	158.5437
48.700001	67.154	158.2994
49.400002	67.132	157.9242
50.000000	67.110	157.5758
50.799999	67.073	157.1292
51.500000	67.040	156.7795
52.200001	67.010	156.4401
53.000000	66.974	156.0481
53.799999	66.937	155.6761
54.500000	66.905	155.3598
55.200001	66.873	155.0350
56.000000	66.834	154.6733
57.000000	66.785	154.2515
58.000000	66.737	153.8254
59.000000	66.688	153.4132
60.000000	66.639	152.9987
60.799999	66.598	152.6732
61.500000	66.565	152.4038
62.200001	66.533	152.1274
63.000000	66.493	151.8079
64.000000	66.444	151.4415
65.000000	66.397	151.0671
66.000000	66.346	150.6973
67.000000	66.295	150.3552
68.000000	66.246	150.0075
69.000000	66.196	149.6690
70.000000	66.147	149.3484
71.000000	66.101	149.0254
72.000000	66.053	148.6949
73.000000	66.005	148.3873
74.000000	65.959	148.0641
75.000000	65.910	147.7348
76.199997	65.848	147.3584
77.500000	65.780	146.9498
78.800003	65.710	146.5494
80.000000	65.650	146.1745
81.199997	65.586	145.7885
82.500000	65.521	145.4040
83.800003	65.454	144.9962
85.000000	65.394	144.6646
86.199997	65.333	144.3108
87.500000	65.263	143.9821
88.500000	65.217	143.7211
90.000000	65.139	143.2878
91.199997	65.080	142.9773
92.500000	65.012	142.6562
93.800003	64.954	142.3697
95.000000	64.898	142.0945
96.199997	64.832	141.7400
97.500000	64.760	141.5512
98.800003	64.678	141.0239
100.000000	64.590	141.0874
101.500000	64.566	140.5156
103.000000	64.481	140.3127
104.400002	64.447	139.8997
106.000000	64.355	139.5957
107.500000	64.289	139.4031
109.000000	64.220	139.0706
110.599998	64.131	138.7133
112.000000	64.057	138.3946
113.800003	64.002	138.1955
115.000000	63.932	138.0242
117.199997	63.801	137.7879
118.000000	63.779	137.6285
120.599998	63.648	138.1707
122.000000	63.600	136.8683
124.099998	63.524	136.4609
125.000000	63.478	136.3592
126.500000	63.431	136.0942
128.000000	63.365	136.0017
131.500000	63.206	135.5542
132.000000	63.182	135.4653
134.000000	63.098	135.2968
136.000000	63.018	135.0714
138.000000	62.925	134.9125
140.000000	62.834	134.7387
143.000000	62.700	134.4709
145.000000	62.619	134.2993
147.500000	62.513	134.1402
150.000000	62.405	133.9781
152.500000	62.296	133.8070
155.000000	62.191	133.6471
157.500000	62.091	133.5096
160.000000	61.986	133.3745
162.500000	61.884	133.2551
165.000000	61.782	133.1616
167.500000	61.679	133.0857
170.000000	61.581	132.9753
172.500000	61.487	132.9086
175.000000	61.398	132.8587
177.500000	61.309	132.7941
180.000000	61.220	132.7063
182.500000	61.130	132.6124
185.000000	61.038	132.5348
187.500000	60.946	132.4442
190.000000	60.855	132.3451
192.500000	60.760	132.2483
195.000000	60.664	132.1477
197.500000	60.569	132.0402
200.000000	60.475	131.9604
203.000000	60.370	131.9139
206.000000	60.258	131.8738
209.000000	60.142	131.8282
212.000000	60.028	131.7908
214.000000	59.957	131.7694
218.000000	59.800	131.8124
220.000000	59.725	131.9546
224.000000	59.561	132.2172
227.000000	59.463	132.5004
230.000000	59.379	132.9131
233.000000	59.318	133.5352
236.000000	59.326	133.9068
240.000000	59.374	133.9679
243.000000	59.357	133.4952
247.000000	59.314	132.8384
250.000000	59.230	132.3513
254.000000	59.125	132.0801
258.000000	59.002	131.6906
262.000000	58.875	131.4987
265.000000	58.788	131.3725
269.000000	58.669	131.2551
272.000000	58.580	131.2361
276.000000	58.464	131.1643
280.000000	58.348	131.1540
285.000000	58.211	131.1181
290.000000	58.078	131.1347
295.000000	57.949	131.1292
300.000000	57.812	131.1308
304.000000	57.705	131.2117
307.000000	57.621	131.3049
311.000000	57.529	131.4411
315.000000	57.428	131.5818
320.000000	57.314	131.8314
325.000000	57.189	132.0910
330.000000	57.071	132.3618
335.000000	56.945	132.6246
340.000000	56.829	132.9224
345.000000	56.717	133.1773
350.000000	56.592	133.5296
355.000000	56.484	133.8042
360.000000	56.383	134.1756
365.000000	56.268	134.4726
370.000000	56.169	134.7592
375.000000	56.060	135.1054
382.000000	55.910	135.6368
387.000000	55.809	135.9841
395.000000	55.654	136.5728
400.000000	55.544	136.9258
406.000000	55.433	137.3768
412.000000	55.326	137.8727
418.000000	55.206	138.3223
425.000000	55.069	138.9142
431.000000	54.972	139.3771
437.000000	54.860	139.8764
444.000000	54.720	140.3189
450.000000	54.613	140.6432
455.000000	54.515	140.9048
462.000000	54.405	141.2056
468.000000	54.288	141.6212
475.000000	54.173	142.0139
482.000000	54.050	142.3900
487.000000	53.967	142.6197
494.000000	53.850	143.0580
500.000000	53.744	143.4333
508.000000	53.609	143.8978
515.000000	53.500	144.2830
522.000000	53.383	144.8076
530.000000	53.256	145.2702
538.000000	53.120	145.8019
545.000000	53.017	146.2994
552.000000	52.893	146.7357
560.000000	52.773	147.3092
570.000000	52.606	148.0845
580.000000	52.454	148.8022
590.000000	52.301	149.6610
600.000000	52.150	150.4656
608.000000	52.022	151.1716
615.000000	51.916	151.7741
622.000000	51.812	152.4978
630.000000	51.691	153.1658
640.000000	51.555	154.2620
650.000000	51.407	155.2764
660.000000	51.277	156.3890
670.000000	51.140	157.5350
680.000000	51.018	158.7732
690.000000	50.899	160.0231
700.000000	50.788	161.3786
710.000000	50.685	162.7474
720.000000	50.603	164.1921
730.000000	50.524	165.6900
740.000000	50.464	167.4297
750.000000	50.440	169.1325
762.000000	50.422	171.4409
775.000000	50.434	173.9221
788.000000	50.477	176.2314
800.000000	50.491	178.3760
812.000000	50.568	-179.4687
825.000000	50.638	-177.3282
838.000000	50.764	-175.3770
850.000000	50.887	-173.6731
862.000000	51.000	-171.8636
875.000000	51.142	-170.1650
885.000000	51.244	-169.0338
900.000000	51.400	-167.4326
912.000000	51.527	-166.3195
925.000000	51.674	-165.1692
938.000000	51.814	-164.0307
950.000000	51.915	-163.1233
962.000000	52.029	-162.3331
975.000000	52.162	-161.4652
988.000000	52.267	-160.7054
1000.000000	52.396	-159.9213
1015.000000	52.482	-159.0164
1030.000000	52.574	-158.2516
1044.000000	52.666	-157.7103
1060.000000	52.788	-156.9546
1075.000000	52.868	-156.4484
1090.000000	52.880	-156.3268
1106.000000	52.924	-156.1264
1120.000000	52.913	-155.9072
1138.000000	52.938	-155.1543
1150.000000	53.008	-154.6693
