* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control. Timing signal peak level -10.4 dBFS, measurement signal peak level -10.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Mar 20, 2022 7:56:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay -0.5597 ms (-192 mm, -7.56 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: NAGAOKA P908 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.982	-124.1002
20.299999	92.074	-124.7609
20.600000	92.154	-125.4515
20.900000	92.219	-126.1115
21.200001	92.280	-126.7059
21.400000	92.323	-127.0535
21.799999	92.418	-127.6476
22.000000	92.475	-127.9049
22.400000	92.608	-128.3973
22.700001	92.720	-128.8121
23.000000	92.832	-129.2846
23.299999	92.934	-129.7938
23.600000	93.023	-130.3034
24.000000	93.124	-130.8902
24.299999	93.191	-131.2037
24.700001	93.290	-131.4671
25.000000	93.378	-131.6250
25.400000	93.509	-131.9146
25.799999	93.634	-132.3773
26.200001	93.724	-132.9565
26.500000	93.765	-133.3429
26.900000	93.799	-133.6359
27.200001	93.828	-133.7038
27.600000	93.899	-133.7084
28.000000	94.010	-133.8364
28.500000	94.164	-134.4300
29.000000	94.269	-135.3272
29.500000	94.324	-136.1353
30.000000	94.377	-136.6740
30.400000	94.448	-137.0670
30.700001	94.509	-137.4458
31.100000	94.582	-138.0854
31.500000	94.628	-138.7469
32.000000	94.654	-139.3292
32.500000	94.696	-139.5100
33.000000	94.798	-139.6275
33.500000	94.933	-140.0783
34.000000	95.034	-140.8553
34.500000	95.085	-141.6287
35.000000	95.114	-142.1092
35.500000	95.169	-142.3603
36.000000	95.254	-142.6739
36.500000	95.337	-143.2236
37.000000	95.396	-143.7996
37.500000	95.446	-144.2344
38.200001	95.528	-144.7952
38.700001	95.587	-145.3240
39.500000	95.643	-146.0907
40.000000	95.680	-146.3573
40.599998	95.755	-146.6821
41.200001	95.839	-147.2904
41.799999	95.887	-148.0580
42.500000	95.906	-148.7194
43.099998	95.934	-149.1230
43.700001	95.977	-149.5940
44.400002	96.020	-150.1824
45.000000	96.057	-150.6376
45.500000	96.098	-150.9745
46.200001	96.163	-151.4410
46.799999	96.227	-151.8978
47.500000	96.299	-152.6520
48.200001	96.309	-153.4873
48.700001	96.279	-153.7693
49.400002	96.264	-153.5133
50.000000	96.341	-153.2532
50.799999	96.523	-153.7963
51.500000	96.598	-154.6954
52.200001	96.615	-155.4870
53.000000	96.610	-156.2927
53.799999	96.575	-156.9048
54.500000	96.573	-157.1999
55.200001	96.607	-157.6680
56.000000	96.610	-158.3728
57.000000	96.638	-158.7130
58.000000	96.738	-159.7701
59.000000	96.656	-160.7456
60.000000	96.667	-160.6257
60.799999	96.739	-161.1141
61.500000	96.738	-161.5689
62.200001	96.766	-161.7133
63.000000	96.840	-162.2591
64.000000	96.805	-163.1530
65.000000	96.803	-163.2228
66.000000	96.880	-163.8998
67.000000	96.848	-164.7040
68.000000	96.836	-164.8997
69.000000	96.882	-165.4046
70.000000	96.871	-166.0470
71.000000	96.878	-166.4281
72.000000	96.885	-167.0032
73.000000	96.861	-167.3585
74.000000	96.892	-167.7303
75.000000	96.878	-168.3662
76.199997	96.851	-168.7390
77.500000	96.867	-169.2506
78.800003	96.869	-169.8779
80.000000	96.855	-170.3511
81.199997	96.852	-170.7547
82.500000	96.841	-171.2472
83.800003	96.836	-171.7505
85.000000	96.821	-172.1700
86.199997	96.800	-172.6676
87.500000	96.773	-173.0459
88.500000	96.772	-173.3320
90.000000	96.768	-173.8969
91.199997	96.742	-174.3869
92.500000	96.723	-174.7233
93.800003	96.719	-175.1540
95.000000	96.694	-175.5445
96.199997	96.684	-175.8999
97.500000	96.639	-176.2723
98.800003	96.622	-176.6210
100.000000	96.582	-176.1250
101.500000	96.585	-177.2152
103.000000	96.550	-177.6138
104.400002	96.506	-177.9701
106.000000	96.497	-178.3205
107.500000	96.454	-178.7354
109.000000	96.425	-179.0107
110.599998	96.389	-179.3398
112.000000	96.372	-179.5953
113.800003	96.313	179.9541
115.000000	96.289	179.7982
117.199997	96.247	179.5142
118.000000	96.240	179.2481
120.599998	96.147	178.9413
122.000000	96.139	178.5527
124.099998	96.081	178.1114
125.000000	96.056	178.0630
126.500000	96.031	177.7541
128.000000	95.974	177.7244
131.500000	95.891	177.1240
132.000000	95.882	177.0892
134.000000	95.824	176.8552
136.000000	95.786	176.6974
138.000000	95.734	176.5784
140.000000	95.667	176.3779
143.000000	95.602	176.1761
145.000000	95.526	176.0985
147.500000	95.480	176.0530
150.000000	95.444	176.2088
152.500000	95.387	175.8192
155.000000	95.310	175.7990
157.500000	95.266	175.6368
160.000000	95.195	175.6036
162.500000	95.130	175.5385
165.000000	95.061	175.3200
167.500000	94.998	175.2468
170.000000	94.941	175.2468
172.500000	94.873	175.1754
175.000000	94.822	175.2448
177.500000	94.745	175.1852
180.000000	94.693	175.2683
182.500000	94.638	175.2734
185.000000	94.572	175.3467
187.500000	94.507	175.3589
190.000000	94.447	175.4382
192.500000	94.394	175.4884
195.000000	94.330	175.5039
197.500000	94.247	175.7305
200.000000	94.102	175.6778
203.000000	94.115	175.8733
206.000000	94.045	176.1770
209.000000	93.976	176.2670
212.000000	93.910	176.4186
214.000000	93.852	176.7266
218.000000	93.747	176.8846
220.000000	93.701	176.9159
224.000000	93.606	177.4070
227.000000	93.531	177.8253
230.000000	93.451	177.9399
233.000000	93.393	178.1078
236.000000	93.338	178.5042
240.000000	93.215	178.7779
243.000000	93.149	179.0940
247.000000	93.049	179.6738
250.000000	92.943	179.8235
254.000000	92.901	-179.6877
258.000000	92.818	-179.2594
262.000000	92.733	-178.7110
265.000000	92.683	-178.2744
269.000000	92.593	-177.8317
272.000000	92.520	-177.4767
276.000000	92.472	-177.0117
280.000000	92.377	-176.4533
285.000000	92.265	-175.6232
290.000000	92.161	-175.0797
295.000000	92.071	-174.2536
300.000000	91.986	-173.0546
304.000000	91.902	-172.8964
307.000000	91.843	-172.5589
311.000000	91.770	-171.9568
315.000000	91.678	-171.3123
320.000000	91.588	-170.5200
325.000000	91.493	-169.6927
330.000000	91.409	-168.8341
335.000000	91.320	-168.0018
340.000000	91.219	-167.1549
345.000000	91.136	-166.3016
350.000000	91.000	-165.5256
355.000000	90.968	-164.4611
360.000000	90.889	-163.5548
365.000000	90.818	-162.7292
370.000000	90.730	-161.9005
375.000000	90.639	-161.0754
382.000000	90.531	-159.7703
387.000000	90.462	-159.0460
395.000000	90.337	-157.6118
400.000000	90.290	-156.5453
406.000000	90.178	-155.6723
412.000000	90.075	-154.6787
418.000000	90.012	-153.5517
425.000000	89.901	-152.3583
431.000000	89.825	-151.2347
437.000000	89.734	-150.2195
444.000000	89.625	-148.6741
450.000000	89.518	-147.5801
455.000000	89.461	-146.5530
462.000000	89.353	-145.2419
468.000000	89.251	-143.7771
475.000000	89.180	-142.0457
482.000000	89.141	-140.3266
487.000000	89.129	-139.1641
494.000000	89.093	-137.6899
500.000000	89.062	-136.7036
508.000000	89.032	-135.1297
515.000000	88.976	-133.7937
522.000000	88.925	-132.4261
530.000000	88.882	-130.8182
538.000000	88.815	-129.2549
545.000000	88.766	-127.7890
552.000000	88.683	-126.3891
560.000000	88.647	-124.7251
570.000000	88.566	-122.8292
580.000000	88.493	-120.6558
