* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 7:26:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: NICEHCK X49 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	57.399	10.3339
20.299999	57.397	10.0224
20.600000	57.382	9.8404
20.900000	57.367	9.7832
21.200001	57.364	9.7823
21.400000	57.371	9.7643
21.799999	57.392	9.6092
22.000000	57.399	9.4653
22.400000	57.397	9.0995
22.700001	57.380	8.8370
23.000000	57.356	8.6403
23.299999	57.335	8.5231
23.600000	57.325	8.4592
24.000000	57.337	8.3634
24.299999	57.360	8.2220
24.700001	57.397	7.9056
25.000000	57.421	7.5957
25.400000	57.443	7.1507
25.799999	57.455	6.7412
26.200001	57.464	6.4025
26.500000	57.472	6.1908
26.900000	57.481	5.9472
27.200001	57.486	5.7873
27.600000	57.490	5.6151
28.000000	57.492	5.5124
28.500000	57.501	5.4918
29.000000	57.529	5.4875
29.500000	57.572	5.3091
30.000000	57.590	4.8729
30.400000	57.565	4.4709
30.700001	57.522	4.2752
31.100000	57.456	4.2848
31.500000	57.421	4.5706
32.000000	57.458	4.8997
32.500000	57.545	4.6775
33.000000	57.583	3.9222
33.500000	57.531	3.2232
34.000000	57.453	3.0773
34.500000	57.454	3.2865
35.000000	57.527	3.2198
35.500000	57.589	2.6640
36.000000	57.586	2.0364
36.500000	57.548	1.7818
37.000000	57.541	1.8519
37.500000	57.580	1.8798
38.200001	57.628	1.6109
38.700001	57.638	1.4239
39.500000	57.664	1.2858
40.000000	57.689	1.1009
40.599998	57.694	0.7680
41.200001	57.669	0.5463
41.799999	57.648	0.5299
42.500000	57.658	0.5423
43.099998	57.679	0.3745
43.700001	57.679	0.0952
44.400002	57.658	-0.1210
45.000000	57.649	-0.1928
45.500000	57.653	-0.2823
46.200001	57.654	-0.4744
46.799999	57.649	-0.5884
47.500000	57.660	-0.6996
48.200001	57.674	-0.9261
48.700001	57.674	-1.1016
49.400002	57.673	-1.2998
50.000000	57.671	-1.5114
50.799999	57.642	-1.7531
51.500000	57.621	-1.7212
52.200001	57.640	-1.7371
53.000000	57.649	-2.0723
53.799999	57.617	-2.2747
54.500000	57.613	-2.2986
55.200001	57.626	-2.5024
56.000000	57.613	-2.8456
57.000000	57.583	-3.0182
58.000000	57.587	-3.1175
59.000000	57.601	-3.3530
60.000000	57.594	-3.6422
60.799999	57.587	-3.7767
61.500000	57.592	-3.9397
62.200001	57.585	-4.2047
63.000000	57.554	-4.3869
64.000000	57.554	-4.4380
65.000000	57.564	-4.7964
66.000000	57.543	-4.9785
67.000000	57.564	-5.1189
68.000000	57.560	-5.4458
69.000000	57.536	-5.5274
70.000000	57.539	-5.5335
71.000000	57.539	-5.7606
72.000000	57.495	-5.8428
73.000000	57.518	-5.7309
74.000000	57.538	-6.2759
75.000000	57.482	-6.5400
76.199997	57.486	-6.7453
77.500000	57.444	-6.9954
78.800003	57.466	-7.1042
80.000000	57.458	-7.4182
81.199997	57.444	-7.6587
82.500000	57.408	-7.8300
83.800003	57.397	-7.8935
85.000000	57.390	-8.0909
86.199997	57.375	-8.2886
87.500000	57.363	-8.4685
88.500000	57.355	-8.6354
90.000000	57.336	-8.8007
91.199997	57.332	-8.9557
92.500000	57.310	-9.1257
93.800003	57.296	-9.2145
95.000000	57.283	-9.3688
96.199997	57.274	-9.4719
97.500000	57.258	-9.6518
98.800003	57.272	-9.6750
100.000000	57.259	-10.0853
101.500000	57.215	-9.9972
103.000000	57.203	-10.0874
104.400002	57.193	-10.2086
106.000000	57.171	-10.3297
107.500000	57.146	-10.5011
109.000000	57.146	-10.5961
110.599998	57.119	-10.6746
112.000000	57.111	-10.8218
113.800003	57.078	-10.9549
115.000000	57.064	-11.1331
117.199997	57.055	-11.3662
118.000000	57.029	-11.3681
120.599998	57.032	-11.9894
122.000000	57.002	-11.5474
124.099998	56.973	-11.5600
125.000000	56.968	-11.7195
126.500000	56.935	-11.8087
128.000000	56.916	-11.9846
131.500000	56.873	-12.2713
132.000000	56.869	-12.2964
134.000000	56.847	-12.4720
136.000000	56.818	-12.6614
138.000000	56.799	-12.8645
140.000000	56.771	-13.0512
143.000000	56.728	-13.1824
145.000000	56.706	-13.3720
147.500000	56.677	-13.6202
150.000000	56.642	-13.7479
152.500000	56.604	-14.0111
155.000000	56.586	-14.1644
157.500000	56.547	-14.4050
160.000000	56.518	-14.5379
162.500000	56.477	-14.7043
165.000000	56.450	-14.8610
167.500000	56.418	-15.0712
170.000000	56.382	-15.2605
172.500000	56.357	-15.4070
175.000000	56.334	-15.5466
177.500000	56.300	-15.6908
180.000000	56.268	-15.8388
182.500000	56.243	-15.9295
185.000000	56.214	-16.1007
187.500000	56.187	-16.2722
190.000000	56.149	-16.3903
192.500000	56.119	-16.5316
195.000000	56.073	-16.6294
197.500000	56.035	-16.7205
200.000000	56.004	-16.8166
203.000000	55.944	-16.9715
206.000000	55.887	-17.1047
209.000000	55.835	-17.1389
212.000000	55.777	-16.9146
214.000000	55.759	-16.7862
218.000000	55.725	-16.4539
220.000000	55.732	-16.4434
224.000000	55.712	-16.6329
227.000000	55.667	-16.8426
230.000000	55.620	-17.1791
233.000000	55.500	-16.5483
236.000000	55.379	-16.0687
240.000000	55.270	-15.0778
243.000000	55.198	-13.6794
247.000000	55.374	-11.1078
250.000000	55.718	-10.3602
254.000000	56.090	-11.6955
258.000000	56.193	-13.8576
262.000000	56.146	-15.2814
265.000000	56.081	-15.9785
269.000000	55.983	-16.4590
272.000000	55.921	-16.7663
276.000000	55.847	-17.0123
280.000000	55.766	-17.2030
285.000000	55.687	-17.3040
290.000000	55.608	-17.4090
295.000000	55.548	-17.3644
300.000000	55.486	-17.3951
304.000000	55.438	-17.4701
307.000000	55.409	-17.5099
311.000000	55.351	-17.5266
315.000000	55.296	-17.6600
320.000000	55.237	-17.8306
325.000000	55.183	-17.9803
330.000000	55.130	-18.0862
335.000000	55.072	-18.1904
340.000000	55.024	-18.3486
345.000000	54.969	-18.4719
350.000000	54.903	-18.5890
355.000000	54.849	-18.7054
360.000000	54.789	-18.7651
365.000000	54.739	-18.7893
370.000000	54.686	-18.7931
375.000000	54.640	-18.8882
382.000000	54.573	-18.9386
387.000000	54.529	-18.9549
395.000000	54.450	-19.0653
400.000000	54.399	-19.0842
406.000000	54.352	-19.0620
412.000000	54.318	-19.0818
418.000000	54.249	-19.1078
425.000000	54.198	-19.1046
431.000000	54.147	-19.0673
437.000000	54.107	-19.1440
444.000000	54.066	-19.1392
450.000000	54.014	-19.2262
455.000000	53.974	-19.2533
462.000000	53.926	-19.4009
468.000000	53.869	-19.3652
475.000000	53.813	-19.4244
482.000000	53.754	-19.4000
487.000000	53.720	-19.4158
494.000000	53.658	-19.4806
500.000000	53.614	-19.3768
508.000000	53.538	-19.4326
515.000000	53.483	-19.2745
522.000000	53.440	-19.0495
530.000000	53.386	-18.6913
538.000000	53.323	-18.3580
545.000000	53.267	-18.0853
552.000000	53.210	-17.7254
560.000000	53.145	-17.3618
570.000000	53.075	-16.9143
580.000000	53.007	-16.4058
590.000000	52.939	-15.8947
600.000000	52.866	-15.4371
608.000000	52.794	-14.9214
615.000000	52.748	-14.5901
622.000000	52.705	-14.2224
630.000000	52.653	-13.7246
640.000000	52.578	-13.1206
650.000000	52.512	-12.4685
660.000000	52.436	-11.7941
670.000000	52.388	-11.1577
680.000000	52.327	-10.3347
690.000000	52.257	-9.6290
700.000000	52.198	-8.8939
710.000000	52.153	-8.0953
720.000000	52.114	-7.1945
730.000000	52.096	-6.4071
740.000000	52.078	-5.8711
750.000000	52.053	-5.2789
762.000000	52.020	-4.9225
775.000000	51.973	-4.3850
788.000000	51.918	-4.0195
800.000000	51.879	-3.5755
812.000000	51.840	-3.0664
825.000000	51.822	-2.6008
838.000000	51.782	-2.1319
850.000000	51.764	-1.6122
862.000000	51.738	-1.1223
875.000000	51.728	-0.6175
885.000000	51.713	-0.3492
900.000000	51.692	0.3423
912.000000	51.692	0.7464
925.000000	51.684	1.2345
938.000000	51.687	1.6511
950.000000	51.691	2.0447
962.000000	51.696	2.3193
975.000000	51.720	2.7096
988.000000	51.729	3.0472
1000.000000	51.788	3.2199
1015.000000	51.789	3.6387
1030.000000	51.820	3.8592
1044.000000	51.859	4.1129
1060.000000	51.893	4.3403
1075.000000	51.912	4.3769
1090.000000	51.920	4.5209
1106.000000	51.942	4.4735
1120.000000	51.940	4.5588
1138.000000	51.935	4.5362
1150.000000	51.934	4.4963
1172.000000	51.944	4.4402
1180.000000	51.928	4.3732
1206.000000	51.921	4.1854
1220.000000	51.943	4.1255
1241.000000	51.986	4.0440
1250.000000	52.019	4.1561
1265.000000	52.087	4.5000
1280.000000	52.112	5.0129
1315.000000	52.209	6.0093
1320.000000	52.220	6.1903
1340.000000	52.260	6.8436
1360.000000	52.338	7.5355
1380.000000	52.395	8.1354
1400.000000	52.434	8.9039
1430.000000	52.490	9.9645
1450.000000	52.556	10.8434
1475.000000	52.582	11.9113
1500.000000	52.640	12.8620
1525.000000	52.691	13.9727
1550.000000	52.690	15.1538
1575.000000	52.708	16.2420
1600.000000	52.711	17.4900
1625.000000	52.716	18.8141
1650.000000	52.755	19.9812
1675.000000	52.778	21.2047
1700.000000	52.777	22.5626
1725.000000	52.801	23.9578
1750.000000	52.840	25.2633
1775.000000	52.888	26.5745
1800.000000	52.911	27.5517
1825.000000	52.932	28.0326
1850.000000	52.978	28.4788
1875.000000	53.031	29.0549
1900.000000	53.093	29.5353
1925.000000	53.147	29.9783
1950.000000	53.203	30.5441
1975.000000	53.274	30.9899
2000.000000	53.337	31.4600
2030.000000	53.440	32.1373
2060.000000	53.561	32.6849
2090.000000	53.655	33.1781
2120.000000	53.787	33.7676
2140.000000	53.860	34.0261
2180.000000	54.037	34.7400
2200.000000	54.125	35.0329
2240.000000	54.342	35.6762
2270.000000	54.507	36.0603
2300.000000	54.680	36.4856
2330.000000	54.854	36.7325
2360.000000	55.058	37.1549
2400.000000	55.331	37.4485
2430.000000	55.537	37.7193
2470.000000	55.840	37.7778
2500.000000	56.075	37.9838
2540.000000	56.415	37.9935
2580.000000	56.759	37.8678
2620.000000	57.137	37.6091
2650.000000	57.431	37.2898
2690.000000	57.844	36.7829
2720.000000	58.160	36.2025
2760.000000	58.615	35.3064
2800.000000	59.078	34.1954
2850.000000	59.689	32.3295
2900.000000	60.326	29.8776
2950.000000	60.994	26.8818
3000.000000	61.646	23.2823
3040.000000	62.234	20.5789
3070.000000	62.623	18.3663
3110.000000	63.104	14.5064
3150.000000	63.474	10.0509
3200.000000	63.738	3.7086
3250.000000	63.760	-2.7886
3300.000000	63.541	-9.0271
3350.000000	63.134	-14.5115
3400.000000	62.582	-19.1164
3450.000000	61.938	-22.6484
3500.000000	61.256	-25.0997
3550.000000	60.563	-26.7687
3600.000000	59.866	-27.6653
3650.000000	59.209	-27.9276
3700.000000	58.585	-27.6444
3750.000000	57.988	-26.9572
3820.000000	57.215	-25.3763
3870.000000	56.699	-23.8560
3950.000000	55.950	-21.0259
4000.000000	55.548	-18.8924
4060.000000	55.082	-16.3877
4120.000000	54.630	-13.6651
4180.000000	54.254	-10.7641
4250.000000	53.836	-7.3166
4310.000000	53.565	-4.4068
4370.000000	53.231	-2.9311
4440.000000	52.937	-1.8678
4500.000000	52.685	-0.7663
4550.000000	52.479	-0.1308
4620.000000	52.205	0.8584
4680.000000	51.934	1.6321
4750.000000	51.627	2.7012
4820.000000	51.293	4.2877
4870.000000	51.043	5.7316
4940.000000	50.786	8.3429
5000.000000	50.631	10.4713
