* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 27, 2022 7:21:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Panasonic RP-HJE150 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.851	-137.0899
20.299999	102.885	-137.4270
20.600000	102.930	-137.6753
20.900000	102.991	-137.8824
21.200001	103.071	-138.1196
21.400000	103.133	-138.3206
21.799999	103.261	-138.8469
22.000000	103.324	-139.1601
22.400000	103.442	-139.8482
22.700001	103.517	-140.3838
23.000000	103.578	-140.8947
23.299999	103.627	-141.3430
23.600000	103.669	-141.7130
24.000000	103.724	-142.0759
24.299999	103.769	-142.2567
24.700001	103.844	-142.4348
25.000000	103.911	-142.5768
25.400000	104.008	-142.8419
25.799999	104.101	-143.2207
26.200001	104.175	-143.6882
26.500000	104.216	-144.0358
26.900000	104.255	-144.4116
27.200001	104.278	-144.6434
27.600000	104.314	-144.8917
28.000000	104.361	-145.1233
28.500000	104.429	-145.4965
29.000000	104.487	-145.9390
29.500000	104.532	-146.3592
30.000000	104.569	-146.6525
30.400000	104.612	-146.8003
30.700001	104.653	-146.8938
31.100000	104.724	-147.0591
31.500000	104.806	-147.3426
32.000000	104.895	-147.9118
32.500000	104.940	-148.5576
33.000000	104.948	-149.0311
33.500000	104.955	-149.2218
34.000000	104.996	-149.3180
34.500000	105.068	-149.6271
35.000000	105.120	-150.1635
35.500000	105.134	-150.6367
36.000000	105.144	-150.8378
36.500000	105.194	-150.9711
37.000000	105.279	-151.3065
37.500000	105.349	-151.9074
38.200001	105.370	-152.7299
38.700001	105.374	-153.0276
39.500000	105.443	-153.2921
40.000000	105.505	-153.5943
40.599998	105.556	-154.0247
41.200001	105.599	-154.4090
41.799999	105.644	-154.7997
42.500000	105.682	-155.2666
43.099998	105.698	-155.6048
43.700001	105.715	-155.8728
44.400002	105.747	-156.1572
45.000000	105.783	-156.4724
45.500000	105.815	-156.7865
46.200001	105.844	-157.2643
46.799999	105.858	-157.6287
47.500000	105.885	-158.0232
48.200001	105.914	-158.4619
48.700001	105.929	-158.7374
49.400002	105.939	-158.9646
50.000000	105.955	-159.1176
50.799999	106.016	-159.4637
51.500000	106.053	-159.7142
52.200001	106.091	-159.9617
53.000000	106.127	-160.3133
53.799999	106.154	-160.6592
54.500000	106.181	-161.0209
55.200001	106.193	-161.4467
56.000000	106.191	-161.8206
57.000000	106.213	-162.1512
58.000000	106.244	-162.5568
59.000000	106.281	-162.9911
60.000000	106.298	-163.5266
60.799999	106.301	-163.7846
61.500000	106.316	-163.9902
62.200001	106.337	-164.2061
63.000000	106.372	-164.4740
64.000000	106.395	-165.0933
65.000000	106.364	-165.5806
66.000000	106.372	-165.6738
67.000000	106.439	-166.0813
68.000000	106.456	-166.8317
69.000000	106.433	-167.2606
70.000000	106.441	-167.5511
71.000000	106.453	-167.8578
72.000000	106.489	-168.1351
73.000000	106.501	-168.6838
74.000000	106.491	-169.0146
75.000000	106.492	-169.3289
76.199997	106.494	-169.6157
77.500000	106.531	-170.0714
78.800003	106.547	-170.5880
80.000000	106.549	-170.9800
81.199997	106.574	-171.3015
82.500000	106.564	-171.8727
83.800003	106.574	-172.0904
85.000000	106.599	-172.5059
86.199997	106.596	-172.9323
87.500000	106.610	-173.2753
88.500000	106.617	-173.6134
90.000000	106.607	-174.0188
91.199997	106.614	-174.2917
92.500000	106.620	-174.7952
93.800003	106.601	-175.1328
95.000000	106.598	-175.3948
96.199997	106.616	-175.6516
97.500000	106.606	-176.0632
98.800003	106.611	-176.3192
100.000000	106.609	-175.8952
101.500000	106.622	-176.9220
103.000000	106.610	-177.3668
104.400002	106.594	-177.5943
106.000000	106.602	-177.9949
107.500000	106.602	-178.4361
109.000000	106.593	-178.7596
110.599998	106.578	-179.2702
112.000000	106.567	-179.4046
113.800003	106.573	-179.8516
115.000000	106.584	179.9465
117.199997	106.566	179.4238
118.000000	106.567	179.2581
120.599998	106.575	178.7241
122.000000	106.547	178.2741
