* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 27, 2022 6:52:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Philips SHE9500 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.523	-115.9862
20.299999	87.621	-116.2546
20.600000	87.717	-116.5805
20.900000	87.809	-116.9225
21.200001	87.904	-117.2650
21.400000	87.971	-117.4892
21.799999	88.110	-117.9322
22.000000	88.183	-118.1460
22.400000	88.337	-118.5635
22.700001	88.455	-118.8841
23.000000	88.571	-119.2095
23.299999	88.680	-119.5257
23.600000	88.783	-119.8241
24.000000	88.909	-120.1646
24.299999	88.999	-120.3528
24.700001	89.118	-120.5333
25.000000	89.209	-120.6573
25.400000	89.327	-120.8638
25.799999	89.426	-121.1239
26.200001	89.497	-121.3639
26.500000	89.536	-121.4445
26.900000	89.590	-121.3624
27.200001	89.645	-121.2405
27.600000	89.750	-121.1523
28.000000	89.877	-121.3085
28.500000	90.019	-121.9038
29.000000	90.104	-122.6044
29.500000	90.162	-123.0737
30.000000	90.244	-123.3086
30.400000	90.342	-123.5212
30.700001	90.422	-123.7665
31.100000	90.523	-124.1856
31.500000	90.609	-124.5993
32.000000	90.707	-124.9964
32.500000	90.811	-125.2715
33.000000	90.920	-125.5802
33.500000	91.011	-125.9281
34.000000	91.078	-126.1629
34.500000	91.155	-126.2524
35.000000	91.251	-126.3365
35.500000	91.351	-126.5412
36.000000	91.432	-126.8230
36.500000	91.497	-127.1059
37.000000	91.565	-127.3138
37.500000	91.643	-127.5317
38.200001	91.739	-127.9565
38.700001	91.801	-128.2547
39.500000	91.917	-128.6923
40.000000	91.987	-129.0477
40.599998	92.041	-129.4050
41.200001	92.103	-129.5155
41.799999	92.214	-129.6322
42.500000	92.349	-130.1739
43.099998	92.402	-130.7456
43.700001	92.430	-131.0145
44.400002	92.505	-131.1508
45.000000	92.581	-131.4868
45.500000	92.623	-131.7601
46.200001	92.683	-131.8792
46.799999	92.777	-132.0320
47.500000	92.878	-132.6290
48.200001	92.915	-133.1526
48.700001	92.950	-133.2346
49.400002	93.041	-133.3692
50.000000	93.108	-133.8031
50.799999	93.164	-134.3860
51.500000	93.210	-134.4827
52.200001	93.298	-134.6633
53.000000	93.380	-135.1768
53.799999	93.420	-135.6215
54.500000	93.458	-135.8381
55.200001	93.517	-136.0184
56.000000	93.600	-136.3852
57.000000	93.668	-136.9328
58.000000	93.728	-137.2837
59.000000	93.788	-137.6633
60.000000	93.830	-137.8635
60.799999	93.900	-137.9158
61.500000	93.971	-138.1940
62.200001	94.015	-138.5412
63.000000	94.052	-138.7275
64.000000	94.124	-138.9223
65.000000	94.188	-139.3431
66.000000	94.234	-139.5891
67.000000	94.302	-139.9036
68.000000	94.332	-140.2655
69.000000	94.367	-140.4364
70.000000	94.411	-140.5599
71.000000	94.509	-140.7890
72.000000	94.555	-141.4496
73.000000	94.566	-141.5388
74.000000	94.664	-141.8814
75.000000	94.663	-142.3982
76.199997	94.710	-142.4060
77.500000	94.767	-142.7253
78.800003	94.852	-142.9617
80.000000	94.897	-143.3625
81.199997	94.942	-143.6955
82.500000	94.950	-143.9847
83.800003	95.007	-144.0897
85.000000	95.047	-144.2365
86.199997	95.117	-144.4265
87.500000	95.153	-144.9018
88.500000	95.171	-144.9792
90.000000	95.236	-145.3484
91.199997	95.263	-145.6652
92.500000	95.299	-146.0716
93.800003	95.333	-146.2211
95.000000	95.383	-146.5851
