* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 27, 2022 7:08:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Pioneer SE-CL20 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	80.798	-99.2319
20.299999	80.913	-99.3241
20.600000	81.017	-99.5858
20.900000	81.106	-99.9087
21.200001	81.190	-100.2218
21.400000	81.250	-100.4084
21.799999	81.386	-100.7617
22.000000	81.465	-100.9452
22.400000	81.640	-101.3700
22.700001	81.776	-101.7618
23.000000	81.904	-102.1825
23.299999	82.021	-102.5693
23.600000	82.127	-102.8664
24.000000	82.266	-103.0581
24.299999	82.378	-103.0497
24.700001	82.548	-102.9335
25.000000	82.690	-102.8570
25.400000	82.880	-102.8457
25.799999	83.055	-102.9253
26.200001	83.203	-103.0300
26.500000	83.300	-103.0762
26.900000	83.419	-103.0797
27.200001	83.500	-103.0972
27.600000	83.602	-103.1470
28.000000	83.694	-103.2045
28.500000	83.804	-103.2590
29.000000	83.921	-103.3001
29.500000	84.052	-103.4365
30.000000	84.182	-103.6865
30.400000	84.285	-103.9160
30.700001	84.363	-104.0806
31.100000	84.472	-104.3004
31.500000	84.586	-104.5518
32.000000	84.715	-104.8916
32.500000	84.824	-105.0600
33.000000	84.946	-104.9666
33.500000	85.113	-104.8188
34.000000	85.300	-104.9347
34.500000	85.464	-105.3620
35.000000	85.572	-105.7840
35.500000	85.654	-105.9228
36.000000	85.754	-105.8629
36.500000	85.879	-105.9375
37.000000	85.999	-106.1960
37.500000	86.089	-106.4769
38.200001	86.190	-106.6586
38.700001	86.282	-106.6876
39.500000	86.467	-106.8420
40.000000	86.584	-107.0428
40.599998	86.712	-107.3069
41.200001	86.835	-107.5776
41.799999	86.951	-107.8513
42.500000	87.072	-108.0329
43.099998	87.181	-108.0519
43.700001	87.311	-108.1082
44.400002	87.461	-108.3657
45.000000	87.566	-108.6488
45.500000	87.649	-108.7892
46.200001	87.782	-108.9611
46.799999	87.899	-109.2934
47.500000	88.002	-109.8017
48.200001	88.086	-110.1344
48.700001	88.159	-110.2909
49.400002	88.250	-110.5451
50.000000	88.306	-110.6954
50.799999	88.433	-110.7089
51.500000	88.578	-110.7581
52.200001	88.713	-111.0595
53.000000	88.832	-111.4353
53.799999	88.936	-111.7410
54.500000	89.018	-111.9520
55.200001	89.107	-112.0657
56.000000	89.227	-112.3020
57.000000	89.339	-112.6921
58.000000	89.455	-112.8071
59.000000	89.592	-113.1319
60.000000	89.690	-113.4149
60.799999	89.798	-113.5106
61.500000	89.898	-113.8135
62.200001	89.972	-114.1242
63.000000	90.058	-114.2550
64.000000	90.191	-114.5207
65.000000	90.303	-114.9498
66.000000	90.406	-115.2258
67.000000	90.513	-115.5383
68.000000	90.602	-115.7442
69.000000	90.721	-115.9011
70.000000	90.825	-116.2751
71.000000	90.916	-116.4689
72.000000	91.031	-116.6316
73.000000	91.147	-116.9171
74.000000	91.246	-117.3811
75.000000	91.300	-117.6419
76.199997	91.418	-117.8393
77.500000	91.527	-118.3024
78.800003	91.634	-118.6847
80.000000	91.731	-118.9818
81.199997	91.826	-119.3237
82.500000	91.932	-119.6252
83.800003	92.040	-120.1503
85.000000	92.116	-120.4145
