* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 6:22:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: QoA Affinity L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	54.003	-113.9053
20.299999	54.077	-114.6215
20.600000	54.142	-115.2907
20.900000	54.208	-115.8882
21.200001	54.284	-116.4337
21.400000	54.344	-116.7947
21.799999	54.476	-117.5726
22.000000	54.544	-118.0005
22.400000	54.672	-118.9041
22.700001	54.758	-119.5629
23.000000	54.837	-120.1547
23.299999	54.914	-120.6598
23.600000	54.996	-121.0921
24.000000	55.114	-121.6229
24.299999	55.206	-122.0308
24.700001	55.322	-122.6013
25.000000	55.398	-123.0201
25.400000	55.488	-123.5154
25.799999	55.573	-123.9234
26.200001	55.663	-124.2996
26.500000	55.732	-124.6118
26.900000	55.816	-125.0983
27.200001	55.867	-125.4978
27.600000	55.921	-126.0029
28.000000	55.968	-126.4146
28.500000	56.045	-126.8266
29.000000	56.151	-127.3313
29.500000	56.264	-128.0796
30.000000	56.349	-128.9599
30.400000	56.400	-129.5946
30.700001	56.436	-129.9807
31.100000	56.497	-130.4058
31.500000	56.575	-130.8329
32.000000	56.678	-131.4858
32.500000	56.761	-132.2134
33.000000	56.822	-132.8299
33.500000	56.885	-133.2840
34.000000	56.959	-133.7342
34.500000	57.038	-134.3218
35.000000	57.089	-134.9646
35.500000	57.113	-135.4572
36.000000	57.147	-135.7439
36.500000	57.214	-136.0132
37.000000	57.298	-136.4770
37.500000	57.363	-137.1138
38.200001	57.408	-137.9044
38.700001	57.446	-138.2916
39.500000	57.542	-138.9422
40.000000	57.596	-139.4167
40.599998	57.652	-139.8743
41.200001	57.728	-140.2553
41.799999	57.813	-140.7917
42.500000	57.869	-141.5475
43.099998	57.887	-141.9851
43.700001	57.924	-142.2437
44.400002	57.991	-142.6959
45.000000	58.028	-143.2171
45.500000	58.046	-143.5746
46.200001	58.091	-143.9634
46.799999	58.151	-144.4485
47.500000	58.192	-145.2198
48.200001	58.195	-145.7640
48.700001	58.215	-145.9252
49.400002	58.298	-146.2373
50.000000	58.368	-146.7968
50.799999	58.403	-147.5443
51.500000	58.426	-147.9165
52.200001	58.470	-148.2717
53.000000	58.509	-148.7097
53.799999	58.556	-149.0703
54.500000	58.602	-149.5389
55.200001	58.619	-150.0802
56.000000	58.626	-150.5038
57.000000	58.659	-151.0051
58.000000	58.688	-151.4771
59.000000	58.756	-151.9595
60.000000	58.796	-152.7652
60.799999	58.789	-153.1671
61.500000	58.808	-153.2732
62.200001	58.863	-153.4572
63.000000	58.920	-153.9152
64.000000	58.949	-154.4825
65.000000	58.977	-154.8888
66.000000	59.008	-155.3393
67.000000	59.034	-155.8225
68.000000	59.045	-156.3185
69.000000	59.060	-156.6495
70.000000	59.103	-157.0658
71.000000	59.136	-157.5468
72.000000	59.176	-158.0443
73.000000	59.192	-158.5671
74.000000	59.217	-158.8649
75.000000	59.262	-159.3606
76.199997	59.253	-159.9192
77.500000	59.276	-160.1680
78.800003	59.319	-160.7404
80.000000	59.330	-161.2846
81.199997	59.338	-161.7793
82.500000	59.360	-162.0857
83.800003	59.423	-162.7380
85.000000	59.409	-163.2136
86.199997	59.451	-163.5651
87.500000	59.453	-164.1595
88.500000	59.453	-164.4171
90.000000	59.507	-164.7626
91.199997	59.528	-165.5246
92.500000	59.505	-165.7433
93.800003	59.544	-166.0838
95.000000	59.557	-166.4240
96.199997	59.559	-166.8781
97.500000	59.566	-167.2420
98.800003	59.542	-168.0547
100.000000	59.493	-167.9831
101.500000	59.608	-168.5038
103.000000	59.620	-169.1133
104.400002	59.640	-169.6014
106.000000	59.660	-169.9810
107.500000	59.670	-170.4538
109.000000	59.644	-170.8722
110.599998	59.677	-171.2513
112.000000	59.675	-171.6212
113.800003	59.703	-171.9676
115.000000	59.705	-172.3444
117.199997	59.697	-172.9665
118.000000	59.696	-173.0269
120.599998	59.665	-173.9562
122.000000	59.739	-174.2025
124.099998	59.727	-174.4992
125.000000	59.740	-174.5890
126.500000	59.751	-174.9336
128.000000	59.758	-175.1466
131.500000	59.753	-176.1079
132.000000	59.754	-176.2108
134.000000	59.762	-176.6555
136.000000	59.746	-176.8219
138.000000	59.763	-177.2861
140.000000	59.737	-177.7425
143.000000	59.742	-178.4635
145.000000	59.716	-178.8185
