* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, 1, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 26, 2022 12:51:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TRN M10 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.264	-141.4205
20.299999	100.299	-142.3580
20.600000	100.315	-143.0859
20.900000	100.334	-143.5678
21.200001	100.376	-143.8519
21.400000	100.424	-143.9929
21.799999	100.559	-144.3474
22.000000	100.637	-144.6346
22.400000	100.790	-145.4619
22.700001	100.880	-146.2243
23.000000	100.941	-146.9753
23.299999	100.979	-147.5960
23.600000	101.008	-148.0202
24.000000	101.061	-148.3018
24.299999	101.129	-148.4229
24.700001	101.259	-148.7049
25.000000	101.366	-149.1375
25.400000	101.485	-150.0396
25.799999	101.549	-151.0888
26.200001	101.561	-151.9740
26.500000	101.554	-152.4145
26.900000	101.554	-152.7234
27.200001	101.576	-152.8568
27.600000	101.640	-153.0961
28.000000	101.728	-153.5475
28.500000	101.833	-154.4503
29.000000	101.895	-155.5175
29.500000	101.913	-156.5025
30.000000	101.910	-157.2162
30.400000	101.922	-157.5839
30.700001	101.950	-157.7727
31.100000	102.022	-158.0232
31.500000	102.122	-158.4365
32.000000	102.245	-159.3476
32.500000	102.317	-160.5527
33.000000	102.314	-161.6427
33.500000	102.266	-162.3061
34.000000	102.233	-162.5352
34.500000	102.263	-162.6108
35.000000	102.340	-162.8507
35.500000	102.422	-163.4403
36.000000	102.474	-164.2700
36.500000	102.479	-165.0617
37.000000	102.463	-165.6177
37.500000	102.470	-165.9941
38.200001	102.539	-166.5687
38.700001	102.605	-167.2119
39.500000	102.673	-168.4564
40.000000	102.701	-169.2265
40.599998	102.715	-170.1205
41.200001	102.693	-170.8784
41.799999	102.675	-171.2583
42.500000	102.736	-171.4633
43.099998	102.826	-172.0381
43.700001	102.866	-172.8934
44.400002	102.860	-173.6099
45.000000	102.873	-174.0386
45.500000	102.886	-174.5330
46.200001	102.875	-175.2276
46.799999	102.871	-175.5754
47.500000	102.918	-176.1553
48.200001	102.942	-177.2570
48.700001	102.908	-178.0698
49.400002	102.822	-178.7671
50.000000	102.779	-179.1595
50.799999	102.826	-179.7510
51.500000	102.854	179.6465
52.200001	102.883	178.9597
53.000000	102.892	178.0678
53.799999	102.894	177.4524
54.500000	102.920	176.9300
55.200001	102.933	176.2656
56.000000	102.917	175.6700
57.000000	102.929	174.9793
58.000000	102.901	174.0981
59.000000	102.877	173.5404
60.000000	102.877	172.7036
60.799999	102.832	171.9386
61.500000	102.778	171.6232
62.200001	102.771	171.6017
63.000000	102.843	171.2433
64.000000	102.870	169.9869
