* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 8:12:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TRN TA1 L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	54.478	-118.2307
20.299999	54.561	-118.8189
20.600000	54.644	-119.4396
20.900000	54.727	-120.0824
21.200001	54.809	-120.7383
21.400000	54.864	-121.1782
21.799999	54.973	-122.0462
22.000000	55.026	-122.4648
22.400000	55.135	-123.2573
22.700001	55.219	-123.8112
23.000000	55.307	-124.3428
23.299999	55.398	-124.8678
23.600000	55.489	-125.3961
24.000000	55.603	-126.0965
24.299999	55.683	-126.5952
24.700001	55.781	-127.1940
25.000000	55.854	-127.5936
25.400000	55.952	-128.0919
25.799999	56.051	-128.5996
26.200001	56.143	-129.1379
26.500000	56.206	-129.5506
26.900000	56.280	-130.0882
27.200001	56.330	-130.4754
27.600000	56.396	-130.9846
28.000000	56.463	-131.5105
28.500000	56.544	-132.2094
29.000000	56.620	-132.9342
29.500000	56.692	-133.6602
30.000000	56.764	-134.3816
30.400000	56.824	-134.9497
30.700001	56.868	-135.3634
31.100000	56.930	-135.8937
31.500000	56.994	-136.4100
32.000000	57.078	-137.0670
32.500000	57.157	-137.7468
33.000000	57.224	-138.3988
33.500000	57.285	-138.9658
34.000000	57.343	-139.4606
34.500000	57.417	-139.9600
35.000000	57.489	-140.5208
35.500000	57.550	-141.1201
36.000000	57.599	-141.6920
36.500000	57.645	-142.2097
37.000000	57.696	-142.7107
37.500000	57.749	-143.2418
38.200001	57.812	-144.0310
38.700001	57.852	-144.5861
39.500000	57.913	-145.4314
40.000000	57.950	-145.9345
40.599998	57.995	-146.4918
41.200001	58.045	-147.0113
41.799999	58.103	-147.5602
42.500000	58.165	-148.2775
43.099998	58.203	-148.8909
43.700001	58.235	-149.4433
44.400002	58.276	-150.0379
45.000000	58.313	-150.5485
45.500000	58.343	-150.9779
46.200001	58.387	-151.5802
