* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, 1, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 26, 2022 1:11:01 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: TRN V90S L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.347	-161.5190
20.299999	100.372	-162.0009
20.600000	100.397	-162.4702
20.900000	100.423	-162.9240
21.200001	100.451	-163.3629
21.400000	100.472	-163.6504
21.799999	100.515	-164.2158
22.000000	100.535	-164.5035
22.400000	100.573	-165.0863
22.700001	100.601	-165.5122
23.000000	100.629	-165.9154
23.299999	100.658	-166.2946
23.600000	100.687	-166.6624
24.000000	100.723	-167.1476
24.299999	100.746	-167.5018
24.700001	100.773	-167.9467
25.000000	100.791	-168.2667
25.400000	100.814	-168.7037
25.799999	100.837	-169.1386
26.200001	100.860	-169.5581
26.500000	100.877	-169.8668
26.900000	100.895	-170.2780
27.200001	100.904	-170.6010
27.600000	100.911	-171.0406
28.000000	100.915	-171.4793
28.500000	100.919	-172.0166
29.000000	100.921	-172.4982
29.500000	100.927	-172.9364
30.000000	100.941	-173.3908
30.400000	100.957	-173.8150
30.700001	100.966	-174.1441
31.100000	100.975	-174.5597
31.500000	100.981	-174.9196
32.000000	100.994	-175.3333
32.500000	101.018	-175.7573
33.000000	101.041	-176.2082
33.500000	101.050	-176.6540
34.000000	101.052	-177.0513
34.500000	101.066	-177.4305
35.000000	101.083	-177.8320
35.500000	101.092	-178.2835
36.000000	101.095	-178.7139
36.500000	101.098	-179.0793
37.000000	101.104	-179.4515
37.500000	101.108	-179.9120
38.200001	101.095	179.5102
38.700001	101.091	179.2268
39.500000	101.116	178.7290
40.000000	101.132	178.2691
40.599998	101.123	177.7328
41.200001	101.100	177.3265
41.799999	101.095	176.9858
42.500000	101.105	176.5263
43.099998	101.103	176.0606
43.700001	101.090	175.6439
44.400002	101.080	175.2314
45.000000	101.076	174.8684
45.500000	101.067	174.5302
46.200001	101.057	174.0945
46.799999	101.055	173.7449
47.500000	101.048	173.2746
48.200001	101.037	172.8190
48.700001	101.032	172.4857
49.400002	101.003	172.0133
50.000000	100.962	171.6526
50.799999	100.983	171.3504
51.500000	100.999	171.0128
52.200001	100.997	170.5605
53.000000	100.974	170.0772
53.799999	100.962	169.7039
54.500000	100.950	169.3224
55.200001	100.927	168.9708
56.000000	100.906	168.6358
57.000000	100.885	168.1286
58.000000	100.854	167.6739
59.000000	100.844	167.2230
60.000000	100.821	166.6710
60.799999	100.801	166.2632
61.500000	100.791	165.9412
62.200001	100.778	165.6100
63.000000	100.755	165.2310
64.000000	100.735	164.7922
65.000000	100.712	164.3675
66.000000	100.677	164.0359
67.000000	100.656	163.6111
68.000000	100.634	163.1969
69.000000	100.606	162.8507
70.000000	100.594	162.3819
71.000000	100.561	161.9741
72.000000	100.540	161.6225
73.000000	100.503	161.2796
74.000000	100.483	160.9677
75.000000	100.463	160.5378
76.199997	100.418	160.0975
77.500000	100.382	159.6581
78.800003	100.350	159.1643
80.000000	100.312	158.7743
81.199997	100.280	158.4173
82.500000	100.242	157.9457
83.800003	100.204	157.5719
85.000000	100.164	157.2169
86.199997	100.133	156.8245
87.500000	100.097	156.4293
88.500000	100.067	156.1152
90.000000	100.023	155.6833
91.199997	99.988	155.3541
92.500000	99.949	154.9987
93.800003	99.910	154.6453
95.000000	99.873	154.3221
96.199997	99.837	154.0433
97.500000	99.797	153.7064
98.800003	99.753	153.3399
100.000000	99.678	153.4481
101.500000	99.681	152.6611
103.000000	99.628	152.3578
