* Measurement data measured by REW V5.20.5
* Source: default [default], no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Feb 27, 2022 6:04:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Yinyoo ASH L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	107.230	160.3400
20.299999	107.215	160.1384
20.600000	107.201	159.9287
20.900000	107.188	159.7200
21.200001	107.176	159.5068
21.400000	107.171	159.3651
21.799999	107.159	159.0946
22.000000	107.154	158.9778
22.400000	107.149	158.7830
22.700001	107.149	158.6503
23.000000	107.149	158.5193
23.299999	107.148	158.3893
23.600000	107.144	158.2528
24.000000	107.136	158.0654
24.299999	107.126	157.9395
24.700001	107.108	157.7964
25.000000	107.095	157.7052
25.400000	107.076	157.5970
25.799999	107.059	157.4891
26.200001	107.039	157.3547
26.500000	107.023	157.2445
26.900000	106.999	157.1056
27.200001	106.979	156.9712
27.600000	106.954	156.7599
28.000000	106.930	156.5078
28.500000	106.893	156.1246
29.000000	106.839	155.7775
29.500000	106.783	155.5742
30.000000	106.747	155.5136
30.400000	106.746	155.4490
30.700001	106.755	155.3243
31.100000	106.766	155.0323
31.500000	106.763	154.6581
32.000000	106.732	154.2302
32.500000	106.688	154.0003
33.000000	106.659	153.8865
33.500000	106.645	153.7195
34.000000	106.623	153.4544
34.500000	106.592	153.1703
35.000000	106.555	152.9686
35.500000	106.528	152.8352
36.000000	106.510	152.6666
36.500000	106.488	152.3736
37.000000	106.456	152.0878
37.500000	106.419	151.9001
38.200001	106.375	151.7018
38.700001	106.354	151.4992
39.500000	106.313	151.1170
40.000000	106.280	150.9286
40.599998	106.240	150.7754
41.200001	106.211	150.6105
41.799999	106.187	150.3806
42.500000	106.150	150.1281
43.099998	106.116	149.9291
43.700001	106.084	149.6844
44.400002	106.037	149.3878
45.000000	105.994	149.1815
45.500000	105.968	149.0547
46.200001	105.937	148.8258
46.799999	105.904	148.5510
47.500000	105.854	148.2404
48.200001	105.809	147.9922
48.700001	105.783	147.8216
49.400002	105.733	147.5857
50.000000	105.680	147.3983
50.799999	105.647	147.0898
51.500000	105.607	146.8427
52.200001	105.561	146.6012
53.000000	105.506	146.3402
53.799999	105.448	146.0870
54.500000	105.400	145.8705
55.200001	105.354	145.6424
56.000000	105.296	145.3727
57.000000	105.224	145.1128
58.000000	105.159	144.8183
59.000000	105.086	144.5287
60.000000	105.015	144.2333
60.799999	104.958	144.0133
61.500000	104.907	143.8112
62.200001	104.860	143.6384
63.000000	104.811	143.4774
64.000000	104.742	143.2324
65.000000	104.673	143.0152
66.000000	104.606	142.8254
67.000000	104.534	142.6811
68.000000	104.471	142.6390
69.000000	104.429	142.5495
70.000000	104.383	142.3764
71.000000	104.353	142.2241
72.000000	104.332	141.9585
73.000000	104.297	141.5817
74.000000	104.253	141.1679
75.000000	104.188	140.8140
76.199997	104.114	140.4167
77.500000	104.027	140.0523
78.800003	103.946	139.6871
80.000000	103.864	139.4111
81.199997	103.783	139.1796
82.500000	103.698	138.8886
83.800003	103.609	138.6400
85.000000	103.537	138.4557
86.199997	103.456	138.2317
87.500000	103.378	138.0346
88.500000	103.317	137.9202
90.000000	103.231	137.6922
91.199997	103.155	137.5423
92.500000	103.086	137.3522
93.800003	103.016	137.2122
95.000000	102.955	137.0078
96.199997	102.888	136.9489
97.500000	102.819	136.8039
98.800003	102.752	136.8950
100.000000	102.730	137.3434
101.500000	102.603	136.3397
103.000000	102.515	136.2653
104.400002	102.414	136.1389
106.000000	102.335	136.0645
107.500000	102.249	135.8905
109.000000	102.174	135.8501
110.599998	102.077	135.6887
112.000000	101.999	135.6477
113.800003	101.907	135.4832
115.000000	101.861	135.4924
117.199997	101.736	135.5482
118.000000	101.694	135.4063
120.599998	101.639	135.7239
122.000000	101.467	135.2957
124.099998	101.364	135.1363
125.000000	101.328	135.1472
126.500000	101.254	134.9719
128.000000	101.188	134.9563
131.500000	101.010	134.8702
132.000000	100.984	134.8369
134.000000	100.888	134.7455
136.000000	100.790	134.6976
138.000000	100.702	134.7030
140.000000	100.595	134.6385
143.000000	100.444	134.6311
145.000000	100.355	134.5858
147.500000	100.227	134.6730
150.000000	100.123	134.9380
152.500000	99.973	134.7802
155.000000	99.852	134.9268
157.500000	99.722	135.1235
160.000000	99.594	135.4573
162.500000	99.478	135.8381
165.000000	99.372	136.4050
167.500000	99.308	137.2176
170.000000	99.314	137.8496
172.500000	99.376	138.1613
175.000000	99.419	137.9071
177.500000	99.420	137.3660
180.000000	99.371	136.7866
182.500000	99.314	136.3385
185.000000	99.197	136.1374
187.500000	99.091	135.9698
190.000000	98.987	135.8419
192.500000	98.896	135.8115
195.000000	98.796	135.7977
197.500000	98.689	135.8680
200.000000	98.478	135.9580
203.000000	98.493	135.9346
206.000000	98.392	136.0619
209.000000	98.298	136.2363
212.000000	98.214	136.4438
