* Measurement data measured by REW V5.19
* Source: PulseAudio Mixer, no input selected, L, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -12.0 dBFS  With no timing reference
* Dated: Feb 23, 2022 8:30:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: final E2000 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	56.111	-106.2421
20.299999	56.215	-106.7198
20.600000	56.317	-107.2157
20.900000	56.418	-107.7284
21.200001	56.517	-108.2531
21.400000	56.584	-108.6047
21.799999	56.716	-109.2941
22.000000	56.782	-109.6254
22.400000	56.917	-110.2579
22.700001	57.021	-110.7141
23.000000	57.129	-111.1675
23.299999	57.238	-111.6263
23.600000	57.345	-112.0898
24.000000	57.482	-112.6954
24.299999	57.581	-113.1229
24.700001	57.710	-113.6467
25.000000	57.806	-114.0148
25.400000	57.933	-114.4964
25.799999	58.055	-114.9841
26.200001	58.169	-115.4691
26.500000	58.249	-115.8185
26.900000	58.350	-116.2591
27.200001	58.424	-116.5779
27.600000	58.521	-117.0090
28.000000	58.617	-117.4624
28.500000	58.732	-118.0583
29.000000	58.841	-118.6642
29.500000	58.948	-119.2714
30.000000	59.055	-119.8853
30.400000	59.142	-120.3787
30.700001	59.206	-120.7454
31.100000	59.291	-121.2252
31.500000	59.377	-121.6950
32.000000	59.484	-122.2729
32.500000	59.591	-122.8431
33.000000	59.695	-123.4040
33.500000	59.796	-123.9543
34.000000	59.888	-124.4915
34.500000	59.985	-125.0134
35.000000	60.080	-125.5288
35.500000	60.172	-126.0529
36.000000	60.260	-126.5878
36.500000	60.344	-127.1191
37.000000	60.426	-127.6415
37.500000	60.507	-128.1737
38.200001	60.610	-128.9560
38.700001	60.676	-129.5035
39.500000	60.779	-130.2768
40.000000	60.851	-130.7289
40.599998	60.942	-131.3058
41.200001	61.030	-131.9219
41.799999	61.110	-132.5401
42.500000	61.198	-133.2366
43.099998	61.270	-133.8096
43.700001	61.341	-134.3615
44.400002	61.424	-134.9998
45.000000	61.495	-135.5646
45.500000	61.550	-136.0478
46.200001	61.622	-136.7243
46.799999	61.679	-137.2849
47.500000	61.743	-137.9031
48.200001	61.810	-138.4939
48.700001	61.860	-138.9191
49.400002	61.930	-139.5391
50.000000	61.985	-140.0885
50.799999	62.050	-140.8133
51.500000	62.102	-141.3977
52.200001	62.159	-141.9290
53.000000	62.236	-142.5761
53.799999	62.305	-143.3278
54.500000	62.350	-143.9592
55.200001	62.393	-144.5091
56.000000	62.450	-145.1237
57.000000	62.517	-145.9030
58.000000	62.581	-146.6599
59.000000	62.638	-147.4213
60.000000	62.692	-148.1418
60.799999	62.738	-148.7265
61.500000	62.776	-149.2657
62.200001	62.808	-149.7946
63.000000	62.843	-150.3365
64.000000	62.901	-151.0290
65.000000	62.943	-151.8047
66.000000	62.971	-152.4185
67.000000	63.021	-152.9815
68.000000	63.067	-153.6547
69.000000	63.101	-154.2947
70.000000	63.138	-154.9109
71.000000	63.169	-155.5474
72.000000	63.199	-156.1357
73.000000	63.233	-156.7386
74.000000	63.262	-157.3519
75.000000	63.286	-157.9624
76.199997	63.309	-158.6359
77.500000	63.340	-159.3421
78.800003	63.369	-160.0603
80.000000	63.392	-160.7222
81.199997	63.413	-161.3487
82.500000	63.435	-162.0468
83.800003	63.455	-162.7366
85.000000	63.468	-163.3723
86.199997	63.486	-163.9941
87.500000	63.497	-164.6855
88.500000	63.508	-165.1871
90.000000	63.513	-165.9517
91.199997	63.520	-166.5098
92.500000	63.526	-167.1519
93.800003	63.536	-167.7835
95.000000	63.541	-168.4457
96.199997	63.539	-168.9758
97.500000	63.551	-169.5927
98.800003	63.569	-170.1068
100.000000	63.579	-170.8904
101.500000	63.541	-171.4224
103.000000	63.551	-172.0746
104.400002	63.546	-172.6126
106.000000	63.540	-173.2955
107.500000	63.530	-173.8768
109.000000	63.521	-174.5065
110.599998	63.506	-175.1664
112.000000	63.495	-175.7474
113.800003	63.491	-176.4842
115.000000	63.491	-176.7731
117.199997	63.435	-177.3326
118.000000	63.453	-177.8029
120.599998	63.495	-177.7561
122.000000	63.385	-179.3615
124.099998	63.364	179.8335
125.000000	63.348	179.6258
126.500000	63.344	179.0072
128.000000	63.328	178.5868
131.500000	63.269	177.5901
132.000000	63.268	177.3463
134.000000	63.241	176.6812
136.000000	63.211	176.0856
138.000000	63.178	175.5425
140.000000	63.135	174.9938
143.000000	63.076	174.1954
145.000000	63.044	173.6972
147.500000	63.000	173.1261
150.000000	62.955	172.5976
152.500000	62.898	172.0724
155.000000	62.845	171.5596
157.500000	62.793	171.0607
160.000000	62.740	170.5641
162.500000	62.683	170.1111
165.000000	62.622	169.6805
167.500000	62.566	169.2407
170.000000	62.516	168.8600
172.500000	62.456	168.4272
175.000000	62.404	168.0656
177.500000	62.345	167.7106
180.000000	62.289	167.3833
182.500000	62.226	167.0623
185.000000	62.168	166.7497
187.500000	62.107	166.4234
190.000000	62.044	166.1900
192.500000	61.976	165.8827
195.000000	61.928	165.7662
197.500000	61.835	165.5080
200.000000	61.756	165.3346
203.000000	61.665	165.1252
206.000000	61.570	165.0660
209.000000	61.474	165.1402
212.000000	61.376	164.9959
214.000000	61.314	165.0418
218.000000	61.205	165.2936
220.000000	61.163	165.5104
224.000000	61.128	165.9786
227.000000	61.130	166.2995
230.000000	61.154	166.4889
233.000000	61.205	166.4757
236.000000	61.246	166.2745
240.000000	61.292	165.7609
243.000000	61.305	165.3042
247.000000	61.301	164.5229
250.000000	61.295	164.0938
254.000000	61.254	163.4942
258.000000	61.204	162.8859
262.000000	61.149	162.3653
265.000000	61.108	162.0022
269.000000	61.040	161.5324
272.000000	60.995	161.2204
276.000000	60.926	160.8423
280.000000	60.860	160.4615
285.000000	60.779	160.0255
290.000000	60.693	159.6310
295.000000	60.607	159.2799
300.000000	60.515	158.9600
304.000000	60.454	158.6796
307.000000	60.400	158.5031
311.000000	60.324	158.2828
315.000000	60.259	158.0817
320.000000	60.167	157.8668
325.000000	60.082	157.5238
330.000000	60.000	157.3657
335.000000	59.912	157.1826
340.000000	59.824	157.0567
345.000000	59.741	156.9911
350.000000	59.670	157.0266
355.000000	59.593	157.0544
360.000000	59.517	157.1113
365.000000	59.433	157.2038
370.000000	59.358	157.2968
375.000000	59.283	157.3862
382.000000	59.180	157.5703
387.000000	59.107	157.6731
395.000000	58.995	157.9199
400.000000	58.930	158.0963
406.000000	58.845	158.2970
412.000000	58.766	158.5465
418.000000	58.689	158.7520
425.000000	58.601	159.0673
431.000000	58.519	159.2690
437.000000	58.450	159.5578
444.000000	58.361	159.8693
450.000000	58.284	160.2170
455.000000	58.234	160.4368
462.000000	58.154	160.8361
468.000000	58.081	161.1244
475.000000	58.001	161.5538
482.000000	57.926	161.9914
487.000000	57.881	162.2665
494.000000	57.810	162.5646
500.000000	57.749	162.8223
508.000000	57.653	163.0589
515.000000	57.579	163.2090
522.000000	57.519	163.4378
530.000000	57.448	163.6581
538.000000	57.375	163.9482
545.000000	57.305	164.1841
552.000000	57.236	164.4245
560.000000	57.167	164.7038
570.000000	57.081	165.0406
580.000000	56.993	165.3862
590.000000	56.903	165.8328
600.000000	56.823	166.2473
608.000000	56.767	166.5609
615.000000	56.709	166.8439
622.000000	56.652	167.1371
630.000000	56.594	167.5024
640.000000	56.526	167.9254
650.000000	56.460	168.3501
660.000000	56.390	168.9153
670.000000	56.319	169.4150
680.000000	56.265	169.8698
690.000000	56.198	170.4135
700.000000	56.152	170.9630
710.000000	56.104	171.5638
720.000000	56.060	172.2260
730.000000	56.038	172.8001
740.000000	56.016	173.3544
750.000000	55.996	173.8984
762.000000	55.973	174.3993
775.000000	55.940	174.9968
788.000000	55.902	175.6844
800.000000	55.889	176.2994
812.000000	55.851	176.8250
825.000000	55.827	177.5641
838.000000	55.820	178.4558
850.000000	55.823	179.5260
862.000000	55.802	-179.4659
875.000000	55.801	-178.3795
885.000000	55.806	-177.5137
900.000000	55.803	-176.3982
912.000000	55.806	-175.3227
925.000000	55.811	-174.3150
938.000000	55.826	-173.2708
950.000000	55.834	-172.4051
962.000000	55.843	-171.4086
975.000000	55.831	-170.4435
988.000000	55.798	-169.3113
1000.000000	55.736	-167.9728
1015.000000	55.750	-164.9902
1030.000000	56.159	-162.7437
1044.000000	56.433	-162.7937
1060.000000	56.555	-162.7975
1075.000000	56.612	-162.4173
1090.000000	56.649	-161.8685
1106.000000	56.688	-161.2282
1120.000000	56.728	-160.6766
1138.000000	56.779	-159.9408
1150.000000	56.813	-159.4684
1172.000000	56.876	-158.5439
1180.000000	56.911	-158.2549
1206.000000	56.969	-157.9110
1220.000000	57.030	-157.8868
1241.000000	57.173	-157.9474
1250.000000	57.243	-158.0336
1265.000000	57.341	-158.0229
1280.000000	57.457	-158.3025
1315.000000	57.374	-160.3143
1320.000000	57.321	-160.3898
1340.000000	57.236	-158.9701
1360.000000	57.344	-158.0701
1380.000000	57.490	-157.3654
1400.000000	57.670	-156.9370
1430.000000	57.877	-156.7738
1450.000000	58.012	-156.6430
1475.000000	58.170	-156.5697
1500.000000	58.317	-156.5164
1525.000000	58.468	-156.4331
1550.000000	58.567	-156.4332
1575.000000	58.659	-156.4146
1600.000000	58.762	-156.4071
1625.000000	58.857	-156.4124
1650.000000	58.949	-156.3933
1675.000000	59.041	-156.4469
1700.000000	59.140	-156.4484
1725.000000	59.230	-156.5342
1750.000000	59.325	-156.5465
1775.000000	59.417	-156.6434
1800.000000	59.510	-156.7225
1825.000000	59.608	-156.8266
1850.000000	59.712	-156.9117
1875.000000	59.806	-157.0591
1900.000000	59.912	-157.2435
1925.000000	60.014	-157.4010
1950.000000	60.123	-157.6010
1975.000000	60.206	-157.8409
2000.000000	60.301	-157.7009
2030.000000	60.462	-157.0029
2060.000000	60.588	-156.2935
2090.000000	60.720	-155.6083
2120.000000	60.840	-154.8954
2140.000000	60.927	-154.4381
2180.000000	61.093	-153.6299
2200.000000	61.172	-153.1190
2240.000000	61.329	-152.1901
2270.000000	61.441	-151.4126
2300.000000	61.552	-150.5485
2330.000000	61.677	-149.4980
2360.000000	61.836	-148.2332
2400.000000	62.147	-146.5550
2430.000000	62.466	-145.6094
2470.000000	62.929	-145.3153
2500.000000	63.229	-145.6920
2540.000000	63.541	-146.5742
2580.000000	63.772	-147.5211
2620.000000	63.948	-148.3451
