* Measurement data measured by REW V5.20.4
* Source: Microphone (Sound Blaster Play! 3), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2022 22:42:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 64 Audio U12t (R) m15
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.189	75.8625
20.299999	89.277	74.5053
20.600000	89.357	73.1612
20.900000	89.429	71.8506
21.200001	89.497	70.5842
21.400000	89.541	69.7613
21.799999	89.630	68.1506
22.000000	89.674	67.3548
22.400000	89.759	65.7706
22.700001	89.820	64.5917
23.000000	89.877	63.4304
23.299999	89.930	62.2946
23.600000	89.982	61.1856
24.000000	90.050	59.7426
24.299999	90.099	58.6781
24.700001	90.163	57.2749
25.000000	90.208	56.2366
25.400000	90.263	54.8791
25.799999	90.315	53.5594
26.200001	90.364	52.2734
26.500000	90.399	51.3233
26.900000	90.444	50.0679
27.200001	90.475	49.1348
27.600000	90.511	47.9095
28.000000	90.541	46.7184
28.500000	90.576	45.2870
29.000000	90.611	43.9047
29.500000	90.648	42.5394
30.000000	90.682	41.1692
30.400000	90.706	40.0760
30.700001	90.720	39.2685
31.100000	90.736	38.2219
31.500000	90.752	37.2119
32.000000	90.774	35.9831
32.500000	90.798	34.7628
33.000000	90.818	33.5454
33.500000	90.834	32.3534
34.000000	90.847	31.2005
34.500000	90.859	30.0713
35.000000	90.870	28.9492
35.500000	90.875	27.8441
36.000000	90.877	26.7773
36.500000	90.878	25.7463
37.000000	90.881	24.7268
37.500000	90.882	23.7077
38.200001	90.881	22.2984
38.700001	90.880	21.3037
39.500000	90.874	19.7029
40.000000	90.865	18.7152
40.599998	90.849	17.5791
41.200001	90.833	16.5072
41.799999	90.819	15.4950
42.500000	90.811	14.3465
43.099998	90.805	13.3192
43.700001	90.787	12.2846
44.400002	90.756	11.1995
45.000000	90.744	10.3086
45.500000	90.734	9.4736
46.200001	90.692	8.2797
46.799999	90.651	7.4481
47.500000	90.645	6.4275
48.200001	90.618	4.9970
48.700001	90.540	4.0496
49.400002	90.428	3.4071
50.000000	90.429	3.0878
50.799999	90.490	1.9246
51.500000	90.466	0.6159
52.200001	90.419	-0.3152
53.000000	90.407	-1.3283
53.799999	90.373	-2.4843
54.500000	90.331	-3.3086
55.200001	90.307	-4.1090
56.000000	90.270	-5.1284
57.000000	90.209	-6.2663
58.000000	90.162	-7.4315
59.000000	90.099	-8.6115
60.000000	90.040	-9.7042
60.799999	90.000	-10.5789
61.500000	89.964	-11.3594
62.200001	89.924	-12.1265
63.000000	89.877	-12.9515
64.000000	89.823	-13.9760
65.000000	89.761	-14.9844
66.000000	89.699	-15.9349
67.000000	89.641	-16.8879
68.000000	89.582	-17.8582
69.000000	89.517	-18.8056
70.000000	89.458	-19.6873
71.000000	89.404	-20.6093
72.000000	89.341	-21.4918
73.000000	89.285	-22.3289
74.000000	89.225	-23.1805
75.000000	89.166	-23.9652
76.199997	89.099	-24.9576
77.500000	89.016	-25.9819
78.800003	88.940	-26.9764
80.000000	88.875	-27.8904
81.199997	88.805	-28.8626
82.500000	88.717	-29.8239
83.800003	88.639	-30.7212
85.000000	88.573	-31.5464
86.199997	88.510	-32.4376
87.500000	88.425	-33.3880
88.500000	88.362	-34.0386
90.000000	88.273	-35.0073
91.199997	88.207	-35.7562
92.500000	88.140	-36.6120
93.800003	88.063	-37.5224
95.000000	87.986	-38.2914
96.199997	87.912	-39.0586
97.500000	87.836	-39.8296
98.800003	87.753	-40.6475
100.000000	87.686	-41.2272
101.500000	87.613	-42.1414
103.000000	87.539	-42.9785
104.400002	87.460	-43.9230
106.000000	87.354	-44.7413
107.500000	87.279	-45.5848
109.000000	87.195	-46.4105
110.599998	87.090	-47.2128
112.000000	87.024	-47.9227
113.800003	86.922	-48.8765
115.000000	86.859	-49.5793
117.199997	86.727	-50.5183
118.000000	86.696	-50.9080
120.599998	86.561	-52.0743
122.000000	86.487	-52.7421
124.099998	86.383	-53.7442
125.000000	86.330	-54.2283
126.500000	86.250	-54.9100
128.000000	86.174	-55.5959
131.500000	86.011	-57.2163
132.000000	85.983	-57.4236
134.000000	85.881	-58.2668
136.000000	85.767	-58.8184
138.000000	85.664	-59.4668
140.000000	85.524	-60.2807
143.000000	85.335	-61.4208
145.000000	85.222	-62.0483
147.500000	85.059	-62.3766
150.000000	84.953	-62.4859
152.500000	84.838	-62.5414
155.000000	84.839	-62.4958
157.500000	84.893	-62.6220
160.000000	85.001	-63.3573
162.500000	85.071	-64.9291
165.000000	85.035	-66.2784
167.500000	84.977	-67.4648
170.000000	84.905	-68.6790
172.500000	84.857	-69.7553
175.000000	84.818	-70.8842
177.500000	84.756	-72.1370
180.000000	84.675	-73.4206
182.500000	84.588	-74.6952
185.000000	84.500	-75.8910
187.500000	84.413	-77.0658
190.000000	84.332	-78.1544
192.500000	84.264	-79.1140
195.000000	84.183	-79.9689
197.500000	84.104	-80.8679
200.000000	84.016	-81.8415
203.000000	83.927	-83.0071
206.000000	83.851	-84.0239
209.000000	83.755	-85.0114
212.000000	83.674	-86.0706
214.000000	83.624	-86.7210
218.000000	83.522	-88.0341
220.000000	83.473	-88.6503
224.000000	83.382	-89.9688
227.000000	83.313	-90.9193
230.000000	83.241	-91.8605
233.000000	83.181	-92.8320
236.000000	83.119	-93.7494
240.000000	83.041	-94.9705
243.000000	82.988	-95.9197
247.000000	82.920	-97.1658
250.000000	82.863	-98.0972
254.000000	82.798	-99.3313
258.000000	82.725	-100.5138
262.000000	82.656	-101.7310
265.000000	82.614	-102.6627
269.000000	82.555	-103.8153
272.000000	82.513	-104.7405
276.000000	82.463	-105.8619
280.000000	82.411	-107.0659
285.000000	82.346	-108.5752
290.000000	82.295	-110.0377
295.000000	82.238	-111.5418
300.000000	82.185	-113.0427
304.000000	82.142	-114.2381
307.000000	82.116	-115.1660
311.000000	82.076	-116.4290
315.000000	82.042	-117.6122
320.000000	82.000	-119.1643
325.000000	81.967	-120.6790
330.000000	81.934	-122.1908
335.000000	81.902	-123.7081
340.000000	81.873	-125.2054
345.000000	81.846	-126.7501
350.000000	81.823	-128.2740
355.000000	81.801	-129.7918
360.000000	81.784	-131.2901
365.000000	81.762	-132.8424
370.000000	81.748	-134.3715
375.000000	81.735	-135.9418
382.000000	81.724	-138.0371
387.000000	81.711	-139.5538
395.000000	81.701	-141.9945
400.000000	81.696	-143.5414
406.000000	81.692	-145.3567
412.000000	81.692	-147.2137
418.000000	81.690	-149.0544
425.000000	81.701	-151.2419
431.000000	81.699	-153.0466
437.000000	81.704	-154.9430
444.000000	81.717	-157.1289
450.000000	81.718	-158.9764
455.000000	81.725	-160.5350
462.000000	81.734	-162.6750
468.000000	81.747	-164.5815
475.000000	81.756	-166.7419
482.000000	81.766	-168.8978
487.000000	81.778	-170.4310
494.000000	81.788	-172.6106
500.000000	81.799	-174.4695
508.000000	81.817	-176.9488
515.000000	81.833	-179.0626
522.000000	81.839	178.8105
530.000000	81.860	176.3524
538.000000	81.880	173.8447
545.000000	81.888	171.6795
552.000000	81.900	169.4941
560.000000	81.913	167.0104
570.000000	81.930	163.8687
580.000000	81.956	160.6359
590.000000	81.976	157.4637
600.000000	81.988	154.2839
608.000000	82.000	151.7512
615.000000	82.001	149.5161
622.000000	82.009	147.3441
630.000000	82.013	144.8219
640.000000	82.006	141.7896
650.000000	82.007	138.7819
660.000000	82.001	135.8007
670.000000	81.994	132.8670
680.000000	81.988	130.0019
690.000000	81.984	127.0710
700.000000	81.974	124.2216
710.000000	81.964	121.4258
720.000000	81.958	118.6700
730.000000	81.949	115.9749
740.000000	81.934	113.2908
750.000000	81.922	110.6948
762.000000	81.919	107.5257
775.000000	81.905	104.2844
788.000000	81.901	100.9864
800.000000	81.891	98.0582
812.000000	81.894	95.2051
825.000000	81.890	92.2015
838.000000	81.896	89.2021
850.000000	81.903	86.4443
862.000000	81.926	83.8325
875.000000	81.938	80.9980
885.000000	81.950	78.8534
900.000000	81.981	75.6385
912.000000	82.014	73.1060
925.000000	82.042	70.4178
938.000000	82.081	67.7501
950.000000	82.125	65.3208
962.000000	82.165	62.9741
975.000000	82.213	60.3383
988.000000	82.265	57.7440
1000.000000	82.316	55.3676
1015.000000	82.378	52.2753
1030.000000	82.434	49.1912
1044.000000	82.493	46.2195
1060.000000	82.574	42.8712
1075.000000	82.638	39.7446
1090.000000	82.707	36.6236
1106.000000	82.765	33.3645
1120.000000	82.834	30.5356
1138.000000	82.906	26.9000
1150.000000	82.960	24.5193
1172.000000	83.045	20.1418
1180.000000	83.072	18.5621
1206.000000	83.166	13.5173
1220.000000	83.214	10.7368
1241.000000	83.283	6.8680
1250.000000	83.320	5.1813
1265.000000	83.369	2.4211
1280.000000	83.418	-0.2728
1315.000000	83.524	-6.4479
1320.000000	83.539	-7.3025
1340.000000	83.603	-10.7371
1360.000000	83.666	-14.0728
1380.000000	83.735	-17.3890
1400.000000	83.792	-20.5892
1430.000000	83.890	-25.2709
1450.000000	83.971	-28.3489
1475.000000	84.068	-32.1217
1500.000000	84.158	-35.7731
1525.000000	84.260	-39.3618
1550.000000	84.374	-42.8799
1575.000000	84.491	-46.2926
1600.000000	84.609	-49.6768
1625.000000	84.725	-52.9858
1650.000000	84.871	-56.2994
1675.000000	85.001	-59.5565
1700.000000	85.146	-62.7902
1725.000000	85.300	-65.9991
1750.000000	85.463	-69.1017
1775.000000	85.606	-72.3795
1800.000000	85.775	-75.3309
1825.000000	85.985	-78.5511
1850.000000	86.198	-82.0728
1875.000000	86.389	-85.5459
1900.000000	86.555	-89.1202
1925.000000	86.715	-92.9546
1950.000000	86.881	-96.7121
1975.000000	87.044	-100.5942
2000.000000	87.196	-104.5577
2030.000000	87.357	-109.4067
2060.000000	87.504	-114.2522
2090.000000	87.626	-119.2559
2120.000000	87.714	-124.2838
2140.000000	87.752	-127.6711
2180.000000	87.786	-134.3807
2200.000000	87.774	-137.6971
2240.000000	87.707	-144.2390
2270.000000	87.607	-149.0174
2300.000000	87.479	-153.6329
2330.000000	87.314	-158.0443
2360.000000	87.122	-162.2468
2400.000000	86.823	-167.4603
2430.000000	86.572	-171.0880
2470.000000	86.217	-175.5493
2500.000000	85.937	-178.5137
2540.000000	85.555	177.9426
2580.000000	85.186	174.8806
2620.000000	84.830	172.3555
2650.000000	84.583	170.6825
2690.000000	84.283	168.7109
2720.000000	84.087	167.4082
2760.000000	83.853	165.8180
2800.000000	83.634	164.3293
2850.000000	83.398	162.6299
2900.000000	83.184	161.1362
2950.000000	82.984	159.7897
3000.000000	82.797	158.7114
3040.000000	82.678	157.9557
3070.000000	82.584	157.6406
3110.000000	82.458	157.1354
3150.000000	82.380	156.6966
3200.000000	82.225	156.5056
3250.000000	82.105	156.6586
3300.000000	82.052	156.6966
3350.000000	82.008	157.1545
3400.000000	82.035	157.7910
3450.000000	82.067	158.2532
3500.000000	82.122	158.3505
3550.000000	82.250	158.5955
3600.000000	82.410	158.7426
3650.000000	82.622	158.9867
3700.000000	82.856	159.0566
3750.000000	83.145	158.9583
3820.000000	83.576	158.4012
3870.000000	83.907	157.7653
