* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, R, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 19-Jan-2022 08:30:49
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: 64 Audio u6t (m15) R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.843	87.4019
20.299999	81.972	86.0396
20.600000	82.096	84.7033
20.900000	82.215	83.3908
21.200001	82.330	82.0985
21.400000	82.404	81.2488
21.799999	82.544	79.5846
22.000000	82.610	78.7733
22.400000	82.738	77.1973
22.700001	82.829	76.0520
23.000000	82.919	74.9295
23.299999	83.005	73.8230
23.600000	83.088	72.7315
24.000000	83.193	71.3044
24.299999	83.268	70.2599
24.700001	83.367	68.8994
25.000000	83.440	67.8912
25.400000	83.536	66.5428
25.799999	83.627	65.1778
26.200001	83.711	63.8102
26.500000	83.767	62.8017
26.900000	83.838	61.4977
27.200001	83.890	60.5509
27.600000	83.960	59.3151
28.000000	84.032	58.0862
28.500000	84.119	56.5474
29.000000	84.199	55.0283
29.500000	84.276	53.5530
30.000000	84.352	52.1169
30.400000	84.411	50.9854
30.700001	84.455	50.1464
31.100000	84.512	49.0439
31.500000	84.567	47.9574
32.000000	84.635	46.6023
32.500000	84.697	45.2350
33.000000	84.745	43.8879
33.500000	84.782	42.6203
34.000000	84.819	41.4464
34.500000	84.863	40.3044
35.000000	84.907	39.1388
35.500000	84.945	37.9724
36.000000	84.978	36.8612
36.500000	85.019	35.7863
37.000000	85.067	34.6542
37.500000	85.105	33.4346
38.200001	85.126	31.7913
38.700001	85.137	30.8042
39.500000	85.195	29.3311
40.000000	85.243	28.2839
40.599998	85.284	26.9337
41.200001	85.302	25.6412
41.799999	85.313	24.4493
42.500000	85.324	23.1547
43.099998	85.336	22.1074
43.700001	85.352	21.0525
44.400002	85.364	19.7935
45.000000	85.370	18.7627
45.500000	85.383	17.9009
46.200001	85.396	16.5743
46.799999	85.384	15.4771
47.500000	85.390	14.4504
48.200001	85.452	13.1743
48.700001	85.470	11.9067
49.400002	85.384	10.3156
50.000000	85.299	9.7504
50.799999	85.344	9.3098
51.500000	85.424	8.2010
52.200001	85.424	6.9683
