* Measurement data measured by REW V5.20.4
* Source: Microphone (Sound Blaster Play! 3), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 26-Apr-2022 00:29:22
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiR Audio XE6 Silver Atom R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.239	76.9100
20.299999	88.313	75.6898
20.600000	88.381	74.4949
20.900000	88.444	73.3365
21.200001	88.503	72.2212
21.400000	88.542	71.5011
21.799999	88.621	70.1082
22.000000	88.661	69.4282
22.400000	88.745	68.0820
22.700001	88.810	67.0679
23.000000	88.873	66.0385
23.299999	88.933	64.9950
23.600000	88.987	63.9479
24.000000	89.048	62.5739
24.299999	89.088	61.5838
24.700001	89.135	60.3363
25.000000	89.171	59.4526
25.400000	89.221	58.3228
25.799999	89.275	57.2170
26.200001	89.329	56.1150
26.500000	89.368	55.2913
26.900000	89.417	54.2053
27.200001	89.451	53.4058
27.600000	89.494	52.3611
28.000000	89.536	51.3362
28.500000	89.585	50.0768
29.000000	89.629	48.8462
29.500000	89.671	47.6520
30.000000	89.711	46.4893
30.400000	89.743	45.5728
30.700001	89.766	44.8906
31.100000	89.796	43.9900
31.500000	89.824	43.1042
32.000000	89.857	42.0231
32.500000	89.890	40.9690
33.000000	89.923	39.9356
33.500000	89.955	38.9201
34.000000	89.986	37.9223
34.500000	90.015	36.9405
35.000000	90.042	35.9751
35.500000	90.066	35.0330
36.000000	90.088	34.1224
36.500000	90.110	33.2405
37.000000	90.133	32.3708
37.500000	90.156	31.4989
38.200001	90.182	30.2826
38.700001	90.196	29.4370
39.500000	90.220	28.1276
40.000000	90.236	27.3149
40.599998	90.253	26.3402
41.200001	90.267	25.3892
41.799999	90.282	24.4697
42.500000	90.303	23.4020
43.099998	90.318	22.4788
43.700001	90.327	21.5917
44.400002	90.340	20.6244
45.000000	90.357	19.7924
45.500000	90.368	19.0699
46.200001	90.373	18.0875
46.799999	90.378	17.3187
47.500000	90.396	16.3774
48.200001	90.398	15.3270
48.700001	90.380	14.6455
49.400002	90.363	13.9330
50.000000	90.383	13.3643
50.799999	90.428	12.3257
51.500000	90.438	11.3087
52.200001	90.437	10.4171
53.000000	90.447	9.4443
53.799999	90.451	8.4552
54.500000	90.450	7.6710
55.200001	90.457	6.9255
56.000000	90.470	6.0372
57.000000	90.478	4.8956
58.000000	90.476	3.7679
59.000000	90.471	2.7043
60.000000	90.470	1.6376
60.799999	90.466	0.7843
61.500000	90.462	0.0690
62.200001	90.462	-0.6399
