* Measurement data measured by REW V5.20.4
* Source: Microphone (Sound Blaster Play! 3), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 26-Apr-2022 00:11:02
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fir Audio KR5 Black Atom L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.451	84.7563
20.299999	88.534	83.6051
20.600000	88.613	82.4723
20.900000	88.689	81.3590
21.200001	88.761	80.2675
21.400000	88.807	79.5524
21.799999	88.896	78.1525
22.000000	88.939	77.4668
22.400000	89.022	76.1219
22.700001	89.082	75.1339
23.000000	89.141	74.1610
23.299999	89.198	73.2010
23.600000	89.254	72.2527
24.000000	89.325	71.0061
24.299999	89.376	70.0868
24.700001	89.439	68.8885
25.000000	89.485	68.0154
25.400000	89.544	66.8881
25.799999	89.602	65.7976
26.200001	89.661	64.7303
26.500000	89.705	63.9373
26.900000	89.761	62.8866
27.200001	89.801	62.1077
27.600000	89.850	61.0917
28.000000	89.895	60.1119
28.500000	89.951	58.9363
29.000000	90.008	57.7903
29.500000	90.064	56.6503
30.000000	90.115	55.5190
30.400000	90.151	54.6358
30.700001	90.176	53.9924
31.100000	90.210	53.1578
31.500000	90.245	52.3398
32.000000	90.288	51.3234
32.500000	90.328	50.3111
33.000000	90.364	49.3202
33.500000	90.399	48.3643
34.000000	90.434	47.4353
34.500000	90.470	46.5136
35.000000	90.504	45.5942
35.500000	90.534	44.6923
36.000000	90.562	43.8244
36.500000	90.590	42.9890
37.000000	90.620	42.1691
37.500000	90.650	41.3513
38.200001	90.689	40.2106
38.700001	90.713	39.4093
39.500000	90.749	38.1636
40.000000	90.770	37.4052
40.599998	90.794	36.5060
41.200001	90.817	35.6150
41.799999	90.836	34.7491
42.500000	90.859	33.7921
43.099998	90.884	32.9875
43.700001	90.912	32.1497
44.400002	90.935	31.1517
45.000000	90.949	30.3477
45.500000	90.963	29.7198
46.200001	90.989	28.8387
46.799999	91.007	28.0664
47.500000	91.024	27.2241
48.200001	91.051	26.4270
48.700001	91.076	25.8058
49.400002	91.097	24.8517
50.000000	91.096	24.0830
50.799999	91.096	23.2348
51.500000	91.114	22.5180
52.200001	91.133	21.7214
53.000000	91.144	20.8008
53.799999	91.153	19.9382
54.500000	91.164	19.1951
55.200001	91.174	18.4490
56.000000	91.186	17.6071
57.000000	91.202	16.5640
58.000000	91.215	15.5300
59.000000	91.225	14.5305
60.000000	91.236	13.5623
60.799999	91.246	12.7899
61.500000	91.254	12.1077
62.200001	91.259	11.4328
63.000000	91.264	10.6849
64.000000	91.274	9.7534
65.000000	91.280	8.8156
66.000000	91.286	7.9091
67.000000	91.295	7.0023
68.000000	91.299	6.1030
69.000000	91.304	5.2444
70.000000	91.312	4.3764
71.000000	91.316	3.5024
72.000000	91.319	2.6463
73.000000	91.323	1.8026
74.000000	91.327	0.9552
75.000000	91.330	0.1124
76.199997	91.332	-0.8961
77.500000	91.332	-1.9403
78.800003	91.338	-2.9944
80.000000	91.334	-3.9362
81.199997	91.340	-4.8687
82.500000	91.336	-5.8954
83.800003	91.336	-6.8937
85.000000	91.336	-7.8265
86.199997	91.334	-8.7666
87.500000	91.328	-9.7479
88.500000	91.329	-10.4867
90.000000	91.328	-11.6371
91.199997	91.323	-12.5284
92.500000	91.319	-13.4815
93.800003	91.316	-14.4224
95.000000	91.313	-15.3095
96.199997	91.306	-16.1799
97.500000	91.305	-17.1257
98.800003	91.292	-18.0591
100.000000	91.293	-18.8805
101.500000	91.284	-19.9724
103.000000	91.279	-21.0293
104.400002	91.273	-22.0164
106.000000	91.261	-23.1415
107.500000	91.255	-24.1756
109.000000	91.248	-25.2120
110.599998	91.235	-26.3121
112.000000	91.226	-27.2699
113.800003	91.216	-28.4946
115.000000	91.201	-29.3231
117.199997	91.188	-30.8060
118.000000	91.179	-31.3345
120.599998	91.162	-33.0684
122.000000	91.151	-34.0154
124.099998	91.132	-35.4249
125.000000	91.121	-36.0067
126.500000	91.109	-36.9827
128.000000	91.095	-37.9537
131.500000	91.062	-40.2382
132.000000	91.058	-40.5640
134.000000	91.039	-41.8678
136.000000	91.015	-43.1676
138.000000	90.998	-44.4615
140.000000	90.976	-45.7357
143.000000	90.936	-47.6576
145.000000	90.916	-48.9185
147.500000	90.885	-50.5457
150.000000	90.854	-52.0808
152.500000	90.819	-53.6524
155.000000	90.788	-55.2036
157.500000	90.752	-56.7903
160.000000	90.717	-58.3171
162.500000	90.678	-59.8380
165.000000	90.646	-61.3989
167.500000	90.608	-62.9049
170.000000	90.566	-64.4376
172.500000	90.527	-65.9475
175.000000	90.489	-67.4645
177.500000	90.449	-68.9793
180.000000	90.407	-70.4876
182.500000	90.365	-71.9851
185.000000	90.320	-73.5019
187.500000	90.279	-74.9666
190.000000	90.236	-76.4387
192.500000	90.192	-77.9037
195.000000	90.142	-79.3304
197.500000	90.094	-80.7952
200.000000	90.048	-82.2975
203.000000	89.987	-84.0113
206.000000	89.929	-85.7507
209.000000	89.870	-87.4611
212.000000	89.809	-89.1559
214.000000	89.764	-90.2535
218.000000	89.681	-92.5287
220.000000	89.637	-93.6376
224.000000	89.549	-95.8539
227.000000	89.487	-97.5400
230.000000	89.424	-99.2017
233.000000	89.357	-100.7736
236.000000	89.285	-102.4454
240.000000	89.192	-104.6060
243.000000	89.131	-106.2162
247.000000	89.042	-108.3527
250.000000	88.957	-109.9169
254.000000	88.861	-112.0271
258.000000	88.771	-114.0964
262.000000	88.683	-116.1574
265.000000	88.608	-117.6719
269.000000	88.508	-119.7251
272.000000	88.433	-121.1792
276.000000	88.334	-123.2399
280.000000	88.239	-125.2020
285.000000	88.108	-127.6144
290.000000	87.988	-130.0278
295.000000	87.869	-132.5195
300.000000	87.737	-134.7821
304.000000	87.632	-136.7777
307.000000	87.550	-138.1426
311.000000	87.463	-139.9508
315.000000	87.352	-141.8162
320.000000	87.238	-144.0020
325.000000	87.112	-146.3269
330.000000	86.986	-148.4530
335.000000	86.876	-150.6244
340.000000	86.745	-152.8952
345.000000	86.606	-154.9915
350.000000	86.501	-157.0356
355.000000	86.395	-159.1825
360.000000	86.272	-161.3602
365.000000	86.142	-163.4504
370.000000	86.002	-165.4749
375.000000	85.869	-167.4167
382.000000	85.696	-169.9807
387.000000	85.585	-171.7884
395.000000	85.408	-174.7926
400.000000	85.308	-176.7640
406.000000	85.195	-179.1394
412.000000	85.089	178.4658
418.000000	84.987	176.2529
425.000000	84.834	173.6957
431.000000	84.727	171.4402
437.000000	84.631	169.3493
444.000000	84.519	166.7480
450.000000	84.433	164.6475
455.000000	84.355	162.6985
462.000000	84.248	160.1612
468.000000	84.151	157.8907
475.000000	84.036	155.3527
482.000000	83.916	152.7763
487.000000	83.836	151.0038
494.000000	83.725	148.5490
500.000000	83.624	146.4709
508.000000	83.505	143.7416
515.000000	83.402	141.3357
522.000000	83.300	138.9901
530.000000	83.191	136.3401
538.000000	83.084	133.6724
545.000000	82.990	131.3590
552.000000	82.903	129.1165
560.000000	82.811	126.5255
