* Measurement data measured by REW V5.20.4
* Source: Microphone (Sound Blaster Play! 3), MICROPHONE (Master Volume), R, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 17-Jan-2022 10:22:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ThieAudio Monarch MKII R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	81.044	-136.2036
20.299999	81.096	-137.4963
20.600000	81.147	-138.7911
20.900000	81.197	-140.0983
21.200001	81.244	-141.4272
21.400000	81.271	-142.3240
21.799999	81.314	-144.1237
22.000000	81.328	-145.0115
22.400000	81.341	-146.7247
22.700001	81.343	-147.9282
23.000000	81.342	-149.0499
23.299999	81.343	-150.1020
23.600000	81.348	-151.1095
24.000000	81.362	-152.4301
24.299999	81.374	-153.4302
24.700001	81.383	-154.7759
25.000000	81.383	-155.7673
25.400000	81.374	-157.0182
25.799999	81.364	-158.1615
26.200001	81.363	-159.2309
26.500000	81.370	-160.0316
26.900000	81.385	-161.1478
27.200001	81.392	-162.0286
27.600000	81.392	-163.2272
28.000000	81.380	-164.3864
28.500000	81.361	-165.7233
29.000000	81.354	-166.9986
29.500000	81.358	-168.3375
30.000000	81.355	-169.7785
30.400000	81.338	-170.9398
30.700001	81.319	-171.7707
31.100000	81.292	-172.7980
31.500000	81.272	-173.7549
32.000000	81.264	-174.9418
32.500000	81.263	-176.1985
33.000000	81.255	-177.5063
33.500000	81.234	-178.7783
34.000000	81.210	-179.9572
34.500000	81.190	178.9366
35.000000	81.175	177.8600
35.500000	81.159	176.8035
36.000000	81.142	175.7820
36.500000	81.128	174.7833
37.000000	81.112	173.7672
37.500000	81.088	172.7233
38.200001	81.031	171.3123
38.700001	80.980	170.4093
39.500000	80.908	169.0919
40.000000	80.870	168.2731
40.599998	80.825	167.2782
41.200001	80.783	166.2826
41.799999	80.747	165.2540
42.500000	80.704	163.9652
43.099998	80.653	162.8351
43.700001	80.592	161.7850
44.400002	80.527	160.6923
45.000000	80.483	159.7829
45.500000	80.447	158.9977
46.200001	80.387	157.9180
46.799999	80.333	157.0856
47.500000	80.284	156.1580
48.200001	80.240	155.1511
48.700001	80.201	154.4012
49.400002	80.139	153.3890
50.000000	80.088	152.5381
50.799999	80.018	151.3605
51.500000	79.946	150.3588
52.200001	79.876	149.4403
53.000000	79.806	148.4033
53.799999	79.733	147.3538
54.500000	79.664	146.5074
55.200001	79.601	145.7200
56.000000	79.533	144.8113
57.000000	79.440	143.6913
58.000000	79.345	142.6322
59.000000	79.247	141.5933
60.000000	79.149	140.5780
60.799999	79.069	139.7720
61.500000	78.998	139.1090
62.200001	78.934	138.4619
63.000000	78.862	137.6980
64.000000	78.776	136.7816
65.000000	78.700	135.7756
66.000000	78.600	134.7684
67.000000	78.514	133.8832
68.000000	78.417	132.8824
69.000000	78.311	132.1697
70.000000	78.250	131.3961
71.000000	78.157	130.5236
72.000000	78.082	129.8936
73.000000	78.017	129.0225
74.000000	77.920	128.2990
75.000000	77.862	127.5791
76.199997	77.748	126.5144
77.500000	77.640	125.7405
78.800003	77.538	124.7122
80.000000	77.429	124.0042
81.199997	77.351	123.2408
82.500000	77.242	122.3724
83.800003	77.149	121.6432
85.000000	77.061	120.8490
86.199997	76.964	120.1821
87.500000	76.882	119.4557
88.500000	76.809	118.8251
90.000000	76.694	118.0693
91.199997	76.624	117.5211
92.500000	76.549	116.7500
93.800003	76.445	116.1702
95.000000	76.381	115.6669
96.199997	76.305	115.0623
97.500000	76.212	114.4158
98.800003	76.124	113.9120
100.000000	76.069	113.3141
101.500000	75.963	112.4464
103.000000	75.873	111.9309
104.400002	75.806	111.3334
106.000000	75.726	110.6219
107.500000	75.632	110.0321
109.000000	75.541	109.5134
110.599998	75.470	108.8492
112.000000	75.408	108.2908
113.800003	75.293	107.5594
115.000000	75.241	107.2056
117.199997	75.160	106.5164
118.000000	75.116	106.1490
120.599998	74.996	105.1324
122.000000	74.935	104.8234
124.099998	74.839	104.0141
125.000000	74.807	103.8345
126.500000	74.752	103.3356
128.000000	74.706	102.9079
131.500000	74.573	101.6926
132.000000	74.550	101.5202
134.000000	74.478	100.9459
136.000000	74.403	100.3909
138.000000	74.345	99.7682
140.000000	74.300	99.2761
143.000000	74.210	98.4066
145.000000	74.151	97.7485
147.500000	74.093	97.1064
150.000000	74.028	96.3430
152.500000	73.951	95.6777
155.000000	73.917	94.9093
157.500000	73.868	94.3207
160.000000	73.805	93.5603
162.500000	73.775	92.9254
165.000000	73.710	92.3212
167.500000	73.674	91.5674
170.000000	73.629	90.9648
172.500000	73.594	90.1279
175.000000	73.562	89.5645
177.500000	73.545	88.8521
180.000000	73.493	88.2975
182.500000	73.468	87.5393
185.000000	73.444	86.8429
187.500000	73.427	86.1479
190.000000	73.402	85.4899
192.500000	73.374	84.8279
195.000000	73.363	84.0637
197.500000	73.352	83.4845
200.000000	73.315	82.8166
203.000000	73.298	81.9299
206.000000	73.268	81.1305
209.000000	73.259	80.3499
212.000000	73.253	79.5340
214.000000	73.239	78.9114
218.000000	73.222	77.8899
220.000000	73.216	77.3138
224.000000	73.216	76.1215
227.000000	73.200	75.2975
230.000000	73.189	74.5458
233.000000	73.186	73.6519
236.000000	73.186	72.8240
240.000000	73.175	71.6241
243.000000	73.172	70.7773
247.000000	73.176	69.6440
250.000000	73.157	68.7628
254.000000	73.159	67.6910
258.000000	73.153	66.4607
262.000000	73.153	65.3345
265.000000	73.155	64.4984
269.000000	73.155	63.3046
272.000000	73.159	62.4648
276.000000	73.168	61.4006
280.000000	73.156	60.2728
285.000000	73.155	58.8034
290.000000	73.161	57.2885
295.000000	73.170	55.9077
300.000000	73.166	54.4244
304.000000	73.163	53.3574
307.000000	73.169	52.4526
311.000000	73.167	51.3511
315.000000	73.173	50.1562
320.000000	73.180	48.7431
325.000000	73.178	47.2927
330.000000	73.188	45.7960
335.000000	73.183	44.3663
340.000000	73.177	43.0132
345.000000	73.184	41.5621
350.000000	73.180	40.1550
355.000000	73.186	38.7262
360.000000	73.190	37.3551
365.000000	73.186	35.9587
370.000000	73.187	34.5693
375.000000	73.184	33.1858
382.000000	73.191	31.3061
387.000000	73.186	29.8912
395.000000	73.184	27.7377
400.000000	73.186	26.4412
406.000000	73.174	24.8020
412.000000	73.168	23.1536
418.000000	73.169	21.6563
425.000000	73.169	19.7911
431.000000	73.175	18.2548
437.000000	73.159	16.6913
444.000000	73.152	14.9398
450.000000	73.146	13.3384
455.000000	73.144	12.1392
462.000000	73.142	10.3999
468.000000	73.138	8.9290
475.000000	73.130	7.1426
482.000000	73.121	5.4958
487.000000	73.113	4.2916
494.000000	73.114	2.6000
500.000000	73.107	1.1289
508.000000	73.109	-0.7327
515.000000	73.102	-2.3572
522.000000	73.095	-4.0419
530.000000	73.080	-5.8221
538.000000	73.068	-7.6999
545.000000	73.050	-9.2494
552.000000	73.051	-10.7732
560.000000	73.033	-12.5920
570.000000	73.032	-14.6872
580.000000	73.016	-16.8022
590.000000	72.995	-18.9017
600.000000	72.981	-20.8906
608.000000	72.978	-22.5858
615.000000	72.967	-23.9586
622.000000	72.969	-25.3179
630.000000	72.958	-26.9025
640.000000	72.944	-28.8320
650.000000	72.925	-30.7292
660.000000	72.917	-32.5614
670.000000	72.914	-34.3884
680.000000	72.906	-36.0927
690.000000	72.905	-37.9117
700.000000	72.889	-39.5876
710.000000	72.879	-41.3164
720.000000	72.884	-42.9445
730.000000	72.882	-44.6615
740.000000	72.888	-46.1848
750.000000	72.905	-47.7061
762.000000	72.908	-49.5470
775.000000	72.913	-51.5020
788.000000	72.935	-53.3746
800.000000	72.943	-55.1158
812.000000	72.987	-56.7518
825.000000	73.023	-58.4635
838.000000	73.069	-60.2139
850.000000	73.121	-61.7485
862.000000	73.183	-63.3393
875.000000	73.269	-65.0643
885.000000	73.338	-66.3818
900.000000	73.472	-68.3328
912.000000	73.572	-70.1309
925.000000	73.676	-72.0898
938.000000	73.761	-74.2261
950.000000	73.831	-76.1674
962.000000	73.897	-78.0285
975.000000	73.958	-80.0764
988.000000	74.019	-81.9759
1000.000000	74.064	-83.6744
1015.000000	74.129	-85.8726
1030.000000	74.192	-88.0468
1044.000000	74.245	-90.0034
1060.000000	74.320	-92.2029
1075.000000	74.407	-94.1976
1090.000000	74.476	-96.1932
1106.000000	74.561	-98.3557
1120.000000	74.630	-100.3517
1138.000000	74.693	-102.8311
1150.000000	74.744	-104.5001
1172.000000	74.836	-107.3952
1180.000000	74.877	-108.4774
1206.000000	74.978	-111.8408
1220.000000	75.020	-113.6169
1241.000000	75.091	-116.4381
1250.000000	75.113	-117.6157
1265.000000	75.148	-119.4868
1280.000000	75.188	-121.3680
1315.000000	75.282	-125.4360
1320.000000	75.299	-126.0195
1340.000000	75.339	-128.2917
1360.000000	75.380	-130.6143
1380.000000	75.407	-132.8131
1400.000000	75.440	-134.9626
1430.000000	75.505	-137.9175
1450.000000	75.543	-139.8081
1475.000000	75.591	-142.2056
1500.000000	75.630	-144.6177
1525.000000	75.665	-146.9153
1550.000000	75.717	-149.0494
1575.000000	75.783	-151.0404
1600.000000	75.828	-153.0029
1625.000000	75.886	-154.9772
1650.000000	75.934	-156.9619
1675.000000	75.986	-158.8110
1700.000000	76.048	-160.5857
1725.000000	76.125	-162.1794
1750.000000	76.191	-163.7700
1775.000000	76.263	-165.3743
1800.000000	76.334	-167.0203
1825.000000	76.398	-168.6642
1850.000000	76.475	-170.1902
1875.000000	76.568	-171.6084
1900.000000	76.657	-172.8730
1925.000000	76.743	-174.2334
1950.000000	76.839	-175.6044
1975.000000	76.939	-176.9911
2000.000000	77.019	-178.4573
2030.000000	77.131	179.9325
2060.000000	77.263	178.4690
2090.000000	77.393	177.0571
2120.000000	77.511	175.6086
2140.000000	77.597	174.5902
2180.000000	77.762	172.4578
2200.000000	77.836	171.3535
2240.000000	77.987	169.2899
2270.000000	78.119	167.8743
2300.000000	78.235	166.5229
2330.000000	78.343	165.0385
2360.000000	78.441	163.5269
2400.000000	78.558	161.3535
2430.000000	78.629	159.6970
2470.000000	78.710	157.7732
2500.000000	78.777	156.4731
2540.000000	78.826	154.7820
2580.000000	78.858	153.0728
2620.000000	78.869	151.3844
2650.000000	78.864	150.1252
2690.000000	78.833	148.7397
2720.000000	78.828	147.9192
2760.000000	78.813	147.0996
2800.000000	78.780	146.3743
2850.000000	78.743	145.5043
2900.000000	78.707	144.6650
2950.000000	78.662	144.1005
3000.000000	78.658	143.9591
3040.000000	78.652	144.0178
3070.000000	78.645	144.0564
3110.000000	78.648	144.0503
3150.000000	78.643	144.0508
3200.000000	78.640	143.9532
3250.000000	78.631	144.0598
3300.000000	78.654	144.5210
3350.000000	78.662	145.1104
3400.000000	78.670	145.6437
3450.000000	78.673	146.0824
3500.000000	78.675	146.4282
3550.000000	78.659	146.8273
3600.000000	78.659	147.5027
3650.000000	78.660	148.4257
3700.000000	78.640	149.2551
3750.000000	78.607	150.0181
3820.000000	78.540	150.8647
3870.000000	78.457	151.3623
3950.000000	78.269	152.5891
4000.000000	78.127	153.7979
4060.000000	77.875	155.4025
4120.000000	77.562	157.2798
4180.000000	77.195	159.6244
4250.000000	76.737	163.1958
4310.000000	76.357	167.4836
4370.000000	76.116	172.9360
4440.000000	75.988	-179.9312
4500.000000	76.048	-173.9464
4550.000000	76.189	-169.2974
4620.000000	76.499	-163.6439
4680.000000	76.790	-159.6038
