* Measurement data measured by REW V5.20.4
* Source: Microphone (Sound Blaster Play! 3), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2022 23:05:18
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ThieAudio V16 (R)
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.361	52.2198
20.299999	91.414	51.1897
20.600000	91.455	50.1626
20.900000	91.484	49.1813
21.200001	91.505	48.2849
21.400000	91.519	47.7398
21.799999	91.554	46.7455
22.000000	91.577	46.2735
22.400000	91.634	45.3221
22.700001	91.680	44.5736
23.000000	91.723	43.7935
23.299999	91.762	43.0027
23.600000	91.795	42.2208
24.000000	91.834	41.2119
24.299999	91.860	40.4818
24.700001	91.893	39.5346
25.000000	91.916	38.8416
25.400000	91.943	37.9486
25.799999	91.969	37.1024
26.200001	91.998	36.2956
26.500000	92.022	35.6986
26.900000	92.056	34.8901
27.200001	92.080	34.2682
27.600000	92.108	33.4289
28.000000	92.130	32.6037
28.500000	92.152	31.6125
29.000000	92.171	30.6465
29.500000	92.185	29.6852
30.000000	92.187	28.7650
30.400000	92.182	28.1039
30.700001	92.179	27.6624
31.100000	92.182	27.1244
31.500000	92.194	26.5994
32.000000	92.219	25.8955
32.500000	92.242	25.1250
33.000000	92.258	24.3337
33.500000	92.272	23.5573
34.000000	92.288	22.7797
34.500000	92.307	21.9597
35.000000	92.322	21.0831
35.500000	92.329	20.1708
36.000000	92.326	19.2563
36.500000	92.315	18.3683
37.000000	92.298	17.5345
37.500000	92.279	16.7715
38.200001	92.262	15.7898
38.700001	92.255	15.0955
39.500000	92.236	13.9783
40.000000	92.215	13.3453
40.599998	92.190	12.6962
41.200001	92.174	12.1128
41.799999	92.164	11.5283
42.500000	92.149	10.8499
43.099998	92.135	10.2966
43.700001	92.125	9.7387
44.400002	92.111	9.0450
45.000000	92.093	8.4299
45.500000	92.077	7.9144
46.200001	92.051	7.1787
46.799999	92.026	6.5439
47.500000	91.999	5.8260
48.200001	91.981	5.0957
48.700001	91.970	4.5378
49.400002	91.953	3.7385
50.000000	91.939	3.0823
50.799999	91.934	2.2147
51.500000	91.934	1.4156
52.200001	91.931	0.6224
53.000000	91.929	-0.2353
53.799999	91.928	-1.0604
54.500000	91.926	-1.7482
55.200001	91.922	-2.4031
56.000000	91.912	-3.1204
57.000000	91.894	-3.9480
58.000000	91.873	-4.7520
59.000000	91.843	-5.5544
60.000000	91.811	-6.3400
60.799999	91.784	-6.9786
61.500000	91.761	-7.5359
62.200001	91.739	-8.0919
63.000000	91.715	-8.7269
64.000000	91.685	-9.5048
65.000000	91.654	-10.2639
66.000000	91.621	-10.9879
