* Measurement data measured by REW V5.20.4
* Source: Microphone (Sound Blaster Play! 3), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 07-Feb-2022 12:01:04
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Unique Melody Fabled Sound L
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.180	-90.0075
20.299999	85.271	-90.7818
20.600000	85.377	-91.6253
20.900000	85.486	-92.5851
21.200001	85.583	-93.6386
21.400000	85.637	-94.3501
21.799999	85.725	-95.7227
22.000000	85.763	-96.3591
22.400000	85.842	-97.5333
22.700001	85.909	-98.3820
23.000000	85.982	-99.2646
23.299999	86.054	-100.2031
23.600000	86.120	-101.1822
24.000000	86.193	-102.4942
24.299999	86.240	-103.4366
24.700001	86.302	-104.6192
25.000000	86.352	-105.4743
25.400000	86.425	-106.6210
25.799999	86.497	-107.8000
26.200001	86.560	-108.9782
26.500000	86.602	-109.8255
26.900000	86.656	-110.8827
27.200001	86.700	-111.6313
27.600000	86.763	-112.6091
28.000000	86.828	-113.6027
28.500000	86.899	-114.8621
29.000000	86.955	-116.0658
29.500000	87.003	-117.1640
30.000000	87.054	-118.1913
30.400000	87.096	-119.0067
30.700001	87.125	-119.6238
31.100000	87.159	-120.4409
31.500000	87.188	-121.2309
32.000000	87.224	-122.1686
32.500000	87.265	-123.0849
33.000000	87.308	-124.0331
33.500000	87.348	-125.0235
34.000000	87.378	-126.0146
34.500000	87.402	-126.9558
35.000000	87.426	-127.8307
35.500000	87.453	-128.6520
36.000000	87.484	-129.4361
36.500000	87.521	-130.1935
37.000000	87.562	-130.9405
37.500000	87.605	-131.6915
38.200001	87.660	-132.7264
38.700001	87.698	-133.4181
39.500000	87.771	-134.4947
40.000000	87.820	-135.2335
40.599998	87.868	-136.1855
41.200001	87.902	-137.1006
41.799999	87.938	-137.9566
42.500000	87.992	-139.0315
43.099998	88.025	-140.0735
43.700001	88.036	-141.0938
44.400002	88.040	-142.1308
45.000000	88.052	-142.9419
45.500000	88.065	-143.6204
46.200001	88.083	-144.5677
46.799999	88.097	-145.3569
47.500000	88.109	-146.2561
48.200001	88.117	-147.0993
48.700001	88.126	-147.6596
49.400002	88.146	-148.4634
50.000000	88.158	-149.2178
50.799999	88.154	-150.1883
51.500000	88.151	-150.9131
52.200001	88.162	-151.6448
53.000000	88.169	-152.5603
53.799999	88.168	-153.4193
54.500000	88.175	-154.1430
55.200001	88.181	-154.9047
56.000000	88.181	-155.7339
57.000000	88.190	-156.7229
58.000000	88.190	-157.7380
59.000000	88.193	-158.6273
60.000000	88.204	-159.6005
60.799999	88.199	-160.3657
61.500000	88.199	-160.9748
62.200001	88.203	-161.6294
63.000000	88.198	-162.3938
