* Measurement data measured by REW V5.20.4
* Source: Microphone (Sound Blaster Play! 3), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18-Jan-2022 20:16:13
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Vision Ears VE8 R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.349	69.4305
20.299999	90.430	68.4657
20.600000	90.506	67.4641
20.900000	90.572	66.4489
21.200001	90.627	65.4559
21.400000	90.660	64.8223
21.799999	90.721	63.6279
22.000000	90.751	63.0632
22.400000	90.813	61.9744
22.700001	90.861	61.1726
23.000000	90.907	60.3761
23.299999	90.951	59.5941
23.600000	90.993	58.8359
24.000000	91.050	57.8639
24.299999	91.094	57.1474
24.700001	91.156	56.1735
25.000000	91.199	55.4153
25.400000	91.245	54.3864
25.799999	91.276	53.4048
26.200001	91.299	52.5365
26.500000	91.320	51.9593
26.900000	91.359	51.2343
27.200001	91.397	50.6707
27.600000	91.448	49.8521
28.000000	91.489	48.9878
28.500000	91.523	47.9677
29.000000	91.557	47.0806
29.500000	91.607	46.2173
30.000000	91.659	45.2527
30.400000	91.685	44.4490
30.700001	91.696	43.8887
31.100000	91.709	43.2412
31.500000	91.734	42.6640
32.000000	91.780	41.8889
32.500000	91.819	40.9888
33.000000	91.833	40.1228
33.500000	91.844	39.4389
34.000000	91.880	38.8237
34.500000	91.929	38.0483
35.000000	91.955	37.1317
35.500000	91.950	36.3438
36.000000	91.954	35.8065
36.500000	91.996	35.2878
37.000000	92.049	34.5140
37.500000	92.063	33.5869
38.200001	92.027	32.6798
38.700001	92.033	32.3765
39.500000	92.119	31.5820
40.000000	92.149	30.7943
40.599998	92.138	29.9895
41.200001	92.140	29.4742
41.799999	92.173	28.8841
42.500000	92.187	27.9588
43.099998	92.165	27.3555
43.700001	92.172	26.9752
44.400002	92.227	26.2947
45.000000	92.246	25.4038
45.500000	92.226	24.7554
46.200001	92.206	24.2021
46.799999	92.234	23.7217
47.500000	92.259	22.8743
48.200001	92.242	22.1782
48.700001	92.248	21.8916
49.400002	92.308	21.3381
50.000000	92.340	20.5416
50.799999	92.311	19.6794
51.500000	92.312	19.3384
52.200001	92.358	18.7866
53.000000	92.360	17.8739
53.799999	92.329	17.3352
54.500000	92.346	16.9492
55.200001	92.363	16.3013
56.000000	92.341	15.5950
57.000000	92.333	14.9666
58.000000	92.336	14.1913
59.000000	92.337	13.4974
60.000000	92.347	12.6527
60.799999	92.331	12.0123
61.500000	92.326	11.5488
62.200001	92.326	11.0287
63.000000	92.313	10.4752
64.000000	92.318	9.8986
65.000000	92.326	9.1698
66.000000	92.328	8.5562
67.000000	92.347	7.8120
68.000000	92.331	7.0931
69.000000	92.337	6.5300
70.000000	92.339	5.7905
71.000000	92.322	5.2169
72.000000	92.334	4.6373
73.000000	92.326	3.9603
74.000000	92.321	3.4454
75.000000	92.330	2.8004
76.199997	92.308	2.1024
77.500000	92.314	1.4056
78.800003	92.292	0.6310
80.000000	92.287	0.0434
81.199997	92.274	-0.6683
82.500000	92.257	-1.3027
83.800003	92.249	-1.9752
85.000000	92.240	-2.6135
86.199997	92.222	-3.2231
87.500000	92.208	-3.8706
88.500000	92.193	-4.3864
90.000000	92.176	-5.1678
91.199997	92.164	-5.8355
92.500000	92.147	-6.5336
93.800003	92.143	-7.1854
95.000000	92.139	-7.7964
96.199997	92.132	-8.3676
97.500000	92.125	-8.9244
98.800003	92.113	-9.5355
100.000000	92.098	-10.0513
101.500000	92.077	-10.7787
103.000000	92.059	-11.4730
104.400002	92.045	-12.0682
106.000000	92.032	-12.8738
107.500000	92.021	-13.4548
109.000000	91.990	-14.1341
110.599998	91.971	-14.7547
112.000000	91.956	-15.2317
113.800003	91.942	-16.1749
115.000000	91.923	-16.6023
117.199997	91.891	-17.4034
118.000000	91.902	-17.7128
120.599998	91.869	-18.8636
122.000000	91.831	-19.4387
124.099998	91.832	-20.1788
125.000000	91.808	-20.5653
126.500000	91.802	-21.0510
128.000000	91.782	-21.7430
131.500000	91.733	-23.1394
132.000000	91.725	-23.3485
134.000000	91.691	-24.0793
136.000000	91.671	-24.8311
138.000000	91.640	-25.5857
140.000000	91.615	-26.3321
143.000000	91.569	-27.5087
145.000000	91.542	-28.2444
147.500000	91.503	-29.1691
150.000000	91.469	-30.0466
152.500000	91.428	-30.9507
155.000000	91.389	-31.8351
157.500000	91.353	-32.7026
160.000000	91.317	-33.5647
162.500000	91.279	-34.4176
165.000000	91.239	-35.2573
167.500000	91.203	-36.0668
170.000000	91.163	-36.8702
172.500000	91.126	-37.6921
175.000000	91.081	-38.5200
177.500000	91.040	-39.3428
180.000000	91.008	-40.0941
182.500000	90.970	-40.8793
185.000000	90.929	-41.6534
187.500000	90.889	-42.4082
190.000000	90.848	-43.1350
192.500000	90.800	-43.8416
195.000000	90.764	-44.5491
197.500000	90.739	-45.2719
200.000000	90.696	-45.9937
203.000000	90.650	-46.7340
206.000000	90.610	-47.4554
209.000000	90.583	-48.3033
212.000000	90.554	-49.0891
214.000000	90.530	-49.6162
218.000000	90.489	-50.7420
220.000000	90.464	-51.3177
224.000000	90.411	-52.4004
227.000000	90.368	-53.2104
230.000000	90.334	-54.0007
233.000000	90.292	-54.7669
