* Measurement data measured by REW V5.20.4
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 21-Jan-2022 21:28:41
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Ra 21 C-Cu R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.109	-126.3903
20.299999	85.157	-127.1999
20.600000	85.196	-128.0044
20.900000	85.224	-128.7655
21.200001	85.247	-129.4511
21.400000	85.262	-129.8622
21.799999	85.301	-130.6013
22.000000	85.327	-130.9524
22.400000	85.390	-131.6809
22.700001	85.442	-132.2915
23.000000	85.490	-132.9691
23.299999	85.527	-133.6824
23.600000	85.551	-134.3836
24.000000	85.568	-135.2219
24.299999	85.577	-135.7473
24.700001	85.601	-136.3409
25.000000	85.629	-136.7703
25.400000	85.677	-137.4066
25.799999	85.718	-138.1361
26.200001	85.741	-138.8766
26.500000	85.748	-139.3668
26.900000	85.757	-139.8883
27.200001	85.774	-140.2070
27.600000	85.816	-140.6315
28.000000	85.872	-141.1726
28.500000	85.933	-142.0601
29.000000	85.959	-143.0330
29.500000	85.953	-143.8875
30.000000	85.940	-144.5279
30.400000	85.940	-144.9215
30.700001	85.950	-145.1886
31.100000	85.976	-145.5648
31.500000	86.009	-146.0056
32.000000	86.045	-146.6562
32.500000	86.065	-147.3346
33.000000	86.070	-147.9124
33.500000	86.080	-148.3542
34.000000	86.108	-148.7552
34.500000	86.144	-149.2209
35.000000	86.173	-149.7407
35.500000	86.195	-150.2366
36.000000	86.217	-150.6992
36.500000	86.242	-151.1966
37.000000	86.258	-151.7532
37.500000	86.256	-152.2920
38.200001	86.241	-152.8612
38.700001	86.242	-153.1516
39.500000	86.282	-153.6279
40.000000	86.326	-154.0652
40.599998	86.372	-154.8151
41.200001	86.377	-155.6227
41.799999	86.364	-156.1460
42.500000	86.406	-156.5202
43.099998	86.473	-157.1961
43.700001	86.472	-158.0140
44.400002	86.431	-158.2100
45.000000	86.517	-157.9698
45.500000	86.659	-158.4016
46.200001	86.736	-160.0711
46.799999	86.603	-161.1257
47.500000	86.455	-160.8331
48.200001	86.503	-160.3419
48.700001	86.566	-160.6222
49.400002	86.558	-161.3316
50.000000	86.512	-161.5735
50.799999	86.514	-161.7028
51.500000	86.539	-162.1461
52.200001	86.536	-162.7074
53.000000	86.522	-163.2317
53.799999	86.518	-163.7134
54.500000	86.515	-164.1211
55.200001	86.515	-164.4396
56.000000	86.537	-164.7705
57.000000	86.569	-165.3946
58.000000	86.568	-166.0076
59.000000	86.561	-166.5768
60.000000	86.534	-167.0375
60.799999	86.533	-167.2863
61.500000	86.544	-167.6011
62.200001	86.548	-167.9356
63.000000	86.562	-168.2739
64.000000	86.588	-168.8539
65.000000	86.588	-169.4250
66.000000	86.596	-169.8768
67.000000	86.607	-170.4016
68.000000	86.597	-170.9275
69.000000	86.579	-171.2969
70.000000	86.580	-171.6357
71.000000	86.577	-172.0696
72.000000	86.567	-172.4390
73.000000	86.565	-172.8325
74.000000	86.553	-173.2262
75.000000	86.550	-173.5232
76.199997	86.560	-173.9743
77.500000	86.560	-174.4099
