* Measurement data measured by REW V5.20
* Source: ASIO ASIO4ALL v2, USB PnP Audio Device 1. Timing signal peak level -19,6 dBFS, measurement signal peak level -29,5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 14-dic-2020 17:47:20
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,2028 ms (70 mm, 2,74 in) using estimated IR delay relative to Acoustic reference on 2: xCORE USB Audio 2.0  2 with no timing offset
* Measurement: Blon BL-03 R 2020 dic 14
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.509	10.9911
20.299999	92.505	10.4203
20.600000	92.500	9.8600
20.900000	92.494	9.3096
21.200001	92.488	8.7690
21.400000	92.483	8.4138
21.799999	92.473	7.7164
22.000000	92.467	7.3742
22.400000	92.455	6.7033
22.700001	92.445	6.2120
23.000000	92.434	5.7313
23.299999	92.423	5.2610
23.600000	92.411	4.8010
24.000000	92.395	4.2029
24.299999	92.383	3.7651
24.700001	92.367	3.1945
25.000000	92.354	2.7755
25.400000	92.338	2.2278
25.799999	92.320	1.6916
26.200001	92.303	1.1662
26.500000	92.290	0.7791
26.900000	92.272	0.2718
27.200001	92.258	-0.1020
27.600000	92.239	-0.5917
28.000000	92.220	-1.0714
28.500000	92.196	-1.6578
29.000000	92.171	-2.2302
29.500000	92.146	-2.7895
30.000000	92.120	-3.3367
30.400000	92.100	-3.7662
30.700001	92.084	-4.0837
31.100000	92.063	-4.5008
31.500000	92.041	-4.9109
32.000000	92.014	-5.4139
32.500000	91.986	-5.9065
33.000000	91.958	-6.3887
33.500000	91.929	-6.8605
34.000000	91.899	-7.3213
34.500000	91.869	-7.7697
35.000000	91.838	-8.2044
35.500000	91.808	-8.6243
36.000000	91.778	-9.0299
36.500000	91.749	-9.4237
37.000000	91.722	-9.8106
37.500000	91.695	-10.1957
38.200001	91.660	-10.7396
38.700001	91.634	-11.1332
39.500000	91.591	-11.7657
40.000000	91.563	-12.1569
40.599998	91.527	-12.6167
41.200001	91.490	-13.0635
41.799999	91.452	-13.4970
42.500000	91.409	-13.9873
43.099998	91.371	-14.3956
43.700001	91.333	-14.7944
44.400002	91.289	-15.2490
45.000000	91.252	-15.6304
45.500000	91.221	-15.9423
46.200001	91.176	-16.3692
46.799999	91.139	-16.7250
47.500000	91.095	-17.1281
48.200001	91.051	-17.5201
48.700001	91.021	-17.7949
49.400002	90.979	-18.1750
50.000000	90.943	-18.4975
50.799999	90.895	-18.9234
51.500000	90.852	-19.2917
52.200001	90.809	-19.6543
53.000000	90.759	-20.0580
53.799999	90.708	-20.4466
54.500000	90.663	-20.7737
55.200001	90.619	-21.0905
56.000000	90.569	-21.4431
57.000000	90.507	-21.8730
58.000000	90.446	-22.2933
59.000000	90.385	-22.7052
60.000000	90.324	-23.1077
60.799999	90.275	-23.4218
61.500000	90.232	-23.6904
62.200001	90.190	-23.9535
63.000000	90.141	-24.2483
64.000000	90.080	-24.6085
65.000000	90.019	-24.9593
66.000000	89.959	-25.3002
67.000000	89.899	-25.6309
68.000000	89.839	-25.9520
69.000000	89.779	-26.2641
70.000000	89.720	-26.5670
71.000000	89.661	-26.8604
72.000000	89.603	-27.1462
73.000000	89.545	-27.4267
74.000000	89.488	-27.7013
75.000000	89.430	-27.9676
76.199997	89.362	-28.2763
77.500000	89.289	-28.6013
78.800003	89.216	-28.9166
80.000000	89.149	-29.1982
81.199997	89.082	-29.4707
82.500000	89.009	-29.7546
83.800003	88.937	-30.0259
85.000000	88.872	-30.2664
86.199997	88.807	-30.4987
87.500000	88.738	-30.7439
88.500000	88.685	-30.9308
90.000000	88.606	-31.2064
91.199997	88.542	-31.4165
92.500000	88.473	-31.6332
93.800003	88.406	-31.8429
95.000000	88.344	-32.0301
96.199997	88.282	-32.2113
97.500000	88.217	-32.4037
98.800003	88.151	-32.5866
100.000000	88.091	-32.7405
101.500000	88.020	-32.9257
103.000000	87.950	-33.1195
104.400002	87.885	-33.3017
106.000000	87.810	-33.4999
107.500000	87.740	-33.6736
109.000000	87.670	-33.8363
110.599998	87.598	-34.0019
112.000000	87.535	-34.1462
113.800003	87.453	-34.3208
115.000000	87.399	-34.4249
117.199997	87.305	-34.6201
118.000000	87.270	-34.6960
120.599998	87.153	-34.9022
