* Measurement data measured by REW V5.20 Beta 60
* Source: ASIO ASIO4ALL v2, USB PnP Audio Device 1. Timing signal peak level -30,0 dBFS, measurement signal peak level -35,7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12,0 dBFS using an acoustic timing reference
* Dated: 27-ago-2020 14:11:11
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,2641 ms (91 mm, 3,57 in) using estimated IR delay relative to Acoustic reference on 1: xCORE USB Audio 2.0  1 with no timing offset
* Measurement: Moondrop Kanas Pro L 2020 ago 27
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.645	38.6702
20.299999	85.681	37.8863
20.600000	85.716	37.1140
20.900000	85.749	36.3532
21.200001	85.780	35.6038
21.400000	85.800	35.1106
21.799999	85.839	34.1398
22.000000	85.857	33.6624
22.400000	85.892	32.7236
22.700001	85.916	32.0335
23.000000	85.938	31.3554
23.299999	85.960	30.6887
23.600000	85.980	30.0328
24.000000	86.006	29.1738
24.299999	86.024	28.5401
24.700001	86.048	27.7077
25.000000	86.064	27.0920
25.400000	86.084	26.2816
25.799999	86.102	25.4833
26.200001	86.119	24.6973
26.500000	86.130	24.1162
26.900000	86.143	23.3534
27.200001	86.152	22.7906
27.600000	86.162	22.0528
28.000000	86.171	21.3294
28.500000	86.181	20.4449
29.000000	86.188	19.5810
29.500000	86.194	18.7366
30.000000	86.200	17.9101
30.400000	86.206	17.2609
30.700001	86.210	16.7806
31.100000	86.215	16.1486
31.500000	86.219	15.5260
32.000000	86.222	14.7605
32.500000	86.224	14.0092
33.000000	86.225	13.2722
33.500000	86.225	12.5496
34.000000	86.222	11.8410
34.500000	86.219	11.1460
35.000000	86.215	10.4634
35.500000	86.210	9.7920
36.000000	86.204	9.1296
36.500000	86.198	8.4739
37.000000	86.191	7.8229
37.500000	86.183	7.1755
38.200001	86.167	6.2781
38.700001	86.153	5.6486
39.500000	86.125	4.6762
40.000000	86.106	4.0959
40.599998	86.082	3.4279
41.200001	86.058	2.7859
41.799999	86.036	2.1617
42.500000	86.011	1.4477
43.099998	85.991	0.8451
43.700001	85.971	0.2516
