* Measurement data measured by REW V5.20
* Source: ASIO ASIO4ALL v2, USB PnP Audio Device 1. Timing signal peak level -29,7 dBFS, measurement signal peak level -36,6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -9,0 dBFS using an acoustic timing reference
* Dated: 07-dic-2020 20:30:01
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Delay 0,2100 ms (72 mm, 2,84 in) using estimated IR delay relative to Acoustic reference on 1: xCORE USB Audio 2.0  1 with no timing offset
* Measurement: Moondrop SSP L 2020 dic 7
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	75.632	66.7078
20.299999	75.726	66.1802
20.600000	75.818	65.6627
20.900000	75.908	65.1558
21.200001	75.997	64.6594
21.400000	76.055	64.3340
21.799999	76.171	63.6949
22.000000	76.229	63.3802
22.400000	76.343	62.7578
22.700001	76.427	62.2945
23.000000	76.511	61.8319
23.299999	76.594	61.3686
23.600000	76.675	60.9036
24.000000	76.781	60.2810
24.299999	76.858	59.8132
24.700001	76.957	59.1908
25.000000	77.029	58.7276
25.400000	77.121	58.1178
25.799999	77.210	57.5204
26.200001	77.296	56.9372
26.500000	77.358	56.5095
26.900000	77.440	55.9512
27.200001	77.500	55.5405
27.600000	77.579	55.0021
28.000000	77.656	54.4720
28.500000	77.751	53.8182
29.000000	77.843	53.1724
29.500000	77.932	52.5337
30.000000	78.019	51.9029
30.400000	78.086	51.4047
30.700001	78.135	51.0350
31.100000	78.199	50.5477
31.500000	78.261	50.0668
32.000000	78.337	49.4747
32.500000	78.410	48.8927
33.000000	78.481	48.3213
33.500000	78.550	47.7615
34.000000	78.616	47.2147
34.500000	78.681	46.6814
35.000000	78.744	46.1624
35.500000	78.807	45.6577
36.000000	78.868	45.1669
36.500000	78.930	44.6883
37.000000	78.992	44.2179
37.500000	79.056	43.7497
38.200001	79.146	43.0830
38.700001	79.211	42.5899
39.500000	79.310	41.7649
40.000000	79.368	41.2320
40.599998	79.431	40.5882
41.200001	79.488	39.9548
41.799999	79.539	39.3461
42.500000	79.595	38.6753
43.099998	79.642	38.1318
43.700001	79.689	37.6083
44.400002	79.745	37.0103
45.000000	79.793	36.5016
45.500000	79.833	36.0789
46.200001	79.886	35.4901
46.799999	79.931	34.9897
47.500000	79.981	34.4125
48.200001	80.030	33.8438
48.700001	80.064	33.4441
49.400002	80.110	32.8951
50.000000	80.148	32.4340
50.799999	80.200	31.8276
51.500000	80.245	31.2980
52.200001	80.289	30.7648
53.000000	80.337	30.1515
53.799999	80.382	29.5391
54.500000	80.419	29.0091
55.200001	80.453	28.4891
56.000000	80.489	27.9116
57.000000	80.533	27.2177
58.000000	80.576	26.5469
59.000000	80.620	25.8855
60.000000	80.662	25.2274
60.799999	80.695	24.7039
61.500000	80.723	24.2479
62.200001	80.750	23.7931
63.000000	80.779	23.2748
64.000000	80.812	22.6329
65.000000	80.844	22.0040
66.000000	80.873	21.3903
67.000000	80.901	20.7895
68.000000	80.928	20.1995
69.000000	80.954	19.6201
70.000000	80.979	19.0493
71.000000	81.004	18.4826
72.000000	81.029	17.9156
73.000000	81.051	17.3483
74.000000	81.072	16.7849
75.000000	81.090	16.2303
76.199997	81.110	15.5810
77.500000	81.130	14.8981
78.800003	81.150	14.2288
80.000000	81.167	13.6146
81.199997	81.183	13.0079
82.500000	81.198	12.3664
83.800003	81.212	11.7360
85.000000	81.224	11.1620
86.199997	81.234	10.5989
87.500000	81.244	10.0041
88.500000	81.251	9.5610
90.000000	81.264	8.9090
91.199997	81.275	8.3711
92.500000	81.283	7.7784
93.800003	81.288	7.2070
95.000000	81.293	6.6861
96.199997	81.297	6.1537
97.500000	81.298	5.5785
98.800003	81.295	5.0225
100.000000	81.291	4.5331
101.500000	81.287	3.9520
103.000000	81.286	3.3783
104.400002	81.286	2.8369
106.000000	81.284	2.2166
107.500000	81.280	1.6379
109.000000	81.275	1.0638
110.599998	81.266	0.4527
112.000000	81.254	-0.0573
113.800003	81.242	-0.6554
115.000000	81.240	-1.0600
117.199997	81.234	-1.8918
118.000000	81.227	-2.2041
120.599998	81.190	-3.0762
122.000000	81.180	-3.4741
124.099998	81.172	-4.1210
125.000000	81.168	-4.4097
126.500000	81.159	-4.8956
128.000000	81.147	-5.3938
131.500000	81.105	-6.4852
132.000000	81.099	-6.6295
134.000000	81.077	-7.2035
136.000000	81.056	-7.7786
138.000000	81.037	-8.3340
140.000000	81.021	-8.9010
143.000000	80.986	-9.7760
145.000000	80.960	-10.3027
147.500000	80.932	-10.9571
150.000000	80.902	-11.6302
152.500000	80.868	-12.2875
155.000000	80.836	-12.9254
157.500000	80.803	-13.5855
160.000000	80.763	-14.2021
162.500000	80.729	-14.7815
165.000000	80.693	-15.3756
167.500000	80.654	-15.9351
170.000000	80.615	-16.4795
172.500000	80.576	-17.0132
175.000000	80.538	-17.5384
177.500000	80.501	-18.0804
180.000000	80.461	-18.6242
182.500000	80.421	-19.1265
185.000000	80.384	-19.6343
187.500000	80.344	-20.1420
190.000000	80.304	-20.6186
192.500000	80.266	-21.0996
195.000000	80.226	-21.5958
197.500000	80.184	-22.0899
200.000000	80.138	-22.5658
203.000000	80.086	-23.0810
206.000000	80.038	-23.5810
209.000000	79.994	-24.0790
212.000000	79.947	-24.6097
214.000000	79.912	-24.9514
218.000000	79.843	-25.5820
220.000000	79.811	-25.8973
224.000000	79.743	-26.5478
227.000000	79.688	-26.9970
230.000000	79.641	-27.4186
233.000000	79.598	-27.8957
236.000000	79.544	-28.3806
240.000000	79.472	-28.9446
243.000000	79.421	-29.3589
247.000000	79.359	-29.8986
250.000000	79.316	-30.3255
254.000000	79.247	-30.9159
258.000000	79.173	-31.3907
262.000000	79.104	-31.8548
265.000000	79.054	-32.2061
269.000000	78.988	-32.6864
272.000000	78.939	-33.0394
276.000000	78.875	-33.5219
280.000000	78.809	-33.9772
285.000000	78.727	-34.5381
290.000000	78.647	-35.0812
295.000000	78.570	-35.6281
300.000000	78.493	-36.1825
304.000000	78.423	-36.5738
307.000000	78.374	-36.8396
311.000000	78.310	-37.1946
315.000000	78.249	-37.5735
320.000000	78.170	-38.0491
325.000000	78.094	-38.5155
330.000000	78.016	-38.9763
335.000000	77.938	-39.4086
340.000000	77.861	-39.8278
345.000000	77.785	-40.2352
350.000000	77.712	-40.6094
355.000000	77.642	-41.0041
360.000000	77.567	-41.4072
365.000000	77.496	-41.7810
370.000000	77.427	-42.1697
375.000000	77.354	-42.5285
382.000000	77.257	-43.0041
387.000000	77.186	-43.3499
395.000000	77.084	-43.9182
400.000000	77.016	-44.3104
406.000000	76.925	-44.6280
412.000000	76.846	-44.9425
418.000000	76.769	-45.3009
425.000000	76.676	-45.7253
431.000000	76.598	-46.0581
437.000000	76.523	-46.3957
444.000000	76.437	-46.7782
450.000000	76.363	-47.0978
455.000000	76.302	-47.3569
462.000000	76.218	-47.7036
468.000000	76.147	-47.9769
475.000000	76.066	-48.3220
482.000000	75.981	-48.6558
487.000000	75.922	-48.8684
494.000000	75.835	-49.1425
500.000000	75.765	-49.3440
508.000000	75.681	-49.7490
515.000000	75.605	-50.0846
522.000000	75.527	-50.3782
530.000000	75.444	-50.6656
538.000000	75.363	-50.9667
545.000000	75.292	-51.2093
